UAI,NOM_LONG,NOM_COURT,INSEE_COMMUNE,NOM_COMMUNE,CONTRAT,TEL,FAX,MAIL,CHEF,ADJOINT,GESTIONNAIRE,N_ZAP,N_SECTEUR,RRS,SEGPA,UPI,SECTION_INTERNATIONAL,SECTION_EURO,TECHNO,ENS_SPE,DATEOUVERTURE,DATEFERMETURE,EFFECTIF_ANNEE_2007,EFFECTIF_ANNEE_2008,EFFECTIF_ANNEE_2009,EFFECTIF_ANNEE_2010,EFFECTIF_ANNEE_2011,EFFECTIF_ANNEE_2012,EFFECTIF_ANNEE_2013,LONGITUDE,LATITUDE,LB_ADR_L1,LB_ADR_L2,LB_ADR_L3,LB_ADR_L4_1,LB_ADR_L4_2,LB_ADR_L4_3,LB_ADR_L4_COMPLET,LB_ADR_L5,LB_ADR_L6_1,LB_ADR_L6_2,LB_ADR_L7
0331527F,Collège Ste Marie Jeanne d'Arc,Ste Marie Jeanne d'Arc,33227,LANGON                                ,PRIVE,0556631439,0556633112,tm33@free.fr,MADAME ANNE-MARIE CORDIN,,,06,0330604,,0,,,,,,05/04/1967,,200,177,171,175,165,167,168,-0.24972264,44.556477,COLLEGE STE MARIE JEANNE D ARC,,,8,,COURS SADI CARNOT,,,33210,LANGON,FRANCE
0331529H,Collège Ste J.d'Arc Assomption,Ste J.d'Arc Assomption,33318,PESSAC                                ,PRIVE,0556450450,0556455191,ce.0331529H@ac-bordeaux.fr,MONSIEUR SYLVAIN RICHARD,,,07,0330709,,0,,,,,,05/04/1967,,452,456,466,509,526,550,582,-0.6294598,44.80648,COLLEGE STE J.D ARC ASSOMPTION,,,1,,PLACE DRTS DE L HOMME ET DU CI,,,33600,PESSAC,FRANCE
0331530J,Collège Ste Marie,Ste Marie,33366,ST ANDRE DE CUBZAC                    ,PRIVE,0557430652,0557434518,ce.0331530J@ac-bordeaux.fr,MONSIEUR YVES GIRARD,,,10,0331004,,0,,,,,,05/04/1967,,532,543,577,572,587,611,623,-0.44879907,44.989815,COLLEGE STE MARIE,,,11,,RUE NATIONALE,,,33240,ST ANDRE DE CUBZAC,FRANCE
0331419N,Collège Georges Rayet,Georges Rayet,33167,FLOIRAC                               ,PUBLIC,0556401015,0557802230,ce.0331419N@ac-bordeaux.fr,MONSIEUR ROMAIN PHILIPPE,MONSIEUR SCHAAL JÉROME,MADAME HAMM SMAER NATHALIE,03,0330309,,0,,,,,,11/05/1977,,457,506,560,606,600,610,609,-0.5146897,44.842236,COLLEGE GEORGES RAYET,,,42,,CHEMIN CORNIER,,BP 136,33271,FLOIRAC CEDEX,FRANCE
0331435F,Collège Les Eyquems,Les Eyquems,33281,MERIGNAC                              ,PUBLIC,0556470604,0556976532,ce.0331435F@ac-bordeaux.fr,MADAME OILLEAUX PELLERIN FRANÇOISE,MADAME GOUINEAU DELPHINE,MONSIEUR LARTIRIGOYEN ALAIN,07,0330703,,0,,,,,,10/10/1966,,433,451,445,555,580,573,578,-0.6454013,44.827316,COLLEGE LES EYQUEMS,,,,,CHEMIN DE LA TOUR DE VEYRINES,,,33700,MERIGNAC,FRANCE
0331462K,Collège Francisco Goya,Francisco Goya,33063,BORDEAUX                              ,PUBLIC,0557950730,0557950749,ce.0331462K@ac-bordeaux.fr,MONSIEUR YVART XAVIER,,MADAME BARRA MARTINE,01,0330107,RRS,0,,,,,,07/11/1967,,243,241,262,291,289,292,303,-0.5769029,44.8344,COLLEGE FRANCISCO GOYA,,,56,,RUE COMMANDANT ARNOULD,,BP 60049,33023,BORDEAUX CEDEX,FRANCE
0331464M,Collège Jean Zay,Jean Zay,33119,CENON                                 ,PUBLIC,0557809292,0557809299,ce.0331464M@ac-bordeaux.fr,MADAME BOIREAU-CANNET CHRISTINE,MONSIEUR RAISON JEAN PIERRE,MADAME REVOLAT PASCALE,03,0330306,RRS,0,,,,,,07/11/1967,,608,576,576,577,587,629,670,-0.5128824,44.85517,COLLEGE JEAN ZAY,,,,,AVENUE JEAN ZAY,,BP 101,33151,CENON CEDEX,FRANCE
0331492T,Collège Ste Clotilde   Assomption,Ste Clotilde   Assomption,33063,BORDEAUX                              ,PRIVE,0556482906,0556791876,ce.0331492T@ac-bordeaux.fr,MONSIEUR ANTHONY ODIN,,,02,0330203,,0,,,,,,15/03/1967,,408,389,396,424,462,475,486,-0.5958417,44.847878,COLLEGE STE CLOTILDE - ASSOMPTION,,,9,,RUE DE BEL ORME,,,33000,BORDEAUX,FRANCE
0331507J,Collège St Joseph,St Joseph,33243,LIBOURNE                              ,PRIVE,0557553890,0557253643,ce.0331507J@ac-bordeaux.fr,MONSIEUR JEAN-PIERRE DUCOURNAU,,,04,0330406,,0,,,,,,15/03/1967,,618,616,622,648,673,675,703,-0.24679492,44.91522,COLLEGE ST JOSEPH,,,32,,RUE DES CHAIS,,,33500,LIBOURNE,FRANCE
0330017P,Collège Jean Zay,Jean Zay,33051,BIGANOS                               ,PUBLIC,0557170170,0557170173,ce.0330017P@ac-bordeaux.fr,MONSIEUR LA GOUTE DANIEL,MADAME CAILLAUD ISABELLE,MADAME BAUDELIN VÉRONIQUE,09,0330905,,0,,,,,,01/05/1965,,460,463,470,502,508,530,557,-0.9763787,44.635902,COLLEGE JEAN ZAY,,,41,,AVENUE DE LA COTE D ARGENT,,,33380,BIGANOS,FRANCE
0330058J,Collège Paul Emile Victor,Paul Emile Victor,33071,BRANNE                                ,PUBLIC,0557554900,0557554909,ce.0330058J@ac-bordeaux.fr,MONSIEUR MELLE JOËL,,MADAME DUCLOS CARINE,04,0330402,,0,2,,,,,01/05/1965,,366,398,409,414,439,484,525,-0.18493377,44.82452,COLLEGE PAUL EMILE VICTOR,,,,,ROUTE DE NAUJEAN,,BP 57,33420,BRANNE,FRANCE
0330062N,Collège Canterane,Canterane,33104,CASTELNAU DE MEDOC                    ,PUBLIC,0557888370,0557888371,ce.0330062N@ac-bordeaux.fr,MONSIEUR ROQUEJOFFRE PHILIPPE,MADAME FERNANDEZ-ARFEUILLE KAREN,MONSIEUR VINET THIERRY,08,0330802,,0,2,,,,,01/05/1965,,561,587,621,653,705,714,615,-0.79152733,45.030693,COLLEGE CANTERANE,,,,,RUE SAINT GENES,,BP 66,33480,CASTELNAU DE MEDOC,FRANCE
0330064R,Collège Alienor d'Aquitaine,Alienor d'Aquitaine,33108,CASTILLON LA BATAILLE                 ,PUBLIC,0557400212,0557403210,ce.0330064R@ac-bordeaux.fr,MADAME PEYSSONNERIE JOSIANE,MADAME BRISSEAU EMMELINE,MADAME RIADO ARIANNE,04,0330403,RRS,0,5,,,,,01/05/1965,,336,355,369,414,382,380,364,-0.050701693,44.851517,COLLEGE ALIENOR D AQUITAINE,,,,,RUE JEAN MONNET,,BP 31,33350,CASTILLON LA BATAILLE,FRANCE
0330065S,Collège Monséjour,Monséjour,33063,BORDEAUX                              ,PUBLIC,0556121640,0556472107,ce.0330065S@ac-bordeaux.fr,MONSIEUR PERTOLDI MICHEL,MADAME LABAT MARIE,MONSIEUR TOUSSAINT PHILIPPE,02,0330206,,0,,,,,,01/05/1965,,512,503,511,501,528,513,543,-0.6313311,44.855797,COLLEGE MONSEJOUR,,,7,,RUE CHANOINE ANDRE LACAZE,,BP 80046,33019,BORDEAUX CEDEX,FRANCE
0330066T,Collège Saint Andre,Saint Andre,33063,BORDEAUX                              ,PUBLIC,0556080868,0557229230,ce.0330066T@ac-bordeaux.fr,MONSIEUR DUPUY ERIC,MADAME ZITOUNI NASSERA,MADAME MUSSEAU MONIQUE,02,0330207,,0,,,,,,01/05/1965,,540,551,564,576,623,670,703,-0.6165177,44.85541,COLLEGE SAINT ANDRE,,,59,,RUE CEREY,,BP 50007,33019,BORDEAUX CEDEX,FRANCE
0330081J,Collège Jules Chambrelent,Jules Chambrelent,33203,HOURTIN                               ,PUBLIC,0556091252,0556092530,ce.0330081J@ac-bordeaux.fr,MADAME MAZON PATRICIA,,MADAME DARRIGRAND STEPHANIE,08,0330803,,0,,,,,,01/05/1965,,366,360,400,404,431,470,407,-1.0565084,45.188488,COLLEGE JULES CHAMBRELENT,,,11,,RUE DE LA BOUAILLE,,,33990,HOURTIN,FRANCE
0330083L,Collège Jules Ferry,Jules Ferry,33227,LANGON                                ,PUBLIC,0557980240,0557980242,ce.0330083L@ac-bordeaux.fr,MONSIEUR CHICHE STEPHANE,MADAME LEROUX MARTINE,MONSIEUR BUCHARD CYRIL,06,0330603,,0,,,,,,01/05/1965,,440,474,507,494,476,490,453,-0.25222874,44.54898,COLLEGE JULES FERRY,,,22,,RUE JULES FERRY,,BP 50291,33212,LANGON CEDEX,FRANCE
0332490C,Collège St Genes,St Genes,33063,BORDEAUX                              ,PRIVE,0556338484,0556338485,ce.0332490C@ac-bordeaux.fr,MONSIEUR MARC SEGARRA,,,01,0330106,,0,,,,,,01/09/1980,,1090,1087,1151,1171,1203,1182,1198,-0.58352166,44.841568,COLLEGE ST GENES,,,160,,RUE SAINT GENES,,CS 91533,33081,BORDEAUX CEDEX,FRANCE
0332491D,Collège Albert Le Grand,Albert Le Grand,33063,BORDEAUX                              ,PRIVE,0556963862,0556967165,ce.0332491D@ac-bordeaux.fr,MONSIEUR BERTRAND GAUFRYAU,,,01,0330106,,0,,,,,,01/09/1980,,190,168,171,187,161,151,119,-0.58352166,44.841568,COLLEGE ALBERT LE GRAND,,,189,,RUE SAINT GENES,,,33000,BORDEAUX,FRANCE
0332492E,Collège Ste Marie Bastide,Ste Marie Bastide,33063,BORDEAUX                              ,PRIVE,0557801200,0557801202,ce.0332492E@ac-bordeaux.fr,MONSIEUR JEAN-JACQUESGIRET,,,03,0330304,,0,,,,,,01/10/1980,,588,619,646,671,714,716,714,-0.55221456,44.84297,COLLEGE STE MARIE BASTIDE,,,45,,RUE DE DIJON,,CS 41195,33072,BORDEAUX CEDEX,FRANCE
0332493F,Collège Ste Marie Grand Lebrun,Ste Marie Grand Lebrun,33063,BORDEAUX                              ,PRIVE,0556083213,0556022225,ce.0332493F@ac-bordeaux.fr,MADAME CATHERINE DEREMBLE,,,02,0330207,,0,,,,,,01/09/1980,,1045,1031,1006,1035,1055,1045,1073,-0.6062234,44.85056,COLLEGE STE MARIE GRAND LEBRUN,,,164,,AVENUE CHARLES DE GAULLE,,CS 21642,33073,BORDEAUX CEDEX,FRANCE
0332494G,Collège Rambaud,Rambaud,33213,LA BREDE                              ,PRIVE,0557971717,0557971710,ce.0332494G@ac-bordeaux.fr,MONSIEUR PIERRE FALIZE,,,05,0330504,,0,,,,,,01/09/1980,,396,398,396,433,446,444,475,-0.5047035,44.66707,COLLEGE RAMBAUD,,,25,,AVENUE DE RAMBAUD,,BP 60005,33650,LA BREDE,FRANCE
0332657J,Collège de Lège Cap-Ferret,Lège Cap-Ferret,33236,LEGE CAP FERRET                       ,PUBLIC,0556039903,0556039904,ce.0332657J@ac-bordeaux.fr,MONSIEUR BOIREAU LAURENT,MADAME CARRUESCO CATHERINE,MONSIEUR RAVON PHILIPPE,09,0330907,,0,,,,,,01/09/1984,,475,474,474,547,572,563,535,-1.145146,44.792484,COLLEGE LEGE-CAP-FERRET,,,52,B,AVENUE DE LA MAIRIE,,,33950,LEGE CAP FERRET,FRANCE
0332704K,Collège Panchon,Panchon,33012,ARSAC                                 ,PUBLIC,0556588530,0557885370,ce.0332704K@ac-bordeaux.fr,MONSIEUR DEL MEDICO PHILIPPE,MADAME ELDIN CLAIRE,MADAME VILLENEUVE CHANTAL,08,0330801,,0,,,,,,01/09/1985,,561,528,544,555,594,611,640,-0.69438297,44.989807,COLLEGE PANCHON,,,2,,ALLEE DE PANCHON,,,33460,ARSAC,FRANCE
0332706M,Collège Léo Drouyn,Léo Drouyn,33542,VERAC                                 ,PUBLIC,0557844352,0557843693,ce.0332706M@ac-bordeaux.fr,MONSIEUR JOYET FRANÇOIS,MADAME LARTIGUE NELLY,MADAME ECHEVERRIA DANIELLE,04,0330413,,0,,,,,,01/09/1985,,433,446,442,490,562,624,635,-0.3388016,44.991528,COLLEGE LEO DROUYN,,,1,,LIEU DIT LA TOUR DE VERAC,,,33240,VERAC,FRANCE
0332723F,Collège Emile Durkheim,Emile Durkheim,33321,PEUJARD                               ,PUBLIC,0557940260,0557680395,ce.0332723F@ac-bordeaux.fr,MADAME FERRANDIERE CATHERINE,MONSIEUR DRUELLE ARNAUD,MADAME DESTREM HÉLÈNE,10,0331003,,0,,,,,,01/09/1986,,325,356,379,410,476,523,571,-0.4214589,45.04325,COLLEGE EMILE DURKHEIM,,,6,,LIEU DIT MICHERE,,,33240,PEUJARD,FRANCE
0332746F,Collège Emile Combes,Emile Combes,33063,BORDEAUX                              ,PUBLIC,0556249495,0556901880,ce.0332746F@ac-bordeaux.fr,MONSIEUR BOULAGNON JEAN FRANCOIS,,MADAME DEL CORTE CHRISTELLE,01,0330108,,0,,,,,,01/09/1987,,391,394,384,396,378,394,430,-0.6094056,44.834763,COLLEGE EMILE COMBES,,,76,,RUE EMILE COMBES,,,33000,BORDEAUX,FRANCE
0332934K,Collège du Pian Sur Garonne,Le Pian Sur Garonne,33323,LE PIAN SUR GARONNE                   ,PUBLIC,0557981150,0556768433,ce.0332934K@ac-bordeaux.fr,MADAME BLATEAU-GAUZERE NATHALIE,,MONSIEUR PROVOST YANN,06,0330611,,0,,,,,,01/09/1996,,315,330,388,428,456,471,475,-0.22810443,44.569874,COLLEGE LE PIAN-SUR-GARONNE,,,1,,LIEU DIT LALIEYRE,,BP 70015,33490,LE PIAN SUR GARONNE,FRANCE
0332982M,Collège Val Des Pins,Val Des Pins,33527,LE TEICH                              ,PUBLIC,0557523333,0557523330,ce.0332982M@ac-bordeaux.fr,MONSIEUR CHAMOULAUD THIERRY,MADAME BENAMZA STEPHANIE,MADAME SAINT-RAMON ANNY,09,0330910,,0,4,,,,,01/09/1998,,561,585,592,643,657,645,643,-1.0284985,44.62374,COLLEGE VAL DES PINS,,,,,AVENUE FRANCOIS MITTERRAND,,BP 15,33470,LE TEICH,FRANCE
0333108Z,Collège Jean Moulin,Jean Moulin,33069,LE BOUSCAT                            ,PUBLIC,0556089028,0556029369,ce.0333108Z@ac-bordeaux.fr,MONSIEUR CAURET DIDIER,,MADAME GUYOU DOMINIQUE,02,0330215,,0,,,,,,01/09/2004,,368,385,396,372,346,357,377,-0.60558516,44.863354,COLLEGE JEAN MOULIN,,,1,,RUE DU PRESIDENT ALI CHEKKAL,,BP 60075,33492,LE BOUSCAT CEDEX,FRANCE
0333121N,Collège Gaston Flament,Gaston Flament,33555,MARCHEPRIME                           ,PUBLIC,0557715670,0557715671,ce.0333121N@ac-bordeaux.fr,MADAME THILLAY SUZANNE,MONSIEUR LAFORGUE OLIVIER,MADAME SIMON LABRIC GISÈLE,09,0330911,,0,,,,,,01/09/2005,,503,519,560,586,645,661,635,-0.8471712,44.697594,COLLEGE GASTON FLAMENT,,,33,,AVENUE LEON DELAGRANGE,,,33380,MARCHEPRIME,FRANCE
0333132A,Collège de Carbon-Blanc,Carbon-Blanc,33096,CARBON BLANC                          ,PUBLIC,0557771025,0556066145,ce.0333132A@ac-bordeaux.fr,MONSIEUR MARTIN FRANCK,,MONSIEUR BUGEAU CHRISTOPHE,03,0330315,,0,,,,,,01/09/2006,,482,523,558,570,538,559,552,-0.500128,44.910755,COLLEGE CARBON-BLANC,,,27,,RUE DES FUTAIES,,BP 50029,33564,CARBON BLANC CEDEX,FRANCE
0333133B,Collège de Cadaujac,Cadaujac,33080,CADAUJAC                              ,PUBLIC,0557832455,0557832456,ce.0333133B@ac-bordeaux.fr,MONSIEUR BONNET NICOLAS,MADAME CHASSEUR CATHERINE,MONSIEUR AUCHTER OLIVIER,05,0330511,,0,,,,,,01/09/2006,,459,509,521,592,614,624,636,-0.5281189,44.750816,COLLEGE CADAUJAC,,,250,,CHEMIN DU CHATEAU,,,33140,CADAUJAC,FRANCE
0333213N,Collège Marguerite Duras,Marguerite Duras,33243,LIBOURNE                              ,PUBLIC,0557840606,0557249368,ce.0333213N@ac-bordeaux.fr,MONSIEUR GORSE VINCENT,MADAME FLOREAN SANDRINE,MONSIEUR DIHAL JOËL,04,0330414,,1,2,,,,,01/09/2009,,,,599,607,599,573,587,-0.23645148,44.90468,COLLEGE MARGUERITE DURAS,,,13,,AVENUE FRANCOIS MAURIAC,,BP 240,33506,LIBOURNE CEDEX,FRANCE
0333268Y,Collège Notre Dame Du Rosaire,Notre Dame Du Rosaire,33435,ST MACAIRE                            ,PRIVE,0556634537,0556632905,,,,,06,0330604,,0,,,,,,01/09/2010,,,,,,,,,-0.23093335,44.563644,COLLEGE NOTRE DAME DU ROSAIRE,,,,,RUE DES FRERES CORDELIERS,,,33490,ST MACAIRE,FRANCE
0331532L,Collège Jeanne d'Arc,Jeanne d'Arc,33447,ST MEDARD DE GUIZIERES                ,PRIVE,0557560088,0557560089,ce.0331532L@ac-bordeaux.fr,MONSIEUR EDOUARD MOTYL,,,04,0330404,,0,,,,,,05/04/1967,,322,321,335,326,335,328,338,-0.060323633,45.01545,COLLEGE JEANNE D ARC,,,3,,PLACE DE LA FRATERNITE,,,33230,ST MEDARD DE GUIZIERES,FRANCE
0331618E,Collège Léonard Lenoir,Léonard Lenoir,33063,BORDEAUX                              ,PUBLIC,0557807616,0557802229,ce.0331618E@ac-bordeaux.fr,MADAME CAILLOT SYLVIE,,MONSIEUR GRATRAUD JEAN PIERRE,03,0330303,RRS,0,,,,,,02/04/1968,,289,295,299,292,292,290,287,-0.5532821,44.84165,COLLEGE LEONARD LENOIR,,,16,,RUE LEONARD LENOIR,,BP 24,33015,BORDEAUX CEDEX,FRANCE
0331619F,Collège Georges Lapierre,Georges Lapierre,33249,LORMONT                               ,PUBLIC,0557801025,0556317176,ce.0331619F@ac-bordeaux.fr,MONSIEUR CIRET GUILLAUME,MADAME ULYSSE FRANÇOISE,MADEMOISELLE FEUILLAS ASTRID,03,0330311,RAR,1,,,,,,02/04/1968,,489,529,503,489,452,471,497,-0.52306294,44.87459,COLLEGE GEORGES LAPIERRE,,,,,RUE PIERRE BROSSOLETTE,,BP 100,33305,LORMONT CEDEX,FRANCE
0331662C,Collège Alain Fournier,Alain Fournier,33063,BORDEAUX                              ,PUBLIC,0556961894,0556994647,ce.0331662C@ac-bordeaux.fr,MADAME CAUCHOIS MARTINE,MADAME UNEAU MARTINE,MADAME DECAP MARIE LAURE,01,0330106,,0,,,,,,03/03/1969,,601,613,617,755,740,724,695,-0.5807767,44.82792,COLLEGE ALAIN FOURNIER,,,83,,RUE SAINT GENES,,BP 80006,33023,BORDEAUX CEDEX,FRANCE
0331664E,Collège Francois Mauriac,Francois Mauriac,33449,ST MEDARD EN JALLES                   ,PUBLIC,0556050824,0556059613,ce.0331664E@ac-bordeaux.fr,MADAME ARFOUILLOUX-DUBOS M.CHRISTINE,MADAME SAVIGNAC CAROLINE,MONSIEUR CHAMPOUX ERIC,02,0330213,,0,,,,,,03/03/1969,,550,532,553,559,564,573,567,-0.71042037,44.894497,COLLEGE FRANCOIS MAURIAC,,,131,,AVENUE MONTAIGNE,,BP 56,33160,ST MEDARD EN JALLES,FRANCE
0331669K,Collège Ausone,Ausone,33069,LE BOUSCAT                            ,PUBLIC,0556507414,0556390238,ce.0331669K@ac-bordeaux.fr,MONSIEUR THOLLARD GILLES,MADAME LAPERRE MARYVONNE,MONSIEUR ANDRE SERGE,02,0330208,,1,,,,,,03/03/1969,,778,801,774,800,826,687,644,-0.5955483,44.871056,COLLEGE AUSONE,,,69,,AVENUE AUSONE,,BP 10079,33492,LE BOUSCAT CEDEX,FRANCE
0331888Y,Collège du Val de Saye,Val De Saye,33492,ST YZAN DE SOUDIAC                    ,PUBLIC,0557589118,0557589961,ce.0331888Y@ac-bordeaux.fr,MADAME MAURIN MARIE-ANNICK,MONSIEUR HELLER FRANÇOIS,MADAME LACOMBE EVELYNE,10,0331006,RRS,0,1,,,,,04/02/1971,,664,684,716,717,711,700,733,-0.41085854,45.139248,COLLEGE DU VAL DE SAYE,,,2,,RUE DU COLLEGE,,,33920,ST YZAN DE SOUDIAC,FRANCE
0331895F,Collège Montaigne,Montaigne,33249,LORMONT                               ,PUBLIC,0556061267,0557773650,ce.0331895F@ac-bordeaux.fr,MONSIEUR LASCAUX CHRISTIAN,MADAME LABASTE NADINE,MADAME MADELEINE NADINE,03,0330312,RAR,0,,,,,,19/04/1971,,354,341,338,321,281,277,297,-0.5159848,44.8743,COLLEGE MONTAIGNE,,,1,,RUE MICHEL DE MONTAIGNE,,BP 29,33305,LORMONT CEDEX,FRANCE
0332085M,Collège Jean Auriac,Jean Auriac,33015,ARVEYRES                              ,PUBLIC,0557248099,0557248674,ce.0332085M@ac-bordeaux.fr,MADAME SAINT ANDRE DOROTHÉE,MADAME DODIER MARIE FRANÇOISE,MADAME LOUALI NICOLE,04,0330401,,0,,,,,,23/02/1972,,466,504,506,536,572,594,614,-0.28538653,44.883568,COLLEGE J.AURIAC,,,4,,RUE DE PEYTOT,,BP 4,33500,ARVEYRES,FRANCE
0332187Y,Collège Hastignan,Hastignan,33449,ST MEDARD EN JALLES                   ,PUBLIC,0556051397,0556700223,ce.0332187Y@ac-bordeaux.fr,MONSIEUR GREZES OLIVIER,MONSIEUR MAZOUAUD JEAN FRANÇOIS,MADAME BORDES LISETTE,02,0330212,,1,,,,,,02/04/1973,,807,804,839,896,876,894,918,-0.74547565,44.893158,COLLEGE HASTIGNAN,,,,,AVENUE ANATOLE FRANCE,,BP 89,33166,ST MEDARD EN JALLES CEDEX,FRANCE
0332191C,Collège Gérard Philipe,Gérard Philipe,33318,PESSAC                                ,PUBLIC,0556151250,0556457941,ce.0332191C@ac-bordeaux.fr,MADAME CHARLEMARTY NICOLE,MADAME SAINT MACARY NADINE,MONSIEUR JOUX PHILIPPE,07,0330710,,1,,,,,,02/04/1973,,385,382,368,400,415,395,409,-0.6230517,44.79936,COLLEGE GERARD PHILIPE,,,31,,AVENUE PIERRE CORNEILLE,,,33600,PESSAC,FRANCE
