Id,DATE_DERNIERE_MAJ,TYPE,CATEGORIE,SPECIALITES,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,CHAINES,LOGIS_CLASSEMENT,NBRE_MAX_COUVERTS,OUVERTURE,TARIFS,EQUIPEMENTS,SERVICES
"RESAQU024FS000II","12/01/2015","Hôtel restaurant","Restaurant traditionnel","Cuisine gastronomique # Cuisine traditionnelle"," L'Ecluse","","","Route de limoges","","24420","ANTONNE-ET-TRIGONANT","24011","+33 5 53 06 00 04","","www.ecluse-perigord.com","0.8362745","45.2182518","","","","","","200","","Menu adulte|19,50|33,00| # A la carte|6,00|15,50| # Menu enfant|10,00|16,00|","Ascenseur # Parc # Parking privé # Terrasse # Wifi","Banquet # Point wifi # Séminaire"
"RESAQU024FS000L6","11/02/2015","Restaurant","Restaurant traditionnel","Cuisine traditionnelle # Régionale française"," Les Terrasses de Lascaux","","","","La grande Béchade","24290","MONTIGNAC","24291","+33 5 53 42 31 83","","","1.16764068","45.054606","Oui","","","Tables et Auberges de France","","70","05/01/2015|23/12/2015|||||","Menu adulte|12,00||Formule ""express"" du midi # Menu adulte|22,00|28,00|Menu des Terrasses # Menu adulte|45,00||Menu ""Truffes""","Bar # Jardin # Jeux pour enfants # Parc # Parking privé # Terrasse","Banquet # Point wifi # Séminaire # Traiteur"
"RESAQU064FS000K7","30/05/2015","Restaurant","Restaurant traditionnel","Cuisine méditerranéenne # Poisson / fruits de mer"," Mona Lisa Caffé-Ristorante-Pizzeria","","","54-56 quai des Corsaires","","64100","BAYONNE","64102","+33 5 59 59 48 31","",""," -1.4737401","43.4920049","","","","","","76","01/01/2015|31/12/2015|12:00|14:30|19:00|22:30|","Menu adulte|9,50|14,90| # Menu enfant|8,50|8,50|","Bar # Terrasse","Plats à emporter # Séminaire"
"RESAQU064FS0011S","02/01/2015","Restaurant","Bistrot / bar à vin # Brasserie","Tapas"," Victoria (Le)","","","2 Avenue de la Reine Victoria","","64200","BIARRITZ","64122","+33 5 59 51 14 90","",""," -1.5565337","43.4851609","","","","","","","01/01/2015|31/12/2015|10:00|16:00|19:00|22:30|","","Terrasse",""
"RESAQU064FS001C5","16/01/2015","Restaurant","Restaurant traditionnel","Cuisine traditionnelle # Régionale française","""Chez Salis"" Les Routiers","","","Route de Bordeaux","","64121","SERRES-CASTET","64519","+33 5 59 33 91 06","",""," -0.3801441","43.3902358","Oui","","","","","120","","","Bar # Climatisation # Parking privé","Banquet"
"RESAQU024FS0002V","23/01/2015","Restaurant","Brasserie","Cuisine traditionnelle # Sandwichs","""Le Bistrot du Marché"" Chez Evy ","","","","6 rue Jean Jaurès","24800","THIVIERS","24551","+33 5 53 55 02 43","","","0.92064142","45.4147501","Oui","","","","","30","02/01/2015|31/12/2015|07:00|17:00|||Dimanche - Lundi","","Bar # Terrasse","Plats à emporter"
"RESAQU024FS000JU","02/01/2015","Restauration ambulante / Vente à emporter ","Restauration rapide","Sandwichs","""Le Synia"" Kebab","4 rue Fénelon
","","","","24600","RIBERAC","24352","","+33 6 82 69 15 98","","0.3381334","45.2470016","","","","","","","","","",""
"RESAQU024FS000K0","02/01/2015","","Restauration rapide","","""Qu'est ce qu'on mange?""","rue Achille Simon
","","","","24600","RIBERAC","24352","+33 5 53 91 37 92","","","","","","","","","","","","","",""
"RESAQU064V5058JI","02/01/2015","Restaurant","Restaurant traditionnel","Cuisine traditionnelle","14 quai Bergeret","","","14 quai Bergeret","","64100","BAYONNE","64102","+33 5 59 52 37 12","",""," -1.4681554","43.4934343","Oui","","","","","","","","",""
"RESAQU064FS000P8","02/01/2015","Restaurant","Restaurant à thème","Cuisine sud-américaine","3 Salsas (les)","","","5 rue Harispe","","64200","BIARRITZ","64122","+33 5 59 23 04 53","",""," -1.5642687","43.4742321","","","","","","","01/01/2015|31/12/2015|||19:00|02:00|","A la carte|12,00|16,00|","Terrasse",""
"RESAQU033FS000H9","02/01/2015","Restaurant","Brasserie","Cuisine traditionnelle","5th Avenue","9 avenue Gambetta
","","","","33120","ARCACHON","33009","+33 5 56 83 05 17","",""," -1.1686074","44.6619419","","","","","","90","01/01/2015|31/12/2015|||||","A la carte|5,00|20,00|Assiette de Tapas","Bar # Terrasse # Wifi","Banquet # Point wifi"
"RESAQU040FS000KR","28/05/2015","Restaurant","Restaurant traditionnel","Salades # Sandwichs # Tapas # Viandes","5th Avenue Burger and Co","","","155  Avenue de la Plage","","40600","BISCARROSSE PLAGE","40046","+33 5 58 78 33 82","","www.5thavenuebiscarrosse.fr"," -1.2539863","44.4447340","Oui","","","","","","01/03/2015|31/10/2015|||||","","Bar # Terrasse",""
"RESAQU064V507T3G","28/03/2015","Restaurant","Restaurant à thème","Cuisine asiatique","7 et 7 ","","","5 rue Nogué ","","64000","PAU","64445","+33 5 24 89 30 83","",""," -0.3704132","43.2996187","Oui","","","","","34","02/01/2015|31/01/2015|07:00|19:00|||Dimanche","A la carte|8,50|12,00|","Climatisation","Point wifi"
"RESAQU064V508RPV","22/05/2015","Restaurant","Restaurant à thème","Cuisine européenne","A casa Lusitania","24 rue d'Espagne
","","","","64200","BIARRITZ","64122","+33 5 59 22 56 99","",""," -1.5649849","43.4759314","Oui","","","","","30","01/01/2015|31/12/2015|||||Dimanche soir - Lundi soir - Mardi","","Bar","Banquet # Point wifi"
"RESAQU047FS0009O","13/01/2015","Restaurant","Restaurant traditionnel","Cuisine asiatique","A Dong","","","24 rue de la République","","47500","FUMEL","47106","+33 5 53 71 10 31","+33 7 70 16 30 52","","0.9678309","44.4978574","Oui","","","","","50","01/01/2015|30/06/2015|||||Lundi # 01/07/2015|31/08/2015|12:00|14:00|19:00|22:00| # 01/09/2015|31/12/2015|||||Lundi","Menu adulte|11,40|11,40|le midi sauf samedi et dimanche # Menu adulte|17,90|19,90|le soir # A la carte|22,00|22,00|vin compris # Menu enfant|7,90|7,90|plat + boisson + dessert","","Banquet # Plats à emporter"
"RESAQU064FS000JR","06/05/2015","Restaurant","Crêperie","Régionale française","A La Bolée","","","10 place pasteur","","64100","BAYONNE","64102","+33 5 59 59 18 75","","www.alabolee.com"," -1.4769721","43.4907313","","","","","","46","01/01/2015|31/12/2015|12:00|||22:00|","Menu adulte|12,00|16,00|Panier moyen","Terrasse",""
"RESAQU064FS001J4","02/01/2015","Restaurant","Brasserie","Cuisine traditionnelle # Salades","A la bonne Franquette","","","10 avenue de la Gare","","64200","BIARRITZ","64122","+33 5 59 23 49 24","","","","","","","","","","","01/01/2015|31/12/2015|||||","A la carte|13,00|26,00|HORS BOISSONS # Menu adulte|9,00|26,00|HORS BOISSONS # Menu enfant|9,00|26,00|BOISSON COMPRISE","Terrasse",""
"RESAQU033V500JP3","15/04/2015","Restaurant","Restaurant traditionnel","Poisson / fruits de mer","A la Bonne Franquette","Cabane n°8 Port de Claouey
","Claouey","","","33950","LEGE-CAP FERRET","33236","+33 5 56 60 72 06","",""," -1.1798610","44.7465080","","","","","","","01/05/2015|15/09/2015|||||","","",""
"RESAQU024V50325V","01/04/2015","Restaurant","Brasserie","Cuisine traditionnelle # Glaces","A la guinguette du Pont de Vicq","","","","Le Pont de Vicq","24480","LE BUISSON-DE-CADOUIN","24068","+33 5 53 22 04 10","","www.restaurantbardupontdevicq.com","0.90909850","44.8551472","Oui","","","Les Toques du Périgord","","60","01/04/2015|30/09/2015|||||","Menu adulte|20,90||Assiettes repas à partir ","Bar # Jeux pour enfants # Parking privé # Terrasse",""
"RESAQU064FS00092","28/05/2015","Restaurant","Grill","Cuisine traditionnelle","A La Maison","","","28 Rue Amédée Roussille","","64000","PAU","64445","+33 5 59 06 85 25","","http://www.restaurantalamaison.com"," -0.3825484","43.2934595","","","","","","90","06/01/2015|31/12/2015|12:00|14:00|19:30|22:00|Dimanche - Lundi","A la carte|30,00|40,00|","Climatisation # Terrasse",""
"RESAQU033FS000AS","20/01/2015","Restaurant","Restaurant traditionnel","Cuisine gastronomique # Poisson / fruits de mer # Régionale française","A la P'tite Assiette","Résidence du Vieux Marché
","21 rue Pasteur","","","33510","ANDERNOS-LES-BAINS","33005","+33 5 56 82 59 90","","www.laptiteassiette-andernos.com"," -1.0987384","44.7411977","Oui","","","","","18","01/01/2015|31/12/2015|||||Jeudi - Mercredi","A la carte|8,00|29,00| # Menu adulte|17,50|27,50|","Climatisation # Terrasse",""
"RESAQU024FS000D7","02/01/2015","Restaurant","Brasserie # Restaurant traditionnel # Restauration rapide","Glaces # Régionale française # Sandwichs # Tapas","A l'ancre de salut","","","Place du port","","24510","LIMEUIL","24240","+33 5 53 63 39 23","","","0.8885013","44.8841735","Non","","","","","40","","","Bar # Terrasse","Plats à emporter"
"RESAQU024FS00039","23/01/2015","Restaurant","Restaurant traditionnel","Cuisine traditionnelle # Nouvelle cuisine française","A Table","","","","1 Place du Vieux Pont","24800","SAINT-JEAN-DE-COLE","24425","+33 5 53 62 18 90","","","0.83761096","45.4216634","Oui","","","","","20","","","Bar # Terrasse # Wifi","Point wifi"
"RESAQU064FS0019P","06/05/2015","Restaurant","Restaurant traditionnel","Cuisine traditionnelle","A Table!","","","27 quai Amiral Dubourdieu","","64100","BAYONNE","64102","+33 5 59 56 79 22","+33 6 50 94 45 36","www.atablebayonne.com"," -1.4744518","43.4918718","","","","","","","01/01/2015|31/12/2015|12:00|13:30|19:00|21:00|Dimanche - Lundi - Samedi après midi - Samedi soir","Menu adulte|12,00|15,00|le midi en semaine # A la carte|12,00|25,00|","",""
"RESAQU064FS00104","19/03/2015","Hôtel restaurant","Restaurant traditionnel","Cuisine traditionnelle","Abaca Ypua","","","Rue de la Chapelle","","64210","BIDART","64125","+33 5 59 54 93 11","","www.hotel-restaurant-ypua.com"," -1.5892016","43.4336340","","","","","","60","01/01/2015|31/12/2015|||||","","Terrasse",""
"RESAQU064FS000FB","02/01/2015","Hôtel restaurant","Restaurant traditionnel","Cuisine traditionnelle # Régionale française","Achafla Baita","","","Quartier Mortzelay","","64310","ASCAIN","64065","+33 5 59 54 00 30","","www.hotel-achafla-baita.com "," -1.6358953","43.3393107","Oui","","","","","250","","","Bar # Climatisation # Jardin # Parking privé # Terrasse","Banquet # Séminaire"
"RESAQU040FS0008D","03/03/2015","Hôtel restaurant","Rôtisserie","Cuisine traditionnelle","Acq's hôtel","","","6 avenue de la Gare","","40100","DAX","40088","+33 5 58 56 89 86 # +33 5 58 90 02 62","",""," -1.0500194","43.7202137","Oui","","","","","","","","",""
"RESAQU064FS000JS","21/01/2015","Restaurant","Restaurant à thème","Cuisine africaine","Agadir","","","3 rue Sainte Catherine","","64100","BAYONNE","64102","+33 5 59 55 66 56","",""," -1.4691780","43.4957107","","","","","","100","","","Terrasse","Banquet # Séminaire # Traiteur"
"RESAQU064FS000EB","22/05/2015","Restaurant","Restaurant traditionnel","Poisson / fruits de mer # Régionale française # Tapas # Viandes","Aguerria","","","23 rue de la Glacière","","64700","HENDAYE","64260","+33 5 59 20 04 76","","www.restaurant-aguerria.com "," -1.7480814","43.3726676","Oui","","","","","500","01/01/2015|31/12/2015|||||","","Bar # Jardin # Parking privé # Terrasse","Banquet # Point wifi # Séminaire"
"RESAQU064FS001SP","02/01/2015","Restaurant","Restaurant traditionnel","Nouvelle cuisine française","Ahizpak","","","Avenue de Biarritz","","64210","BIDART","64125","+33 5 59 22 58 81","",""," -1.5741350","43.4516300","","","","","","","","","Terrasse",""
"RESAQU064FS000DI","11/05/2015","Restaurant","Restaurant traditionnel","Cuisine traditionnelle","Aintzira","9 rue Charles Cami
","","","Quartier du Lac","64310","SAINT-PEE-SUR-NIVELLE","64495","+33 5 59 54 12 22","","www.aintzira.com"," -1.5273635","43.3453739","","","","","","120","01/01/2015|31/12/2015|12:15|14:30|19:15|21:30|","Menu enfant|6,50|6,50|","","Point wifi"
"RESAQU033FS001JR","22/01/2015","Restaurant","Restaurant traditionnel","Régionale française","Air de Famille","15 rue Albert Pitres
","","","","33000","BORDEAUX","33063","+33 5 56 52 13 69","",""," -0.5751063","44.85192","Oui","","","","","","01/01/2015|31/12/2015|12:00|14:00|19:30|21:00|Dimanche - Lundi","","Climatisation # Wifi","Point wifi"
"RESAQU064FS001HW","02/01/2015","Restaurant","Bistrot / bar à vin # Restauration rapide # Salon de thé","Cuisine traditionnelle # Fromagerie # Salades # Sandwichs # Tartes","Akoka","Maison Ezkertegia
","","","","64310","SARE","64504","+33 5 40 07 58 55","","www.akoka-sara.com"," -1.5803655","43.3121440","Oui","","","","","20","01/04/2015|01/11/2015|||||","","",""
"RESAQU047FS0000S","02/01/2015","Restaurant","Pizzeria","Cuisine méditerranéenne # Cuisine traditionnelle","Al Dente","","","11 rue Molinier","","47000","AGEN","47001","+33 5 53 48 03 32","","","0.6187444","44.2058614","","","","","","36","","","Terrasse",""
"RESAQU064FS000PC","02/01/2015","Restaurant","","Cuisine méditerranéenne","Al Dente","","","13 rue Gambetta","","64200","BIARRITZ","64122","+33 5 59 22 54 66","",""," -1.5628355","43.4816915","","","","","","","01/01/2015|31/12/2015|12:00|||22:00|","A la carte|9,00||Plat du Jour # Menu adulte|13,00||","Terrasse",""
"RESAQU033FS001CW","14/04/2015","Restaurant","Restaurant à thème","Cuisine méditerranéenne","Al Fantasia","Zone d'Activités Artisanale Nouvelle
","11 rue Hapchot","","","33980","AUDENGE","33019","+33 5 57 17 31 40","",""," -0.9844350","44.6945896","Oui","","","","","","01/01/2015|31/12/2015|12:00|13:30|19:00|21:30|Lundi","","",""
"RESAQU064FS000BW","11/05/2015","Restaurant","Pizzeria # Restauration rapide # Rôtisserie","Cuisine traditionnelle","Al forno","","","45 avenue de la gare","","64800","COARRAZE","64191","+33 5 59 13 42 46","",""," -0.2426441","43.1805569","Oui","","","","","36","","","Bar # Terrasse",""
"RESAQU064V5058NI","02/01/2015","Restaurant","Restaurant traditionnel","Cuisine traditionnelle","Al koutoubia","","","15 rue Ulysse Darracq","","64100","BAYONNE","64102","+33 5 59 50 10 64","",""," -1.4679002","43.494843","Oui","","","","","","","","",""
"RESAQU024V500KPB","02/01/2015","Restaurant","Restaurant à thème","Cuisine casher","AL MOSAIC","94 BIS AVENUE DU MARECHAL JUIN
","","","","24000","PERIGUEUX","24322","","","","0.7096558","45.1848276","","","","","","","","","",""
"RESAQU047FS000KF","09/03/2015","Restaurant","Restaurant à thème","Cuisine bio # Cuisine méditerranéenne # Cuisine végétarienne","Aldayaa - Restaurant libanais","","","25 place des Arcades","","47150","MONFLANQUIN","47175","+33 9 64 06 15 55","","","0.7685819","44.5327523","Oui","","","","","28","01/01/2015|30/06/2015|12:00|13:30|19:00|20:30|Lundi - Mardi - Mercredi # 01/07/2015|31/08/2015|12:00|14:00|19:00|21:30|Lundi - Mardi # 01/09/2015|31/12/2015|12:00|13:30|19:00|20:30|Lundi - Mardi - Mercredi","Menu adulte|12,90|26,00| # Menu enfant||12,00|","Terrasse","Traiteur"
"RESAQU064V5058O0","02/01/2015","Restauration ambulante / Vente à emporter ","Restauration rapide","Cuisine traditionnelle","Ali Baba","","","1 rue Sainte Ursule","","64100","BAYONNE","64102","+33 5 59 50 28 92","",""," -1.4707846","43.4960854","Oui","","","","","","","","",""
"RESAQU040FS000AF","15/04/2015","Hôtel restaurant","Restaurant traditionnel","Cuisine traditionnelle # Poisson / fruits de mer # Régionale française","Alios ","","","129 avenue de la forêt de Maucor","","40500","BAS-MAUCO","40026","+33 5 58 76 44 00","","www.hotel-alios.com"," -0.5605602","43.7917293","Oui","","","","","150","01/01/2015|31/12/2015|11:45|14:00|19:30|21:00|Dimanche","Menu adulte|12,00|20,00|12 : menu du jour uniquement le midi du lundi au vendredi.  # Menu enfant|8,50|11,00|","Bar # Jeux pour enfants # Parking privé # Terrasse","Banquet # Séminaire"
"RESAQU033V5015QV","27/03/2015","Restauration ambulante / Vente à emporter ","Pizzeria","Cuisine européenne","Allo Pizz","39 avenue de la Côte d'Argent
","","","","33470","LE TEICH","33527","+33 5 56 22 66 63","","www.allopizzleteich.fr"," -1.0205159","44.6325865","","","","","","","01/01/2015|31/12/2015|||||Dimanche midi - Lundi","A la carte|6,80|12,10|","",""
"RESAQU024V500KRA","02/01/2015","Restaurant","Pizzeria","Cuisine méditerranéenne","ALLO SOS PIZZA","4 COURS FENELON
","","","","24000","PERIGUEUX","24322","","","","0.7199598","45.1821039","","","","","","","","","",""
"RESAQU064V5058RK","02/01/2015","Restaurant","Restaurant traditionnel","Cuisine traditionnelle","Alter Ego","","","11 rue des cordeliers","","64100","BAYONNE","64102","+33 9 51 49 42 72","",""," -1.4736880","43.4893075","Oui","","","","","","","","",""
"RESAQU064V501H35","11/02/2015","Restaurant","Restaurant traditionnel","Cuisine traditionnelle","Alzate","","","Rue principale","","64250","AINHOA","64014","+33 5 59 29 77 15","","","37.269812","50.7230144","Oui","","Maître Restaurateur","","","170","15/02/2015|30/11/2015|12:00|13:30|||Mardi","Menu adulte|18,00|22,00|","Bar # Terrasse",""
"RESAQU024V500KPC","02/01/2015","Restaurant","Restaurant à thème","Cuisine casher","AMADEUS","11 RUE AUBERGERIE
","","","","24000","PERIGUEUX","24322","","","","0.7212083","45.1824101","","","","","","","","","",""
"RESAQU033FS001D5","11/02/2015","Restaurant","Restaurant à thème # Restaurant traditionnel","Poisson / fruits de mer","Amarine","37 avenue J.F. Kennedy
","","","","33700","MERIGNAC","33281","+33 5 56 34 23 24","","www.amarine.fr/amarine_restaurant.asp?idRestaurant=307&isPlan=1"," -0.6673876","44.8337484","Oui","","Maître Restaurateur","","","176","01/01/2015|31/12/2015|11:45|14:30|18:45|22:30|","A la carte|15,00|30,00|","Parking privé",""
"RESAQU064FS000C0","06/05/2015","Restaurant","Restaurant traditionnel","Régionale française","Amarys","","Aéroport de Parme","45 Boulevard Marcel Dassault","","64200","BIARRITZ","64122","+33 5 59 01 04 04","","www.amarys-biarritz.com"," -1.5441966","43.4636797","Oui","","Maître Restaurateur # Qualité Tourisme","","","70","01/04/2015|31/10/2015|12:00|14:00|19:30|22:00| # 01/11/2014|31/03/2015|12:00|14:00|19:30|22:00|","Menu adulte|14,50||formule express le midi # Menu adulte|19,50||","Parking privé # Terrasse","Point wifi"
"RESAQU064FS0015U","05/02/2015","Restaurant","Restaurant à thème","Cuisine asiatique","Andong Meas","","","7 rue de Foix","","64000","PAU","64445","+33 5 59 27 75 15","",""," -0.3720896","43.2949280","","","","","","36","01/01/2015|31/12/2015|||||","","",""
"RESAQU064V5058RF","02/01/2015","Restaurant","Restaurant traditionnel","Cuisine traditionnelle","Aparté","","","12 rue des cordeliers","","64100","BAYONNE","64102","+33 5 59 55 97 05","",""," -1.4734101","43.4892282","Oui","","","","","","","","",""
"RESAQU024V500KW3","02/01/2015","Restaurant","Pizzeria # Restauration rapide","Salades","APPEL PIZZA","48 RUE CHANZY
","","","","24000","PERIGUEUX","24322","","","","0.7107758","45.1845960","","","","","","","","","",""
"RESAQU040FS0006P","02/01/2015","Restaurant","Crêperie # Grill","Glaces # Viandes","Après la plage","","","87 rue des huitriers","Contis-Plage","40170","SAINT-JULIEN-EN-BORN","40266","+33 5 58 42 72 80","+33 6 40 95 39 38",""," -1.3206312","44.0918464","Oui","","","","","","01/04/2015|30/09/2015|||||","","",""
"RESAQU064FS00224","16/05/2015","Restaurant","Cafétéria","Cuisine traditionnelle","Aquarelle","","CC Géant","21 avenue Didier Daurat - RN 134","","64140","LONS","64348","+33 5 59 92 04 11","",""," -0.3805811","43.3281650","Oui","","","","","","02/01/2015|30/04/2015|09:00|||21:00|","A la carte|5,00|10,50|","",""
"RESAQU064V5058M0","02/01/2015","Restaurant","Restaurant traditionnel","Cuisine traditionnelle","Arayor","","","8 rue Sainte Catherine","","64100","BAYONNE","64102","+33 5 59 55 17 82","",""," -1.4689166","43.4954059","Oui","","","","","","","","",""
"RESAQU040FS00063","11/02/2015","Hôtel restaurant","Restaurant traditionnel","Cuisine traditionnelle","Arc en Ciel","266 Allée de Christus
","","Hôtel du Lac Brithotel","","40990","SAINT-PAUL-LES-DAX","40279","+33 5 58 90 63 00","","http://hotel-dax.brithotel.fr/"," -1.0646269","43.7293532","Oui","","","","","100","01/03/2015|28/11/2015|12:00|14:00|19:15|21:30|","|16,00|26,00| # Menu enfant|8,00||","Ascenseur # Bar # Climatisation # Parking privé # Wifi","Banquet # Séminaire"
"RESAQU033FS000IB","02/01/2015","Restaurant","Restaurant à thème","Cuisine indienne","Arcca","39 rue Maréchal de Lattre de Tassigny
","","","","33120","ARCACHON","33009","+33 5 57 52 00 42","",""," -1.172571","44.660383","Oui","","","","","55","01/01/2015|31/12/2015|||||","Menu adulte|12,50|27,00|","Terrasse","Banquet # Traiteur"
"RESAQU033FS001JT","22/01/2015","Restaurant","Restaurant à thème","Cuisine asiatique","Arc-en-Ciel","3 impasse du Couvent
","","","","33000","BORDEAUX","33063","+33 5 56 81 06 79","",""," -0.5710799","44.8516229","Oui","","","","","","01/01/2015|31/12/2015|||20:00|22:00|Dimanche - Lundi","A la carte|15,00|30,00|","Climatisation # Terrasse","Point wifi"
"RESAQU064FS000OF","03/04/2015","Hôtel restaurant","Restaurant traditionnel","Cuisine traditionnelle","Argia","","","32 rue Jean Lissar","","64240","HASPARREN","64256","+33 5 59 29 60 24","",""," -1.3071588","43.3835917","","","Maître Restaurateur","","","","01/01/2015|31/12/2015|||||","","",""
"RESAQU064FS000IB","11/02/2015","Hôtel restaurant","Restaurant traditionnel","Cuisine gastronomique","Argi-Eder","","","Route de la Chapelle","","64250","AINHOA","64014","+33 5 59 93 72 00","","www.argi-eder.com"," -1.4989180","43.3067640","","","Maître Restaurateur # Qualité Tourisme","Tables et Auberges de France","","","02/04/2015|01/11/2015|12:30|13:45|19:30|21:00|","Menu adulte|31,00|69,00|","Climatisation # Parking privé # Terrasse",""
"RESAQU064FS000KC","21/01/2015","Restaurant","Brasserie # Crêperie","Cuisine traditionnelle # Cuisine végétarienne # Régionale française","Arnaud Crêperie Restaurant ","","","49-51 rue des faures","","64100","BAYONNE","64102","+33 5 59 42 20 91","",""," -1.4786471","43.4906229","","","","","","40","","","Terrasse","Banquet # Point wifi # Séminaire"
