Filière,Raison sociale,SIRET,Immatriculation,Code NAF,Catégorie d'acteur,Type de déclarant,Adresse 1,Adresse 2,Adresse 3,Code Dept,Code Région,CP,Ville,Pays
DBPS,BIRDYFISH,84242146300014,FR028020,3012Z,Déclarant individuel,Producteur,9  quai Rageot de la Touche,,,44,52,44500,LA BAULE,FRANCE
DBPS,BM SOUDURE,45280011300000,FR028162,3012Z,Déclarant individuel,Producteur,17  bis rue des sources,,,14,28,14400,SOMMERVIEU,FRANCE
DBPS,BOMBARDIER RECREATION PRODUCTS FRANCE,48259653300026,FR028067,4649Z,Déclarant individuel,Producteur,Arteparc - Bat B Route de la Côte d'Azur,,,13,93,13590,MEYREUIL,FRANCE
DBPS,BRUNSWICK MARINE IN EMEA,421703441,FR027996,NULL,Déclarant individuel,Producteur,Parc Industriel de Petit-Rechain,8 avenue Mercury,,,,4800,VERVIERS,BELGIQUE
DBPS,BULLES PASSION PLONGEE / BATEAU PLONGEE,44041205400023,FR028027,3012Z,Déclarant individuel,Producteur,Lot 17 cellule a3 Pl carre du port,,,83,93,83250,LA LONDE LES MAURES,FRANCE
DBPS,CATWAY,49863684400025,FR028047,4764Z,Déclarant individuel,Producteur,Rue d'Artimon,ZA des Minimes,,17,75,17000,LA ROCHELLE,FRANCE
DBPS,CHAMPION MARINE SAM,47000014497,FR028052,NULL,Déclarant individuel,Producteur,9  avenue J.F. Kennedy,,,,,98000,MONACO,MONACO
DBPS,CHANTIER CATANA SAS,44981176900016,FR028045,3012Z,Déclarant individuel,Producteur,Zone Technique du Port,,,66,76,66140,CANET EN ROUSSILLON,FRANCE
DBPS,CHANTIER NAVAL DELAVERGNE SAS,39028422200010,FR028031,3012Z,Déclarant individuel,Producteur,Zone Artisanale la Belle Etoile,,,85,52,85440,AVRILLE,FRANCE
DBPS,CHANTIER NAVAL DU REDO,53414241900025,FR028055,3315Z,Déclarant individuel,Producteur,3  impasse de Gabier,,,56,53,56640,ARZON,FRANCE
DBPS,CHANTIER NAVAL LATITUDE 46,81089915300011,FR027999,3012Z,Déclarant individuel,Producteur,rue Elie Barreau,,,17,75,17000,LA ROCHELLE,FRANCE
DBPS,CHANTIER NAVAL SIMONS,39367498100021,FR028050,3315Z,Déclarant individuel,Producteur,105  route du Littoral,,,83,93,83310,GRIMAUD,FRANCE
DBPS,CHANTIERS AMEL,31378165000012,FR028009,3012Z,Déclarant individuel,Producteur,8 rue Joseph Cugnot,,,17,75,17183,PERIGNY CEDEX,FRANCE
DBPS,CONSTANCE BOAT,49477738600017,FR028064,4764Z,Déclarant individuel,Producteur,30 rue du Port,,,30,76,30220,AIGUES MORTES,FRANCE
DBPS,CONSTRUCTION NAVALE BORDEAUX - CNB,34201239000023,FR027998,3012Z,Déclarant individuel,Producteur,162  quai de Brazza,,,33,75,33072,BORDEAUX CEDEX,FRANCE
DBPS,CONSTRUCTIONS NAUTIQUES NICOL'S YACHTS,33857637400015,FR028062,7721Z,Déclarant individuel,Producteur,Route de Cholet - Le Puy Saint Bonnet,,,49,52,49300,CHOLET,FRANCE
DBPS,DUBOURDIEU SERVICES,43267889400010,FR028012,3012Z,Déclarant individuel,Producteur,BP 11 Port de Larros,,,33,75,33470,GUJAN MESTRAS,FRANCE
DBPS,DUFOUR YACHTS,95059642900015,FR028003,3012Z,Déclarant individuel,Producteur,11  rue Blaise Pascal ZI,,,17,75,17187,PERIGNY CEDEX,FRANCE
DBPS,ECOCONCEPT MARINE,80370567200035,FR028059,3012Z,Déclarant individuel,Producteur,ZA de l'ardie Route de Saint Martin des Monts,,,72,52,72400,LA FERTE BERNARD,FRANCE
DBPS,FOUNTAINE PAJOT,30730989800020,FR028004,3012Z,Déclarant individuel,Producteur,ZI Fief Girard,,,17,75,17290,AIGREFEUILLE D AUNIS,FRANCE
DBPS,FRANCQUEVILLE,75179671500033,FR028033,3012Z,Déclarant individuel,Producteur,ZI de la Plaine de Caire 4 325  rue des Safranes,,,13,93,13830,ROQUEFORT LA BEDOULE,FRANCE
DBPS,FRAUSCHER France SAS,85175453100016,FR028163,4614Z,Déclarant individuel,Producteur,5  allée d'Helsinki,,,67,44,67300,SCHILTIGHEIM,FRANCE
DBPS,FRENCH BOAT MARKET,39302458300022,FR028002,4649Z,Déclarant individuel,Producteur,Port de la Rague,,,06,93,06210,MANDELIEU LA NAPOULE,FRANCE
DBPS,GARCIA YACHTING,52277021300018,FR027997,3012Z,Déclarant individuel,Producteur,420  rue de la Pyrotechnie,,,50,28,50100,CHERBOURG EN COTENTIN,FRANCE
DBPS,HICA BOATS,78921796500043,FR028043,4764Z,Déclarant individuel,Producteur,5511 Chemin de la Muscatelle,,,13,93,13790,CHATEAUNEUF LE ROUGE,FRANCE
DBPS,HOBIE CAT,75341606400024,FR028041,3012Z,Déclarant individuel,Producteur,800  avenue du Docteur Calmette,,,83,93,83078,TOULON Cedex 9,FRANCE
DBPS,HUSSON MARINE,48813680500014,FR028056,3315Z,Déclarant individuel,Producteur,16  rue des petits champs,,,35,53,35400,ST MALO,FRANCE
DBPS,IDB MARINE,48334158200011,FR028057,3012Z,Déclarant individuel,Producteur,route du phare de Pouldohan,,,29,53,29910,TREGUNC,FRANCE
DBPS,J COMPOSITE,52117111600028,FR028036,3012Z,Déclarant individuel,Producteur,1  allée Titouan Lamazou,,,85,52,85109,LES SABLES D OLONNE CEDEX,FRANCE
DBPS,JET MARINE,35387144500030,FR028143,3012Z,Déclarant individuel,Producteur,150  rue des Mouettes,,,29,53,29200,BREST,FRANCE
DBPS,JOKER BOAT SRL,2625440694,FR028060,NULL,Déclarant individuel,Producteur,Via s. maria 98,,,,,20093,Cologno Monzese MI,ITALIE
DBPS,KAWASAKI MOTORS EUROPE NV,44139396400024,FR028021,4540Z,Déclarant individuel,Producteur,Rond Point de L'Epine des Champs,PA de la Clé St Pierre,,78,11,78996,ELANCOURT CEDEX,FRANCE
DBPS,L'ONDE MARINE,51090845200020,FR028013,3315Z,Déclarant individuel,Producteur,1944  avenue de Toulon,,,83,93,83260,LA CRAU,FRANCE
DBPS,LA PABOUK COMPAGNIE,84329514800012,FR028048,3012Z,Déclarant individuel,Producteur,42  route de Benodet,,,29,53,29950,GOUESNACH,FRANCE
DBPS,LES ATELIERS DE L'ATLANTIQUE SAS,83835171600025,FR028054,3012Z,Déclarant individuel,Producteur,7  rue Bernard Palissy,,,33,75,33510,ANDERNOS LES BAINS,FRANCE
DBPS,LOMAC NAUTICA SRL,4649400159,FR028015,NULL,Déclarant individuel,Producteur,via Bruno Buozzi 26,,,,,20097,SAN DONATO MILANESE,ITALIE
DBPS,MARINE AZUR DIFFUSION,75059409500010,FR028029,4791B,Déclarant individuel,Producteur,2  place Ortoli,,,83,93,83700,ST RAPHAEL,FRANCE
DBPS,MARSAUDON COMPOSITES,42273286700029,FR028038,3012Z,Déclarant individuel,Producteur,BSM de Keroman,,,56,53,56100,LORIENT,FRANCE
DBPS,MISS CAT PERFORMANCE,49499945100011,FR028034,3012Z,Déclarant individuel,Producteur,216  chemin des Parpaillons,,,84,93,84200,CARPENTRAS,FRANCE
DBPS,NAUTICWARE - ZAR France,48497038900041,FR028035,4764Z,Déclarant individuel,Producteur,Pôle Nautique Rue Hérmione,,,66,76,66140,CANET EN ROUSSILLON,FRANCE
DBPS,NAUTITECH CATAMARANS,37912477900016,FR028010,3012Z,Déclarant individuel,Producteur,5  rue Hubert Pennevert,,,17,75,17300,ROCHEFORT,FRANCE
DBPS,OUTREMER YACHTING,50159721500018,FR028007,3012Z,Déclarant individuel,Producteur,726  avenue Robert Fages,,,34,76,34280,LA GRANDE MOTTE,FRANCE
DBPS,PHILONAUTIC SARL,45289600400010,FR028160,3012Z,Déclarant individuel,Producteur,19  rue des Chaumes,,,44,52,44210,PORNIC,FRANCE
DBPS,POGO STRUCTURES SAS,53910862100019,FR028039,3012Z,Déclarant individuel,Producteur,Za de Kerbenoe,,,29,53,29120,COMBRIT,FRANCE
DBPS,PORT D'HIVER YACHTING,50738607600016,FR028051,4764Z,Déclarant individuel,Producteur,940 chemin des Berles,,,83,93,83230,BORMES LES MIMOSAS,FRANCE
DBPS,PROMARINE,42430894800019,FR028019,3315Z,Déclarant individuel,Producteur,PAI du Moustoir,,,56,53,56950,CRACH,FRANCE
DBPS,REC BOAT HOLDINGS,4778034,FR028061,NULL,Déclarant individuel,Producteur,925 Frisbie St,MI,,,,49601,CADILLAC,ETATS-UNIS
DBPS,RHEA MARINE,40487545200033,FR028024,3012Z,Déclarant individuel,Producteur,ZA Les Rivauds Nords rue  Elie Barreau,,,17,75,17000,LA ROCHELLE,FRANCE
DBPS,SAILING STREAM,79159419500012,FR028053,7721Z,Déclarant individuel,Producteur,19  avenue du Grand Cavalier,,,06,93,06600,ANTIBES,FRANCE
DBPS,SAILWOOD,81197185200017,FR028018,3012Z,Déclarant individuel,Producteur,38  avenue de la Perrière,,,56,53,56100,LORIENT,FRANCE
DBPS,SARL CORSICA MARINE,32822188200025,FR028065,4764Z,Déclarant individuel,Producteur,Zone artisanale de Saint Florent,,,2B,94,20217,ST FLORENT,FRANCE
DBPS,SAS AMATI YACHTS SERVICES,48216605500038,FR028006,4614Z,Déclarant individuel,Producteur,1  rue des Voiliers,,,83,93,83310,GRIMAUD,FRANCE
DBPS,SAS CHANTIER P. HAUCHARD,39097950800012,FR028037,3011Z,Déclarant individuel,Producteur,1  rue Val Eglantier,,,76,28,76170,ST NICOLAS DE LA TAILLE,FRANCE
DBPS,SEALVER SAS,51833662300021,FR028023,3012Z,Déclarant individuel,Producteur,1203 rue de l'Arieste,,,40,75,40460,SANGUINET,FRANCE
DBPS,SELVA SPA,50830140,FR028046,NULL,Déclarant individuel,Producteur,Via del Industria 13,,,,,I23037,TIRANO,ITALIE
DBPS,SILLINGER,43154623300013,FR028008,3012Z,Déclarant individuel,Producteur,14 rue de Buray,,,41,24,41500,MER,FRANCE
DBPS,SMN,38338226400018,FR028063,3315Z,Déclarant individuel,Producteur,rue du Chantier Naval,,,83,93,83310,GRIMAUD,FRANCE
DBPS,SMO NAVIC SARL,38455560300024,FR028042,4764Z,Déclarant individuel,Producteur,ZA Lann Vrihan,,,56,53,56450,LE HEZO,FRANCE
DBPS,SPBI,49137270200010,FR005866,3012Z,Déclarant individuel,Producteur,34  rue Eric Tabarly,,,85,52,85170,DOMPIERRE SUR YON,FRANCE
DBPS,SUNSHIP,40777339900024,FR028058,3315Z,Déclarant individuel,Producteur,chemin de la Tenda,,,2A,94,20137,PORTO VECCHIO,FRANCE
DBPS,TECLA,41431080500042,FR028022,2229A,Déclarant individuel,Producteur,1  rue du Fief de la Couture,,,16,75,16130,GENTE,FRANCE
DBPS,TIWAL SAS,75313171300012,FR028016,3012Z,Déclarant individuel,Producteur,CPIII Le Prisme,,,56,53,56038,VANNES CEDEX,FRANCE
DBPS,TONI MARINE,45120672600023,FR028040,3315Z,Déclarant individuel,Producteur,645  Route St Honoré,,,83,93,83250,LA LONDE LES MAURES,FRANCE
DBPS,TRICAT,44471501500038,FR028144,3012Z,Déclarant individuel,Producteur,3  re René Descartes,,,56,53,56890,PLESCOP,FRANCE
DBPS,U FANALE SARL,79393122100014,FR028069,8551Z,Déclarant individuel,Producteur,Accelasca,,,2A,94,20166,PIETROSELLA,FRANCE
DBPS,WAUQUIEZ BOATS,53012243100014,FR028000,3012Z,Déclarant individuel,Producteur,20  rue du Vertuquet,,,59,32,59960,NEUVILLE EN FERRAIN,FRANCE
DBPS,WETTONCRAFT,81445102700027,FR028142,7112B,Déclarant individuel,Producteur,Parce d'activités Ravennes les Francs,1 rue d'Harleem,,59,32,59200,TOURCOING,FRANCE
DBPS,YAMAHA MOTOR EUROPE NV SUCCURSALE France,80800215800026,FR024233,4511Z,Déclarant individuel,Producteur,ZA des Béthunes 5 avenue du Fief,ZA BETHUNES,,95,11,95078,CERGY PONTOISE CEDEX,FRANCE
DBPS,Z NAUTIC SAS,81220634000026,FR028001,4778C,Déclarant individuel,Producteur,2  chemin de la Val Priout,,,31,76,31450,AYGUESVIVES,FRANCE
DBPS,ZEPPELIN,37836816100030,FR028030,3012Z,Déclarant individuel,Producteur,La Pointe Route de Château du Loir,,,72,52,72800,LE LUDE,FRANCE
