Nom;Type;Secteur;Adresse;BP;CP;Commune;Telephone;Telecopie;Courriel;Site_Web;Hebergemen;Type2;POINT_X;POINT_Y
FLORA TRISTAN;Lycée Professionnel;Public;7 avenue Lemeunier de la Raillère;109;61600.000000;LA FERTE MACE;233370633;233370478;ce.0610019p@ac-caen.fr;http://www.etab.ac-caen.fr/flora-tristan/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;452201.58688299998;6837871.76642999980
FRANCOIS RABELAIS;Lycée Polyvalent;Public;1 rue Elsa Triolet;;14123.000000;IFS;231465250;231439075;ce.0142132s@ac-caen.fr;http://www.etab.ac-caen.fr/lycee-rabelais/;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel publics;455125.84056699998;6899622.03017999980
GABRIEL;Lycée Professionnel;Public;7 rue Saint Exupéry;80212;61203.000000;ARGENTAN CEDEX;233122880;233122886;ce.0611182d@ac-caen.fr;http://www.etab.ac-caen.fr/lycgabriel/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;478836.46089699998;6854594.14415000010
GERMAIN;Lycée Général et Technologique Privé;Privé;73 rue d'Ilkley;;50208.000000;COUTANCES CEDEX;233765656;233074073;ce.0501703e@ac-caen.fr;http://www.germain-coutances.com/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;375043.22319900000;6893520.19141000040
GIEL DON BOSCO;Lycée Professionnel Privé;Privé;Lieu dit Les Cours;;61210.000000;GIEL COURTEILLES;233679900;233679901;ce.0610724f@ac-caen.fr;http://www.giel-don-bosco.org;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;464935.86510100000;6855499.39288999980
GUIBRAY;Lycée Professionnel;Public;rue des Champs Saint Georges;28;14700.000000;FALAISE;231901652;231900395;ce.0141640g@ac-caen.fr;https://lcs.guibray.lyc14.ac-caen.fr/~site/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;466292.13415599999;6870199.55051000040
HENRI CORNAT;Lycée Général et Technologique;Public;36 rue Henri Cornat;321;50700.000000;VALOGNES;233400042;233402530;ce.0500082t@ac-caen.fr;http://www.etab.ac-caen.fr/lyceevalognes/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;375878.26820900000;6943450.53639999960
INGENIEUR CACHIN;Lycée Professionnel Privé;Privé;4 rue Ingénieur Cachin;323;50100.000000;CHERBOURG OCTEVILLE;233234290;233200396;ce.0500132x@ac-caen.fr;http://www.lyceecachin.fr/;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel privés;366503.19616300002;6958652.98859000020
INSTITUT LEMONNIER;Lycée Technologique Privé;Privé;60 rue d'Hérouville;269;14013.000000;CAEN CEDEX;231467200;231440696;ce.0141175b@ac-caen.fr;http://www.institut-lemonnier.fr/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;455745.49994200002;6904394.01723000030
INSTITUT LEMONNIER;Lycée Professionnel Privé;Privé;60 rue d'Hérouville;269;14013.000000;CAEN CEDEX;231467200;231440696;ce.0141866c@ac-caen.fr;http://www.institut-lemonnier.fr/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;455746.82286100002;6904323.24105000030
INSTITUT SAINT LO;Lycée Général et Technologique Privé;Privé;18 rue de l'Oratoire;;50180.000000;AGNEAUX;233771717;233771719;ce.0500120j@ac-caen.fr;http://www.etab.ac-caen.fr/isl/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;400317.43617100001;6898812.68666000010
INSTITUT SAINT LO;Lycée Professionnel Privé;Privé;18 rue de l'Oratoire;;50180.000000;AGNEAUX;233771717;233771719;ce.0501825m@ac-caen.fr;http://www.etab.ac-caen.fr/isl/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;400315.45179199998;6898903.96808999960
INSTITUTION FREMONT;Lycée Général Privé;Privé;12 rue Paul Banaston;;14100.000000;LISIEUX;231485810;231314937;ce.0141169v@ac-caen.fr;http://www.lyceefremont.com/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;497967.79760500003;6897911.13886999990
INSTITUTION JEANNE D'ARC;Lycée Général Privé;Privé;10 rue d'Eterville;36318;14403.000000;BAYEUX CEDEX;231929100;231929063;ce.0141157g@ac-caen.fr;;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel privés;430394.85060200002;6915459.03942999990
JEAN FRANCOIS MILLET;Lycée Général et Technologique;Public;1 rue de Bougainville;79;50130.000000;CHERBOURG OCTEVILLE;233876900;233876901;ce.0500016w@ac-caen.fr;http://www.etab.ac-caen.fr/lyceemillet/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;364555.47597600002;6958816.23857000000
JEAN GUEHENNO;Lycée Général et Technologique;Public;16 rue Pierre Huet;269;61105.000000;FLERS CEDEX;233658040;233660369;ce.0610021s@ac-caen.fr;http://www.etab.ac-caen.fr/guehenno/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;438844.90542299999;6855214.81008000020
JEAN JOORIS;Lycée Professionnel;Public;rue Salvador Allendé;2042;14162.000000;DIVES SUR MER CEDEX;231910438;231246469;ce.0141599m@ac-caen.fr;http://lycee-jean-jooris.etab.ac-caen.fr/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;474712.04937399999;6913296.71422000040
JEAN MERMOZ;Lycée Professionnel;Public;1 rue Georges Fauvel;40143;14504.000000;VIRE CEDEX;231681022;231680392;ce.0142178s@ac-caen.fr;;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;415389.43899599998;6866922.52068000010
JEAN MONNET;Lycée Polyvalent;Public;2 rue Jean Monnet;104;61400.000000;MORTAGNE AU PERCHE;233851850;233835446;ce.0611148s@ac-caen.fr;http://www.etab.ac-caen.fr/lyc-jmonnet/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;519319.92511299998;6826414.81969999990
JEAN ROSTAND;Lycée Général et Technologique;Public;98 route d'Ifs;85457;14054.000000;CAEN CEDEX 4;231521940;231349251;ce.0140017t@ac-caen.fr;http://www.etab.ac-caen.fr/rostand/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;455476.71133299998;6900897.28806000020
JEANNE D'ARC;Lycée Général et Technologique Privé;Privé;10 rue du Collège;20221;61203.000000;ARGENTAN CEDEX;233122630;233122631;ce.0610694y@ac-caen.fr;http://www.jand-argentan.fr;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;478317.94144400000;6853697.79624000010
JEANNE D'ARC;Lycée Professionnel Privé;Privé;10 rue du Collège;20221;61203.000000;ARGENTAN CEDEX;233122630;233122631;ce.0610721c@ac-caen.fr;http://www.jand-argentan.fr;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;478290.82159800001;6853746.08279000040
JEANNE D'ARC;Lycée Général Privé;Privé;27 rue Claude Chappe;86256;14065.000000;CAEN CEDEX 1;231293388;231293380;ce.0141161l@ac-caen.fr;http://www.etab.ac-caen.fr/jdarc/;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel privés;452532.17308600002;6903273.14383000040
JULES DUMONT D'URVILLE;Lycée Polyvalent;Public;73 rue de Lebisey;45140;14070.000000;CAEN CEDEX 05;231955800;231959520;ce.0142131r@ac-caen.fr;http://lycee-dumont-durville.fr/;sans internat ni demi-pension;Lycées d'Enseignement général, technique et professionnel publics;455436.30680100003;6905036.39726999960
JULES VERNE;Lycée Professionnel;Public;12 rue Lucien Boussoutrot;84;14126.000000;MONDEVILLE CEDEX;231844090;231842452;ce.0140020w@ac-caen.fr;http://www.etab.ac-caen.fr/ljv/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;457361.98791800003;6901430.82957000010
JULES VERNE;Lycée Technologique;Public;12 rue Lucien Boussoutrot;84;14126.000000;MONDEVILLE CEDEX;231844090;231842452;ce.0141687h@ac-caen.fr;http://www.etab.ac-caen.fr/ljv/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;457358.38917300000;6901519.59860999980
JULLIOT DE LA MORANDIERE;Lycée Général et Technologique;Public;rue de la Crête;639;50406.000000;GRANVILLE CEDEX;233907477;233901609;ce.0500036t@ac-caen.fr;http://julliot.etab.ac-caen.fr/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;364088.16643500002;6868508.53191000040
JULLIOT DE LA MORANDIERE;Lycée Professionnel;Public;rue de la Crête;639;50406.000000;GRANVILLE CEDEX;233907477;233901609;ce.0500037u@ac-caen.fr;http://julliot.etab.ac-caen.fr/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;364089.75393800001;6868449.79428999960
LA ROQUELLE;Lycée Professionnel;Public;5 rue des Courtilles;738;50207.000000;COUTANCES CEDEX;233765400;233765408;ce.0500027h@ac-caen.fr;http://www.etab.ac-caen.fr/la-roquelle;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;375822.17298700003;6891664.35503000020
LE BON SAUVEUR;Lycée Technologique Privé;Privé;rue Elisabeth de Surville;331;50001.000000;ST LO CEDEX;233725353;233725350;ce.0500127s@ac-caen.fr;http://www.etab.ac-caen.fr/bsauveur/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;401095.13965799997;6897960.84743000010
LE BON SAUVEUR;Lycée Professionnel Privé;Privé;rue Elisabeth de Surville;331;50001.000000;ST LO CEDEX;233725353;233725350;ce.0501789y@ac-caen.fr;http://www.etab.ac-caen.fr/bsauveur/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;401093.55215499998;6897919.96922000030
LE ROBILLARD;Établissement Public Local d’Enseignement et de Formation Professionnelle Agricoles;Public;Lieury L'Oudon;;14170.000000;ST PIERRE SUR DIVES;231426110;231201513;legta.le-robillard@educagri.fr;http://www.le-robillard.fr/;avec internat et demi-pension;Lycées agricoles publics;480138.94300600002;6880730.08884000030
LE VERRIER;Lycée Général;Public;7 rue Leverrier;382;50002.000000;ST LO CEDEX;233726700;233578199;ce.0500065z@ac-caen.fr;http://www.etab.ac-caen.fr/verrier/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;401901.65207299998;6898283.63757000030
LES ROSIERS;Lycée Technologique Privé;Privé;17 chemin de Rocques;;14100.000000;LISIEUX;231482180;231482181;ce.0141418r@ac-caen.fr;http://www.etab.ac-caen.fr/notre-dame.lisieux/rosiers.htm;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;497922.70112099999;6898432.94930000040
LES ROSIERS;Lycée Professionnel Privé;Privé;17 chemin de Rocques;;14100.000000;LISIEUX;231482180;231482181;ce.0141868e@ac-caen.fr;http://www.etab.ac-caen.fr/notre-dame.lisieux/rosiers.htm;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;497923.49487300002;6898519.46822000020
LES SAPINS;Lycée Professionnel;Public;7 rue des Courtilles;739;50207.000000;COUTANCES CEDEX;233191570;233078882;ce.0500028j@ac-caen.fr;http://www.etab.ac-caen.fr/lpsapins/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;375541.62224300002;6891586.99490000030
LOUIS LIARD;Lycée Polyvalent;Public;15 rue Saint Jean;99;14700.000000;FALAISE;231416700;231416701;ce.0140052f@ac-caen.fr;http://www.etab.ac-caen.fr/lycee.louis-liard/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;466006.98951500002;6870685.20431999960
LP CLAUDE LEHEC;Lycée Professionnel;Public;16 rue Dauphiné;109;50600.000000;ST HILAIRE DU HARCOUET;233790680;233790689;ce.0500090b@ac-caen.fr;http://www.etab.ac-caen.fr/lehec/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;397725.21649299999;6838096.05231999980
LP FLERS;Lycée Professionnel;Public;16 rue Pierre Huet;269;61105.000000;FLERS CEDEX;233658040;233660369;ce.0611287T@ac-caen.fr;;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;438622.00000000000;6855199.00000000000
LT CLAUDE LEHEC;Lycée Technologique;Public;16 rue Dauphiné;109;50600.000000;ST HILAIRE DU HARCOUET;233790680;233790689;ce.0500087y@ac-caen.fr;http://www.etab.ac-caen.fr/lehec/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;397629.06338399998;6838170.77307999970
LYCEE AGRICOLE AUGUSTE LOUTREUIL;Établissement Public Local d’Enseignement et de Formation Professionnelle Agricoles;Public;9 rue du 11 novembre 1918;;61500.000000;SEES;233817400;233817401;legta.sees@educagri.fr;http://www.alencon-sees.educagri.fr/;;Lycées agricoles publics;491504.91237699997;6836295.80999000000
LYCEE AGRICOLE DE LA BAIE DU MONT SAINT MICHEL;Établissement Public Local d’Enseignement et de Formation Professionnelle Agricoles;Public;route de Fougères;;50600.000000;ST HILAIRE DU HARCOUET;233910220;233910221;lpa.st-hilaire@educagri.fr;http://www.sthilaire.educagri.fr/;;Lycées agricoles publics;397812.00000000000;6836934.00000000000
LYCEE AGRICOLE ET AGROALIMENTAIRE DE SAINT-LO/THERE;Etablissement Public d'Enseignement Agricole, Agroalimentaire et Laboratoire;Public;Le Château de Thère;;50620.000000;LE HOMMET D'ARTHENAY;233778080;233778081;epl.st-lo-there@educagri.fr;http://www.st-lo-there.educagri.fr/;;Lycées agricoles publics;395740.17236099998;6904875.26757000010
LYCEE AGRICOLE ET HORTICOLE DE COUTANCES;Établissement Public Local d’Enseignement et de Formation Professionnelle Agricoles;Public;La Quibouquière;722;50207.000000;COUTANCES CEDEX;233194110;233194119;legta.coutances@educagri.fr;http://www.coutances.educagri.fr/;;Lycées agricoles publics;374465.10745900002;6891883.74022000000
LYCEE ET COLLEGE EXP;Lycée Expérimental;Public;1000 quartier du Grand Parc;;14200.000000;HEROUVILLE ST CLAIR;231951479;231435731;ce.0142173l@ac-caen.fr;http://www.etab.ac-caen.fr/cleh/spip5/;sans internat avec demi-pension;Collège-Lycée expérimental;456859.19154799997;6905198.87445000000
LYCEE MARITIME ET AQUACOLE DANIEL RIGOLET;Etablissement Professionnel Public d'Enseignement Maritime;Public;rue de Matignon;36;50651.000000;CHERBOURG CEDEX;233885710;233206932;lycee@lma-cherbourg.fr;http://www.lma-cherbourg.fr/;sans internat avec demi-pension;Lycée Maritime et Aquacole;366369.84589599998;6958469.89656000030
"LYCEE PROFESSIONNEL AGRICOLE ""CHAMPS DE TRACY""";Établissement Public Local d’Enseignement et de Formation Professionnelle Agricoles;Public;route de Caen;66000;14508.000000;VIRE CEDEX;231661810;231672965;lpa.vire@educagri.fr;http://www.tracy-vire.fr/;avec internat et demi-pension;Lycées agricoles publics;416912.65996100003;6871286.45643999990
LYCEE PROFESSIONNEL AGRICOLE D'ALENCON;Établissement Public Local d’Enseignement et de Formation Professionnelle Agricoles;Public;250 avenue du Général Leclerc;;61000.000000;ALENCON;233280996;233284635;lpa.alencon@educagri.fr;http://www.alencon-sees.educagri.fr/;avec internat et demi-pension;Lycées agricoles publics;484613.55220799998;6816339.20593999980
MALHERBE;Lycée Général et Technologique;Public;14 avenue Albert Sorel;;14052.000000;CAEN CEDEX;231861856;231857860;ce.0140013n@ac-caen.fr;http://www.etab.ac-caen.fr/malherbe/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;454097.77244400000;6902483.04098000000
MARCEL GAMBIER;Lycée Général;Public;3 rue du Général Leclerc;97205;14107.000000;LISIEUX CEDEX;231482460;231482461;ce.0140061r@ac-caen.fr;http://lcs.gambier.clg14.ac-caen.fr/lcs/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;497485.64550799999;6897926.24806000010
MARCEL MEZEN;Lycée Professionnel;Public;25 rue Marcel Mézen;;61041.000000;ALENCON CEDEX;233294961;233296284;ce.0610004y@ac-caen.fr;http://mezen.etab.ac-caen.fr/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;485989.29113799997;6818328.27053000030
MARECHAL LECLERC;Lycée Professionnel;Public;30 rue Jean Henri Fabre;360;61014.000000;ALENCON CEDEX;233279494;233276991;ce.0611157b@ac-caen.fr;http://www.etab.ac-caen.fr/leclerc/;sans internat ni demi-pension;Lycées d'Enseignement général, technique et professionnel publics;485015.47522399999;6816280.69440000040
MARGUERITE DE NAVARRE;Lycée Général et Technologique;Public;avenue du Général Leclerc;357;61014.000000;ALENCON CEDEX;233803350;233277214;ce.0610002w@ac-caen.fr;http://www.etab.ac-caen.fr/margueritedenavarre/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;484771.24419000000;6816080.97209000030
MARIE CURIE;Lycée Général et Technologique;Public;16 rue Octave Gréard;10158;14504.000000;VIRE CEDEX;231680971;231684200;ce.0141555p@ac-caen.fr;http://www.etab.ac-caen.fr/mcurie/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;413930.48028299998;6866998.14582000020
MARIE IMMACULEE;Lycée Général Privé;Privé;6 rue Charles Forget;96;61500.000000;SEES;233278028;233273429;ce.0610702g@ac-caen.fr;http://www.ac-caen.fr/ia61/etab/presentation/lyceeprint.php?codetab=0610702G;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel privés;491501.60507900000;6837843.62559000030
MARIE-JOSEPH;Lycée Général Privé;Privé;avenue de la Marnière;;14360.000000;TROUVILLE SUR MER;231140550;231140560;ce.0141172y@ac-caen.fr;http://www.etab.ac-caen.fr/college.marie.joseph/;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel privés;490533.65761400003;6922982.91719000040
MAURICE MARLAND;Lycée Polyvalent - Lycée des Métiers;Public;159 rue des Lycées;;50400.000000;GRANVILLE;233504095;233508376;ce.0501850p@ac-caen.fr;http://www.etab.ac-caen.fr/lycee-hotelier-granville/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;364093.23423800000;6868639.17612000000
MEZERAY;Lycée Polyvalent;Public;6 place Robert Dugué;;61200.000000;ARGENTAN;233678888;233678889;ce.0610006a@ac-caen.fr;http://www.etab.ac-caen.fr/lycee.mezeray/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;478354.46261500003;6853627.25494000040
NAPOLEON;Lycée Général et Technologique;Public;15 rue des Sports;207;61306.000000;L AIGLE CEDEX;233842660;233342790;ce.0610026x@ac-caen.fr;http://www.etab.ac-caen.fr/napoleon/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;526289.39010399999;6853423.98531000040
NAPOLEON;Lycée Professionnel;Public;15 rue des Sports;207;61306.000000;L AIGLE CEDEX;233842660;233342790;ce.0610027y@ac-caen.fr;http://www.etab.ac-caen.fr/napoleon/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;526361.88608199998;6853445.68118999990
NOTRE DAME;Lycée Professionnel Privé;Privé;43 rue Sébline;;50500.000000;CARENTAN;233716700;233716701;ce.0501941n@ac-caen.fr;http://notredamecarentan.fr/spip/spip.php?rubrique8;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel privés;391178.17149099999;6920091.39235000030
NOTRE DAME DE FIDELITE;Lycée Professionnel Privé;Privé;8 rue du Petit Clos Saint Marc;5223;14074.000000;CAEN CEDEX 5;231467686;231467687;ce.0141191u@ac-caen.fr;http://www.lycee-ndfidelite.fr/;sans internat ni demi-pension;Lycées d'Enseignement général, technique et professionnel privés;454230.34797399997;6906498.04203000010
NOTRE DAME DE FIDELITE;Lycée Technologique Privé;Privé;8 rue du Petit Clos Saint Marc;5223;14074.000000;CAEN CEDEX 5;231467686;231467687;ce.0142084p@ac-caen.fr;http://www.lycee-ndfidelite.fr/;sans internat ni demi-pension;Lycées d'Enseignement général, technique et professionnel privés;454231.40630899998;6906473.06531000040
NOTRE DAME DE LA PROVIDENCE;Lycée Général et Technologique Privé;Privé;9 rue du Chanoine Béranger;340;50303.000000;AVRANCHES CEDEX;233580222;233582576;ce.0500112a@ac-caen.fr;http://www.ndlaprovidence.org/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;378398.29977300001;6851785.36828000010
NOTRE DAME DE LA PROVIDENCE;Lycée Professionnel Privé;Privé;9 rue du Chanoine Béranger;340;50303.000000;AVRANCHES CEDEX;233580222;233582576;ce.0501787w@ac-caen.fr;http://www.ndlaprovidence.org/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;378422.55101699999;6851839.25992999970
NOTRE DAME DE NAZARETH;Lycée Professionnel Privé;Privé;avenue de la Basilique;80;14440.000000;DOUVRES LA DELIVRANDE;231361212;231361213;ce.0141193w@ac-caen.fr;http://www.notredamedenazareth.com/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;454702.94040299999;6916005.09456999970
NOTRE DAME DE NAZARETH;Lycée Technologique Privé;Privé;avenue de la Basilique;80;14440.000000;DOUVRES LA DELIVRANDE;231361212;231361213;ce.0142108r@ac-caen.fr;http://www.notredamedenazareth.com/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;454737.90731200000;6916031.03775999970
