INSEE;DATAPPRO;ETENDUE;LIBELLE;URLFIC;IDURBA;TYPEPSC;ID_NCA;LIB_TYPEPSC2;TXT;NOMFIC;DATVALID;geometry
06027;2018-11-08;;Cône de prescription de vue (L 1,23-1-7);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;07;;;SERV_VUE;PLU de Cagnes-Sur-Mer;2016-02-19;{"type": "LineString", "coordinates": [[7.14463306, 43.66760576], [7.14475761, 43.66752073], [7.14548326, 43.66702532], [7.14510773, 43.66759225], [7.14496617, 43.66780579]]}
06027;2018-11-08;;Création d'un chemin piéton entre l'avenue Paul Cézanne et Ziem;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P28;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.1617021, 43.66605746], [7.16172061, 43.66604804], [7.16184804, 43.66589742], [7.16189255, 43.66583939], [7.16201276, 43.66569065], [7.16210361, 43.6655763], [7.16221505, 43.66543494], [7.1624683, 43.6651064], [7.16257588, 43.66496546]]}
06027;2018-11-08;;Création d'un chemin piéton au chemin des Gros Buaux;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P36;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.17007328, 43.67193461], [7.1702593, 43.67201335], [7.17029523, 43.67204264], [7.17040053, 43.6721347], [7.1704072, 43.67218761], [7.1704237, 43.67222071], [7.17053698, 43.67230633]]}
06027;2018-11-08;;Marge de recul d'implantation;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;11;;;RECUL;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.17747468, 43.66077246], [7.17695374, 43.66071581], [7.17652194, 43.66068435], [7.17563165, 43.66062247], [7.17451195, 43.66054281], [7.17397777, 43.66045905], [7.1736566, 43.66039982], [7.17342939, 43.66035436], [7.17203181, 43.66013301], [7.17129526, 43.66001612], [7.17063546, 43.65991406], [7.17050623, 43.65989407], [7.17005565, 43.65983252], [7.16948572, 43.65975236], [7.16878904, 43.65965466], [7.16781383, 43.65952411], [7.16723238, 43.65945423], [7.16702866, 43.65943474], [7.1668108, 43.65942559], [7.16662605, 43.65941783], [7.16640787, 43.65939917], [7.1662671, 43.65938993], [7.16611813, 43.65940163], [7.1659742, 43.65941237], [7.16534081, 43.65938944], [7.16533773, 43.65938932], [7.16466311, 43.65936315], [7.16418344, 43.65934793], [7.16392319, 43.6593186], [7.16387866, 43.65931358], [7.16368878, 43.65929218], [7.16335299, 43.65925027], [7.16297007, 43.65917285], [7.1629364, 43.65916558], [7.16273623, 43.65910098], [7.16251134, 43.65902751], [7.16242294, 43.65899107], [7.16228432, 43.6589449], [7.16224613, 43.65892979], [7.16211611, 43.65886525], [7.1617243, 43.65874428], [7.16160694, 43.65870812], [7.16124321, 43.65859606], [7.16060351, 43.65839667], [7.16032493, 43.65830305], [7.16013233, 43.65823999], [7.15979693, 43.65813706], [7.15958211, 43.65805983], [7.1584757, 43.65766205], [7.15815753, 43.65755493], [7.15815299, 43.65755384], [7.15810439, 43.65753741], [7.15807746, 43.65752889], [7.15804347, 43.65751713], [7.15804505, 43.65749959], [7.15796316, 43.65747082], [7.15780103, 43.65741377], [7.1577841, 43.6574182], [7.15774486, 43.65740241], [7.15772441, 43.65739427], [7.15759286, 43.65734127], [7.15755605, 43.65732655], [7.15752101, 43.6573124], [7.15671802, 43.65704343], [7.15553761, 43.65658949], [7.15494408, 43.6563508], [7.15460044, 43.65621914], [7.15434445, 43.65614218], [7.15377136, 43.65596989], [7.15216989, 43.65551714], [7.15193806, 43.65544179], [7.15148302, 43.65530841], [7.15119036, 43.65521429], [7.1511356, 43.65519696], [7.15069026, 43.65505551]]}
06027;2018-11-08;;Création d'un chemin piéton rue des Néfliers;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P22;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.15992911, 43.65795221], [7.16021808, 43.65737477], [7.16092481, 43.65758591], [7.16102722, 43.65746442], [7.16198606, 43.65602913]]}
06027;2018-11-08;;Création d'un chemin piéton entre le chemin de la Campanette et le Chemin de Sainte pétronile;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P42;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.16757988, 43.68728119], [7.16750627, 43.687193], [7.16746065, 43.68711998], [7.16741362, 43.68708928], [7.16734496, 43.68706916], [7.16731157, 43.68704119], [7.16728052, 43.68698387], [7.16723279, 43.68694344], [7.16712698, 43.68690524], [7.16703999, 43.68687932], [7.16701365, 43.68682507], [7.16700375, 43.68675069], [7.16696143, 43.68672306], [7.16683095, 43.68671506], [7.1667945, 43.6867067], [7.16676275, 43.68663966], [7.16657183, 43.68653971], [7.16656923, 43.68650405], [7.16650646, 43.68650321], [7.16649009, 43.68649416], [7.16648978, 43.68646401], [7.16647282, 43.6864386], [7.16643691, 43.68643861], [7.16635945, 43.68643883], [7.16634834, 43.68641595], [7.16636142, 43.68636196], [7.16633484, 43.68636024], [7.16629695, 43.68635895], [7.16628772, 43.68633599], [7.16628216, 43.68631152], [7.16624367, 43.68630202], [7.16613696, 43.68631571], [7.16612873, 43.68630643], [7.16616282, 43.6862297], [7.16615052, 43.68621646], [7.16596625, 43.68622901], [7.16593937, 43.68622318], [7.16592102, 43.68620469], [7.16591367, 43.68618166], [7.16596283, 43.68605224], [7.1659178, 43.68603065], [7.16584609, 43.68603203], [7.16579016, 43.6860424], [7.1657126, 43.68606732], [7.16568831, 43.68607099], [7.16567491, 43.68604271], [7.16564941, 43.68600391], [7.16559566, 43.68601832], [7.16556095, 43.68603473], [7.16547565, 43.68600509], [7.16533043, 43.68593112], [7.16528679, 43.68592867], [7.16523413, 43.68593206], [7.165177, 43.68592602], [7.16517025, 43.6859112], [7.165199, 43.68583879], [7.16518877, 43.6857761], [7.16515652, 43.68572249], [7.16508817, 43.68566614], [7.16504234, 43.68560756], [7.16501763, 43.68555365], [7.16500492, 43.68548283], [7.16500153, 43.68541028], [7.16498474, 43.6852834], [7.16494166, 43.68510678], [7.16489896, 43.68488352], [7.16482624, 43.684767], [7.16473774, 43.68464149], [7.16464558, 43.68451749], [7.16457306, 43.68442976], [7.16457404, 43.68436528]]}
06027;2018-11-08;;Marge de recul d'implantation;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;11;;;RECUL;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.17752475, 43.6605129], [7.17704646, 43.66046177], [7.17700388, 43.66045727], [7.17655228, 43.66042453], [7.17611907, 43.66039313], [7.17547929, 43.6603482], [7.17474312, 43.66029469], [7.17453927, 43.66028003], [7.17412564, 43.660208], [7.17356381, 43.66011201], [7.17329417, 43.66006409], [7.1726163, 43.65996029], [7.17210342, 43.65987877], [7.17143095, 43.65977168], [7.17106057, 43.65971331], [7.17067445, 43.65965145], [7.17052935, 43.65963146], [7.16972992, 43.65952106], [7.16925363, 43.65945857], [7.168257, 43.65932812], [7.16729046, 43.65920468], [7.16706333, 43.65917965], [7.16661846, 43.65914253], [7.16652128, 43.65916159], [7.16593067, 43.65915356], [7.16549002, 43.6591357], [7.16483474, 43.6591097], [7.16440998, 43.65909735], [7.16415307, 43.6590888], [7.16398655, 43.65906451], [7.16389121, 43.65905078], [7.1637751, 43.65904194], [7.16366593, 43.65903181], [7.16350665, 43.65901031], [7.16336415, 43.65898714], [7.16322993, 43.65896162], [7.16311685, 43.6589363], [7.16298048, 43.65890063], [7.16287552, 43.65887091], [7.16277884, 43.65883884], [7.16263575, 43.65878809], [7.16256043, 43.65875928], [7.16245303, 43.65871535], [7.16235258, 43.65867012], [7.16226647, 43.65862844], [7.16193653, 43.65852555], [7.16146401, 43.65837905], [7.16101884, 43.6582407], [7.16075528, 43.65815981], [7.16063266, 43.65811952], [7.16032098, 43.65801593], [7.15990988, 43.65788138], [7.15945837, 43.65773305], [7.1590342, 43.65759287], [7.15861875, 43.65745644], [7.15859414, 43.65744716], [7.15827892, 43.65733347], [7.15818919, 43.6573001], [7.15780738, 43.65716136], [7.15749785, 43.65704848], [7.15728817, 43.65697267], [7.15703651, 43.65688109], [7.15676601, 43.65678204], [7.15649366, 43.65667694], [7.15614895, 43.65654495], [7.15582598, 43.65642133], [7.15545518, 43.6562791], [7.15515098, 43.65616192], [7.15508432, 43.65613584], [7.15494412, 43.656086], [7.1547932, 43.65602429], [7.15456979, 43.65593367], [7.15437822, 43.65585512], [7.15390102, 43.65572103], [7.15363082, 43.65564549], [7.15313204, 43.65550507], [7.15276983, 43.65540339], [7.15215399, 43.65522143], [7.15184463, 43.65513], [7.15161146, 43.65506019], [7.15120662, 43.65493355], [7.15095011, 43.65485236], [7.15082624, 43.65481416]]}
06027;2018-11-08;;Prolongement de l'allée des Saules jusqu'à la D6007 pour un aménagement piétonnier;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P12;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.15381066, 43.65855324], [7.15379548, 43.65789744], [7.153774, 43.65742862], [7.1537583, 43.6569021], [7.15389427, 43.65668312], [7.15424372, 43.65610783], [7.15428987, 43.6560321]]}
06027;2018-11-08;;Marge de recul paysagère;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;11;;;RECUL;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.13204324, 43.66292384], [7.13160245, 43.66321731], [7.13083229, 43.66384506], [7.13007991, 43.66448041], [7.12947446, 43.66498484], [7.12869601, 43.66572894], [7.12842115, 43.66608808], [7.1281185, 43.66649901], [7.12767718, 43.66713019], [7.12721148, 43.6678624], [7.12672678, 43.66853775], [7.12615827, 43.66939558], [7.12595616, 43.66981719], [7.12585198, 43.6700993]]}
06027;2018-11-08;;Création d'un chemin piéton chemin des Glycines;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P26;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.16028957, 43.65958029], [7.16053934, 43.65881215], [7.16043246, 43.65877535], [7.1606012, 43.65832621]]}
06027;2018-11-08;;Cône de prescription de vue (L 1,23-1-7);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;07;;;SERV_VUE;PLU de Cagnes-Sur-Mer;2016-02-19;{"type": "LineString", "coordinates": [[7.14745329, 43.64715652], [7.14761438, 43.64632575], [7.14763514, 43.64716787]]}
06027;2018-11-08;;Marge de recul d'implantation;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;11;;;RECUL;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.17752475, 43.6605129], [7.17704646, 43.66046177], [7.17700388, 43.66045727], [7.17655228, 43.66042453], [7.17611907, 43.66039313], [7.17547929, 43.6603482], [7.17474312, 43.66029469], [7.17453927, 43.66028003], [7.17412564, 43.660208], [7.17356381, 43.66011201], [7.17329417, 43.66006409], [7.1726163, 43.65996029], [7.17210342, 43.65987877], [7.17143095, 43.65977168], [7.17106057, 43.65971331], [7.17067445, 43.65965145], [7.17052935, 43.65963146], [7.16972992, 43.65952106], [7.16925363, 43.65945857], [7.168257, 43.65932812], [7.16729046, 43.65920468], [7.16706333, 43.65917965], [7.16661846, 43.65914253], [7.16652128, 43.65916159], [7.16593067, 43.65915356], [7.16549002, 43.6591357], [7.16483474, 43.6591097], [7.16440998, 43.65909735], [7.16415307, 43.6590888], [7.16398655, 43.65906451], [7.16389121, 43.65905078], [7.1637751, 43.65904194], [7.16366593, 43.65903181], [7.16350665, 43.65901031], [7.16336415, 43.65898714], [7.16322993, 43.65896162], [7.16311685, 43.6589363], [7.16298048, 43.65890063], [7.16287552, 43.65887091], [7.16277884, 43.65883884], [7.16263575, 43.65878809], [7.16256043, 43.65875928], [7.16245303, 43.65871535], [7.16235258, 43.65867012], [7.16226647, 43.65862844], [7.16193653, 43.65852555], [7.16146401, 43.65837905], [7.16101884, 43.6582407], [7.16075528, 43.65815981], [7.16063266, 43.65811952], [7.16032098, 43.65801593], [7.15990988, 43.65788138], [7.15945837, 43.65773305], [7.1590342, 43.65759287], [7.15861875, 43.65745644], [7.15859414, 43.65744716], [7.15827892, 43.65733347], [7.15818919, 43.6573001], [7.15780738, 43.65716136], [7.15749785, 43.65704848], [7.15728817, 43.65697267], [7.15703651, 43.65688109], [7.15676601, 43.65678204], [7.15649366, 43.65667694], [7.15614895, 43.65654495], [7.15582598, 43.65642133], [7.15545518, 43.6562791], [7.15515098, 43.65616192], [7.15508432, 43.65613584], [7.15494412, 43.656086], [7.1547932, 43.65602429], [7.15456979, 43.65593367], [7.15437822, 43.65585512], [7.15390102, 43.65572103], [7.15363082, 43.65564549], [7.15313204, 43.65550507], [7.15276983, 43.65540339], [7.15215399, 43.65522143], [7.15184463, 43.65513], [7.15161146, 43.65506019], [7.15120662, 43.65493355], [7.15095011, 43.65485236], [7.15082624, 43.65481416]]}
06027;2018-11-08;;Chemin piéton reliant le chemin des Salles à celui du Val de Cagne et Piste DFCI;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P49;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.14789074, 43.68602594], [7.14776681, 43.68602658], [7.14769827, 43.68603328], [7.14758668, 43.68604878], [7.14741099, 43.68607389], [7.14728085, 43.68608601], [7.14722207, 43.68609132], [7.14708948, 43.68608922], [7.14684274, 43.68608637], [7.14662386, 43.68607938], [7.14647043, 43.68608114], [7.14621562, 43.6860837], [7.14614079, 43.68608145], [7.14611336, 43.68607227], [7.14608201, 43.68604791], [7.14603077, 43.68600181], [7.14600319, 43.68599059], [7.14597879, 43.68598437], [7.14561388, 43.68596455], [7.1451121, 43.68594176], [7.14454122, 43.68592405], [7.14424401, 43.68592077], [7.14411134, 43.68593537]]}
06027;2018-11-08;;Cône de prescription de vue (L 1,23-1-7);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;07;;;SERV_VUE;PLU de Cagnes-Sur-Mer;2016-02-19;{"type": "LineString", "coordinates": [[7.1516533, 43.65166889], [7.15208062, 43.6508874], [7.15183492, 43.651728]]}
06027;2018-11-08;;Création d'un chemin piéton du chemin du puy et la RD 6007;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P3;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.13800435, 43.64977216], [7.13794602, 43.64980372], [7.13788386, 43.64989411], [7.13782913, 43.64997541], [7.13777186, 43.6500216], [7.13767769, 43.65006039], [7.13754535, 43.65007423], [7.13734493, 43.65009654], [7.13722382, 43.65015396], [7.13712264, 43.65026343], [7.1370473, 43.65045114], [7.13704237, 43.65066257], [7.1370207, 43.65081009], [7.13699924, 43.65096053], [7.13698161, 43.65105216], [7.13692837, 43.65109819]]}
06027;2018-11-08;;Création d'un chemin piéton de la rue Fragonard aux chemin des Collettes;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P31;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.16000942, 43.66806176], [7.15960341, 43.66843257], [7.1595386, 43.66847331], [7.15915432, 43.66883235], [7.15897888, 43.66906042], [7.15871632, 43.66943667], [7.15854068, 43.66966201], [7.15844545, 43.6698023], [7.15835478, 43.67005719], [7.1583145, 43.67038393], [7.15818492, 43.67077695], [7.15808357, 43.67104045], [7.15753086, 43.67094681], [7.15746743, 43.67090278], [7.15713229, 43.67085001], [7.15694239, 43.67082722], [7.15638771, 43.67081017]]}
06027;2018-11-08;;Création d'un chemin piéton entre l'avenue de Villeneuve et l'avenue H. Boucher;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P10;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.14679481, 43.65893206], [7.14666973, 43.65864336]]}
06027;2018-11-08;;Création d'un chemin piéton entre la rue Berlioz et l'impasse des Anémones;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P19;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.16199659, 43.6570037], [7.16167579, 43.65689878], [7.16165779, 43.6568841], [7.16146286, 43.65682392], [7.16142964, 43.65683288], [7.16122827, 43.65668675], [7.16122772, 43.65663574], [7.16111106, 43.6565628], [7.16106799, 43.65652915], [7.16041098, 43.65628683], [7.16037441, 43.65628612], [7.16020963, 43.65622556], [7.16022912, 43.65614411], [7.16023719, 43.65605849], [7.16025218, 43.65595876], [7.15992659, 43.65581921]]}
06027;2018-11-08;;Création d'un chemin piéton entre les rues Anatole France et du Brigadier Claverie;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P14;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.1522512, 43.66289446], [7.15238136, 43.66276178], [7.15248799, 43.6626612]]}
06027;2018-11-08;;Elargissement du Passage des Pointus;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P20;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.16110742, 43.65656695], [7.16094309, 43.6567401], [7.16087147, 43.65680879], [7.16081477, 43.65685454], [7.16075476, 43.65691557], [7.16062593, 43.65703166], [7.16059426, 43.65701967], [7.16045041, 43.65697748], [7.16002919, 43.65686413]]}
06027;2018-11-08;;Création d'un chemin piéton allée des Romarins;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P29;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.16283439, 43.66495035], [7.16310292, 43.66455668], [7.16345279, 43.66468129], [7.16374948, 43.66390009]]}
06027;2018-11-08;;Cône de prescription de vue (L 1,23-1-7);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;07;;;SERV_VUE;PLU de Cagnes-Sur-Mer;2016-02-19;{"type": "LineString", "coordinates": [[7.14273683, 43.66543428], [7.14273433, 43.66543059], [7.14262044, 43.66525797], [7.14261026, 43.6652425], [7.14237676, 43.66488864], [7.1422407, 43.66468235], [7.14223485, 43.66467356], [7.14226363, 43.66467345], [7.14249593, 43.66467262], [7.14286111, 43.66467113], [7.14336241, 43.66466923]]}
