"id","titre","theme","type","finalite","description","pilote","Partenaires","adresse","adresse2","codepostal","ville","mail","trophee","url","lon","lat","code","code_type","code_theme"
"68","11 ème rencontre internationale de tir à l'arc sur cible 3D","Manifestations responsables","Consommation responsable","Consommation et production responsables","Consommation de ressources naturelles (bois, Label  PEFC), promotion du covoiturage, des TC, du vélo, favoriser les échanges intergénérationnels, restauration locale et de saison...Durée événement: 2 jours / Nombre de festivaliers: 270 archers","ESB indians arc","Ville de Blanquefort, Conseil Général Gironde, l’ADEME, le Conseil Régional d’Aquitaine,Lyonnaise des Eaux, la CUB,ESB Omnisports, FFTA,Ligue d’Aquitaine, Comité Girondin du tir à l’arc, Sweetair, Crédit Agricole de Blanquefort, Sud-Ouest, Centre Ouest A"," "," Parc de Fongravey et Domaine de Tanaïs","33294","Blanquefort"," "," ",NULL,"-0.607482","44.902177","4","2","7"
"24","21 actions en faveur du développement durable","EDD pour tous à tous les âges de la vie","EDD","Épanouissement de tous les êtres humains","Sensibilisation au développement durable et éco responsabilité associative.","Association cyclotourisme course à pied et randonnées diverses","Mission Agenda 21 de la Mairie d'Artigues"," 10 Avenue Desclaux","Hôtel de Ville","33370","Artigues Près Bordeaux","accord.artigues@free.fr"," ",NULL,"-0.491010","44.860657","5","3","3"
"69","36ème Championnat de France de tir à l’arc parcours Nature","Manifestations responsables","Consommation responsable","Consommation et production responsables","Gobelets et assiettes réutilisables, écocommunication, accessibilité aux PMR, partenaires locaux, promotion des TC, gestion et tri des déchets Durée de l’évènement : 3 jours Nombre de participants : 600 sportifs, 60 bénévoles, 30 arbitres","ESB indians arc","Ville de Blanquefort, FFTA, Ligue d’Aquitaine, Comité Girondin du tir à l’arc, Conseil Général Gironde, l’ADEME, le Conseil Régional d’Aquitaine, Sweetair, la CUB, Crédit Agricole de Blanquefort, Sud- Ouest, Centre Ouest Archery, Renault Caychac, BDS, Ti"," "," Parc de Fongravey et Domaine de Tanaïs","33295","Blanquefort"," "," ",NULL,"-0.607482","44.902177","4","2","7"
"509","3R concept « déchiquetage »","Déchets","Consommation responsable","Préservation de la biodiversité, protection des milieux et des ressources","Solutions de collecte et de valorisation de papiers de bureau usagés. destruction par un système de \"micro-déchiquetage \".","SARL 3R Concept","Créagir, Gironde initiative","3 Bis ZA du Grand Chemin"," ","33370","Yvrac","contact@3rconcept.fr"," ",NULL,"-0.463549","44.869225","2","2","8"
"426","5ème convention de jonglerie passe la balle","Manifestations responsables","Consommation responsable","Consommation et production responsables","Ouverture sur l’art du cirque et plus particulièrement du jonglage. Vaisselle réutilisable, décoration à base de matériaux de récupération, artistes locaux, tri des déchets... Durée événement : 4 jours / Nombre de festivaliers : 300","Association jonglargonne","Mairie de Saint André de Cubzac, Conseil Général de Gironde, IDDAC, Meduli Nature"," ","Salle ou extérieur","33240","Saint André de Cubzac"," "," ",NULL,"-0.437767","44.998758","4","2","7"
"110","A Fleur de rue","Participation","Gouvernance","Épanouissement de tous les êtres humains","Les citoyens des rues Montfaucon, Guépin et Ambroise se mobilisent pour changer le visage de leurs rues en les revégétalisant, en installant des bacs en pin maritime auto-construits, en supprimant les produits phytosanitaires.","Yakafocon","Friche & Cheap, Mairie de Bordeaux, CUB, l’Union St Jean","50 rue Montfaucon"," ","33800","Bordeaux","yaka.faucon@yahoo.fr"," ",NULL,"-0.562754","44.826752","5","4","6"
"3","A la découverte du safran","Santé environnementale","Consommation responsable","Épanouissement de tous les êtres humains","Faire découvrir la culture et le goût du safran.(sans arrosage, sans traitement chimique, sans engrais)","Pelette Jean-Noël","CG","34 rue du Maréchal Foch"," ","33440","Ambares et Lagrave","Jean-noel.pelette@orange.fr"," ",NULL,"-0.501206","44.951418","5","2","9"
"285","Abras Stratégie","EDD pour tous à tous les âges de la vie","EDD","Épanouissement de tous les êtres humains","Solution d’intégration complète du développement durable à destination des PME-PMI de la Gironde.","Abras Stratégie","Syndicat Mixte Pays Coeur Entre-Deux-Mers"," Route d’Auros","La Forge","33210","Langon"," "," ",NULL,"-0.242345","44.541392","5","3","3"
"89","Accompagnement Démarches Eco-responsabilité","Participation","Gouvernance","Épanouissement de tous les êtres humains","Démarche d’accompagnement aux collectivités volontaires : Le Pays a lancé un appel à intérêt pour ce dispositif d’accompagnement, 6 collectivités ont répondu à cet appel à intérêt.","Pays Haute Gironde","CG"," 32 rue des Maçons","Maison des Services au Public","33391","Blaye"," "," ",NULL,"-0.666480","45.127845","5","4","6"
"33","Accompagnement des artiguais","Ateliers avec les organismes sociaux","Développement solidaire","Cohésion sociale et solidarité entre les territoire et entre les générations","Sensibilisation aux économies d’eau et d’énergie proposée aux bénéficiaires du CCAS. Accompagnement de 2 familles dans la réduction de leurs consommations en eau et énergie.","Artigues Pres Bordeaux"," ","10 avenue Desclaux","Hôtel de Ville","33370","Artigues Pres Bordeaux","agenda21.artigues@fr.oleane.com"," ",NULL,"-0.491010","44.860657","3","5","4"
"225","Accompagnement des associations locales dans l’élaboration de projets éco-responsables","EDD pour tous à tous les âges de la vie","EDD","Épanouissement de tous les êtres humains","Rencontre des président(e)s des associations locales afin de réaliser des projets mutualisables à l’échelle de la vie associative locale. Création d'un livret d’information afin de transmettre l’ensemble des «clés» pour monter une action «durable».","CDC du Créonnais"," ","4 rue Régano"," ","33670","Créon"," "," ",NULL,"-0.343360","44.754037","5","3","3"
"242","Actions de sensibilisation à l’environnement et à l’économie durable","EDD pour tous à tous les âges de la vie","EDD","Épanouissement de tous les êtres humains","Série de rencontres et de conférences sur la biodiversité, la qualité de l’air, la consommation.","Eysines"," ","Rue de l'Hôtel de Ville","Hôtel de Ville","33327","Eysines"," "," ",NULL,"-0.648331","44.886087","5","3","3"
"175","Agendas 21 partagés","A21 Territorial","Démarche Globale","Tous","Les Agendas 21 partagés permettent aux communes d’intégrer des problématiques de développement durable et à la CCE de renforcer son action sur le territoire. Chaque année, les communes et la CCE définissent des chantiers communs.","CDC de l’Estuaire"," ","38 avenue de la République"," ","33820","Braud et Saint-Louis","celine.carbon@cc-estuaires.fr"," ",NULL,"-0.624870","45.250535","6","0","16"
"257","Agir dans les centres d'accueil jeunesse et sport","Santé environnementale","Consommation responsable","Épanouissement de tous les êtres humains","Sensibilisation et diagnostic dans les centres d'accueil jeunesse et sport. Formulation des objectifs : Qualité de l'air intérieur, alimentation, biodiversité et espaces verts, matériaux de construction.","CDC Captieux Grignols"," ","56 allée Saint Michel"," ","33690","Grignols","maisondelenfancecaptieux@orange.fr"," ",NULL,"-0.042172","44.389609","5","2","9"
"65","Agir ensemble pour un monde solidaire","EDD pour tous à tous les âges de la vie","EDD","Épanouissement de tous les êtres humains","Éducation au développement durable. Coopération internationale avec le Sénégal","Centre départemental de Formation d'Apprentis Agricoles","CdC de l’Estuaire, la Mairie de Reignac, la Fédération des Anciens Combattants de Braud et St Louis, l’AMicale de l’Enseignement Public Agricole de Pugnac et le Centre de Formation Multi métiers de Reignac","84 Avenue du Général de Gaulle"," ","33294","Blanquefort"," ","Coup de cœur 2008",NULL,"-0.607482","44.902177","5","3","3"
"457","Agriculture raisonnée et sensibilisation à l’environnement","Biodiversité","Territoire et ville durables","Préservation de la biodiversité, protection des milieux et des ressources","Protection et valorisation de l'environnement par des pratiques agricoles respectueuses, par l'utilisation d'énergies renouvelables.","Château Cablanc"," ","Château Cablanc"," ","33350","Saint Pey de Castets","reception@chateaucablanc.com","Coup de cœur 2009",NULL,"-0.067043","44.812798","2","1","1"
"84","Aide humanitaire et découverte du Maroc","EDD pour tous à tous les âges de la vie","EDD","Épanouissement de tous les êtres humains"," Collecte humanitaire en faveur des cancéreux démunis du Maroc, correspondance, visite en 3ème… / Implication des élèves de SEGPA","Collège Vauban"," ","9 rue du Dr Boutin"," ","33390","Blaye","ce.0332347x@ac-bordeaux.fr","Lauréat 2010",NULL,"-0.657954","45.124721","5","3","3"
"118","Alter Mundi","Achats publics/responsables","Consommation responsable","Consommation et production responsables"," Boutique et lieu de vie sur le commerce équitable et solidaire","Alter Mundi"," ","16 rue des Bahutiers"," ","33000","Bordeaux","bordeaux@altermundi.com"," ",NULL,"-0.570622","44.839117","4","2","13"
"26","AMAP ART","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP ART"," "," "," ","33370","Artigues Pres Bordeaux"," "," "," ","-0.487275","44.861215","4","2","2"
"503","AMAP Association de Marjolaine","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de Marjolaine"," "," "," ","33883","Villenave d'Ornon","panierdemarjolaine@wanadoo.fr"," "," ","-0.551947","44.772865","4","2","2"
"58","AMAP Bègles 3","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Bègles 3"," "," "," ","33130","Bègles"," "," "," ","-0.548335","44.802856","4","2","2"
"138","AMAP Bordeaux Bastille","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Bordeaux Bastille"," "," "," ","33000","Bordeaux"," "," "," ","-0.583521","44.841569","4","2","2"
"407","AMAP Brouettes et Paniers","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Brouettes et Paniers"," "," "," ","33710","Prignac et Marcamps","brouettes-et-paniers@neuf.fr"," "," ","-0.499179","45.023805","4","2","2"
"182","AMAP Cadaujac","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Cadaujac"," "," "," ","33140","Cadaujac","amapcadaujac@yahoo.fr"," "," ","-0.531853","44.745755","4","2","2"
"202","AMAP Carignan de Bordeaux","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Carignan de Bordeaux"," "," "," ","33360","Carignan de Bordeaux","famille.LHOMET@WANADOO.fr"," "," ","-0.473445","44.807004","4","2","2"
"204","AMAP Castelamap","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Castelamap"," "," "," ","33480","Castelnau-Médoc","bonnetr@cegetel.com"," "," ","-0.814526","45.003604","4","2","2"
"206","AMAP Cenon","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Cenon"," "," "," ","33150","Cenon"," "," "," ","-0.522754","44.854879","4","2","2"
"231","AMAP Cussac fort Médoc","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Cussac fort Médoc"," "," "," ","33460","Cussac fort Médoc"," "," "," ","-0.731267","45.118596","4","2","2"
"57","AMAP de Bègles","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de Bègles"," "," "," ","33130","Bègles","marylene.geraud@wanadoo.fr"," "," ","-0.548335","44.802856","4","2","2"
"136","AMAP de Bordeaux centre","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de Bordeaux centre"," "," "," ","33000","Bordeaux"," "," "," ","-0.583521","44.841569","4","2","2"
"243","AMAP de Castillon","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de Castillon"," "," "," ","33350","Flaujagues"," "," "," ","0.026261","44.832479","4","2","2"
"214","AMAP de Cissac-Médoc","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de Cissac-Médoc"," "," "," ","33250","Cisssac Médoc","laurencedessimoulie@hotmail.com"," "," ","-0.842020","45.223496","4","2","2"
"135","AMAP 5 de cœur","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de cœur"," "," "," ","33000","Bordeaux"," "," "," ","-0.583521","44.841569","4","2","2"
"217","AMAP de Coutras","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de Coutras"," "," "," ","33230","Coutras","florencegq@yahoo.fr"," "," ","-0.100367","45.038175","4","2","2"
"220","AMAP de Créon","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de Créon"," "," "," ","33670","Créon"," "," "," ","-0.343360","44.754037","4","2","2"
"261","AMAP de Gujan Maestras","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de Gujan Maestras"," "," "," ","33470","Gujan Mestras","amapGujan@yahoo.FR"," "," ","-1.078116","44.595024","4","2","2"
"179","AMAP de la Terre à l'Assiette","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Bruges-Le Bouscat"," "," "," ","33520","Bruges","selaur@orange.fr"," "," ","-0.603717","44.890832","4","2","2"
"345","AMAP de Mérignac","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de Mérignac"," "," "," ","33700","Mérignac"," "," "," ","-0.681418","44.834748","4","2","2"
"409","AMAP de Pujols sur Ciron","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de Pujols sur Ciron"," "," "," ","33210","Pujols sur Ciron","alain.botcazou@orange.fr"," "," ","-0.349474","44.576283","4","2","2"
"452","AMAP de Saint Médard en Jalles","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de Saint Médard en Jalles"," "," "," ","33160","Saint Médard en Jalles","amapsmj@free.fr"," "," ","-0.782278","44.890556","4","2","2"
"459","AMAP de Sainte Foy la Grande","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de Sainte Foy la Grande"," "," "," ","33230","Sainte Foy la grande","lesphilippons@wanadoo.fr"," "," ","0.217034","44.841082","4","2","2"
"492","AMAP de Tresses","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP de Tresses"," "," "," ","33370","Tresses","lagonarium@sfr.fr"," "," ","-0.474309","44.840784","4","2","2"
"299","AMAP Haillanaise","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Haillanaise"," "," "," ","33186","Le Haillan"," "," "," ","-0.690684","44.863331","4","2","2"
"269","AMAP Illats","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Illats"," "," "," ","33720","Illats"," "," "," ","-0.379985","44.609139","4","2","2"
"270","AMAP La Brède","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP La Brède"," "," "," ","33650","La Brède","ninichris@free.fr"," "," ","-0.539186","44.676715","4","2","2"
"256","AMAP la main aux paniers","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP organisée par l'ENITA (Ecole Nationale d'Ingénieurs des Travaux Agricoles)","AMAP la main aux paniers"," "," "," Cours du Général de Gaulle","33175","Gradignan","lamainauxpaniers@laposte.net"," "," ","-0.608160","44.792600","4","2","2"
"283","AMAP Lacanau","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Lacanau"," "," "," ","33680","Lacanau","amaplacanau@yahoo.fr"," "," ","-1.097561","44.978164","4","2","2"
"254","AMAP le Cabas","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP le Cabas"," "," "," ","33173","Gradignan"," "," "," ","-0.615876","44.770931","4","2","2"
"402","AMAP le Pompin'ambour","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP le Pompin'ambour"," "," "," ","33370","Pompignac","lepompinambour@gmail.com"," "," ","-0.434133","44.852900","4","2","2"
"301","AMAP Le Porge","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Le Porge"," "," "," ","33680","Le Porge"," "," "," ","-1.136981","44.872681","4","2","2"
"288","AMAP Les Agues","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Les Agues"," "," "," ","33138","Lanton","danielle.trannoy@wanadoo.fr"," "," ","-1.017219","44.756386","4","2","2"
"360","AMAP Les esteys","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Les Esteys"," "," "," ","33290","Parempuyre","amaplesesteys@gmail.com"," "," ","-0.583340","44.950995","4","2","2"
"523","AMAP Les Gourmandignes","Amap/Circuits-courts","Consommation responsable","Consommation et production responsable","AMAP","Les Gourmandignes",NULL,"Rue Arago","Centre Social de la Colline","33150","Cenon",NULL,NULL,NULL,"-0.532783","44.854397","4","2","2"
"464","AMAP les Jardins de Sillac","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP les Jardins de Sillac"," "," "," ","33770","Salles","amapsillac@gmail.com"," "," ","-0.888925","44.538052","4","2","2"
"61","AMAP Lou Casalot","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Lou Casalot"," "," "," ","33830","Belin-Beliet","amap.loucasalot@gmail.com"," "," ","-0.801543","44.487084","4","2","2"
"255","AMAP Malartic Gradignan","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Malartic Gradignan"," "," "," ","33173","Gradignan"," "," "," ","-0.615876","44.770931","4","2","2"
"346","AMAP Mérignac Capeyron","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Mérignac Capeyron"," "," "," ","33700","Mérignac","Pass.Terre33@gmail.com"," "," ","-0.681418","44.834748","4","2","2"
"233","AMAP papille-Eysine","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP papille-Eysine"," "," "," ","33327","Eysine"," "," "," ","-0.645911","44.878982","4","2","2"
"308","AMAP Pêche de vigne","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Pêche de vigne"," "," "," ","33830","Leognan","pechedevigne@free.fr"," "," ","-0.617431","44.718100","4","2","2"
"410","AMAP Quinsac","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Quinsac"," "," "," ","33360","Quinsac"," "," "," ","-0.487364","44.749318","4","2","2"
"441","AMAP Saint Jean d'Illac","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Saint Jean d'Illac"," "," "," ","33127","Saint Jean d'Illac"," "," "," ","-0.813775","44.783510","4","2","2"
"447","AMAP Saint Macaire","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP Saint Macaire"," "," "," ","33490","Saint Macaire"," "," "," ","-0.233514","44.563230","4","2","2"
"16","AMAP Sud Bassin au Teich","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP- Pêcheurs","AMAP Sud Bassin au Teich"," "," "," ","33120","Arcachon"," "," "," ","-1.172605","44.655466","4","2","2"
"398","AMAP terre d'Adèles","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAP terre d'Adèles"," "," "," ","33604","Pessac","terredadeles@free.fr"," "," ","-0.681415","44.794718","4","2","2"
"75","AMAPlanète Blanquefort","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","AMAP","AMAPlanète Blanquefort"," "," "," ","33294","Blanquefort","amapblanquefort@yahoo.fr"," "," ","-0.607482","44.902177","4","2","2"
"7","Ambarès la Grave","A21 Territorial","Démarche Globale","Tous","A21","Ambares et Lagrave"," ","Place de la Victoire","Hôtel de Ville","33440","Ambares et Lagrave"," "," ",NULL,"-0.491442","44.925634","6","0","16"
"297","Aménagement d’une aire de jeux (la Chêneraie) pour enfants","Eco construction","Territoire et ville durables","Lutte contre le changement climatique et protection de l'atmosphère","Inauguration d’une nouvelle aire de jeux entièrement durable (bois naturel non traité, pas de peinture, sol en écorces de pins, accessibilité pour tous…)","Le Bouscat"," ","Place Gambetta","Hôtel de Ville","33491","Le Bouscat"," "," ",NULL,"-0.600260","44.865485","1","1","5"
"165","Aménagements paysagers des fenêtres ouvertes sur l’estuaire","Biodiversité","Territoire et ville durables","Préservation de la biodiversité, protection des milieux et des ressources","Amélioration de l’attractivité touristique des 9 Fenêtres sur l’Estuaire via un aménagement paysager, une démarche de coconstruction, de respect des environnements (choix des plantes, identification des cantonniers comme des personnes ressources)","CDC du canton de Bourg en Gironde","Etudiants de l’École du Paysage de Bordeaux, CFA de Pugnac, LEPA de Blanquefort, un pépiniériste local","8 au Mas"," ","33710","Bourg","economie.agenda21@bourg-en-gironde.fr"," ",NULL,"-0.558557","45.043091","2","1","1"
"460","AMS Bois","Déchets","Consommation responsable","Préservation de la biodiversité, protection des milieux et des ressources","Mise en place de silo pour compostage et fabrication de traverses de jardin à partir de bois récupérés suite à la tempête Klauss.","AMS Bois","Scierie Labrousse, MCTM 44","Les Arqueys"," ","33580","Sainte Gemme","asmbois@orange.fr"," ",NULL,"0.081850","44.635243","2","2","8"
"382","Animasia","Manifestations responsables","Consommation responsable","Consommation et production responsables","Voyagez au coeur de l’Asie grâce à cet évènement, dédié aux cultures asiatiques (projections cinématographiques, conférences, ateliers…).  Consommation responsable, tri des déchets... Durée de l’évènement : 2 jours","Mandora","Établissements scolaires de Pessac, ADEME, MNE, CG, Agenda 21 de Pessac"," "," ","33600","Pessac","damien.b@asso-mandora.com"," ",NULL,"-0.681415","44.794718","4","2","7"
"149","Animation du Conseil Départemental des Agenda 21 locaux","EDD pour tous à tous les âges de la vie","EDD","Épanouissement de tous les êtres humains","Création d'un réseau afin de soutenir et d'accompagner les collectivités en Agenda 21 (mise en commun d'outils et de démarches, échanges...).","CG","Toutes les collectivités engagées en Agenda 21, DIREN, DRIRE, Inspection académique, Rectorat, CAF, ADEME, universités, chambres consulaires…","Esplanade Charles de Gaulle"," ","33074","Bordeaux","agenda21gironde@cg33.fr"," ",NULL,"-0.586000","44.837000","5","3","3"
"334","Animations de quartiers","EDD pour tous à tous les âges de la vie","EDD","Épanouissement de tous les êtres humains","Sensibilisation au développement durable à travers des animations de quartier.","Domaine de Fantaisie","Collège des Eyquems, Ville de Mérignac, associations caritatives de la ville, centre d'animation de Mérignac, comités des fêtes, Les Restos du cœur","8 rue de Veyrines"," ","33700","Mérignac","domainedefantaisie@orange.fr"," ",NULL,"-0.648742","44.825949","5","3","3"
"126","Anne Stram Gram : \"recycler pour créer\"","Déchets","Consommation responsable","Préservation de la biodiversité, protection des milieux et des ressources","Recyclage et innovation, production et consommation responsables. Création de modèles uniques réalisés à partir de vêtements recyclés/Développement du concept auprès des PMR","Blaine Anne","EMMAUS, AMOS"," "," ","33100","Bordeaux"," ","Lauréat 2008",NULL,"-0.583521","44.841569","2","2","8"
"205","Art-Eco","Santé environnementale","Consommation responsable","Épanouissement de tous les êtres humains","Information et de sensibilisation sur les risques des peintures traditionnelles et les avantages des peintures naturelles","Art-Eco sarl","OSEO, Créagir","13 rue Pierre Curie"," ","33150","Cenon","art.eco.dazols@orange.fr"," ",NULL,"-0.532543","44.858215","5","2","9"
"27","Artigues Près Bordeaux","A21 Territorial","Démarche Globale","Tous","A21","Artigues Près Bordeaux"," ","10 Avenue Desclaux","Hôtel de Ville","33370","Artigues Pres Bordeaux","agenda21.artigues@fr.oleane.com"," ",NULL,"-0.491010","44.860657","6","0","16"
"390","Ateliers économes pour la lutte contre la précarité énergétique","Participation","Gouvernance","Épanouissement de tous les êtres humains"," Engagement d'un panel d'habitants à travers une charte (Suivi d'ateliers de sensibilisation aux gestes économes, kit de matériel économe, suivi de leurs consommations mensuelles…)","Pessac","CG, Centres sociaux, CCAS, GIP FSL, ANAH, Pôles solidarité EDF, Lyonnaise des eaux, Gaz de bordeaux, ASTI, syndicats de quartier...."," Place de 5ème République","Hôtel de Ville","33604","Pessac","courrier@mairie-pessac.fr","Coup de cœur 2010",NULL,"-0.681415","44.794718","5","4","6"
