"code CNIS";"sigle type formation";"libellé type formation";"libellé formation principal";"libellé formation complémentaire";"sigle formation";durée;"code RNCP";"niveau RNCP";"libellé niveau RNCP";tutelle;"lien site onisep.fr";domaine/sous-domaine
200;;master;"master mention instrumentation, mesure, métrologie";;;"2 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5118;"mécanique/automatismes ; électricité - électronique - robotique/électronique ; sciences/physique"
200;;"formation d'école spécialisée";"Cycle préparatoire ingénieur aux EI CESI option gestionnaire en organisation et performance industrielle";;CESI;"2 ans";;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.5862;"matières premières, fabrication, industries/fabrication - productique ; matières premières, fabrication, industries/fonction production (généralités) ; logistique - transport/logistique ; matières premières, fabrication, industries/maintenance - qualité ; matières premières, fabrication, industries/méthodes industrialisation"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École polytechnique universitaire de l'université de Lorraine spécialité génie industriel et gestion des risques";;Polytech;"5 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5916;"environnement - énergies - propreté/déchets, pollutions et risques ; environnement - énergies - propreté/énergies ; matières premières, fabrication, industries/génie industriel ; logistique - transport/logistique ; matières premières, fabrication, industries/maintenance - qualité ; armée, sécurité/sécurité prévention"
200;"mastère spé.";"mastère spécialisé";"mastère spé. Manager de process industriel innovant, industrie 4.0 (ITECH Lyon)";;;"1 an";;0;"non inscrit au RNCP";;http://www.onisep.fr/http/redirection/formation/slug/FOR.2452;"matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/génie industriel ; matières premières, fabrication, industries/méthodes industrialisation"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École nationale supérieure d'ingénieurs de Caen spécialité matériaux et mécanique";;ENSICAEN;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6068;"matières premières, fabrication, industries/études et développement ; matières premières, fabrication, industries/matériaux ; mécanique/mécanique (généralités)"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École catholique d'arts et métiers de la Fondation ECAM LaSalle spécialité mécanique et génie électrique (ECAM Engineering pour étudiants internationaux)";;;"5 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6257;"arts, culture, artisanat/arts graphiques ; mécanique/automatismes ; environnement - énergies - propreté/énergies ; matières premières, fabrication, industries/études et développement ; matières premières, fabrication, industries/génie industriel ; logistique - transport/logistique ; information-communication, audiovisuel/multimédia"
200;;"formation d'école spécialisée";"Parcours des écoles d'ingénieurs Polytech (1re année)";;Peip;"1 an";;0;"non inscrit au RNCP";;http://www.onisep.fr/http/redirection/formation/slug/FOR.4172;"matières premières, fabrication, industries/fonction production (généralités)"
200;;"baccalauréat professionnel";"bac pro Étude et définition de produits industriels";;EDPI;"3 ans";;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.1094;"matières premières, fabrication, industries/études et développement ; informatique, internet/informatique industrielle et technologique ; mécanique/mécanique (généralités)"
200;DUT;"diplôme universitaire de technologie";"DUT Génie industriel et maintenance";;GIM;"2 ans";;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.3942;"mécanique/automatismes ; électricité - électronique - robotique/électrotechnique ; environnement - énergies - propreté/énergies ; matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/génie industriel ; matières premières, fabrication, industries/maintenance - qualité ; mécanique/mécanique (généralités)"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'Institut national des sciences appliquées Centre Val de Loire spécialité génie industriel";;INSA;"5 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5395;"commerce, marketing, vente/achat, approvisionnement ; mécanique/automatismes ; mécanique/automobile ; informatique, internet/bases de données ; environnement - énergies - propreté/déchets, pollutions et risques ; matières premières, fabrication, industries/études et développement ; matières premières, fabrication, industries/fabrication - productique ; matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/génie industriel ; informatique, internet/informatique (généralités) ; informatique, internet/informatique industrielle et technologique ; matières premières, fabrication, industries/maintenance - qualité ; mécanique/mécanique (généralités) ; matières premières, fabrication, industries/méthodes industrialisation ; sciences/physique ; armée, sécurité/sécurité prévention ; informatique, internet/systèmes et réseaux ; électricité - électronique - robotique/télécommunications ; logistique - transport/transport"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École nationale supérieure d'ingénieurs de Bretagne-Sud de l'université de Bretagne-Sud spécialité génie industriel";;ENSIBS;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5982;"mécanique/automatismes ; matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/génie industriel ; matières premières, fabrication, industries/méthodes industrialisation ; armée, sécurité/sécurité prévention"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur du CNAM spécialité génie industriel en partenariat avec l'ITII Normandie";;Cnam;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.6094;"environnement - énergies - propreté/énergies ; matières premières, fabrication, industries/génie industriel ; matières premières, fabrication, industries/maintenance - qualité ; matières premières, fabrication, industries/méthodes industrialisation"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École CentraleSupélec";;CentraleSupélec;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.1423;"mécanique/aéronautique ; environnement - énergies - propreté/aménagement du territoire ; mécanique/automatismes ; mécanique/automobile ; informatique, internet/bases de données ; informatique, internet/développement - programmation -  logiciel ; électricité - électronique - robotique/électronique ; électricité - électronique - robotique/électrotechnique ; environnement - énergies - propreté/énergies ; environnement - énergies - propreté/environnement (généralités) ; matières premières, fabrication, industries/études et développement ; banque - assurances - immobilier/finances ; matières premières, fabrication, industries/fonction production (généralités) ; construction - architecture - travaux publics/génie civil, construction (généralités) ; matières premières, fabrication, industries/génie industriel ; informatique, internet/informatique (généralités) ; commerce, marketing, vente/marketing - vente ; matières premières, fabrication, industries/matériaux ; sciences/mathématiques ; mécanique/mécanique (généralités) ; matières premières, fabrication, industries/méthodes industrialisation ; information-communication, audiovisuel/multimédia ; sciences/physique ; santé - social - sport/santé (généralités) ; informatique, internet/systèmes et réseaux ; information-communication, audiovisuel/technologies de l'information ; électricité - électronique - robotique/télécommunications ; logistique - transport/transport ; environnement - énergies - propreté/urbanisme"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École nationale supérieure d'arts et métiers spécialité environnement et gestion des risques en partenariat avec l'ITII des Deux-Savoies";;ENSAM;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6055;"gestion des entreprises, comptabilité/administration de l'entreprise ; environnement - énergies - propreté/déchets, pollutions et risques ; matières premières, fabrication, industries/études et développement ; matières premières, fabrication, industries/fabrication - productique ; matières premières, fabrication, industries/génie industriel ; matières premières, fabrication, industries/méthodes industrialisation ; armée, sécurité/sécurité prévention"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur du CESI";;CESI;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5720;"environnement - énergies - propreté/environnement (généralités) ; matières premières, fabrication, industries/études et développement ; matières premières, fabrication, industries/fabrication - productique ; matières premières, fabrication, industries/fonction production (généralités) ; construction - architecture - travaux publics/génie civil, construction (généralités) ; matières premières, fabrication, industries/génie industriel ; logistique - transport/logistique ; matières premières, fabrication, industries/maintenance - qualité ; matières premières, fabrication, industries/méthodes industrialisation ; armée, sécurité/sécurité prévention"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École d'ingénieurs en génie des systèmes industriels";;EIGSI;"5 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.694;"construction - architecture - travaux publics/architecture ; mécanique/automatismes ; environnement - énergies - propreté/énergies ; environnement - énergies - propreté/environnement (généralités) ; matières premières, fabrication, industries/études et développement ; matières premières, fabrication, industries/fonction production (généralités) ; construction - architecture - travaux publics/génie civil, construction (généralités) ; matières premières, fabrication, industries/génie industriel ; logistique - transport/logistique ; mécanique/mécanique (généralités) ; matières premières, fabrication, industries/méthodes industrialisation ; informatique, internet/systèmes et réseaux ; information-communication, audiovisuel/technologies de l'information ; électricité - électronique - robotique/télécommunications ; logistique - transport/transport"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École nationale supérieure de génie industriel de l'Institut polytechnique de Grenoble en partenariat avec l'ITII Dauphiné Vivarais";;;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5825;"environnement - énergies - propreté/environnement (généralités) ; matières premières, fabrication, industries/génie industriel ; matières premières, fabrication, industries/maintenance - qualité"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'Institut national des sciences appliquées de Rennes spécialité électronique en convention avec le CESI";;INSA;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6071;"électricité - électronique - robotique/électronique ; matières premières, fabrication, industries/études et développement ; matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/génie industriel ; matières premières, fabrication, industries/méthodes industrialisation"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur du CNAM spécialité génie industriel en partenariat avec IF3E";;Cnam;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6248;"environnement - énergies - propreté/énergies ; matières premières, fabrication, industries/études et développement ; construction - architecture - travaux publics/génie civil, construction (généralités) ; matières premières, fabrication, industries/génie industriel ; matières premières, fabrication, industries/méthodes industrialisation ; armée, sécurité/sécurité prévention"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur du CNAM spécialité mécatronique en convention avec l'université de Poitiers";;Cnam;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6060;"mécanique/automatismes ; électricité - électronique - robotique/électronique ; matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/maintenance - qualité ; mécanique/mécanique (généralités)"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École supérieure des technologies industrielles avancées";;ESTIA;"3 ans";;1;"niveau 7 (bac + 5)";"Chambre de commerce et d'industrie";http://www.onisep.fr/http/redirection/formation/slug/FOR.1056;"mécanique/automatismes ; informatique, internet/bases de données ; électricité - électronique - robotique/électronique ; environnement - énergies - propreté/énergies ; environnement - énergies - propreté/environnement (généralités) ; matières premières, fabrication, industries/études et développement ; matières premières, fabrication, industries/fabrication - productique ; matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/génie industriel ; informatique, internet/informatique (généralités) ; logistique - transport/logistique ; matières premières, fabrication, industries/maintenance - qualité ; mécanique/mécanique (généralités) ; matières premières, fabrication, industries/méthodes industrialisation ; histoire/géographie, psychologie, sociologie/psychologie ; informatique, internet/systèmes et réseaux ; électricité - électronique - robotique/télécommunications"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École nationale supérieure d'arts et métiers";;ENSAM;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5339;"mécanique/aéronautique ; mécanique/automatismes ; matières premières, fabrication, industries/bois ; électricité - électronique - robotique/électronique ; électricité - électronique - robotique/électrotechnique ; environnement - énergies - propreté/énergies ; matières premières, fabrication, industries/études et développement ; matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/génie industriel ; matières premières, fabrication, industries/matériaux ; mécanique/mécanique (généralités) ; matières premières, fabrication, industries/méthodes industrialisation ; logistique - transport/transport"
200;DUT;"diplôme universitaire de technologie";"DUT Qualité, logistique industrielle et organisation";;QLIO;"2 ans";;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.613;"mécanique/automatismes ; matières premières, fabrication, industries/fabrication - productique ; logistique - transport/logistique ; matières premières, fabrication, industries/maintenance - qualité ; matières premières, fabrication, industries/méthodes industrialisation ; sciences/physique"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'université de technologie de Troyes spécialité génie industriel";;UTT;"5 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5456;"environnement - énergies - propreté/déchets, pollutions et risques ; environnement - énergies - propreté/environnement (généralités) ; matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/génie industriel ; logistique - transport/logistique ; matières premières, fabrication, industries/maintenance - qualité ; armée, sécurité/sécurité prévention ; logistique - transport/transport"
201;"mastère spé.";"mastère spécialisé";"mastère spé. COLROBOT - expert en robotique collaborative pour l'industrie du futur (Arts et Métiers ParisTech)";;;"1 an";;0;"non inscrit au RNCP";;http://www.onisep.fr/http/redirection/formation/slug/FOR.4256;"mécanique/automatismes ; matières premières, fabrication, industries/méthodes industrialisation"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'Institut national des sciences appliquées de Toulouse spécialité informatique et réseaux";;INSA;"5 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5405;"informatique, internet/bases de données ; informatique, internet/développement - programmation -  logiciel ; informatique, internet/informatique (généralités) ; informatique, internet/informatique industrielle et technologique ; informatique, internet/systèmes et réseaux"
201;;"formation d'école spécialisée";"Chargé des systèmes numériques industriels";;;"2 ans";;3;"niveau 5 (bac + 2)";;http://www.onisep.fr/http/redirection/formation/slug/FOR.1917;"mécanique/automatismes ; électricité - électronique - robotique/électrotechnique ; matières premières, fabrication, industries/maintenance - qualité ; mécanique/mécanique (généralités)"
201;;"formation d'école spécialisée";"Master international automatique robotic Robotics and Transport";;;"2 ans";;0;"non inscrit au RNCP";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.1370;"mécanique/automatismes ; logistique - transport/transport"
201;"mastère spé.";"mastère spécialisé";"mastère spé. Procédés du futur et robotisation (ESTIA - SIGMA Clermont)";;;"1 an";;0;"non inscrit au RNCP";;http://www.onisep.fr/http/redirection/formation/slug/FOR.1602;"mécanique/automatismes ; matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/méthodes industrialisation"
201;;"licence professionnelle";"licence pro mention maintenance et technologie : électronique, instrumentation";;;"1 an";;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5198;"électricité - électronique - robotique/électronique"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École nationale supérieure d'électronique, informatique, télécommunications spécialité mathématique appliquées et mécanique";;ENSEIRB-MATMECA;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5617;"banque - assurances - immobilier/assurances ; banque - assurances - immobilier/banque ; environnement - énergies - propreté/énergies ; matières premières, fabrication, industries/études et développement ; banque - assurances - immobilier/finances ; informatique, internet/informatique (généralités) ; informatique, internet/informatique pour la recherche ; matières premières, fabrication, industries/matériaux ; sciences/mathématiques ; mécanique/mécanique (généralités) ; sciences/physique"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École supérieure Angevine d'informatique et de productique spécialité sécurité et prévention des risques";;ESAIP;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5863;"environnement - énergies - propreté/déchets, pollutions et risques ; environnement - énergies - propreté/énergies ; matières premières, fabrication, industries/fabrication - productique ; matières premières, fabrication, industries/fonction production (généralités) ; informatique, internet/informatique (généralités) ; matières premières, fabrication, industries/maintenance - qualité ; armée, sécurité/sécurité prévention"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'Institut national des sciences appliquées Hauts-de-France spécialité génie électrique et informatique industrielle en partenariat avec l'ITII Nord Pas de Calais";;"INSA HF";"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6010;"informatique, internet/bases de données ; électricité - électronique - robotique/électronique ; électricité - électronique - robotique/électrotechnique ; agriculture, animaux/élevage - aquaculture ; environnement - énergies - propreté/énergies ; environnement - énergies - propreté/environnement (généralités) ; matières premières, fabrication, industries/fonction production (généralités) ; informatique, internet/informatique industrielle et technologique ; logistique - transport/transport"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École centrale de Lille spécialité génie informatique et industriel";;IG2I;"5 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5357;"informatique, internet/développement - programmation -  logiciel ; électricité - électronique - robotique/électronique ; matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/génie industriel ; informatique, internet/informatique (généralités) ; informatique, internet/informatique industrielle et technologique ; information-communication, audiovisuel/technologies de l'information"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École nationale supérieure Mines-Télécom Lille Douai spécialité génie industriel en partenariat avec IPHC";;IMT;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5582;"gestion des entreprises, comptabilité/administration de l'entreprise ; mécanique/automatismes ; matières premières, fabrication, industries/fabrication - productique ; matières premières, fabrication, industries/fonction production (généralités) ; matières premières, fabrication, industries/génie industriel ; logistique - transport/logistique ; matières premières, fabrication, industries/maintenance - qualité ; matières premières, fabrication, industries/méthodes industrialisation"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'Institut national des sciences appliquées de Toulouse spécialité automatique et électronique";;INSA;"5 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5558;"mécanique/automatismes ; électricité - électronique - robotique/électronique ; matières premières, fabrication, industries/fonction production (généralités) ; informatique, internet/informatique (généralités) ; informatique, internet/informatique industrielle et technologique"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École polytechnique universitaire de l'université de Tours spécialité informatique industrielle en partenariat avec l'ITII Centre-Val de Loire";;Polytech;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6174;"informatique, internet/bases de données ; électricité - électronique - robotique/électronique ; construction - architecture - travaux publics/équipement technique ; informatique, internet/informatique (généralités) ; informatique, internet/informatique industrielle et technologique ; logistique - transport/transport"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de Télécom Physique Strasbourg de l'université de Strasbourg spécialité électronique et informatique industrielle en partenariat avec l'ITII Alsace";;TPS;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5290;"électricité - électronique - robotique/électronique ; informatique, internet/informatique (généralités) ; informatique, internet/informatique industrielle et technologique ; informatique, internet/systèmes et réseaux ; électricité - électronique - robotique/télécommunications"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'Institut national des sciences appliquées de Strasbourg spécialité mécatronique en partenariat avec l'ITII Alsace";;INSA;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6128;"mécanique/automatismes ; électricité - électronique - robotique/électronique ; matières premières, fabrication, industries/études et développement ; matières premières, fabrication, industries/fonction production (généralités)"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École polytechnique universitaire de l'université Paris XI spécialité informatique en partenariat avec l'ITII Ile de France";;Polytech;"5 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5411;"informatique, internet/informatique (généralités)"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de Télécom Nancy de l'université de Lorraine";;IMT;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.611;"mécanique/automatismes ; informatique, internet/bases de données ; informatique, internet/développement - programmation -  logiciel ; électricité - électronique - robotique/électronique ; matières premières, fabrication, industries/fonction production (généralités) ; informatique, internet/informatique (généralités) ; informatique, internet/informatique industrielle et technologique ; information-communication, audiovisuel/multimédia ; informatique, internet/systèmes et réseaux ; information-communication, audiovisuel/technologies de l'information ; électricité - électronique - robotique/télécommunications"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'EPF spécialité systèmes d'information et génie industriel";;EPF;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6226;"mécanique/automatismes ; informatique, internet/bases de données ; électricité - électronique - robotique/électronique ; matières premières, fabrication, industries/génie industriel ; informatique, internet/informatique industrielle et technologique ; logistique - transport/logistique ; sciences/physique ; informatique, internet/systèmes et réseaux ; information-communication, audiovisuel/technologies de l'information"
210;MSc;"master of science";"MSc Wine and Spirits Management";;;"1 an";;0;"non inscrit au RNCP";;http://www.onisep.fr/http/redirection/formation/slug/FOR.4409;"matières premières, fabrication, industries/agroalimentaire ; commerce, marketing, vente/grande distribution et petits commerces"
210;;"formation d'école spécialisée";"Technicien jardins espaces verts";;;"1 an";;4;"niveau 4 (bac ou équivalent)";;http://www.onisep.fr/http/redirection/formation/slug/FOR.3056;"agriculture, animaux/agriculture (généralités) ; environnement - énergies - propreté/aménagement paysager"
