Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
DEGAQU024FS00016,17/01/2020,Producteur,Château Laulerie / Domaine du Gouyat,Vignobles Dubard,,,Le Gouyat,24610,SAINT-MEARD-DE-GURCON,24461,+33 5 53 82 48 31,,contact@vignoblesdubard.fr,http://www.vignoblesdubard.fr,0.19006132,44.8919987,Oui,"
Vins",,,,,02/01/2020|31/12/2020|08:30|12:30|13:30|17:30|Dimanche - Samedi,"Visite-dégustation|0,00||Gratuit",Visite guidée,Anglais # Français # Italien,,Espace jeux # Wifi
DEGAQU047FS00048,03/01/2020,Producteur,Château Lavanau,,,,,47120,LOUBES-BERNAC,47151,+33 5 53 94 86 45,,juliana.uhart@gmail.com,http://chateaulavanau.com,0.29616951,44.7429955,Oui,"
Vins",,,,,,,,Anglais # Français,,
DEGAQU033V503JFZ,25/01/2020,Producteur,Château Les Arqueys,,,Le Grand Janot,,33580,SAINTE-GEMME,33404,+33 5 56 61 81 69,+33 6 30 94 12 39 # +33 6 37 25 28 29,sandracho@orange.fr,,0.07013346,44.6218587,Oui,"
Pruneaux # Vins",,,,,01/01/2020|31/12/2020|||||,Gratuit|||,Visite guidée uniquement sur rendez-vous,Anglais # Français,,Boutique # Wifi
DEGAQU024FS0000R,09/01/2020,Producteur,Château Moulin Caresse,,,1235 route de Couin,Couin,24230,SAINT-ANTOINE-DE-BREUILH,24370,+33 5 53 27 55 58,,contact@moulincaresse.fr,http://www.moulincaresse.fr,0.13468980,44.8591428,Oui,"
Vins",,,,Bienvenue à la Ferme # Vigneron Indépendant,02/01/2020|30/04/2020|09:00|12:00|14:00|18:00|Dimanche - Samedi # 01/05/2020|31/08/2020|09:00|12:00|14:00|18:00|Dimanche,,Visite guidée uniquement sur rendez-vous,Anglais # Français,,
DEGAQU024FS0002I,03/01/2020,Producteur,Château Pagnon,,,38 Avenguda del Peirigord,,24230,VELINES,24568,+33 5 53 27 10 72,,chateau.pagnon@wanadoo.fr,http://www.chateaupagnon.fr/,0.10992765,44.8496699,Oui,"
Vins",,,,Vignobles et découvertes,,,Visite guidée uniquement sur rendez-vous,Français,,Boutique # Wifi
DEGAQU024V50D4Q0,03/01/2020,Producteur,Château Roque Peyre - GAEC de Mazurie,,,,Roque,33220,FOUGUEYROLLES,24189,+33 5 53 73 06 98,+33 6 26 95 49 29,gaecdemazurie@gmail.com,,0.17222105,44.8652451,Oui,"
Vins",,,,,02/01/2020|30/06/2020||||| # 01/07/2020|31/08/2020|08:00|||18:00| # 01/09/2020|31/12/2020|||||,,Visite guidée uniquement sur rendez-vous,Français,,Boutique
DEGAQU024V50F7TG,28/01/2020,Producteur,Clos de Noël,,,,Noël,24560,FAURILLES,24176,,+33 7 86 28 21 33 # +33 6 45 16 55 72,eynardyohan@gmail.com,https://closdenoel.wixsite.com/closdenoel,0.6756680,44.7015270,Non,"
Vins",,,,,01/01/2020|31/12/2020|10:00|||18:00|,,Visite guidée # Visite guidée uniquement sur rendez-vous,Français,,Boutique
DEGAQU033FS001IP,03/01/2020,Producteur # Récoltant éleveur,Clos La Prévôté,EARL Louradour et Fils,,13 avenue de Paris,,33240,CUBZAC-LES-PONTS,33143,+33 5 57 43 02 17,+33 6 64 42 89 92,earl.louradour@orange.fr,http://closlaprevote.com, -0.4528700,44.9727581,Oui,"
Vins",,,,,01/01/2020|31/12/2020|11:00|12:30|14:30|19:30|Lundi,,Visite guidée uniquement sur rendez-vous,Français,,
DEGAQU040V506AGX,10/01/2019,Coopérative,Conserverie Péricou,,,,,40380,MONTFORT-EN-CHALOSSE,40194,+33 5 58 58 23 82,,conserverie-pericou@wanadoo.fr,, -0.8388260,43.7112950,,"
Foie gras",,,,,,,,,,
DEGAQU040FS000BL,27/01/2020,Coopérative,Copa Dax,,,1328 route de Bayonne,,40260,CASTETS,40075,+33 5 58 89 47 51,,copadax@copadax.fr,, -1.1612080,43.8642261,Oui,"
Fruits / légumes",,,,,15/03/2020|31/05/2020|09:00|||18:00|Dimanche,,,,,
DEGAQU047FS0002R,03/01/2020,Caveau de dégustation # Producteur,Côtes des Oliviers,,,,Les Oliviers,47140,AURADOU,47017,+33 5 53 41 28 59,,cotes-des-oliviers@wanadoo.fr,http://www.cotes-des-oliviers.fr,0.8104120,44.3346460,,"
Eau-de-vie de prune # Jus de fruits # Noix # Pruneaux # Vins",,,,,01/07/2020|31/08/2020|||||,"Gratuit|0,00|0,00|Visite et dégustation",Visite guidée uniquement sur rendez-vous,Français,,
DEGAQU024V500822,03/01/2020,Producteur,Délices de Turnac,,,,Turnac,24250,DOMME,24152,+33 9 79 33 97 23,+33 6 73 03 57 11,delicesdeturnac@wanadoo.fr,http://www.delicesdeturnac.com,1.21891693,44.8005487,Oui,"
Foie gras # Noix # Produits de canards gras",,,,,,,,Français,,
DEGAQU040V50K7X4,14/01/2020,Coopérative,DELPEYRAT - Site DELMAS,,,21 route de Taller,,40260,CASTETS,40075,+33 5 58 56 68 71,,info-boutiques@delpeyrat.fr,https://www.endirectdenosproducteurs.fr//salaries/boutiques-depeyrat, -1.1324147,43.8869272,Oui,"
Conserverie # Foie gras # Poisson # Produits de canards gras # Salaisons # Spiritueux # Volailles",,,,,01/01/2020|31/12/2020|10:00|13:00|14:00|17:30|Dimanche - Samedi,,,,,
DEGAQU040FS0008Q,03/01/2020,Producteur,Domaine Darmandieu,,,D6,,40300,SAINT-ETIENNE-D'ORTHE,40256,+33 5 58 73 22 33 # +33 5 58 73 22 22,,contact@domaine-darmandieu.com,http://www.domaine-darmandieu.com, -1.1596584,43.5787120,Oui,"
Fruits / légumes",,,,,02/01/2020|30/06/2020||||| # 17/08/2020|31/12/2020|||||,,Visite guidée uniquement sur rendez-vous,,,
DEGAQU04001ODHDB,03/01/2020,Producteur # Récoltant éleveur,Domaine d'Augeron,5 route du Penin,,,Domaine d'Augeron,40190,LE FRECHE,40100,,+33 6 20 40 72 22,domaine.augeron@orange.fr,htttp://www.augeron.com/, -0.2459573,43.9305476,Oui,"
Vins",,,,,,,Visite guidée uniquement sur rendez-vous,,,
DEGAQU024FS0000K,06/01/2020,Producteur,Domaine de Grange Neuve,Grange Neuve,,,,24240,POMPORT,24331,+33 5 53 58 42 23,,castaing@grangeneuve.fr,http://www.grangeneuve.fr,0.40167152,44.7941590,Oui,"
Vins",,,,Bienvenue à la Ferme # Vignobles et découvertes,01/01/2019|31/12/2019|09:00|12:00|14:00|18:00|,,Visite guidée uniquement sur rendez-vous,Anglais # Français,,Boutique # Espace jeux
DEGAQU024V505KB3,17/01/2020,Producteur,Domaine de Grimardy,,,14 les Grimards,,24230,MONTAZEAU,24288,+33 5 53 57 96 78,,grimardy@wanadoo.fr,http://www.vins-bergerac-grimardy.com,0.12560499,44.890998,Oui,"
Vins",,,,Vigneron Indépendant,02/01/2020|31/05/2020|09:00|12:30|14:00|17:00| # 01/06/2020|30/08/2020|09:00|||19:30| # 31/08/2020|31/12/2020|09:00|12:30|14:00|17:00|,,Visite libre uniquement sur rendez-vous,Anglais # Français,,
DEGAQU024V507NOR,03/01/2020,Producteur,Domaine de la Peyrouse,,Lycée Agricole et Agro-Alimentaire de PERIGUEUX,Avenue Winston Churchill,BP 22,24660,COULOUNIEIX-CHAMIERS,24138,+33 5 53 02 62 40,,domainedelapeyrouse@educagri.fr,http://www.domainedelapeyrouse.educagri.fr,0.699225,45.1746690,,"
Conserverie # Foie gras # Salaisons # Viandes # Vins",,,,,01/01/2020|31/12/2020|||||,,,,,
DEGAQU024FS00077,03/01/2020,Producteur # Récoltant éleveur,Domaine de la Tuque,La Tuque,,,,24540,BIRON,24043,+33 5 53 63 13 14,+33 6 89 13 47 71,domainedelatuque@orange.fr,http://www.domainedelatuque.com ,0.8708890,44.6313180,,"
Vins",,,,Bienvenue à la Ferme,01/01/2020|31/12/2020|||||,,Visite guidée # Visite libre,Anglais # Français,Parc,Boutique
DEGAQU047FS0004G,03/01/2020,Caveau de dégustation # Producteur,Domaine de Lancement,,EARL Andel,,Lancement,47370,THEZAC,47307,+33 5 53 41 17 02,,info@domainelancement.fr,http://www.domainelancement.fr,1.0255587,44.4201953,Oui,"
Vins",,,,Bienvenue à la Ferme,02/01/2020|30/04/2020|10:00|12:00|15:00|18:30|Dimanche # 02/05/2020|15/09/2020|10:00|||19:00|Dimanche # 16/09/2020|31/12/2020|10:00|12:00|15:00|18:30|Dimanche,"Tarif de base|5,00|5,00|",Visite guidée uniquement sur rendez-vous,Anglais # Français,,
DEGAQU047FS0004B,03/01/2020,Producteur # Récoltant éleveur,Domaine de Lions,,,,Lions,47370,THEZAC,47307,+33 5 53 40 70 58,,domainedelions@orange.fr ,,1.00825309,44.4194366,Oui,"
Vins",,,,Bienvenue à la Ferme,01/01/2020|31/12/2020|09:00|12:00|14:00|18:30|Dimanche - Jeudi - Samedi après midi,"Gratuit|0,00|0,00|",Visite guidée uniquement sur rendez-vous # Visite libre,Français,,
DEGAQU024V50F7T1,28/01/2020,Producteur # Récoltant éleveur,Domaine de Mayat,,,,DOMAINE DE MAYAT,33220,FOUGUEYROLLES,24189,+33 5 53 24 84 42 # +33 6 48 24 38 01,+33 6 11 76 06 30,florencelagarde2@wanadoo.fr,http://www.domainedemayat.fr/,0.1984390,44.8570160,Non,"
Vins",,,,,02/01/2019|31/12/2019|08:00|12:00|14:00|18:30|,,,Anglais # Français,,
DEGAQU024V505KU7,14/01/2020,Producteur,Domaine de Montlong,,,,Montlong,24240,POMPORT,24331,+33 5 53 58 44 10,,domainedemontlong@orange.fr,http://www.domainedemontlong.fr,0.39228270,44.7992833,Oui,"
Vins",,,,,01/01/2020|31/12/2020|||||,,Visite guidée uniquement sur rendez-vous,Français,,
DEGAQU024V506TL3,09/01/2020,Producteur,Domaine de Perreau,,,,Perreau,24230,SAINT-MICHEL-DE-MONTAIGNE,24466,+33 5 47 56 01 61,+33 6 81 08 98 36,contact@domainedeperreau.com,http://www.domainedeperreau.com,0.04700500,44.876575,Oui,"
Vins",,,,Vigneron Indépendant,01/01/2019|31/05/2019||||| # 01/06/2019|15/08/2019|||13:00|18:00| # 16/08/2019|31/12/2019|||||,Gratuit|||,Visite guidée # Visite guidée uniquement sur rendez-vous,Anglais # Espagnol # Français,,Accueil de camping-caristes
DEGAQU040V50LAY8,27/01/2020,Producteur # Récoltant éleveur,Domaine de Pribat,,,470 Route Bagieu,,40180,BENESSE-LES-DAX,40035,+33 5 58 98 71 67,,bertrand.abadie@wanadoo.fr,http://www.domainedepribat.com/, -1.046171,43.640611,Oui,"
Vins",,,,Bienvenue à la Ferme,01/01/2020|28/02/2020|||16:00|18:30|Dimanche # 01/03/2020|31/10/2020|||16:30|19:30|Dimanche,,Visite guidée uniquement sur rendez-vous,,Parc,
DEGAQU047FS00005,03/01/2020,Producteur,Domaine de Quissat,,,,Quissat,47130,BAZENS,47022,,+33 6 82 06 56 88 # +33 6 34 46 67 04,contact@domainedequissat.fr,http://www.domainedequissat.fr,0.456223,44.266554,Oui,"
Confitures # Fruits / légumes # Jus de fruits # Spiritueux # Vins",,,,,01/01/2020|31/12/2020|||||,Gratuit|||visite,Visite guidée uniquement sur rendez-vous,Anglais # Français,,
DEGAQU033FS0009W,10/01/2020,Producteur,Domaine de Tout l'Y Faut,,,5 Lardière,,33860,VAL-DE-LIVENNE,33380,+33 5 57 32 48 30,+33 6 07 89 75 75,toulyfaut@wanadoo.fr,http://www.blaye-asperges-vins.com, -0.4976951,45.2698923,Non,"
Asperges # Confitures # Conserverie # Fruits / légumes # Vins",,,Handicap auditif # Handicap mental # Handicap moteur # Handicap visuel,Bienvenue à la Ferme # Vignobles et Chais en Bordelais,25/03/2020|10/06/2020|09:00|12:00|14:00|17:00|Dimanche,"Tarif de base|6,00|8,00| # Tarif de groupe|3,00|6,00|",Visite guidée uniquement sur rendez-vous # Visite libre uniquement sur rendez-vous,,,
DEGAQU04001UVT1H,27/01/2020,Caveau de dégustation # Négociant # Producteur # Récoltant éleveur,Domaine d'Espérance,320 chemin d'Espérance,,,,40240,MAUVEZIN-D'ARMAGNAC,40176,+33 5 58 44 85 93,,info@esperance.fr,http://www.armagnac-esperance.com, -0.1383834,43.9602081,Oui,"
Floc de Gascogne # Spiritueux # Vins",,,,Bienvenue à la Ferme # Sites remarquables du Goût,,,Visite guidée,Anglais # Espagnol # Français # Portugais # Russe,,
DEGAQU047FS0002L,10/01/2020,Caveau de dégustation # Producteur # Récoltant éleveur,Domaine du Bois de Simon,,,,Laclède,47310,LAPLUME,47137,+33 5 53 67 84 38 # +33 6 09 85 71 91,,domaineduboisdesimon@gmail.com,http://www.domaineduboisdesimon.com,0.52382475,44.1516099,Oui,"
Vins",,,,Bienvenue à la Ferme,01/01/2020|31/12/2020|08:30|||16:30|Dimanche - Jeudi - Mercredi - Samedi,,Visite guidée uniquement sur rendez-vous,Anglais # Français,,
DEGAQU047FS0007D,25/01/2020,Producteur,Domaine du Bos,,,,Le Bos,47170,SOS,47302,+33 5 53 65 65 81,+33 6 31 18 42 74,alain.came@cegetel.net,,0.16231021,44.0447938,Oui,"
Floc de Gascogne # Spiritueux # Vins",,,,,01/01/2020|31/12/2020|||||,Visite-dégustation|||Gratuit,Visite guidée uniquement sur rendez-vous,Français,,
DEGAQU024V508D0Q,03/01/2020,Caveau de dégustation # Producteur,Domaine du Bout du Monde,,,,Les Costes,24240,RIBAGNAC,24351,,+33 6 73 76 80 08,melimerlot@gmail.com,http://www.domaineduboutdumonde.com/,0.4670950,44.7643990,Oui,"
Vins",,,,Vignobles et découvertes,,,Visite guidée uniquement sur rendez-vous # Visite libre,Allemand # Anglais # Espagnol # Français,,
DEGAQU024V50AAY6,03/01/2020,Producteur # Récoltant éleveur,Domaine du Bout du Monde,,,,Pommiers,24380,CREYSSENSAC-ET-PISSOT,24146,+33 5 53 57 90 29,+33 6 73 76 80 08,melimerlot@gmail.com,http://domaineduboutdumonde.com/,0.66469699,45.0680665,Oui,"
Biscottes # Vins",,,,,01/01/2020|31/12/2020|||||,Visite-dégustation|||Gratuit # Tarif de base|||Atelier assemblage # Tarif de base|||Journée vigne et cheval,Visite guidée uniquement sur rendez-vous,Allemand # Anglais # Espagnol # Français,,
DEGAQU024V50F29N,03/01/2020,Producteur,Domaine du Bout du Monde,,,Pommier,,24380,CREYSSENSAC-ET-PISSOT,24146,,+33 6 73 76 80 08,melimerlot@gmail.com,https://www.domaineduboutdumonde.com,0.6744817,45.0611480,Non,"
Vins",,,,,01/01/2020|31/12/2020|||||,,,,,
DEGAQU024FS00003,03/01/2020,Producteur # Récoltant éleveur,Domaine du Haut Pécharmant,Peyrelevade,,Chemin de la Briasse,,24100,BERGERAC,24037,+33 5 53 57 29 50,,hautpecharmant@orange.fr,http://www.haut-pecharmant.fr,0.53087353,44.8678234,Oui,"
Vins",,,,Vigneron Indépendant # Vignobles et découvertes,01/01/2020|30/06/2020|09:00|12:30|14:00|18:00|Dimanche # 01/07/2020|30/08/2020|09:00|||19:00| # 31/08/2020|31/12/2020|09:00|12:30|14:00|18:00|Dimanche,,Visite guidée # Visite libre,Anglais # Espagnol # Français # Néerlandais # Occitan,Parc,Boutique
DEGAQU040V5071B3,09/11/2017,Caveau de dégustation # Producteur,Domaine du Lisé,EARL chemin du Lisé,1142 route du Lisé,EARL chemin du Lisé,,40290,HABAS,40118,+33 5 58 98 03 30,+33 6 72 15 03 43,,, -0.9128647,43.5656942,Oui,"
Produits céréaliers # Vins # Volailles",,,,Bienvenue à la Ferme,,,Visite guidée uniquement sur rendez-vous,Français,,
DEGAQU024FS0000J,03/01/2020,Producteur,Domaine du Siorac,,,,Siorac,24500,SAINT-AUBIN-DE-CADELECH,24373,+33 5 53 74 52 90,,info@domainedusiorac.fr,http://www.domainedusiorac.fr,0.47913908,44.6983228,Oui,"
Confitures # Foie gras # Huile # Jus de fruits # Produit apicole # Produits de canards gras # Pruneaux # Spécialités à base de pruneaux # Vins",,,Handicap auditif # Handicap mental # Handicap moteur # Handicap visuel,Bienvenue à la Ferme # Vignobles et découvertes,06/01/2020|31/03/2020|09:00|12:00|14:00|18:00|Dimanche - Samedi # 01/04/2020|31/12/2020|09:00|12:00|14:00|18:00|Dimanche,,Visite guidée # Visite libre,Anglais # Français,,Accueil de camping-caristes # Boutique # Espace jeux # Wifi
DEGAQU040V506TQ6,16/01/2020,Caveau de dégustation # Producteur,Domaine du Tastet,,,2350 chemin Aymont,,40350,POUILLON,40233,+33 5 58 98 28 27,,domainedutastet@gmail.com,http://www.domaine-du-tastet.com, -1.0126252,43.623035,Oui,"
Vins",,,,Bienvenue à la Ferme,01/01/2020|31/12/2020|||||,,,Français,,
DEGAQU064FS000DC,30/01/2020,Producteur,Domaine viticole du Château de Cabidos,,,,,64410,CABIDOS,64158,+33 5 59 04 43 41,,contact@chateau-de-cabidos.com,http://www.chateau-de-cabidos.com, -0.4642260,43.5382632,Oui,"
Vins",,,,,01/01/2020|01/01/2020|||||,,Visite guidée uniquement sur rendez-vous,Anglais # Français,,
DEGAQU033V50PG0G,03/01/2020,Producteur # Récoltant éleveur,E.A.R.L. Gauvin,,,3 Trimpoulet,,33580,SAINT-VIVIEN-DE-MONSEGUR,33491,+33 5 56 61 87 74,+33 6 70 50 76 36 # +33 6 43 97 25 98,chateau.tastet@wanadoo.fr,https://www.vins-chateautastet.fr,0.09481203,44.6273526,Oui,"
Vins",,,,,,Tarif de base|||Bordeaux Rouge Tradition # Tarif de base|||Bordeaux Rouge Fûts de chêne # Tarif de base|||Bordeaux Rouge magnum # Tarif de base|||Rosé du Tastet # Tarif de base|||Bordeaux Blanc Moelleux # Tarif de base|||Sachet de pruneaux mi-cuits 500 gr,Visite guidée uniquement sur rendez-vous,Anglais # Français,,
DEGAQU047V507VDO,03/01/2020,Producteur,EARL de Lagrese,,,,Lagrese,47370,THEZAC,47307,,+33 6 85 65 11 29 # +33 6 74 25 75 40,francis.goul@orange.fr,,1.01530334,44.4291903,Oui,"
Pruneaux",,,,,01/04/2020|31/10/2020|||18:00|20:00|Dimanche,"Gratuit|0,00|0,00|Visite et dégustation gratuit",Visite guidée uniquement sur rendez-vous # Visite libre,Français,,
DEGAQU064FS0008J,03/01/2020,Producteur,EARL du Claus,,,Chemin de l'église,,64450,GARLEDE-MONDEBAT,64232,,+33 6 09 75 17 19,s.desclaux@orange.fr,, -0.330219,43.50266,Oui,"
Conserverie # Salaisons",,,,,,,Visite guidée uniquement sur rendez-vous,Français,,
DEGAQU047FS0005R,13/01/2020,Producteur,EARL JOCAL,,,,Toupinerie Bas,47350,MONTIGNAC-TOUPINERIE,47189,+33 5 53 93 30 79 # +33 9 52 72 19 83,+33 6 78 48 31 76,earl.jocal@orange.fr,,0.3614530,44.5466410,,"
Confitures # Produit apicole # Pruneaux",,,,Bienvenue à la Ferme,,"Tarif de base|5,00|5,00|Visite de l'exploitation",Visite guidée uniquement sur rendez-vous,Français,,
