Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
LOIAQU064V505G5B,03/01/2020,Aire de pique-nique # Lac/Site de pêche,Aire de pique-nique du moulin de Bellegarde,,,8 chemin du Bourg,,64350,LESPIELLE,64337,+33 5 59 68 50 06,+33 6 84 93 47 88,,, -0.1460998,43.4697810,,"
",,,,,01/01/2020|31/12/2020|||||,"Gratuit|0,00|0,00|",,,Aire de pique-nique,
LOIAQU033FS000SH,10/01/2020,Aire de pique-nique # Lac/Site de pêche,Aire de pique-nique Lac de Saint-Martial,,,,,33490,SAINT-MARTIAL,33440,+33 5 56 76 42 93,,,, -0.1765322,44.6309017,Oui,"
",,,,,01/01/2020|31/12/2020|||||,,,,Aire de pique-nique,
LOIAQU064FS000P0,03/01/2020,Aire de pique-nique # Lac/Site de pêche,Aire de pique-nique le Saillet,,,,Quartier Saillet,64490,OSSE-EN-ASPE,64433,+33 5 59 34 70 84 # +33 5 59 34 57 57,,mairie-osse-en-aspe@wanadoo.fr,https://www.pyrenees-bearnaises.com/, -0.6102976,42.9914920,Oui,"
",,,,,01/01/2020|31/12/2020|||||,"Gratuit|0,00|0,00|0,00",,,Aire de pique-nique,
LOIAQU040V50GRYF,03/01/2020,Aire de pique-nique # Boulodrome # Jeux pour enfants # Lac/Site de pêche # Parcours de santé,Aire naturelle l'Etang des Forges ,190 rue Tapiot,,,,40420,BROCAS,40056,+33 5 58 51 40 23,+33 6 35 42 73 74,syndicat.initiative40420@gmail.com,, -0.5420522,44.0426124,Oui,"
",,,,,15/04/2020|15/10/2020|||||,"Tarif de base|5,00||location vélo à la journée # Tarif de base|||locatbarque à la demi-heure # Tarif de base|||location pédalo à la demi-heure",,,Aire de pique-nique # Restauration,Espace jeux # Location de vélos # Wifi
LOIAQU064FS000OW,03/01/2020,Aire de pique-nique # Lac/Site de pêche # Pontons handi-pêche,Aires de pique-nique de Bedous,,,,Bourg,64490,BEDOUS,64104,+33 5 59 34 70 45 # +33 5 59 34 57 57,,aspe@pyrenees-bearnaises.com,https://www.pyrenees-bearnaises.com/, -0.6007410,43.0521540,Non,"
",,,,,01/01/2020|31/12/2020|||||,"Gratuit|0,00|0,00|",,,Aire de pique-nique,Espace jeux
ASCAQU047FS000AC,13/01/2020,Activité sportive,Alain BRIGAS ,,,32 avenue Gambetta,condat,47500,FUMEL,47106,+33 5 53 01 91 09,+33 6 30 31 55 17,brigas.peche@orange.fr,,0.985227,44.4979071,Oui,"
",Pêche # Pêche # Pêche # Pêche # Pêche,,,,01/01/2020|31/12/2020|||||,"Tarif de base|100,00|100,00|1/2 journée / personne # Tarif de base|180,00|180,00|journée / personne # Tarif de base|180,00|180,00|1/2 journée / 2 personnes (environ 4h à 5h de pêche) # Tarif de base|250,00|250,00|journée / 2 personnes (environ 7h à 9h de pêche) # Tarif réduit|490,00|490,00|Week end de pêche pour 1 pêcheur en pension complète # Tarif réduit|690,00|690,00|Week end de pêche pour 2 pêcheurs en pension complète # Tarif réduit|||Stage de 3 journées de pêche en pension complète par peresonnes",,,,
ASCAQU033V50TM9H,23/01/2020,Activité sportive,Aquitaine Pêches Sportives,,,,,33510,ANDERNOS-LES-BAINS,33005,,+33 6 72 74 06 91,contact@aquitaine-peches-sportives.fr,https://www.aquitaine-peches-sportives.fr, -1.100039,44.743736,Oui,"
",Pêche en mer # Pêche,,,,01/04/2020|15/11/2020|||||,"Tarif de base|90,00|225,00|",,,,
ASCAQU064FS000QK,03/01/2020,Activité sportive,Aspe Angler Flyshop,,,Chemin Poulit,,64570,ANCE FÉAS,64225,,+33 6 13 37 40 62,fab@aspe-angler.com,http://www.guidepyrenees.com, -0.6883621,43.1559818,Oui,"
",Pêche,,,,,Tarif de base|||Base journée # Tarif de base|||Base 1/2 journée,,,,
ASCAQU047V507POS,25/01/2020,Activité culturelle # Activité sportive,Association Acqua Viva - La Maison de la Pêche et de l'Eau,,,3 rue Séderie,,47600,NERAC,47195,,+33 6 61 69 39 75,contact@acqua-viva.com,www.acqua-viva.com,0.34197669,44.1359640,Oui,"Patrimoine
",Pêche # Cyclotourisme,Cyclo # Cyclo,,,01/03/2020|31/10/2020|||||,,,,,Location de vélos
ASCAQU040FS0001I,03/01/2020,Activité sportive,Association de pêche en eau douce - AAPPMA ,,,"22, Chemin vert",,40200,MIMIZAN,40184,,+33 6 22 29 47 09,aappma.mimizan@gmail.com,http://aappma.mimizan.free.fr, -1.2293100,44.2140175,Oui,"
",Pêche # Pêche # Pêche # Pêche,,,,,,,,,
ASCAQU04001TXKE3,17/03/2017,Activité sportive,Association de pêche en eau douce - Action Pêche,,,Bord du lac d'Aureilhan - Mimizan,,40200,MIMIZAN,40184,+33 5 58 09 35 29,,apmimizan@free.fr,http://apmimizan.free.fr, -1.2240314,44.2186927,Oui,"
",Pêche,,,,,,,,,
ASCAQU064V54LVBL,20/01/2020,Activité sportive,Association de pêche et de protection des milieux aquatiques ,,Chemin Igel Karrika,,,64310,SAINT-PEE-SUR-NIVELLE,64495,+33 5 59 54 58 24,+33 6 83 26 74 21 # +33 6 95 87 08 20,aappma.nivelle@wanadoo.fr,http://www.aappma-nivelle-cote-basque.com, -1.5661330,43.354555,Oui,"
",Pêche,,,,02/01/2020|31/12/2020|||||,Tarif de base|||Ecole de pêche (enfant - adulte),,,,
ASCAQU033FS0009C,03/01/2020,Activité sportive,Association des Pêcheurs Plaisanciers du Bassin d'Arcachon,,Maison de la Mer,Quai Goslar,,33120,ARCACHON,33009,+33 5 56 22 71 60,+33 6 99 12 90 86,info@a2pba.fr,http://www.a2pba.fr, -1.1466979,44.6580306,Oui,"
",Pêche,,,,02/01/2020|31/12/2020|||||,,,,,
LOIAQU040011PKS3,03/01/2020,Aire de pique-nique # Lac/Site de pêche,Autour des lacs de Nerbis... Balade et pêche,,,,,40250,NERBIS,40204,+33 5 58 97 77 00,,,, -0.7300186,43.7577845,Oui,"
",,,,,,,Visite libre,,Aire de pique-nique,
LOIAQU0240005287,30/01/2020,Base de loisirs # Jeux pour enfants # Lac/Site de pêche # Mini-golf # Parc à thèmes # Parc aquatique # Piscine # Plage surveillée,Aux Etangs du Bos,,,,Le Bos,24260,SAINT-CHAMASSY,24388,+33 5 53 54 74 60,+33 7 68 01 81 46,contact@le-bos.com,http://www.le-bos.com,0.97049215,44.8679186,Oui,"
",,,,,13/06/2020|30/08/2020|11:00|20:00|||,"Tarif de base|10,00|10,00|Adultes et enfants de plus de 16 ans # Tarif de base|9,00|9,00|Enfant de moins de 16 ans # Gratuit|||Enfant de moins de 90 cms # Tarif de groupe|7,00|9,00|TARIF GROUPE PLUS DE 10 PERSONNES",,,Aire de pique-nique # Restauration,Espace jeux
LOIAQU024V5003CP,03/01/2020,Lac/Site de pêche,Barrage de Miallet,,,,,24450,MIALET,24269,,,,,0.9042747,45.5496726,,"
",,,,,,,,,,
LOIAQU064FS0003M,20/01/2020,Base de loisirs # Jeux pour enfants # Lac/Site de pêche,Base de Loisirs,,,D 918,,64310,SAINT-PEE-SUR-NIVELLE,64495,+33 5 59 54 18 48 # +33 5 59 54 10 19,,dgs@senpere64.fr,, -1.6208279,43.3534594,,"
",,,,,01/07/2020|06/09/2020|||||,"Tarif de base|10,00|10,00|Canoe # Tarif de base|8,00|8,00|Kayak # Tarif de base|10,00|15,00|Pédalos # Tarif de base|9,00|13,00|Stand up paddle # Tarif de base|13,00|81,00|Tennis",,,,
LOIAQU024FS00060,03/01/2020,Base de loisirs # Lac/Site de pêche # Mini-golf # Plage surveillée,Base de loisirs de Chandos,,,avenue André Malraux,,24700,MONTPON-MENESTEROL,24294,+33 5 53 82 23 77,,,,0.16346454,45.0127535,Oui,"
",,,,,01/01/2020|31/12/2020|||||,,,,Aire de pique-nique # Bar # Restauration,Espace jeux
LOIAQU024V500LXS,17/01/2020,Aire de pique-nique # Base de loisirs # Boulodrome # Jeux pour enfants # Lac/Site de pêche # Mur d'escalade # Plage surveillée # Pontons handi-pêche # Slack lines,Base de Loisirs de Rouffiac,Rouffiac,,,,24270,ANGOISSE,24008,+33 5 53 52 68 79,,rouffiac@semitour.com,http://www.rouffiac-loisirs.com/,1.16543629,45.4143622,Oui,"
",,,Handicap auditif # Handicap mental # Handicap moteur # Handicap visuel,,01/03/2020|30/11/2020|||||,"Tarif de base|14,00||Téléski nautique # Tarif de base|11,00||accro park",,,Aire de pique-nique # Restauration,Espace jeux # Wifi
LOIAQU033FS0003M,06/01/2020,Aire de pique-nique # Base de loisirs # Jeux pour enfants # Lac/Site de pêche # Parcours de santé,Base de loisirs de Saint-Christophe-de-Double,,,,,33230,SAINT-CHRISTOPHE-DE-DOUBLE,33385,+33 5 57 69 51 11,,,http://www.saintchristophededouble.fr,0.01467704,45.0740661,Oui,"
",,,,,01/01/2020|31/12/2020|||||,,,,Aire de pique-nique # Bar # Restauration,Espace jeux
LOIAQU064FS000EO,03/01/2020,Aire de pique-nique # Base de loisirs # Boulodrome # Jeux pour enfants # Lac/Site de pêche # Parc aquatique # Parcours de santé # Plage surveillée # Pontons handi-pêche # Terrain(s) de tennis,Base de loisirs d'Orthez-Biron,,,Avenue Marcel Paul,,64300,ORTHEZ,64430,+33 5 59 60 55 06,,tourisme@cc-lacqorthez.fr,http://www.cc-lacqorthez.fr, -0.7195747,43.4586059,Oui,"
",,,,,01/01/2020|31/12/2020|06:00|||22:00|,"Gratuit|0,00||",Visite libre,,Aire de pique-nique # Bar # Restauration,Espace jeux
LOIAQU024V5079BA,03/01/2020,Base de loisirs # Lac/Site de pêche,Base de loisirs du coucou,,,,Etang du Coucou,24390,HAUTEFORT,24210,+33 5 53 50 86 97,,info@campingducoucou.com,https://www.etangducoucou.com/,1.13939511,45.2529846,Oui,"
",,,,,,Tarif de base|||Baignade # Tarif de base|||Jeux aquatiques + baignade # Tarif de base|||Pêche - 1/2 journée ou journée,,,Aire de pique-nique # Bar # Restauration,
ASCAQU064FS000OE,20/01/2020,Activité sportive,Base de loisirs du lac,,,RD 918,,64310,SAINT-PEE-SUR-NIVELLE,64495,+33 5 59 54 18 48 # +33 5 59 54 10 19,,contact@senpere64.fr,http(s)://www.saintpeesurnivelle.fr, -1.5216064,43.3464033,Oui,"
",Canoé kayak # Tennis # Stand-up-paddle-board # Pêche,,,,27/06/2020|06/09/2020|||||,"Tarif de base|10,00|15,00|Pédalos # Tarif de base|9,00|13,00|Standuppaddle # Tarif de base|10,00|10,00|Canoé # Tarif de base|8,00|8,00|Kayak # Tarif de base|13,00|81,00|Tennis",,,Espace jeux,
LOIAQU047FS00040,21/01/2020,Aire de pique-nique # Base de loisirs # Casino # Jeux pour enfants # Lac/Site de pêche # Parc aquatique # Parcours de santé # Plage surveillée # Pontons handi-pêche,Base de loisirs du Lac de Clarens,,,Route de Mont de Marsan,,47700,CASTELJALOUX,47052,+33 5 53 93 48 00,,,,0.07209777,44.2952885,Oui,"
",,,,,01/01/2020|31/12/2020|||||,"Tarif de base|2,50|2,50|Personnes à partir de 13 ans du 30 juin au 1e septembre # Gratuit|||De septembre à fin juin, et enfants jusqu'à 12 ans du 30 juin au 1er septembre",,,Aire de pique-nique # Bar # Restauration # Sentier de randonnée,Espace jeux
LOIAQU040FS000AS,03/01/2020,Base de loisirs # Jeux pour enfants # Lac/Site de pêche # Parcours de santé # Plage surveillée,Base de Loisirs du Marsan,"D824 lieu dit ""Ménasse""",,,,40280,SAINT-PIERRE-DU-MONT,40281,+33 5 58 05 87 37,,contact@lemarsantourisme.fr,http://www.basedeloisirsdumarsan.fr , -0.5354772,43.8814809,Oui,"
",,,,Accueil Vélo # Scandibérique,,,,,Aire de pique-nique # Bar # Restauration,Espace jeux
LOIAQU033FS0002E,06/01/2020,Aire de pique-nique # Base de loisirs # Halte nautique # Lac/Site de pêche # Parcours de santé # Plage non surveillée,Base de loisirs et halte nautique de Saint-Seurin-sur-l'Isle,,,Rue Henry de Monfred,,33660,SAINT-SEURIN-SUR-L'ISLE,33478,+33 5 57 49 73 48,+33 6 88 02 24 87 # +33 6 73 57 03 56,contact@ckc-st-seurin.fr,http://www.ckc-st-seurin.fr, -0.0009226,45.0178654,Oui,"
",,,,,01/01/2020|31/12/2020|||||,,,,Aire de pique-nique,Espace jeux
LOIAQU064V5012AE,28/01/2020,Base de loisirs # Jeux pour enfants # Lac/Site de pêche # Parc aquatique # Plage surveillée # Tremplin,Base de Pop,,Lac des Arroques,136 chemin du lac,,64520,GUICHE,64250,+33 5 59 58 78 34,,contact@basedepop.fr,http://www.basedepop.fr, -1.1847291,43.5000330,Oui,"
",,,,Qualité Tourisme,30/05/2020|20/09/2020|||||,"Tarif de base|10,00|23,00|Accr'eau Park # Tarif de base|15,00|29,00|Water Jump # Tarif réduit|22,00|35,00|Combo : accr'eau park + water jump # Tarif de base|10,00|10,00|Locations stand-up paddle, kayak, barque - Personne sup :  +3€ # Tarif réduit|35,00|35,00|Forfait journée # Gratuit|0,00|0,00|Baignade surveillée # Tarif de groupe|||Tarifs réduits pour enfants de moins de 1,50m, groupe de plus de 15 personnes.",Visite libre,,Accessible en poussette # Aire de pique-nique # Bar # Parking autocar # Restauration,Boutique # Espace jeux
ASCAQU064FS000JM,03/01/2020,Activité sportive,Bateau Hendayais II - Pêche en Mer,,Embarquement ponton navettes maritimes,Port de Plaisance - Ponton O,Avenue des Mimosas,64700,HENDAYE,64260,,+33 6 50 67 03 44,contact@hendayais.com,http://www.hendayais.com, -1.7856484,43.3701173,Oui,"
",Pêche en mer,Croisières maritimes,,,,Tarif de base|||Pêche en mer,,,,
ASCAQU064FS0004S,03/01/2020,Activité sportive,Bateau Le Nivelle ,,,Port de Saint Jean de Luz,,64500,SAINT-JEAN-DE-LUZ,64483,,+33 6 09 73 61 81,luzcroisiere@gmail.com,http://www.croisiere-saintjeandeluz.com/fr/peche-en-mer, -1.6647076,43.3873822,Oui,"
",Pêche en mer # Motonautisme (bateau à moteur),,,,,Tarif de base|||Promenade en mer,,,,
ASCAQU040FS0003U,14/01/2019,Activité sportive # Formule itinérante,Bateau Le Roben,,,Port - Ponton B,Avenue du Président Georges Pompidou,40130,CAPBRETON,40065,+33 6 25 90 37 79,,,http://www.leroben.fr, -1.4395201,43.6535435,Oui,"
",Pêche en mer,Bateaux à moteur habitables # Croisières maritimes,,,,,,,,
ASCAQU064V506EBT,03/01/2020,Activité sportive,Bateau Ordagna,,,Port,,64500,SAINT-JEAN-DE-LUZ,64483,,+33 6 42 70 61 67,ordagna94@orange.fr,, -1.6658820,43.3875129,Oui,"
",Pêche en mer,,,,01/01/2020|31/12/2020|||||,,,,,
ASCAQU064FS000BP,03/01/2020,Activité sportive,C.A.S.P.A   NAUTIQUE,,Hangar 6,Chemin des blocs,,64500,CIBOURE,64189,,+33 6 08 61 12 41,caspanautique@aol.com,, -1.6849362,43.3908714,Oui,"
",Pêche en mer,,,,,,,,,
ASCAQU024V5024WN,31/12/2018,Activité sportive,Camping le Clupeau,Le Clupeau,,,,24390,CHERVEIX-CUBAS,24120,+33 5 53 51 66 26,+33 6 27 19 30 39,contact@camping-leclupeau.com,http://www.camping-leclupeau.com,1.13378299,45.301163,Oui,"
",Pêche,,,,,,,,Bar # Espace jeux # Restauration # Salle hors sac,
ASCAQU033V50UA5H,03/02/2020,Activité sportive,Cap Ô Large,,,Débarcadère Bélisaire,Cap Ferret,33950,LEGE-CAP-FERRET,33236,,+33 6 69 27 32 16,capolarge33@gmail.com,http://www.capolarge.com, -1.2295960,44.6984210,Non,"
",Pêche en mer,,,,01/03/2020|30/11/2020|||||,,,,,
ASCAQU040V50BK8H,16/01/2020,Activité sportive,Cap Pêche Loisirs,,,Port de Capbreton - Ponton G,Avenue Georges Pompidou,40130,CAPBRETON,40065,,+33 6 75 73 72 51,contact@cappecheloisirs.com,http://www.cappecheloisirs.com, -1.4375472,43.6525639,Oui,"Faune - flore
",Motonautisme (bateau à moteur) # Pêche # Pêche # Pêche en mer,Bateaux à moteur habitables,,,28/03/2020|31/10/2020|||||,Tarif de base|||Balade en mer 1h d'avril à octobre # Tarif réduit|||Balade en mer -de 12 ans d'avril à octobre # Tarif de base|||Coucher de soleil 1h30 d'avril à octobre # Tarif réduit|||Coucher de soleil 1h30 - de 12ans d'avril à octobre # Tarif de base|||Croisière Pays e.Basque 5h de juin à septembr # Tarif réduit|||Croisière Pays Basque 5h - de 12 ans de juin à septembre # Tarif de base|||Inititation pêche 2h30 # Tarif réduit|||Initiation pêche tarif accompagant 2h30 # Tarif de base|||Demi journée guidage pêche sportive 5h # Tarif de base|||Journée guidage pêche sportive au thon 8 à 10h de juin à octobre,,,Parking,Wifi
ASCAQU024V5087UY,03/01/2020,Activité sportive,Chasse au trésor sur les traces de la truite !,,,,Petit Boissonnie,24190,DOUZILLAC,24157,+33 5 53 81 53 41,,pisciculture24@orange.fr,http://www.pechealatruite24.com,0.38459130,45.0853863,Oui,"
",Pêche,,,,,,,,,
ASCAQU064FS0004I,03/01/2020,Activité sportive,Club Maritime Hendaye Txingudi,,,10 rue des Orangers,,64700,HENDAYE,64260,+33 5 59 20 03 02,,club@cmht.asso.fr,http://www.cmht.asso.fr, -1.7796698,43.3681777,Oui,"
",Voile # Voile # Voile # Voile # Voile # Pêche en mer # Pêche en mer # Pêche en mer # Pêche en mer,,,,,Tarif de base|||Sortie 1/2 Journée,,,,
ASCAQU064FS0007N,20/01/2020,Activité sportive,Cyclotourisme et autres activités en Forêt d'Iraty,,,,Col de Bagargi,64560,LARRAU,64316,+33 5 59 28 51 29,,info@chalets-iraty.com # josy@chalets-iraty.com,http://www.chalets-iraty.com, -1.0269360,43.0381682,Oui,"
",Cyclotourisme # Pêche # Randonnée équestre # Randonnée pédestre # Vélo électrique # Pétanque,,,,01/05/2020|31/10/2020|08:30|12:00|13:30|19:00|,"Tarif de base|16,00||2 h vélo électrique # Tarif de base|25,00||4 h vélo électrique # Tarif de base|40,00||Journée 7 h vélo électrique",,,Bar # Restauration # Salle(s) de réunion,Location de vélos # Wifi
ASCAQU000V501QTT,03/01/2020,Activité sportive,Découverte de la pêche - Hourtin,,,Ile aux enfants,,33990,HOURTIN,33203,+33 5 56 03 21 01,,info@oceanesque.fr,, -1.0829212,45.1842377,Oui,"
",Pêche,,,,10/07/2020|24/08/2020|10:00|13:00|||Dimanche - Jeudi - Lundi - Mardi - Mercredi - Samedi,"Tarif de base|12,00||Location d'une canne à pêche pour 1h30",,,,
ASCAQU033V50EXTJ,03/01/2020,Activité sportive,Découverte de la pêche à Carcans-Maubuisson,,,Le Montaut,,33121,CARCANS,33097,+33 5 56 03 21 01,,info@oceanesque.fr,, -1.1200761,45.0624100,Oui,"
",Pêche,,,,10/07/2020|24/08/2020|10:00|13:00|||Dimanche - Jeudi - Lundi - Mardi - Vendredi,"Tarif de base|12,00||Location d'une canne à pêche pour 1h30",,,,
ASCAQU000V501QTU,03/01/2020,Activité sportive,Découverte de la pêche à Lacanau,,,Port de Lacanau,,33680,LACANAU,33214,+33 5 56 03 21 01,,info@oceanesque.fr,, -1.0939385,44.9780864,Oui,"
",Pêche,,,,10/07/2020|24/08/2020|10:00|13:00|||Dimanche - Lundi - Mardi - Mercredi - Samedi - Vendredi,"Tarif de base|12,00||Location d'une canne à pêche pour 1h30",,,,
ASCAQU033FS0002M,03/01/2020,Activité sportive,Domaine de loisirs des Lacs du Moulin Blanc,,,Moulin Blanc,,33920,SAINT-CHRISTOLY-DE-BLAYE,33382,+33 5 57 42 12 09,,info@tourisme-blaye.com,https://www.bbte.fr/activites-sportives-et-culturelles/domaine-de-loisirs-des-lacs-du-moulin-blanc/, -0.4755878,45.1525665,Oui,"
",Pêche,,,,01/01/2020|31/12/2020|||||,,,,Accessible en poussette # Aire de pique-nique # Bar # Espace jeux # Parking # Parking autocar # Restauration,
LOIAQU033FS0002O,06/01/2020,Aire de pique-nique # Jeux pour enfants # Lac/Site de pêche # Parcours de santé,Domaine de loisirs des lacs du Moulin Blanc,,,Moulin Blanc,,33920,SAINT-CHRISTOLY-DE-BLAYE,33382,+33 5 57 42 12 09,,,http://www.tourisme-blaye.com/activites-nature/base-de-loisirs-des-lacs-du-moulin-blanc, -0.4752445,45.1526875,Oui,"
",,,,,01/01/2020|31/12/2020|||||,,Visite libre,,Aire de pique-nique # Bar # Restauration,Espace jeux
