RENTREE,UAI,DT_OUVERTURE,DT_FERMETURE,TYPE,SECTEUR,NOM,COMMUNE,result_label,TELEPHONE,FAX,EMAIL,SITE_INTERNET,ZAP,PRINCIPAL,PRINCIPAL_ADJOINT,GESTIONNAIRE,POLITIQUE_VILLE,FL_ULIS,FL_SEGPA,FL_SECTION_INTERNATIONALE,FL_SECTION_EURO,FL_SECTION_ORIENTALE,FL_SECTION_SPORTIVE,FL_SECTION_BILANGUE,ULIS,SEGPA,SECTION_INTERNATIONALE,SECTION_EURO,SECTION_ORIENTALE,SECTION_SPORTIVE,SECTION_BILANGUE,DATE_MAJ,EFFECTIF_ANNEE_N1,EFFECTIF_ANNEE_N2,EFFECTIF_ANNEE_N3,EFFECTIF_ANNEE_N4,EFFECTIF_ANNEE_N5,latitude,longitude
2014,0332493F,01-09-1980,,CLG,privé sous contrat,Collège privé Sainte Marie Grand Lebrun,BORDEAUX,164 Avenue Charles de Gaulle 33200 Bordeaux,05 56 08 32 13,05 56 02 22 25,ce.0332493F@ac-bordeaux.fr,http:/www.grandlebrun.com,BORDEAUX NORD,,,,,1,0,0,1,0,0,0,12,,,134,,,,29-05-2015,1024,1059,1034,1046,1026,44.850497,-0.606207
2014,0332494G,01-09-1980,,CLG,privé sous contrat,Collège privé Rambaud,LA BREDE,25 Avenue de Rambaud 33650 La Brède,05 57 97 17 17,05 57 97 17 10,ce.0332494G@ac-bordeaux.fr,http://www.rambaud33.com,TALENCE,,,,,0,0,0,1,0,0,1,,,,45,,,50,29-05-2015,501,496,466,446,433,44.668342,-0.505718
2014,0332569N,01-09-1982,,CLG,public,Collège Porte du Médoc,PAREMPUYRE,1 Avenue des Sports 33290 Parempuyre,05 56 57 09 25,05 56 35 67 67,ce.0332569N@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-parempuyre/,BORDEAUX NORD,M. GUISON,MME JACOMET,M. CLEMENS,,0,0,0,1,0,0,1,,,,58,,,13,29-05-2015,708,706,734,735,719,44.94696,-0.60058
2014,0332657J,01-09-1984,,CLG,public,Collège Jean Cocteau,LEGE CAP FERRET,52 BIS Avenue de la Mairie 33950 Lège-Cap-Ferret,05 56 03 99 03,05 56 03 99 04,ce.0332657J@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-cap-ferret,ARCACHON,M. BOIREAU,MME CARRUESCO,M. RAVON,,0,0,0,1,0,1,1,,,,44,,46,48,29-05-2015,497,535,563,572,547,44.792627,-1.146411
2014,0332704K,01-09-1985,,CLG,public,Collège d'Arsac,ARSAC,Allée de Panchon 33460 Arsac,05 56 58 85 30,05 56 58 85 30,ce.0332704K@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/Etablissement/CArsac/,MEDOC,MME AGUIRRE-LEROY,MME ELDIN,MME VILLENEUVE,,0,0,0,0,0,0,0,,,,,,,,29-05-2015,647,640,611,594,555,44.988941,-0.693781
2014,0332705L,01-09-1985,,CLG,public,Collège François Mauriac,SAINTE EULALIE,33 Rue du Professeur Georges Portmann 33560 Sainte-Eulalie,05 56 38 07 06,05 56 06 95 02,ce.0332705L@ac-bordeaux.fr,,BORDEAUX RIVE DROITE,MME DOSDAT,MME LATOUR,MME TAPIE,,1,0,0,0,0,0,0,12,,,,,,,29-05-2015,419,418,448,462,456,44.902475,-0.472231
2014,0332706M,01-09-1985,,CLG,public,Collège Léo Drouyn,VERAC,1 Tour de Vérac 33240 Vérac,05 57 84 43 52,05 57 84 43 52,ce.0332706M@ac-bordeaux.fr,http://clgdrouyn.fr/spip/index.php,LIBOURNE,M. CAPDEVIELLE,MME LARTIGUE,MME ECHEVERRIA,,0,0,0,0,0,0,1,,,,,,,52,29-05-2015,637,635,624,562,490,44.992086,-0.339968
2014,0332723F,01-09-1986,,CLG,public,Collège Emile Durkheim,PEUJARD,6 La Michère 33240 Peujard,05 57 94 02 60,05 57 68 03 95,ce.0332723F@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/Etablissement/CDurkheimPeujard/,BLAYE,MME LE BOUHELLEC,M. DRUELLE,MME LEGENDRE,,0,0,0,0,0,0,0,,,,,,,,29-05-2015,574,571,523,476,410,45.043746,-0.422177
2014,0332743C,01-09-1987,,CLG,public,Collège Aliénor d'Aquitaine,MARTIGNAS SUR JALLE,77 Avenue des Sapinettes 33127 Martignas-sur-Jalle,05 56 78 07 27,05 56 78 64 47,ce.0332743C@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/clgalienoraquitainemartignas/,MERIGNAC PESSAC,MME SALABERRY,,MME LIEVAL,,0,0,0,1,0,0,1,,,,21,,,20,29-05-2015,414,427,417,407,397,44.84582,-0.78139
2014,0332746F,01-09-1987,,CLG,public,Collège Emile Combes,BORDEAUX,76 Rue Émile Combes 33000 Bordeaux,05 56 24 94 95,05 56 90 18 80,ce.0332746F@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-emile-combes/,BORDEAUX SUD,M. BOULAGNON,,MME DEL CORTE,,0,0,0,1,0,0,0,,,,59,,,,29-05-2015,436,430,394,378,396,44.834802,-0.609937
2014,0332768E,01-09-1988,,CLG,public,Collège Aliénor d'Aquitaine,BORDEAUX,16 Rue du Domaine Devienne 33800 Bordeaux,05 56 91 42 43,05 56 33 07 17,ce.0332768E@ac-bordeaux.fr,http://www.alienor-bordeaux.fr,BORDEAUX SUD,MME GERVAIS,M. ROUBICHOU,MME PEROUCHINE,,1,0,0,1,0,1,1,13,,,20,,33,55,29-05-2015,698,695,720,694,642,44.829357,-0.560644
2014,0332806W,01-10-1990,,CLG,privé sous contrat,Collège privé Le Mirail,BORDEAUX,61 Cours de la Somme 33800 Bordeaux,05 57 95 06 80,05 57 95 06 84,ce.0332806W@ac-bordeaux.fr,lemirail.es.free.fr,BORDEAUX SUD,,,,,1,0,0,1,0,0,1,13,,,41,,,25,29-05-2015,308,323,303,260,251,44.828079,-0.572447
2014,0332934K,01-09-1996,,CLG,public,Collège de Pian Sur Garonne,LE PIAN SUR GARONNE,Lalieyre Nord 33490 Le Pian-sur-Garonne,05 57 98 11 50,05 56 76 84 33,ce.0332934K@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/Etablissement/CPianSurGaronne/,SUD GIRONDE,MME BLATEAU-GAUZERE,,M. PROVOST,,0,0,0,0,0,0,1,,,,,,,26,29-05-2015,510,475,471,456,428,44.570257,-0.228972
2014,0332982M,01-09-1998,,CLG,public,Collège Val des Pins,LE TEICH,Avenue François Mitterrand 33470 Le Teich,05 57 52 33 33,05 57 52 33 30,ce.0332982M@ac-bordeaux.fr,https://educhorus.net/teich,ARCACHON,M. CHAMOULAUD,MME BENAMZA,MME SAINT-RAMON,,0,0,0,1,0,0,0,,,,32,,,,29-05-2015,610,643,645,657,643,44.623857,-1.02669
2014,0333093H,01-09-2003,,CLG,public,Collège Léonard de Vinci,SAINT AUBIN DE MEDOC,Saint-Aubin-de-Médoc,05 56 57 48 30,05 56 57 48 30,ce.0333093H@ac-bordeaux.fr,http://collegeleonarddevinci.ac-bordeaux.fr/,BORDEAUX NORD,M. FERRER,MME LE THI,MME BERTRAND FUHRER,,0,0,0,0,0,0,0,,,,,,,,29-05-2015,633,636,632,662,657,44.911245,-0.726476
2014,0330008E,01-05-1965,,CLG,public,Collège Jean Verdier,AUDENGE,Rue des Cigales 33980 Audenge,05 57 76 28 28,05 57 76 28 28,ce.0330008E@ac-bordeaux.fr,http://www.jverdier.org/,ARCACHON,MME DUYCK,MME MARTINEAU,MME MAHIEU,,0,0,0,0,0,0,0,,,,,,,,29-05-2015,565,544,560,539,519,44.686272,-1.005498
2014,0332082J,23-02-1972,,CLG,public,Collège Edouard Vaillant,BORDEAUX,Cours du Raccordement 33300 Bordeaux,05 56 39 62 76,05 56 39 63 20,ce.0332082J@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-edouard-vaillant,BORDEAUX NORD,M. CANOT,M. MARMIESSE,MME LAURENT,,0,0,0,1,0,1,1,,,,51,,57,60,29-05-2015,349,354,379,471,471,44.865133,-0.56287
2014,0332084L,23-02-1972,,CLG,public,Collège Albert Camus,EYSINES,3 Rue Lucien Piet 33320 Eysines,05 56 28 06 69,05 56 28 62 70,ce.0332084L@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-albert-camus-eysines,BORDEAUX NORD,MME PEREZ,M. ALAVOINE,MME DERUY,,0,0,0,1,0,0,1,,,,81,,,33,29-05-2015,621,582,561,550,549,44.884648,-0.644176
2014,0332085M,23-02-1972,,CLG,public,Collège J. Auriac,ARVEYRES,4 Rue de Peytot 33500 Arveyres,05 57 24 80 99,05 57 24 86 74,ce.0332085M@ac-bordeaux.fr,http://www.collegejeanauriac.fr,LIBOURNE,MME SAINT ANDRE,MME DODIER,MME BOSSARD-PREVOST,,0,0,0,1,0,1,1,,,,50,,27,30,29-05-2015,616,614,594,572,536,44.883674,-0.284971
2014,0332090T,24-02-1972,,CLG,public,Collège Bourran,MERIGNAC,Rue Léo Lagrange 33700 Mérignac,05 56 97 82 93,05 56 97 82 93,ce.0332090T@ac-bordeaux.fr,http://college-bourran.fr/,MERIGNAC PESSAC,MME BATLLES,M. MOY,M. FAYE,,1,1,0,1,0,0,1,14,57,,42,,,69,29-05-2015,439,446,435,425,487,44.836709,-0.635195
2014,0332187Y,02-04-1973,,CLG,public,Collège Hastignan,SAINT MEDARD EN JALLES,86 Avenue Anatole France 33160 Saint-Médard-en-Jalles,05 56 05 13 97,05 56 70 02 23,ce.0332187Y@ac-bordeaux.fr,http://www.ac-bordeaux.fr/Etablissement/Hastignan,BORDEAUX NORD,M. GREZES,M. MAZOUAUD,MME BORDES,,1,1,0,1,0,0,1,13,82,,24,,,18,29-05-2015,841,836,811,810,827,44.892794,-0.745503
2014,0332189A,03-04-1973,,CLG,public,Collège Nelson Mandela,FLOIRAC,Avenue de la Libération 33270 Floirac,05 56 86 60 44,05 57 54 41 58,ce.0332189A@ac-bordeaux.fr,http://college.mandela.free.fr,BORDEAUX RIVE DROITE,M. MEGARD,,MME FERNANDES,Zone urbaine sensible (ZUS),0,0,0,1,0,0,1,,,,33,,,30,29-05-2015,398,360,253,207,203,44.839063,-0.532238
2014,0332190B,02-04-1973,,CLG,public,Collège Alfred Mauguin,GRADIGNAN,2 Avenue du Maréchal Juin 33170 Gradignan,05 56 89 07 19,05 56 89 07 19,ce.0332190B@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/etablissement/camauguin/,TALENCE,M. DERAMBURE,MME BAUDERON,MME BIAUX,,1,1,0,1,0,0,1,13,106,,19,,,41,29-05-2015,366,358,369,370,351,44.772812,-0.596681
2014,0332191C,02-04-1973,,CLG,public,Collège Gérard Philipe,PESSAC,38 Avenue Pierre Corneille 33600 Pessac,05 56 15 12 50,05 56 15 12 50,ce.0332191C@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-gerard-philipe-pessac/,MERIGNAC PESSAC,MME CHARLEMARTY,MME SAINT MACARY,M. JOUX,,1,1,0,1,0,0,0,14,108,,53,,,,29-05-2015,341,308,296,313,300,44.799119,-0.621383
2014,0332195G,14-05-1973,,CLG,public,Collège Victor Louis,TALENCE,52 Avenue de Thouars 33400 Talence,05 57 35 00 60,05 57 35 00 61,ce.0332195G@ac-bordeaux.fr,http://collegevictorlouis.fr.nf,TALENCE,M. SEYT,MME CASTAGNE,M. STAES,,1,0,0,1,0,1,0,13,,,38,,55,,29-05-2015,663,664,666,645,667,44.798953,-0.592376
2014,0332244K,02-05-1974,,CLG,public,Collège François Mauriac,LEOGNAN,21 Rue de la Ferme de Richemont 33850 Léognan,05 56 64 72 03,05 56 64 82 80,ce.0332244K@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-mauriac-leognan/,TALENCE,MME PHILIPPARIE,M. GOULPIER,M. BASTIEN,,0,0,0,0,0,0,0,,,,,,,,29-05-2015,627,635,627,599,576,44.729968,-0.590159
2014,0332246M,02-05-1974,,CLG,public,Collège Chambéry,VILLENAVE D ORNON,138 Route de Léognan 33140 Villenave-d'Ornon,05 56 87 74 85,05 56 87 74 88,ce.0332246M@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-chambery,BORDEAUX SUD,M. BARRAUD,M. HEBERT,M. SICARD,,1,1,0,0,0,0,1,13,71,,,,,46,29-05-2015,510,503,499,491,486,44.756305,-0.584608
2014,0332248P,02-05-1974,,CLG,public,Collège Paul Esquinance,LA REOLE,Au Port Mahon 33190 La Réole,05 56 61 11 40,05 56 61 11 40,ce.0332248P@ac-bordeaux.fr,http://cpelareole.fr/,SUD GIRONDE,MME SAUQUET,M. VANDENABEELE,MME DELETANG,,0,0,0,1,0,0,1,,,,21,,,100,29-05-2015,637,668,691,661,651,44.58414,-0.031599
2014,0332283C,08-04-1975,,CLG,public,Collège François Mitterrand,CREON,18 Boulevard de Verdun 33670 Créon,05 57 97 01 80,05 56 23 01 34,ce.0332283C@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-francois-mitterrand-creon/,BORDEAUX RIVE DROITE,MME DECOMBEROUSSE,MME ABALEA,MME OUDALOFF-BEVAN,,1,1,0,1,0,0,1,13,67,,120,,,44,29-05-2015,844,872,863,855,832,44.773533,-0.351432
2014,0332285E,14-09-1976,,CLG,public,Collège Jacques Ellul,BORDEAUX,2 Rue du Professeur Calmette 33100 Bordeaux,05 56 86 64 11,05 57 80 00 15,ce.0332285E@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-jacques-ellul,BORDEAUX RIVE DROITE,M. MERCIER,,MME RENARD,Zone urbaine sensible (ZUS),0,1,0,1,0,0,1,,51,,39,,,27,29-05-2015,237,243,246,229,215,44.844439,-0.541399
2014,0332288H,09-04-1975,,CLG,public,Collège Ausone,BAZAS,5 Avenue Franck Cazenave 33430 Bazas,05 56 25 00 24,05 56 25 25 08,ce.0332288H@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-ausone-bazas/,SUD GIRONDE,M. OLIVARES,M. PEROUMAL,MME WALTER,,1,1,0,0,0,0,1,13,54,,,,,49,29-05-2015,666,660,693,659,653,44.426896,-0.219328
2014,0332327A,10-05-1975,,CLG,privé sous contrat,Collège privé Saint Clément,CUDOS,Labeyrie 33430 Cudos,05 56 25 42 87,05 56 25 47 13,ce.0332327A@ac-bordeaux.fr,http://saintclement.com,SUD GIRONDE,,,,,0,0,0,0,0,0,0,,,,,,,,29-05-2015,215,213,204,181,145,44.392249,-0.214986
2014,0332340P,13-02-1976,,CLG,public,Collège Max Linder,SAINT LOUBES,15 Avenue de Cajus 33450 Saint-Loubès,05 56 20 40 40,05 56 20 42 67,ce.0332340P@ac-bordeaux.fr,http://www.ac-bordeaux.fr/Etablissement/ClgMaxLinderStLoubes,BORDEAUX RIVE DROITE,MME MARTIN,MME GAVETTI,MME ORSAT,,0,0,0,1,0,0,1,,,,90,,,37,29-05-2015,1007,1012,1020,971,935,44.910062,-0.429037
2014,0332341R,13-02-1976,,CLG,public,Collège Jacques Prévert,BOURG,La Clote Nord 33710 Bourg,05 57 68 46 10,05 57 94 09 46,ce.0332341R@ac-bordeaux.fr,http://collegejacquesprevertdebourgsurgironde.wordpress.com/,BLAYE,MME CASSAGNEAU,MME CAJAN,MME HAMM-SMAER,,1,0,0,0,0,0,1,13,,,,,,18,29-05-2015,575,582,559,567,524,45.042318,-0.554438
2014,0333108Z,01-09-2004,,CLG,public,Collège Jean Moulin,LE BOUSCAT,Rue Président Ali Chekkal 33110 Le Bouscat,05 56 08 90 28,05 56 08 90 28,ce.0333108Z@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-jean-moulin-bouscat,BORDEAUX NORD,MME FLOC H,,MME GUYOU,,0,0,0,0,0,0,1,,,,,,,35,29-05-2015,389,377,357,346,372,44.863571,-0.6049
2014,0333121N,01-09-2005,,CLG,public,Collège Gaston Flament,MARCHEPRIME,33 Avenue Léon Delagrange 33380 Marcheprime,05 57 71 56 70,05 57 71 56 71,ce.0333121N@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/t3_0333121n/,ARCACHON,MME THILLAY,MME LAPLANCHE,MME SIMON-LABRIC,,0,0,0,1,0,0,1,,,,53,,,47,29-05-2015,652,635,661,645,586,44.698906,-0.847257
2014,0333129X,01-09-2005,,CLG,privé sous contrat,Collège Privé St Joseph,BLANQUEFORT,12 Avenue du 8 Mai 33290 Blanquefort,05 56 95 54 30,05 56 35 99 70,ce.0333129X@ac-bordeaux.fr,http://www.fondation-auteuil.org,BORDEAUX NORD,,,MME BENGUIGUI,,0,0,0,0,0,0,0,,,,,,,,29-05-2015,93,95,93,91,71,44.908762,-0.645588
2014,0333132A,01-09-2006,,CLG,public,Collège de Carbon Blanc,CARBON BLANC,Rue des Futaies 33560 Carbon-Blanc,05 57 77 10 25,05 56 06 61 45,ce.0333132A@ac-bordeaux.fr,http://ccbweb.fr/,BORDEAUX RIVE DROITE,MME FORT,,M. BUGEAU,,1,0,0,0,0,0,1,10,,,,,,20,29-05-2015,534,552,559,538,570,44.90959,-0.498771
2014,0333133B,01-09-2006,,CLG,public,Collège Olympe de Gouges de Cadaujac,CADAUJAC,250 Chemin du Château 33140 Cadaujac,05 57 83 24 55,05 57 83 24 56,ce.0333133B@ac-bordeaux.fr,http://www.ac-bordeaux.fr/Etablissement/ClgCadaujac,TALENCE,M. BONNET,MME CHASSEUR,M. AUCHTER,,0,0,0,1,0,0,1,,,,54,,,38,29-05-2015,638,636,624,614,592,44.750127,-0.52818
2014,0333134C,01-09-2006,,CLG,public,Collège de l'Estey St Jean d'Illac,SAINT JEAN D ILLAC,2200 Avenue du Las 33127 Saint-Jean-d'Illac,05 56 21 09 50,05 56 21 09 50,ce.0333134C@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-saintjeandillac/,MERIGNAC PESSAC,MME BENOIST,,MME BENHALILOU,,0,0,0,1,0,1,1,,,,55,,1,17,29-05-2015,458,473,470,457,475,44.805635,-0.80767
2014,0333213N,01-09-2009,,CLG,public,COLLEGE MARGUERITE DURAS,LIBOURNE,13 Avenue François Mauriac 33500 Libourne,05 57 84 06 06,05 57 24 93 68,ce.0333213N@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-marguerite-duras/,LIBOURNE,M. VAYSSIERES,MME FLOREAN,M. DIHAL,,1,1,0,1,0,1,1,13,84,,36,,57,43,29-05-2015,475,508,492,518,522,44.902582,-0.235133
2014,0330017P,01-05-1965,,CLG,public,Collège Jean Zay,BIGANOS,Avenue de la Côte d'Argent 33380 Biganos,05 57 17 01 70,05 57 17 01 73,ce.0330017P@ac-bordeaux.fr,http://collegebiganos.fr,ARCACHON,M. LA GOUTE,MME CAILLAUD,MME BAUDELIN,,0,0,0,1,0,0,1,,,,23,,,49,29-05-2015,551,557,530,508,502,44.639692,-0.963859
2014,0330058J,01-05-1965,,CLG,public,Collège Paul Emile Victor,BRANNE,43 Rue Fort Bayard 33420 Branne,05 57 55 49 00,05 57 55 49 00,ce.0330058J@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/Etablissement/CPEVictorBranne/,LIBOURNE,M. MELLE,,MME DUCLOS,,1,0,0,0,0,0,0,13,,,,,,,29-05-2015,540,518,484,439,414,44.824405,-0.184135
2014,0330059K,01-05-1965,,CLG,public,Collège Anatole France,CADILLAC,Chemin des Baries 33410 Cadillac,05 56 62 98 42,05 56 62 69 81,ce.0330059K@ac-bordeaux.fr,http://afcadillac.net/,SUD GIRONDE,M. DEBSKI,MME CHAMPION,MME PIQUE,,0,0,0,1,0,0,0,,,,42,,,,29-05-2015,681,682,695,699,674,44.632393,-0.306929
2014,0330062N,01-05-1965,,CLG,public,Collège Canterane,CASTELNAU DE MEDOC,44 Rue Saint-Gènes 33480 Castelnau-de-Médoc,05 57 88 83 70,05 57 88 83 71,ce.0330062N@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/Etablissement/Canterane/,MEDOC,M. ROQUEJOFFRE,MME FERNANDEZ ARFEUILLE,M. VINET,,0,0,0,1,0,0,1,,,,47,,,20,29-05-2015,573,615,714,705,653,45.030291,-0.791255
2014,0330064R,01-05-1965,,CLG,public,Collège Aliénor d'Aquitaine,CASTILLON LA BATAILLE,3 Rue Jean Monnet 33350 Castillon-la-Bataille,05 57 40 02 12,05 57 40 32 10,ce.0330064R@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-castillon/,LIBOURNE,MME PEYSSONNERIE,MME BRISSEAU,MME BUTEAU,,1,0,0,0,0,1,0,12,,,,,26,,29-05-2015,383,352,368,371,404,44.850693,-0.051429
2014,0330065S,01-05-1965,,CLG,public,Collège Monsejour,BORDEAUX,7 Rue du Chanoine André Lacaze 33200 Bordeaux,05 56 12 16 40,05 56 47 21 07,ce.0330065S@ac-bordeaux.fr,,BORDEAUX NORD,M. PERTOLDI,MME LABAT,M. TOUSSAINT,,0,0,0,0,0,0,0,,,,,,,,29-05-2015,561,543,513,528,501,44.856214,-0.630392
2014,0330066T,01-05-1965,,CLG,public,Collège Saint André,BORDEAUX,59 Rue Cerey 33200 Bordeaux,05 56 08 08 68,05 57 22 92 30,ce.0330066T@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-saint-andre/,BORDEAUX NORD,M. DUPUY,MME ZITOUNI,MME MUSSEAU,,0,0,0,0,0,1,1,,,,,,14,55,29-05-2015,692,703,670,623,576,44.855821,-0.616512
2014,0330081J,01-05-1965,,CLG,public,Collège Jules Chambrelent,HOURTIN,11 Rue de la Bouaille 33990 Hourtin,05 56 09 12 52,05 56 09 12 52,ce.0330081J@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/Etablissement/CChambrelentHourtin/,MEDOC,MME MAZON,,MME DARRIGRAND,,0,0,0,0,0,1,0,,,,,,25,,29-05-2015,411,407,470,431,404,45.190533,-1.057988
2014,0330083L,01-05-1965,,CLG,public,Collège Jules Ferry,LANGON,22 Rue Jules Ferry 33210 Langon,05 57 98 02 40,05 57 98 02 42,ce.0330083L@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/college-julesferry-langon/,SUD GIRONDE,M. CHICHE,MME LEROUX,M. BUCHARD,,1,0,0,0,0,0,1,12,,,,,,37,29-05-2015,450,453,490,476,494,44.549058,-0.252896
