Titre :;Pays-Bas, Taux de chômage (CVS)
Sep 2014;7,111348
Aoû 2014;7,186732
Jul 2014;7,315297
Jun 2014;7,417816
Mai 2014;7,577797
Avr 2014;7,723622
Mar 2014;7,811828
Fév 2014;7,856376
Jan 2014;7,766067
Déc 2013;7,713882
Nov 2013;7,575045
Oct 2013;7,59814
Sep 2013;7,558161
Aoû 2013;7,51025
Jul 2013;7,46981
Jun 2013;7,268784
Mai 2013;7,104032
Avr 2013;7,018205
Mar 2013;6,940468
Fév 2013;6,756472
Jan 2013;6,627912
Déc 2012;6,434389
Nov 2012;6,230974
Oct 2012;6,064335
Sep 2012;5,965661
Aoû 2012;5,832923
Jul 2012;5,859641
Jun 2012;5,685233
Mai 2012;5,670992
Avr 2012;5,696047
Mar 2012;5,529268
Fév 2012;5,47171
Jan 2012;5,513672
Déc 2011;5,364963
Nov 2011;5,386696
Oct 2011;5,228081
Sep 2011;5,055221
Aoû 2011;4,906624
Jul 2011;4,897194
Jun 2011;4,712602
Mai 2011;4,788231
Avr 2011;4,748745
Mar 2011;4,769653
Fév 2011;4,887306
Jan 2011;4,945055
Déc 2010;4,963513
Nov 2010;4,93343
Oct 2010;4,924556
Sep 2010;4,970917
Aoû 2010;5,017347
Jul 2010;5,02357
Jun 2010;4,986145
Mai 2010;4,974332
Avr 2010;4,967074
Mar 2010;5,064777
Fév 2010;5,084745
Jan 2010;5,093847
Déc 2009;4,977422
Nov 2009;4,855825
Oct 2009;4,725982
Sep 2009;4,667706
Aoû 2009;4,556459
Jul 2009;4,476298
Jun 2009;4,280926
Mai 2009;4,191788
Avr 2009;4,117093
Mar 2009;3,895661
Fév 2009;3,810593
Jan 2009;3,725522
Déc 2008;3,681081
Nov 2008;3,606168
Oct 2008;3,609329
Sep 2008;3,630863
Aoû 2008;3,565539
Jul 2008;3,626021
Jun 2008;3,678896
Mai 2008;3,689173
Avr 2008;3,669888
Mar 2008;3,610019
Fév 2008;3,646303
Jan 2008;3,84892
Déc 2007;3,898828
Nov 2007;3,950284
Oct 2007;3,995581
Sep 2007;4,047906
Aoû 2007;4,081517
Jul 2007;4,198997
Jun 2007;4,087404
Mai 2007;4,173476
Avr 2007;4,1824
Mar 2007;4,293592
Fév 2007;4,485891
Jan 2007;4,529394
Déc 2006;4,598073
Nov 2006;4,712067
Oct 2006;4,739434
Sep 2006;4,761404
Aoû 2006;4,819164
Jul 2006;4,932714
Jun 2006;4,953293
Mai 2006;5,173756
Avr 2006;5,185552
Mar 2006;5,331965
Fév 2006;5,464925
Jan 2006;5,501061
Déc 2005;5,701195
Nov 2005;5,747854
Oct 2005;5,804317
Sep 2005;5,813865
Aoû 2005;5,834865
Jul 2005;5,909884
Jun 2005;5,907369
Mai 2005;6,014311
Avr 2005;6,006352
Mar 2005;6,029828
Fév 2005;6,033562
Jan 2005;5,908313
Déc 2004;5,886646
Nov 2004;5,735703
Oct 2004;5,732113
Sep 2004;5,66269
Aoû 2004;5,640217
Jul 2004;5,667245
Jun 2004;5,80436
Mai 2004;5,783704
Avr 2004;5,72078
Mar 2004;5,5448
Fév 2004;5,429867
Jan 2004;5,400695
Déc 2003;5,36738
Nov 2003;5,24399
Oct 2003;5,152182
Sep 2003;5,053164
Aoû 2003;4,971706
Jul 2003;4,915732
Jun 2003;4,817654
Mai 2003;4,737243
Avr 2003;4,647168
Mar 2003;4,50052
Fév 2003;4,34883
Jan 2003;4,261347
Déc 2002;4,189906
Nov 2002;4,075075
Oct 2002;3,988671
Sep 2002;3,871195
Aoû 2002;3,770403
Jul 2002;3,689872
Jun 2002;3,590531
Mai 2002;3,515187
Avr 2002;3,442365
Mar 2002;3,360038
Fév 2002;3,293454
Jan 2002;3,232814
Déc 2001;3,185402
Nov 2001;3,140522
Oct 2001;3,115339
Sep 2001;3,085938
Aoû 2001;3,071617
Jul 2001;3,070266
Jun 2001;3,070381
Mai 2001;3,093983
Avr 2001;3,124694
Mar 2001;3,154142
Fév 2001;3,20291
Jan 2001;3,24002
Déc 2000;3,31133
Nov 2000;3,370249
Oct 2000;3,437201
Sep 2000;3,493864
Aoû 2000;3,554635
Jul 2000;3,616732
Jun 2000;3,673374
Mai 2000;3,736592
Avr 2000;3,795768
Mar 2000;3,844554
Fév 2000;3,89652
Jan 2000;3,931772
Déc 1999;3,98123
Nov 1999;4,026391
Oct 1999;4,075436
Sep 1999;4,116801
Aoû 1999;4,162587
Jul 1999;4,212795
Jun 1999;4,260186
Mai 1999;4,319911
Avr 1999;4,381077
Mar 1999;4,437261
Fév 1999;4,504063
Jan 1999;4,560282
Déc 1998;4,641498
Nov 1998;4,715593
Oct 1998;4,804067
Sep 1998;4,887898
Aoû 1998;4,979877
Jul 1998;5,079788
Jun 1998;5,176389
Mai 1998;5,286346
Avr 1998;5,397178
Mar 1998;5,50318
Fév 1998;5,616613
Jan 1998;5,716829
Déc 1997;5,832186
Nov 1997;5,944495
Oct 1997;6,060039
Sep 1997;6,17142
Aoû 1997;6,283917
Jul 1997;6,393827
Jun 1997;6,502365
Mai 1997;6,616051
Avr 1997;6,724086
Mar 1997;6,825795
Fév 1997;6,930741
Jan 1997;7,022066
Déc 1996;7,130528
Nov 1996;7,231243
Oct 1996;7,334422
Sep 1996;7,42897
Aoû 1996;7,524281
Jul 1996;7,621098
Jun 1996;7,711066
Mai 1996;7,808146
Avr 1996;7,901039
Mar 1996;7,984612
Fév 1996;8,075912
Jan 1996;8,154267
Déc 1995;8,252717
Nov 1995;8,32513
Oct 1995;8,383094
Sep 1995;8,413512
Aoû 1995;8,427776
Jul 1995;8,425392
Jun 1995;8,40325
Mai 1995;8,367956
Avr 1995;8,311424
Mar 1995;8,231909
Fév 1995;8,126063
Jan 1995;7,982908
Déc 1994;7,821557
Nov 1994;7,672501
Oct 1994;7,533335
Sep 1994;7,407823
Aoû 1994;7,292337
Jul 1994;7,182599
Jun 1994;7,086321
Mai 1994;7,001641
Avr 1994;6,92236
Mar 1994;6,853244
Fév 1994;6,803745
Jan 1994;6,767188
Déc 1993;6,756828
Nov 1993;6,736322
Oct 1993;6,704077
Sep 1993;6,659026
Aoû 1993;6,609057
Jul 1993;6,555478
Jun 1993;6,497175
Mai 1993;6,436593
Avr 1993;6,370407
Mar 1993;6,298176
Fév 1993;6,218578
Jan 1993;6,126174
Déc 1992;6,034831
Nov 1992;5,947327
Oct 1992;5,87524
Sep 1992;5,812204
Aoû 1992;5,757555
Jul 1992;5,711885
Jun 1992;5,67171
Mai 1992;5,641966
Avr 1992;5,618467
Mar 1992;5,601296
Fév 1992;5,596304
Jan 1992;5,598344
Déc 1991;5,617344
Nov 1991;5,633392
Oct 1991;5,650351
Sep 1991;5,665679
Aoû 1991;5,682627
Jul 1991;5,700938
Jun 1991;5,72176
Mai 1991;5,744543
Avr 1991;5,767601
Mar 1991;5,791713
Fév 1991;5,815444
Jan 1991;5,835581
Déc 1990;5,861644
Nov 1990;5,887022
Oct 1990;5,921072
Sep 1990;5,956787
Aoû 1990;5,99425
Jul 1990;6,035891
Jun 1990;6,075668
Mai 1990;6,119982
Avr 1990;6,165967
Mar 1990;6,212302
Fév 1990;6,262234
Jan 1990;6,310925
Déc 1989;6,36811
Nov 1989;6,423256
Oct 1989;6,482584
Sep 1989;6,54333
Aoû 1989;6,605477
Jul 1989;6,667681
Jun 1989;6,733393
Mai 1989;6,79972
Avr 1989;6,864925
Mar 1989;6,930669
Fév 1989;6,994439
Jan 1989;7,0558
Déc 1988;7,117726
Nov 1988;7,179319
Oct 1988;7,233053
Sep 1988;7,283396
Aoû 1988;7,326953
Jul 1988;7,363845
Jun 1988;7,397783
Mai 1988;7,424965
Avr 1988;7,445739
Mar 1988;7,461442
Fév 1988;7,470812
Jan 1988;7,47245
Déc 1987;7,476062
Nov 1987;7,472756
Oct 1987;7,472564
Sep 1987;7,468949
Aoû 1987;7,463781
Jul 1987;7,460783
Jun 1987;7,45371
Mai 1987;7,44947
Avr 1987;7,446613
Mar 1987;7,443274
Fév 1987;7,441057
Jan 1987;7,437659
Déc 1986;7,440514
Nov 1986;7,445352
Oct 1986;7,462207
Sep 1986;7,485866
Aoû 1986;7,515774
Jul 1986;7,552318
Jun 1986;7,595762
Mai 1986;7,645567
Avr 1986;7,700935
Mar 1986;7,761987
Fév 1986;7,829632
Jan 1986;7,902459
Déc 1985;7,985925
Nov 1985;8,068925
Oct 1985;8,154283
Sep 1985;8,238741
Aoû 1985;8,322728
Jul 1985;8,407627
Jun 1985;8,491835
Mai 1985;8,575666
Avr 1985;8,657652
Mar 1985;8,737544
Fév 1985;8,815973
Jan 1985;8,89084
Déc 1984;8,965336
Nov 1984;9,037438
Oct 1984;9,10347
Sep 1984;9,165836
Aoû 1984;9,222004
Jul 1984;9,271379
Jun 1984;9,318878
Mai 1984;9,360016
Avr 1984;9,395012
Mar 1984;9,425251
Fév 1984;9,448282
Jan 1984;9,463776
Déc 1983;9,479459
Nov 1983;9,491561
Oct 1983;9,50244
Sep 1983;9,509866
Aoû 1983;9,513765
Jul 1983;9,516523
Jun 1983;9,516138
Mai 1983;9,515137
Avr 1983;9,511873
Mar 1983;9,505579
Fév 1983;9,498428
Jan 1983;9,487628
