;3;PARKING A CIEL OUVERT(OU PLACE PUBLIQUE)
;4;PARKING COUVERT ACCESSIBLE AU PUBLIC
;5;DANS UN PARKING D'ENTREPRISE OU D'UNIVERSITE
;6;DANS UN PARKING DE ZONE COMMERCIALE
;autre;INDETERMINE
M9A;TYPE STATIONNEMENT NUIT VEHICULE N°1;
M9B;TYPE STATIONNEMENT NUIT VEHICULE N°2;
M9C;TYPE STATIONNEMENT NUIT VEHICULE N°3;
M9D;TYPE STATIONNEMENT NUIT DU VEHICULE N°4;
;1;INTERDIT
;2;GRATUIT
;3;PAYANT A VOTRE CHARGE
;4;PAYANT A LA CHARGE DE QUELQU'UN D'AUTRE
;autre;INDETERMINE
NOM DE LA VARIABLE;FICHE PERSONNE;
EMD;PERIMETRE;
;1;BETHUNE
;2;BOULOGNE SUR MER
;3;CALAIS
;4;DOUAI
;5;DUNKERQUE
;6;LENS
;7;LILLE GRAND TERRITOIRE
;8;LILLE LMCU
;9;MAUBEUGE
;10;VALENCIENNES
;11;ENQUETE RURALE
JOURDEP;JOUR DES DÉPLACEMENTS;
;1;LUNDI
;2;MARDI
;3;MERCREDI
;4;JEUDI
;5;VENDREDI
P2;SEXE;
;1;MASCULIN
;2;FEMININ
P3;LIEN AVEC LA PERSONNE DE REFERENCE;
;1;PERSONNE DE REFERENCE
;2;CONJOINT
;3;ENFANT
;4;AUTRE
P4A;TELEPHONE PORTABLE;
;1;OUI
;2;NON
;autre;INDETERMINE
P5;POSSESSION DU PERMIS DE CONDUIRE;
;1;OUI
;2;NON
;3;CONDUITE ACCOMPAGNEE
;autre;NON
P6;DERNIER ETABLISSEMENT SCOLAIRE FREQUENTE;
;0;EN SCOLARITE
;1;PRIMAIRE
;2;SECONDAIRE JUSQU'EN 3EME
;3;SECONDAIRE JUSQU'AU BAC
;4;SUPERIEUR BAC+2
;5;SUPERIEUR BAC+3 ET PLUS
;6;APPRENTISSAGE
;7;PAS D'ETUDES
;autre;INDETERMINE
P7;OCCUPATION PRINCIPALE;
;1;TRAVAIL A PLEIN TEMPS
;2;TRAVAIL A TEMPS PARTIEL
;3;APPRENTISSAGE, FORMATION, STAGE
;4;ETUDIANT
;5;SCOLAIRE JUSQU'AU BAC
;6;CHOMEUR, RECHERCHE UN EMPLOI
;7;RETRAITE
;8;RESTE AU FOYER
;9;AUTRE
;autre;NON REPONSE
P8;OCCUPATION SECONDAIRE;
;1;TRAVAIL
;2;ETUDES
;autre;NON CONCERNE
P9;PCS;
;10; AGRICULTEURS EXPLOITANTS
;20;ARTISAN, COMMERCANT, CHEF D'ENTREPRISE
;21; ARTISANS
;22; COMMERCANTS ET ASSIMILES
;23; CHEFS ENTREPRISE DE 10 SALARIES OU PLUS
;30;CADRE ET PROFESSION INTELLECTUELLE SUPÉRIEURE
;31; PROFESSIONS LIBERALES
;32; CADR.FPUBLIQUE,PROF.INTEL,PROFESSEURS…
;36; CADR. ENTREP.,CADR ADMI,COMMER, INGENIE.
;40;PROFESSION INTERMÉDIAIRE
;41; INSTIT,PROF CES,PROF INTERMED.ENSEet SA
;46; PROF INTERM ADMINIS ET COMMERCIALES
;47; TECHNICIENS
;48; CONTREMAITRES, AGENTS DE MAITRISE
;50;EMPLOYÉ
;51; EMPLOYES FPUBLIQUE,POLICE,MILIT.,A SOIG.
;54; EMPLOYES ADMIN., SECRETAIRES, EMP BUREAU
;55; EMPLOYES DE COMMERCE
;56; PERSO SERVICES AUX PARTIC, NOURRICES …
;60;OUVRIER
;61; OUVRIERS QUALIFIES,SPECIALISES,CHAUFFEUR
;66; OUVRIERS NON QUALIFIES
;69; OUVRIERS AGRICOLES
;70;ELEVES, ETUDIANTS
;80;CHÔMEUR N'AYANT JAMAIS TRAVAILLE
;81; CHOMEURS N'AYANT JAMAIS TRAVAILLE
;82; INACTIFS DIVERS(SAUF RETRAITES),MILI,…
;83; ECOLIERS (PRIMAIRES)
;84; SECONDAIRES (JUSQU'EN 3EME)
;85; SECONDAIRES (JUSQU'EN TERMINALE)
;86; SECONDAIRES (TITULAIRES DU BAC)
;87; SUPERIEURS (BAC+2)
;88; SUPERIEURS (BAC+3 ET PLUS)
;89; APPRENTIS
;90;AUTRE INACTIF n'AYANT JAMAIS TRAVAILLE
;99;AUTRE
;autre; NON REPONSE
P10;POSSESSION D'UN ABONNEMENT TC EN GENERAL;
;1;OUI
;2;NON
P12;TRAVAIL OU ETUDES A DOMICILE;
;1; OUI
;2; NON
;autre; NON
P15;UTILISATION DE LA VP CONDUCTEUR POUR SE RENDRE SUR LE LIEU DE TRAVAIL OU D'ÉTUDES;
;1;OUI
;2;NON
P17;PROBLEME STATIO EN GENE(LIEU TRAV ou ETU);
;1; OUI
;2; NON, J'AI UNE PLACE RESERVEE
;3; NON, PLACES DE STATIONNEMENT A PROXIMITE
;4; NON, COMPTE TENU DE MES HORAIRES
;autre; INDETERMINE
P17A;DIFFICULTE DE STATIONNEMENT (TRAV OU ETU);
;1; OUI
;2; NON, JE POURRAI AVOIR UNE PLACE RESERVEE
;3; NON, PLACES DE STATIONNEMENT A PROXIMITE
;autre; INDETERMINE
P20;FREQUENCE D'UTILISATION BICYCLETTE;
P21;FREQUENCE D'UTILISATION 2ROUES A MOTEUR;
P23;FREQUENCE D'UTILISATION VP CONDUCTEUR;
P24;FREQUENCE D'UTILISATION VP PASSAGER;
P25;FREQUENCE D'UTILISATION RESEAU URBAIN;
;1; TOUS LES JOURS
;2; DEUX DEPLACEMENTS PAR SEMAINE AU MOINS
;3; DEUX DEPLACEMENTS PAR MOIS AU MOINS
;4; EXCEPTIONNELLEMENT
;5; JAMAIS
;autre; JAMAIS
P19;SITUATION DE LA PERSONNE LA VEILLE;
;1; ABSENTE DURANT LA PERIODE D'ENQUETE
;2; S'EST DEPLACEE DANS L'AIRE D'ETUDE
;3; NE S'EST PAS DEPLACEE DANS L'AIRE D'ETUDE
;autre; INDETERMINE
groupe;GROUPE A COMPORTEMENT HOMOGENE;
;1;Enfants < 5 ans
;2;Enfants de 5 à 11 ans
;3;Elèves/Etudiants < 18 ans
;4;Elèves/Etudiants >= 18 ans
;5;Actifs < 35 ans
;6;Actifs de 35 à 49 ans
;7;Actifs >= 50 ans
;8;Inactifs <35 ans
;9;Inactifs de 35 à 49 ans
;10;Inactifs > 50 ans
;11;Retraités < 75 ans
;12;Retraités >= 75 ans
PENQ;PERSONNE ENQUÊTÉE;
;1;OUI
;2;NON
NOM DE LA VARIABLE;FICHE DÉPLACEMENT;
EMD;PERIMETRE;
;1;BETHUNE
;2;BOULOGNE SUR MER
;3;CALAIS
;4;DOUAI
;5;DUNKERQUE
;6;LENS
;7;LILLE GRAND TERRITOIRE
;8;LILLE LMCU
;9;MAUBEUGE
;10;VALENCIENNES
;11;ENQUETE RURALE
D2A;MOTIF A L'ORIGINE;
D2B;MOTIF ORIGINE DE LA PERSONNE ACCOMPAGNEE;
D5A;MOTIF A LA DESTINATION;
D5B;MOTIF DESTINATION PERSONNE ACCOMPAGNEE;
;1;Domicile
;2;Résidence secondaire, logement occasionnel, autre domicile
;11;Travail sur le lieu d’emploi déclaré en P9
;12;Travail sur un autre lieu
;21;Nourrice, crèche, garde d’enfants
;22;Ecole maternelle et primaire (sur le lieu déclaré en P9)
;23;Collège (sur le lieu déclaré en P9)
;24;Lycée (sur le lieu déclaré en P9) 
;25;Université et grandes écoles (sur le lieu déclaré en P9)
;26;Ecole maternelle et primaire (sur un autre lieu)
;27;Collège (sur un autre lieu) 
;28;Lycée (sur un autre lieu)
;29;Université et grandes écoles (sur un autre lieu) 
;31;Multi-motifs en centre commercial
;32;Achats en grand magasin, supermarché et hypermarché et leur galerie marchande
;33;Achats en petit et moyen commerce
;34;Achats en marché couvert et de plein vent
;41;Santé
;42;Démarches
;43;Recherche d’emploi
;51;Loisirs, activités sportives, culturelles, associatives
;52;Promenade, « lèche-vitrines », leçons de conduite
;53;Restauration hors du domicile
;54;Visite à des parents ou à des amis
;61;Accompagner quelqu’un ou déposer quelqu’un à un mode de transport
;62;Aller chercher quelqu’un ou reprendre quelqu’un à un mode de transport
;81;Tournée professionnelle
;91;Autres motifs (préciser)
MOTIFO;MOTIF A L'ORIGINE AGREGE;
MOTIFD;MOTIF A LA DESTINATION AGREGE;
;1;DOMICILE
;2;TRAVAIL
;3;ECOLE, COLLEGE, LYCEE, UNIVERSITE
;6;ACHAT
;7;DEMARCHES PRIVEES
;8;LOISIRS
;9;VISITE
;10;ACCOMPAGNER QUELQU'UN
;11;AUTRE MOTIF
MODE;MODE PRINCIPAL;
;1;MARCHE A PIED
;11;BICYCLETTE
;12;DEUX ROUES < 50 CM3
;13;DEUX ROUES >= 50 CM3
;14;ROLLER SKATE TROTTINETTE
;15;FAUTEUIL ROULANT
;21;CONDUCTEUR DE VEHICULE PARTICULIER
;22;PASSAGER DE VEHICULE PARTICULIER
;31;PASSAGER BUS URBAIN
;32;PASSAGER TRAMWAY
;33;PASSAGER METRO
;34;TRANSPORT A LA DEMANDE
;35;TAXI BUS
;41;PASSAGER CAR INTERURBAIN
;51;PASSAGER SNCF
;61;PASSAGER TAXI
;71;TRANSPORT EMPLOYEUR
;72;TRANSPORT SCOLAIRE
;81;FOURGON CAMIONNETTE CAMION
;91;TRANSPORT FLUVIAL OU MARITIME
;92;AVION
;93;AUTRES MODES
;autre;INDETERMINE
groupe;GROUPE A COMPORTEMENT HOMOGENE;
;1;Enfants < 5 ans
;2;Enfants de 5 à 11 ans
;3;Elèves/Etudiants < 18 ans
;4;Elèves/Etudiants >= 18 ans
;5;Actifs < 35 ans
;6;Actifs de 35 à 49 ans
;7;Actifs >= 50 ans
;8;Inactifs <35 ans
;9;Inactifs de 35 à 49 ans
;10;Inactifs > 50 ans
;11;Retraités < 75 ans
;12;Retraités >= 75 ans
NOM DE LA VARIABLE;FICHE TRAJET;
EMD;PERIMETRE;
;1;BETHUNE
;2;BOULOGNE SUR MER
;3;CALAIS
;4;DOUAI
;5;DUNKERQUE
;6;LENS
;7;LILLE GRAND TERRITOIRE
;8;LILLE LMCU
;9;MAUBEUGE
;10;VALENCIENNES
;11;ENQUETE RURALE
T3;MODE UTILISE;
;11;BICYCLETTE
;12;DEUX ROUES < 50 CM3
;13;DEUX ROUES >= 50 CM3
;14;ROLLER SKATE TROTTINETTE
;15;FAUTEUIL ROULANT
;21;CONDUCTEUR DE VEHICULE PARTICULIER
;22;PASSAGER DE VEHICULE PARTICULIER
;31;PASSAGER BUS URBAIN
;32;PASSAGER TRAMWAY
;33;PASSAGER METRO
;34;TAD : TRANSPORT A LA DEMANDE
;35;TAXI BUS
;41;PASSAGER CAR INTERURBAIN
;42;AUTRE TRANSPORT PAR CAR
;51;PASSAGER SNCF
;61;PASSAGER TAXI
;71;TRANSPORT EMPLOYEUR
;72;TRANSPORT SCOLAIRE
;81;FOURGON CAMIONNETTE CAMION
;91;TRANSPORT FLUVIAL OU MARITIME
;92;AVION
;93;AUTRES MODES
;autre;INDETERMINE
T10;NATURE DU STATIONNEMENT;
;1;INTERDIT
;2;GRATUIT
;3;PAYANT A VOTRE CHARGE
;4;PAYANT A LA CHARGE DE QUELQU'UN D'AUTRE
T10;autre;NON REPONSE
