Commune,Nb pop.,-11ansNbpop,-11ans%Pop,11-17Nbpop,11-17ans%Pop,18-24Nbpop,18-24ans%Pop,25-39Nbpop,25-39ans%Pop,40-54Nbpop,40-64ans%Pop,55-64Nbpop,55-64ans%Pop,65-79Nbpop,65-79%Pop,+80ansNbpop,+80ans%Pop,insee_com,lat,lon,superficie
Bagas,295,48,16%,38,13%,10,3%,58,20%,68,23%,27,9%,29,10%,17,6%,33024,44.6187804528, -0.0489905524561,364.0
Baigneaux,364,76,21%,27,7%,14,4%,96,26%,68,19%,39,11%,28,8%,15,4%,33025,44.7239086463, -0.193758554002,800.0
Balizac,473,85,18%,42,9%,23,5%,94,20%,113,24%,58,12%,51,11%,7,1%,33026,44.4864307909, -0.448728461334,4184.0
Barie,283,44,16%,27,10%,14,5%,54,19%,59,21%,31,11%,42,15%,12,4%,33027,44.5710681518, -0.111645415983,529.0
Baron,1 140,210,18%,122,11%,58,5%,258,23%,268,24%,114,10%,82,7%,28,2%,33028,44.8235731803, -0.317485301092,1030.0
Barsac,2 106,305,14%,153,7%,108,5%,425,20%,463,22%,285,14%,238,11%,129,6%,33030,44.6017775611, -0.323930210636,1445.0
Bassanne,95,19,20%,3,3%,6,6%,16,17%,24,25%,5,5%,16,17%,6,6%,33031,44.560543686, -0.0931882578624,246.0
Bassens,6 967,927,13%,626,9%,553,8%,1 254,18%,1 466,21%,932,13%,792,11%,418,6%,33032,44.9084140601, -0.525868280903,1030.0
Baurech,778,109,14%,63,8%,42,5%,141,18%,190,24%,123,16%,70,9%,40,5%,33033,44.7274813784, -0.433879900007,764.0
Bayas,438,52,12%,33,8%,26,6%,70,16%,92,21%,66,15%,79,18%,20,5%,33034,45.0676036545, -0.209456063522,1184.0
Bayon-sur-Gironde,718,92,13%,50,7%,35,5%,107,15%,159,22%,117,16%,109,15%,51,7%,33035,45.0433426263, -0.609639022961,1112.0
Bazas,4 720,519,11%,393,8%,368,8%,639,14%,919,19%,639,14%,794,17%,449,10%,33036,44.4424533682, -0.212326795621,3742.0
Beautiran,2 169,307,14%,234,11%,141,7%,355,16%,577,27%,270,12%,202,9%,83,4%,33037,44.7034400813, -0.459169831543,634.0
Bégadan,919,110,12%,66,7%,46,5%,161,18%,197,21%,132,14%,148,16%,59,6%,33038,45.3670708459, -0.8958001736,2210.0
Bègles,25 380,3 063,12%,2 011,8%,2 176,9%,5 281,21%,5 398,21%,3 173,13%,2 557,10%,1 721,7%,33039,44.8016009051, -0.547755768448,1094.0
Béguey,1 147,156,14%,112,10%,67,6%,199,17%,248,22%,166,14%,135,12%,63,6%,33040,44.6493296399, -0.325359958986,318.0
Belin-Béliet,4 623,838,18%,371,8%,242,5%,1 026,22%,919,20%,490,11%,496,11%,241,5%,33042,44.4861918644, -0.786911494042,15620.0
Bellebat,236,38,16%,22,9%,17,7%,40,17%,55,23%,29,12%,18,8%,16,7%,33043,44.7382366196, -0.221985163561,488.0
Bellefond,225,22,10%,16,7%,11,5%,36,16%,54,24%,42,19%,31,14%,14,6%,33044,44.7676238446, -0.173810088464,321.0
Belvès-de-Castillon,341,48,14%,37,11%,25,7%,58,17%,78,23%,45,13%,33,10%,18,5%,33045,44.8784883678, -0.0279648094284,668.0
Bernos-Beaulac,1 171,158,14%,102,9%,64,5%,178,15%,261,22%,170,15%,167,14%,71,6%,33046,44.3630023376, -0.259455361877,3644.0
Berson,1 774,234,13%,159,9%,100,6%,283,16%,421,24%,231,13%,244,14%,102,6%,33047,45.1170453361, -0.574457509395,1788.0
Berthez,232,29,13%,29,13%,18,8%,43,19%,43,19%,29,13%,27,12%,13,5%,33048,44.4828924557, -0.128085813135,600.0
Beychac-et-Caillau,2 008,274,14%,195,10%,107,5%,354,18%,452,23%,316,16%,250,12%,60,3%,33049,44.8720986802, -0.371061505246,1576.0
Bieujac,508,90,18%,45,9%,23,5%,98,19%,114,22%,56,11%,57,11%,25,5%,33050,44.5383649764, -0.154398483279,698.0
Biganos,9 855,1 316,13%,886,9%,708,7%,1 839,19%,2 266,23%,1 306,13%,1 103,11%,430,4%,33051,44.6611063153, -0.948829442283,5118.0
Birac,225,25,11%,24,11%,11,5%,31,14%,52,23%,38,17%,25,11%,19,8%,33053,44.4124016589, -0.143472733247,1022.0
Blaignac,278,44,16%,19,7%,12,4%,44,16%,64,23%,48,17%,33,12%,14,5%,33054,44.5509350184, -0.0541157193066,325.0
Blaignan,247,27,11%,15,6%,25,10%,52,21%,51,21%,43,17%,19,7%,14,6%,33055,45.3230869763, -0.865864603623,684.0
Blanquefort,15 149,1 852,12%,1 488,10%,1 244,8%,2 653,18%,3 555,23%,2 319,15%,1 424,9%,614,4%,33056,44.9231492741, -0.612268950301,3398.0
Blasimon,896,133,15%,91,10%,31,3%,162,18%,198,22%,123,14%,103,12%,55,6%,33057,44.7502132956, -0.089121338882,2976.0
Blaye,4 710,617,13%,401,9%,396,8%,892,19%,915,19%,546,12%,518,11%,425,9%,33058,45.127899764, -0.669707092291,1563.0
Blésignac,317,46,15%,43,14%,17,5%,64,20%,86,27%,39,12%,16,5%,6,2%,33059,44.7773252644, -0.254997261945,260.0
Bommes,515,90,17%,46,9%,41,8%,95,18%,118,23%,62,12%,43,8%,20,4%,33060,44.5529791814, -0.344933084862,578.0
Bonnetan,844,126,15%,79,9%,44,5%,141,17%,209,25%,124,15%,95,11%,26,3%,33061,44.8193051355, -0.410997563502,436.0
Bonzac,765,113,15%,73,10%,34,5%,130,17%,183,24%,112,15%,93,12%,25,3%,33062,45.0072015945, -0.221528081748,747.0
Bordeaux,241 224,22 457,9%,14 629,6%,41 377,17%,60 908,25%,42 220,18%,23 751,10%,21 651,9%,14 230,6%,33063,44.8572445351, -0.57369678116,4970.0
Bossugan,49,5,10%,4,8%,4,8%,6,12%,10,20%,8,16%,8,16%,4,8%,33064,44.7915487429, -0.0519671900335,238.0
Bouliac,3 160,391,12%,271,9%,236,7%,531,17%,729,23%,448,14%,374,12%,180,6%,33065,44.8160953539, -0.50487313207,780.0
Bourdelles,109,19,17%,8,7%,6,5%,18,16%,22,20%,13,12%,14,13%,11,10%,33066,44.5585840825, 0.00571308872513,723.0
Bourg,2 141,273,13%,187,9%,127,6%,369,17%,469,22%,283,13%,248,12%,185,9%,33067,45.0398664572, -0.547187308975,1383.0
Bourideys,86,7,8%,11,13%,2,3%,12,14%,20,23%,16,18%,13,16%,4,5%,33068,44.3577116761, -0.47241853929,4868.0
Brach,582,124,21%,38,6%,26,4%,173,30%,120,21%,58,10%,27,5%,16,3%,33070,45.0409201338, -0.948184300809,2884.0
Branne,1 323,204,15%,91,7%,104,8%,294,22%,248,19%,138,10%,114,9%,129,10%,33071,44.8281852222, -0.180276839156,243.0
Brannens,217,43,20%,23,10%,5,2%,46,21%,36,17%,29,14%,24,11%,11,5%,33072,44.5220010151, -0.152201164676,606.0
Braud-et-Saint-Louis,1 486,190,13%,136,9%,80,5%,248,17%,311,21%,177,12%,190,13%,154,10%,33073,45.2544518508, -0.646204430347,4833.0
Brouqueyran,214,34,16%,23,11%,9,4%,45,21%,49,23%,29,14%,18,8%,7,3%,33074,44.4879887371, -0.177790358519,570.0
Bruges,16 269,2 147,13%,1 344,8%,1 377,8%,3 727,23%,3 595,22%,1 870,11%,1 412,9%,797,5%,33075,44.8889469436, -0.600427664273,1420.0
Budos,725,107,15%,55,8%,22,3%,139,19%,153,21%,125,17%,89,12%,37,5%,33076,44.5346733151, -0.399965558931,2121.0
Cabanac-et-Villagrains,2 159,394,18%,246,11%,127,6%,456,21%,557,26%,215,10%,107,5%,56,3%,33077,44.5919178983, -0.549470960581,6939.0
Cabara,447,72,16%,39,9%,22,5%,79,18%,101,23%,61,14%,51,11%,22,5%,33078,44.8304622766, -0.161179708223,341.0
Cadarsac,305,47,15%,21,7%,21,7%,62,20%,68,22%,50,16%,33,11%,3,1%,33079,44.8620505289, -0.283663613137,228.0
Cadaujac,5 429,720,13%,452,8%,416,8%,1 119,21%,1 209,22%,692,13%,552,10%,268,5%,33080,44.7463102353, -0.529387094363,1541.0
Cadillac,2 713,336,12%,198,7%,189,7%,562,21%,603,22%,354,13%,276,10%,195,7%,33081,44.640655028, -0.305411766484,541.0
Cadillac-en-Fronsadais,1 241,218,18%,104,8%,74,6%,305,25%,227,18%,153,12%,131,11%,29,2%,33082,44.9623132376, -0.373407122831,376.0
Camarsac,960,139,15%,86,9%,48,5%,147,15%,208,22%,157,16%,128,13%,45,5%,33083,44.8255815323, -0.368684633032,537.0
Cambes,1 345,180,13%,110,8%,66,5%,247,18%,315,23%,173,13%,147,11%,107,8%,33084,44.7403794347, -0.462515708887,535.0
Camblanes-et-Meynac,2 735,383,14%,255,9%,176,6%,449,16%,689,25%,342,13%,299,11%,142,5%,33085,44.7664526073, -0.475866480687,886.0
Camiac-et-Saint-Denis,373,72,19%,34,9%,21,6%,72,19%,85,23%,47,13%,30,8%,12,3%,33086,44.7961983028, -0.292259095735,662.0
Camiran,426,45,11%,30,7%,25,6%,66,15%,80,19%,85,20%,59,14%,36,8%,33087,44.6347802416, -0.0680146855411,575.0
Camps-sur-l'Isle,566,85,15%,66,12%,16,3%,93,16%,108,19%,82,14%,76,13%,39,7%,33088,45.016429862, -0.0351593823599,297.0
Campugnan,473,78,16%,35,7%,22,5%,90,19%,106,22%,68,14%,53,11%,20,4%,33089,45.1842358526, -0.560005135989,625.0
Canéjan,5 187,561,11%,467,9%,553,11%,749,14%,1 250,24%,815,16%,576,11%,216,4%,33090,44.7598891584, -0.65697711026,1208.0
Cantenac,1 344,225,17%,115,9%,77,6%,279,21%,304,23%,161,12%,127,9%,56,4%,33091,45.0277700491, -0.674408400113,1428.0
Cantois,227,41,18%,23,10%,12,5%,33,15%,61,27%,24,11%,17,7%,16,7%,33092,44.6929745463, -0.21477102235,794.0
Capian,690,95,14%,70,10%,38,6%,119,17%,174,25%,94,14%,80,12%,20,3%,33093,44.716585777, -0.327839975905,1827.0
Caplong,228,28,12%,14,6%,17,8%,46,20%,48,21%,37,16%,25,11%,14,6%,33094,44.7672577691, 0.150751886414,941.0
Captieux,1 334,117,9%,86,6%,71,5%,176,13%,279,21%,219,16%,236,18%,149,11%,33095,44.2537330711, -0.28409017243,11999.0
Carbon-Blanc,7 147,897,13%,645,9%,510,7%,1 162,16%,1 525,21%,875,12%,995,14%,538,8%,33096,44.9025299083, -0.501176652356,382.0
Carcans,2 267,324,14%,164,7%,88,4%,394,17%,503,22%,346,15%,334,15%,114,5%,33097,45.0847969006, -1.04933512467,20137.0
Cardan,448,55,12%,43,10%,28,6%,83,18%,114,26%,68,15%,38,8%,19,4%,33098,44.682146358, -0.321636613083,424.0
Carignan-de-Bordeaux,3 743,528,14%,335,9%,200,5%,628,17%,845,23%,507,14%,475,13%,225,6%,33099,44.8094507679, -0.472244925995,872.0
Cars,1 161,123,11%,101,9%,65,6%,154,13%,257,22%,204,18%,169,15%,88,8%,33100,45.1284908523, -0.616952904879,1109.0
Cartelègue,1 187,199,17%,112,9%,61,5%,217,18%,256,22%,146,12%,133,11%,62,5%,33101,45.1912964207, -0.578370670079,1143.0
Casseuil,389,44,11%,27,7%,20,5%,58,15%,89,23%,63,16%,60,15%,27,7%,33102,44.589045515, -0.118981195869,641.0
Castelmoron-d'Albret,53,10,19%,1,2%,4,8%,7,13%,6,12%,11,21%,11,21%,2,4%,33103,44.6794782931, -0.0114847499916,2.0
Castelnau-de-Médoc,3 935,547,14%,316,8%,289,7%,786,20%,856,22%,466,12%,449,11%,226,6%,33104,45.0074633162, -0.812848440368,2388.0
Castelviel,191,30,16%,14,7%,9,5%,33,17%,33,17%,34,18%,26,14%,12,6%,33105,44.6665619029, -0.152086542362,807.0
Castets-en-Dorthe,1 184,164,14%,97,8%,62,5%,213,18%,233,20%,188,16%,142,12%,85,7%,33106,44.5558858175, -0.141301295122,854.0
Castillon-de-Castets,309,52,17%,37,12%,10,3%,33,11%,76,24%,32,10%,47,15%,24,8%,33107,44.549611037, -0.109905368493,452.0
Castillon-la-Bataille,2 878,335,12%,212,7%,196,7%,414,14%,485,17%,371,13%,490,17%,375,13%,33108,44.8619054717, -0.0287795124609,569.0
Castres-Gironde,2 179,412,19%,182,8%,142,7%,510,23%,452,21%,227,10%,170,8%,85,4%,33109,44.6858784947, -0.455026609065,698.0
Caudrot,1 157,184,16%,102,9%,59,5%,183,16%,217,19%,132,11%,173,15%,108,9%,33111,44.5846738826, -0.144878442229,615.0
Caumont,158,21,13%,13,8%,9,6%,22,14%,32,20%,21,13%,24,15%,15,10%,33112,44.6957842338, -0.0109965772154,760.0
Cauvignac,169,36,21%,13,8%,7,4%,30,18%,31,19%,19,11%,22,13%,10,6%,33113,44.4173147327, -0.0710548756183,552.0
Cavignac,1 763,271,15%,173,10%,140,8%,362,21%,365,21%,170,10%,192,11%,91,5%,33114,45.096401427, -0.381910358061,670.0
Cazalis,240,17,7%,19,8%,7,3%,37,15%,57,24%,46,19%,48,20%,11,5%,33115,44.3299796654, -0.393816052925,4696.0
Cazats,315,43,14%,28,9%,21,7%,59,19%,70,22%,42,13%,39,12%,14,4%,33116,44.473019034, -0.203200932598,748.0
Cazaugitat,241,33,14%,23,9%,12,5%,31,13%,60,25%,36,15%,30,13%,15,6%,33117,44.7152295174, 0.0111309122135,1443.0
Cénac,1 833,186,10%,207,11%,105,6%,196,11%,459,25%,313,17%,291,16%,76,4%,33118,44.7826946723, -0.456684447802,751.0
Cenon,22 385,3 043,14%,2 018,9%,2 033,9%,4 314,19%,4 348,19%,2 696,12%,2 496,11%,1 437,6%,33119,44.8548325665, -0.521018807062,571.0
Cérons,1 984,362,18%,176,9%,89,5%,429,22%,409,21%,225,11%,174,9%,119,6%,33120,44.6273573941, -0.33978567872,584.0
Cessac,186,22,12%,21,11%,8,4%,26,14%,50,27%,29,15%,18,10%,13,7%,33121,44.7415385665, -0.18530011295,368.0
Cestas,16 379,1 603,10%,1 431,9%,1 085,7%,2 066,13%,3 725,23%,3 163,19%,2 488,15%,817,5%,33122,44.7237410966, -0.726825410115,9956.0
Cézac,2 434,464,19%,225,9%,120,5%,570,23%,517,21%,261,11%,210,9%,68,3%,33123,45.0855145427, -0.431075960608,1936.0
Chamadelle,681,108,16%,59,9%,23,3%,134,20%,139,20%,96,14%,79,12%,43,6%,33124,45.0983652507, -0.0904776374453,1541.0
Cissac-Médoc,1 854,301,16%,159,9%,99,5%,389,21%,401,22%,251,14%,191,10%,62,3%,33125,45.220435054, -0.848792413525,2362.0
Civrac-de-Blaye,826,126,15%,96,12%,35,4%,158,19%,189,23%,106,13%,92,11%,24,3%,33126,45.1112083478, -0.461315031465,1330.0
Civrac-en-Médoc,609,76,13%,50,8%,25,4%,112,18%,125,21%,105,17%,86,14%,30,5%,33128,45.3437734218, -0.916116550254,1856.0
Civrac-sur-Dordogne,212,20,9%,21,10%,12,6%,42,20%,45,21%,30,14%,25,12%,17,8%,33127,44.830355683, -0.0779777729752,191.0
Cleyrac,154,15,9%,12,8%,11,7%,19,13%,35,23%,31,20%,22,15%,9,6%,33129,44.7187705333, -0.0383372674584,609.0
Coimères,904,151,17%,97,11%,33,4%,177,20%,203,22%,129,14%,81,9%,34,4%,33130,44.5004950775, -0.212633821506,1286.0
Coirac,211,25,12%,25,12%,6,3%,37,17%,55,26%,31,15%,29,14%,4,2%,33131,44.6861124973, -0.172140647906,573.0
Comps,504,86,17%,43,9%,26,5%,111,22%,115,23%,57,11%,50,10%,16,3%,33132,45.0671200196, -0.593624837355,171.0
Coubeyrac,96,4,4%,1,1%,4,4%,5,5%,20,21%,28,29%,27,28%,8,8%,33133,44.7835191619, 0.0530247676718,564.0
Couquèques,257,49,19%,16,6%,18,7%,45,18%,58,23%,25,10%,32,12%,14,5%,33134,45.3438294429, -0.847957119677,647.0
Courpiac,119,11,10%,4,4%,6,5%,28,24%,23,19%,20,17%,19,16%,7,6%,33135,44.7547642391, -0.185776017902,218.0
Cours-de-Monségur,280,31,11%,31,11%,12,4%,34,12%,69,24%,39,14%,50,18%,16,6%,33136,44.6517777176, 0.127326594393,962.0
Cours-les-Bains,213,26,12%,19,9%,16,8%,40,19%,50,23%,30,14%,25,12%,7,3%,33137,44.3789499034, -0.00703420614383,1038.0
Coutras,8 085,959,12%,692,9%,548,7%,1 257,16%,1 707,21%,1 077,13%,1 220,15%,624,8%,33138,45.0390867207, -0.105373715279,3384.0
Coutures,99,17,17%,14,14%,4,4%,20,20%,16,16%,12,12%,11,11%,5,5%,33139,44.652450698, 0.0315149165133,335.0
Créon,4 333,633,15%,435,10%,266,6%,958,22%,852,20%,482,11%,422,10%,284,7%,33140,44.770425384, -0.343606134456,801.0
Croignon,514,83,16%,49,10%,26,5%,98,19%,134,26%,60,12%,48,9%,15,3%,33141,44.8210599121, -0.344003297739,469.0
Cubnezais,1 374,248,18%,114,8%,65,5%,320,23%,299,22%,169,12%,114,8%,45,3%,33142,45.0728274718, -0.419591338026,1033.0
Cubzac-les-Ponts,2 261,376,17%,172,8%,144,6%,488,22%,480,21%,309,14%,223,10%,69,3%,33143,44.9696352985, -0.446132776747,892.0
Cudos,835,115,14%,89,11%,57,7%,124,15%,189,23%,103,12%,123,15%,36,4%,33144,44.3779081527, -0.188470066299,3493.0
Cursan,560,96,17%,62,11%,20,4%,111,20%,128,23%,80,14%,54,10%,9,2%,33145,44.7957089304, -0.33460674853,604.0
Cussac-Fort-Médoc,2 071,429,21%,218,11%,78,4%,516,25%,406,20%,217,10%,166,8%,40,2%,33146,45.1199548347, -0.72618379335,2427.0
Daignac,471,57,12%,51,11%,28,6%,82,17%,119,25%,55,12%,58,12%,21,4%,33147,44.7959422928, -0.235707900811,572.0
Dardenac,90,15,16%,10,11%,2,2%,16,18%,21,24%,12,13%,9,10%,6,6%,33148,44.7835125524, -0.239650507452,151.0
Daubèze,151,23,15%,14,9%,5,3%,31,21%,28,19%,25,17%,19,13%,6,4%,33149,44.7103814414, -0.133821716061,570.0
Dieulivol,328,24,7%,16,5%,21,6%,82,25%,71,22%,41,13%,54,16%,19,6%,33150,44.6779870781, 0.103507198819,1042.0
Donnezac,865,105,12%,84,10%,56,7%,139,16%,183,21%,105,12%,137,16%,55,6%,33151,45.2339831114, -0.445024799507,3648.0
Donzac,156,22,14%,9,6%,13,8%,28,18%,31,20%,20,13%,23,15%,9,6%,33152,44.6490849258, -0.256631952912,437.0
Doulezon,262,31,12%,17,6%,10,4%,53,20%,57,22%,43,16%,26,10%,25,10%,33153,44.7924343715, -0.00123843132534,753.0
Escaudes,152,9,6%,7,5%,1,1%,21,14%,41,27%,28,19%,33,22%,11,7%,33155,44.3127064082, -0.208247896337,2579.0
Escoussans,320,54,17%,35,11%,13,4%,59,18%,80,25%,31,10%,31,10%,17,5%,33156,44.6790444082, -0.275955218304,515.0
Espiet,735,144,20%,70,10%,42,6%,159,22%,195,27%,55,8%,51,7%,18,3%,33157,44.7957699657, -0.26502782545,681.0
Étauliers,1 499,224,15%,110,7%,121,8%,273,18%,303,20%,223,15%,168,11%,77,5%,33159,45.2209962068, -0.581677744347,1305.0
Eynesse,581,60,10%,51,9%,27,5%,90,16%,125,22%,89,15%,95,16%,43,7%,33160,44.819717778, 0.14910058165,746.0
Eyrans,704,106,15%,49,7%,45,6%,151,21%,149,21%,94,13%,68,10%,43,6%,33161,45.1935625916, -0.60988049368,427.0
Eysines,21 063,2 927,14%,1 822,9%,1 679,8%,4 336,21%,4 228,20%,2 580,12%,2 289,11%,1 201,6%,33162,44.8797152377, -0.647899474657,1203.0
Faleyras,390,64,16%,27,7%,20,5%,65,17%,96,25%,46,12%,51,13%,22,6%,33163,44.7638937093, -0.228692967915,1036.0
Fargues,1 534,207,13%,136,9%,97,6%,219,14%,383,25%,235,15%,182,12%,75,5%,33164,44.5353844514, -0.294974824238,1548.0
Fargues-Saint-Hilaire,2 715,310,11%,210,8%,170,6%,511,19%,605,22%,379,14%,295,11%,235,9%,33165,44.819815277, -0.439992385579,696.0
Flaujagues,595,70,12%,48,8%,39,7%,99,17%,114,19%,116,19%,69,12%,40,7%,33168,44.8318741437, 0.0243569080199,765.0
Floirac,16 508,2 410,15%,1 459,9%,1 317,8%,3 277,20%,3 427,21%,2 161,13%,1 802,11%,655,4%,33167,44.8338094646, -0.520646895866,847.0
Floudès,93,10,11%,10,11%,3,3%,14,15%,33,35%,12,13%,11,12%,0,0%,33169,44.5700178825, -0.0629604195492,375.0
Fontet,837,137,16%,69,8%,41,5%,150,18%,158,19%,114,14%,126,15%,42,5%,33170,44.5553150751, -0.0279073992518,786.0
Fossès-et-Baleyssac,186,26,14%,17,9%,9,5%,29,16%,42,22%,34,18%,22,12%,7,4%,33171,44.5970944275, 0.0500249563956,950.0
Fours,299,38,13%,27,9%,10,3%,42,14%,71,24%,45,15%,44,15%,21,7%,33172,45.1747751409, -0.633340019213,467.0
Francs,208,21,10%,21,10%,17,8%,23,11%,59,28%,25,12%,33,16%,9,5%,33173,44.942978361, -0.00064276030543,661.0
Fronsac,1 146,149,13%,107,9%,73,6%,183,16%,266,23%,139,12%,155,14%,74,6%,33174,44.9220632004, -0.279859692474,1514.0
Frontenac,766,134,17%,67,9%,41,5%,163,21%,180,23%,68,9%,74,10%,39,5%,33175,44.7297633138, -0.144178489946,1441.0
Gabarnac,327,54,16%,20,6%,11,3%,70,21%,63,19%,49,15%,46,14%,14,4%,33176,44.6165155968, -0.262725759039,534.0
Gaillan-en-Médoc,2 084,233,11%,152,7%,95,5%,311,15%,437,21%,375,18%,333,16%,149,7%,33177,45.3129626409, -0.987597387066,4221.0
Gajac,387,46,12%,35,9%,24,6%,52,14%,87,22%,72,18%,44,11%,26,7%,33178,44.4363899327, -0.134945962959,1226.0
Galgon,2 941,411,14%,254,9%,174,6%,541,18%,631,21%,421,14%,393,13%,117,4%,33179,44.9904736061, -0.276833438691,1503.0
Gans,193,16,8%,21,11%,11,6%,25,13%,56,29%,32,17%,20,10%,12,6%,33180,44.4543319425, -0.132059806791,703.0
Gardegan-et-Tourtirac,308,52,17%,29,9%,14,5%,64,21%,68,22%,37,12%,21,7%,21,7%,33181,44.8947155186, -0.0166227907125,967.0
Gauriac,811,100,12%,66,8%,34,4%,111,14%,179,22%,127,16%,130,16%,65,8%,33182,45.0640707236, -0.629412029875,1011.0
Gauriaguet,1 183,207,17%,107,9%,67,6%,269,23%,263,22%,155,13%,78,7%,38,3%,33183,45.0457476873, -0.395962651945,544.0
Générac,582,80,14%,55,9%,24,4%,90,16%,122,21%,101,17%,68,12%,42,7%,33184,45.1736695574, -0.545835107473,953.0
Génissac,1 857,298,16%,187,10%,100,5%,382,21%,433,23%,237,13%,153,8%,67,4%,33185,44.8604999548, -0.249176861403,1415.0
Gensac,848,98,12%,75,9%,40,5%,102,12%,156,18%,123,15%,163,19%,91,11%,33186,44.7947598908, 0.0843381724535,932.0
Gironde-sur-Dropt,1 166,147,13%,95,8%,67,6%,190,16%,227,19%,181,16%,156,13%,103,9%,33187,44.5911619768, -0.0876331035649,884.0
Giscos,215,28,13%,11,5%,10,4%,33,15%,52,24%,31,14%,39,18%,12,5%,33188,44.2661947283, -0.163156901321,3207.0
Gornac,390,52,13%,36,9%,29,8%,59,15%,77,20%,54,14%,52,13%,30,8%,33189,44.6632972482, -0.1839383774,842.0
Goualade,98,12,12%,9,9%,4,4%,6,6%,30,31%,14,14%,17,17%,6,6%,33190,44.3174301368, -0.121216305853,1705.0
Gours,463,69,15%,31,7%,11,2%,95,21%,74,16%,75,16%,66,14%,40,9%,33191,44.9980305708, 0.0262519757386,791.0
Gradignan,23 930,2 529,11%,1 655,7%,3 038,13%,4 370,18%,4 433,19%,2 981,12%,3 302,14%,1 621,7%,33192,44.7709411201, -0.616137682116,1566.0
Grayan-et-l'Hôpital,1 265,137,11%,78,6%,40,3%,186,15%,266,21%,264,21%,223,18%,69,5%,33193,45.4351862635, -1.10881933696,4543.0
Grézillac,703,91,13%,67,9%,32,5%,103,15%,178,25%,97,14%,97,14%,39,6%,33194,44.8168819983, -0.218779219407,778.0
