Id,DATE_DERNIERE_MAJ,INTERET,TYPE,THEME,EVENEMENT_CADRE,NOM_OFFRE,LIEU,RUE,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,DATES,TARIFS
FMAAQU064V59U02T,16/07/2019,Promotion locale,Exposition,,,"""La Petite Littorale #2 : Jardins extraordinaires""",Parc de la Villa Beatrix Enea,2 rue Albert-le-Barillier,64600,ANGLET,64024,+33 5 59 58 35 60,,culture@anglet.fr,, -1.5131814,43.4823087,Oui,,,22/06/2019|31/08/2019|||||,"Gratuit|0,00||"
FMAAQU033V508QL7,18/02/2019,Promotion régionale,Visite,Historique # Patrimoine culturel,,"""Le Mur de l'Atlantique"" à la Chêneraie",Parc de la Chêneraie,,33470,GUJAN-MESTRAS,33199,+33 5 56 66 12 65,,,, -1.0711890,44.6357310,,,,14/08/2019|14/08/2019|10:00||||,"Plein tarif|5,00|5,00|Adulte et enfant à partir de 10 ans. # Tarif réduit|2,50|2,50|Enfant - de 10 ans"
FMAAQU033V508QLX,18/02/2019,Promotion régionale,Visite,Historique # Patrimoine culturel,,"""Le Mur de l'Atlantique"" à la Chêneraie",Parc de la Chêneraie,,33470,GUJAN-MESTRAS,33199,+33 5 56 66 12 65,,,, -1.1177806,44.6387943,Oui,,,07/08/2019|07/08/2019|10:00||||,"Plein tarif|5,00|5,00|Adulte et enfant à partir de 10 ans. # Tarif réduit|2,50|2,50|Enfant - de 10 ans"
FMAAQU033V508QM2,18/02/2019,Promotion régionale,Visite,Historique # Patrimoine culturel,,"""Le Mur de l'Atlantique"" à la Chêneraie",Parc de la Chêneraie,,33470,GUJAN-MESTRAS,33199,+33 5 56 66 12 65,,,, -1.0711890,44.6357310,,,,21/08/2019|21/08/2019|10:00||||,"Plein tarif|5,00|5,00|Adulte et enfant à partir de 10 ans. # Tarif réduit|2,50|2,50|Enfant - de 10 ans"
FMAAQU033V50R9H3,07/07/2019,Promotion locale,Divertissement,Cinéma,,"""Les aventuriers de l'arche perdue"", film de Steven Spielberg, séance gratuite offerte par Taussat Village",Place des Tamaris,,33138,LANTON,33229,,+33 6 22 04 81 70,,http://www.taussat-village.com, -1.069488,44.716247,Oui,,,14/08/2019|14/08/2019|22:30||||,Gratuit|||
FMAAQU064V5A3XZC,19/07/2019,Promotion locale,Concert,Musique classique,,"""Les contrebasses internationales"", musique du monde ",Parvis sud du Casino Municipal,Boulevard du Général de Gaulle,64200,BIARRITZ,64122,,,,, -1.5598532,43.4833259,Oui,,,02/08/2019|02/08/2019|19:30||||,
FMAAQU033V509EUS,18/07/2019,Promotion régionale,Animation patrimoine # Visite,,,"""L'huître de la tuile à l'assiette""",Office de tourisme Coeur du Bassin,24 allées de Boissière,33980,AUDENGE,33019,+33 5 57 70 67 56,,,, -1.0153751,44.6836986,Oui,,,16/07/2019|16/07/2019|10:00|12:00||| # 23/07/2019|23/07/2019|10:00|12:00||| # 13/08/2019|13/08/2019|10:00|12:00||| # 20/08/2019|20/08/2019|10:00|12:00||| # 10/09/2019|10/09/2019|10:00|12:00||| # 17/09/2019|17/09/2019|10:00|12:00|||,"Plein tarif|12,50|12,50|adulte # Tarif réduit|4,50|4,50|sans dégustation enfant de 11 à 17 ans # Gratuit|0,00|0,00|enfants de moins de 11 ans"
FMAAQU064V503CB0,10/04/2019,Promotion locale,Spectacle,Historique,,"""L'île au trésor"" spectacle avec les Lames sur Seine",Place des Poilus,,64570,ARETTE,64040,+33 5 59 88 90 82,,,, -0.7163347,43.0953107,Oui,,,05/08/2019|05/08/2019|20:30||||,"Tarif réduit|5,00||4 à 12 ans # Plein tarif|10,00||A partir de 13 ans"
FMAAQU033V50QKT3,24/06/2019,Promotion régionale,Animation patrimoine # Divertissement # Spectacle,Historique # Médiéval,,"""Motas Encantadas"" - Fête médiévale",,Rue des Mottes,33650,CABANAC-ET-VILLAGRAINS,33077,+33 5 56 68 72 13,,culture-communication@cabanac-villagrains.fr,http://cabanacetvillagrains.fr/z/index.php, -0.549017,44.609651,Oui,,,31/08/2019|31/08/2019|11:00||||,Gratuit|||
FMAAQU033V50RHFA,11/07/2019,Promotion locale,Animations locales,Danse,,"""Rueda en la calle"" rassemblement salsa ",A la jetée ,Place Louis David,33510,ANDERNOS-LES-BAINS,33005,+33 5 56 82 02 95,,,https://andernos-tourisme.fr, -1.100908,44.740235,Oui,,,02/08/2019|02/08/2019|19:00|23:00|||,
FMAAQU024V50D3PK,24/01/2019,Promotion locale,Loisir nature,,,"""Sous les étoiles""    ",,Moulin de Sainte Claire,24000,PERIGUEUX,24322,+33 5 53 53 10 63,,,,0.72167250,45.1772743,Oui,,,06/08/2019|06/08/2019|20:30|23:00|||,Tarif réduit|||enfants de 6 à 11 ans
FMAAQU024V50D3PL,24/01/2019,Promotion locale,Loisir nature,,,"""Sous les étoiles""    ",,Moulin de Sainte Claire,24000,PERIGUEUX,24322,+33 5 53 53 10 63,,,,0.72167250,45.1772743,Oui,,,13/08/2019|13/08/2019|20:30|23:00|||,Tarif réduit|||enfants de 6 à 11 ans
FMAAQU024V50D3PN,24/01/2019,Promotion locale,Loisir nature,,,"""Sous les étoiles""     ",,Moulin de Sainte Claire,24000,PERIGUEUX,24322,+33 5 53 53 10 63,,,,0.72167250,45.1772743,Oui,,,20/08/2019|20/08/2019|20:30|23:00|||,Tarif réduit|||enfants de 6 à 11 ans
FMAAQU024V50D3PO,24/01/2019,Promotion locale,Loisir nature,,,"""Sous les étoiles""     ",,Moulin de Sainte Claire,24000,PERIGUEUX,24322,+33 5 53 53 10 63,,,,0.72167250,45.1772743,Oui,,,27/08/2019|27/08/2019|20:30|23:00|||,Tarif réduit|||enfants de 6 à 11 ans
FMAAQU033V50RCR6,16/07/2019,Promotion locale,Animations locales # Compétition sportive,Sport collectif # Sports nautiques # Surf,,"""Sports Vacances""",,Allée José Maria de Heredia,33120,ARCACHON,33009,+33 557527205,,,, -1.1683246,44.6558706,Oui,,,08/07/2019|02/08/2019|||||,
FMAAQU040V50LZQE,07/06/2019,Promotion régionale,Animation patrimoine # Animations locales # Visite,,,"""Vis ta plage"" à Sanguinet ",Poste de secours ,Plage de Caton,40460,SANGUINET,40287,,+33 6 80 22 24 00,,, -1.0762303,44.4946326,Oui,,,14/08/2019|14/08/2019|10:30||||,Gratuit|||
FMAAQU064V5A4MDM,17/07/2019,Promotion locale,Concert,,,"« Cuivres en Pays Basque » fait son Concert de Prestige 2,0",Fronton Municipal ,,64500,SAINT-JEAN-DE-LUZ,64483,,,cuivresenpaysbasque@gmail.com,https://www.cuivres-en-pays-basque.com/, -1.6630550,43.3880510,Non,,,16/08/2019|16/08/2019|20:30|22:00|||,
FMAAQU064V59CQ63,08/03/2019,Promotion locale,Exposition,Peinture,,"« Jean Veber, peintre des fées » Un témoin satirique et poétique de la Belle-Epoque",Villa Arnaga,Route du Docteur Camino ,64250,CAMBO-LES-BAINS,64160,+33 5 59 29 83 92,,,, -1.4160484,43.3669304,Oui,,,07/06/2019|03/11/2019|||||,
FMAAQU033V50QYD2,18/06/2019,Promotion régionale,Concert,Musique contemporaine,,« les lacets des fées » – Rock à divers chemins,,Place fourès,33990,HOURTIN,33203,+33 5 56 73 28 43,,,, -1.1631022,45.2217620,Oui,,,29/08/2019|29/08/2019|21:00||||,
FMAAQU033V50QYAN,18/06/2019,Promotion locale,Concert,Musique de variété,,« Les plus grands succès de Johnny Halliday »,,Place de l'église,33990,HOURTIN,33203,+33 5 56 73 28 43,,,, -1.058391,45.185407,Oui,,,13/08/2019|13/08/2019|21:30||||,
FMAAQU000V501NOC,13/06/2019,Promotion régionale,Exposition,Patrimoine culturel,,«Sortez des clichés !» // exposition temporaire ,Pavillon de l'écomusée de Marquèze ,Route de Solférino,40630,SABRES,40246,+33 5 24 73 37 40,,,https://www.marqueze.fr/les-expositons-au-pavillon.html, -0.749433,44.149414,Oui,,,30/03/2019|03/11/2019|10:00|18:00|||,
FMAAQU024V50E10C,05/07/2019,Promotion locale,Exposition,,,"1 lieu, 3 expositions",Pôle d'interprétation de la Préhistoire,30 Rue du Moulin,24620,LES EYZIES,24172,+33 5 53 06 06 97,,contact@pole-prehistoire.com,http://www.pole-prehistoire.com,1.01813869,44.9359485,Oui,,,14/06/2019|03/05/2020|||||,
FMAAQU064V500V63,05/04/2019,Promotion locale,Compétition sportive,Pelote basque,,"1/2 Finales Pelote main nue ""Trophée Chilar"" ",Trinquet,,64250,SOURAIDE,64527,,,,, -1.4755711,43.3427515,Oui,,,09/08/2019|09/08/2019|18:00||||,"Plein tarif|10,00|10,00|"
FMAAQU064V500TSJ,17/04/2019,Promotion locale,Loisir nature,Pêche,,1/2 journée animation pêche,Gave d'Ossau,,64440,LARUNS,64320,+33 5 59 05 31 41,,,, -0.4262740,42.9876440,,,,09/08/2019|09/08/2019|09:30|12:30|||,
FMAAQU040FS00IEC,01/03/2019,Promotion régionale,Visite,,,1/2 Journée Tourisme en Espace Rural,Rdv office de tourisme,,40230,SAINT-VINCENT-DE-TYROSSE,40284,+33 5 58 77 12 00,,,, -1.3011870,43.6587109,,,,14/08/2019|14/08/2019|09:45|13:00|||,
FMAAQU033V50P2Q2,18/01/2019,Promotion locale,Concert,Jazz et blues,,"10ème édition du Festival ""Jazz sur les quais"" à Port-Sainte-Foy-et-Ponchapt  ",Quais,,33220,PORT-SAINTE-FOY-ET-PONCHAPT,24335,+33 5 53 22 24 10,,mairie@port-sainte-foy.info,http://www.port-sainte-foy.info,0.21028518,44.8428086,Oui,,,02/08/2019|02/08/2019|21:00||||,
FMAAQU040FS01G16,08/07/2019,Promotion régionale,Animations locales # Concert # Marché # Portes ouvertes,Gastronomie # Vin / œnologie / spiritueux,,10ème Edition du Marché nocturne à l'écomusée de l'Armagnac,Château Garreau,Domaine de Gayrosse D 209,40240,LABASTIDE-D'ARMAGNAC,40131,+33 5 58 44 84 35,,,http://www.ecomusee-armagnac.fr, -0.1762530,43.9414010,Non,,,08/08/2019|08/08/2019|18:00||||,
FMAAQU024V5051OA,18/04/2019,Promotion locale,Animations locales,,,10ème Grand Comice Agricole,Le Bourg,,24290,FANLAC,24174,+33 5 53 42 20 25 # +33 5 53 51 91 19,+33 6 86 69 06 57,christian.beusse@orange.fr,,1.09640942,45.0652877,Oui,,,25/08/2019|25/08/2019|||||,
FMAAQU047V50A8WF,18/07/2019,Promotion régionale,Animations locales # Atelier/Stage/Concours # Divertissement,Gastronomie,,11ème édition des Confituriades®,Au bourg,,47200,BEAUPUY,47024,+33 5 53 64 32 24,,mairiebeaupuy@collectivite47.fr,http://www.confituriades-beaupuy.com/,0.14734925,44.5355656,Oui,,,17/08/2019|18/08/2019|||||,
FMAAQU047FS008UF,12/06/2019,Promotion régionale,Festival # Spectacle,Feux d'artifice # Musique contemporaine,,11ème Festival de percussions en Albret,Pré du Curé,,47230,BARBASTE,47021,,+33 6 73 75 74 69,pierre.jayles@orange.fr,,0.28853857,44.1704178,Oui,,,10/08/2019|10/08/2019|17:00||||,
FMAAQU024V5010UW,11/07/2019,Promotion régionale,Animations locales,Feux d'artifice,,128 ème Fête de la Rosière,Le bourg,,24460,BRANTOME EN PERIGORD,24064,,+33 7 87 73 22 92,mairie.eyvirat@wanadoo.fr,,0.7535120,45.3232900,,,,11/08/2019|11/08/2019|||||,
FMAAQU040V50HMFC,11/06/2019,Promotion régionale,Animation Jeune Public # Concert # Défilé Cortège Parade # Divertissement # Festival # Spectacle # Théâtre,Arts créatifs/Arts plastiques # Cinéma # Comique # Danse # Théâtre de rue,,"15e édition du Festival de duos éclectiques ""40 en paires""",,Place Chantilly,40250,MUGRON,40201,+33 5 58 97 92 42,,entracteauxvillages@orange.fr,https://www.asso-entracte.fr/festival-40-en-paires-2/ , -0.7496283,43.7505831,Oui,,,23/08/2019|23/08/2019|19:00|23:00||| # 24/08/2019|24/08/2019|14:30|23:00|||,"Gratuit|||vendredi # Plein tarif|13,00|13,00|samedi # Gratuit|||-12 ans"
FMAAQU064V57SJ7T,19/03/2019,Promotion régionale,Festival,"Apéro-concert # Langue(s) régionale(s) # Musique de variété # Pop musique (rock, pop, rap, …)",,15ème édition du festival Hestiv'Oc,,,64000,PAU,64445,+33 5 47 41 40 46,,,http://www.hestivoc.com/, -0.3706008,43.2940345,Oui,,,22/08/2019|25/08/2019|||||,"Gratuit|0,00|0,00|"
FMAAQU064V59QVMW,24/05/2019,Promotion régionale,Festival,"Apéro-concert # Langue(s) régionale(s) # Musique de variété # Pop musique (rock, pop, rap, …)",,15ème édition du festival Hestiv'Oc,,,64000,PAU,64445,+33 5 47 41 40 46,,,http://www.hestivoc.com/, -0.3706008,43.2940345,Oui,,,22/08/2019|22/08/2019|||||,"Gratuit|0,00|0,00|"
FMAAQU064V59QVN2,24/05/2019,Promotion régionale,Festival,"Apéro-concert # Langue(s) régionale(s) # Musique de variété # Pop musique (rock, pop, rap, …)",,15ème édition du festival Hestiv'Oc,,,64000,PAU,64445,+33 5 47 41 40 46,,,http://www.hestivoc.com/, -0.3706008,43.2940345,Oui,,,23/08/2019|23/08/2019|||||,"Gratuit|0,00|0,00|"
FMAAQU064V59QVNR,24/05/2019,Promotion régionale,Festival,"Apéro-concert # Langue(s) régionale(s) # Musique de variété # Pop musique (rock, pop, rap, …)",,15ème édition du festival Hestiv'Oc,,,64000,PAU,64445,+33 5 47 41 40 46,,,http://www.hestivoc.com/, -0.3706008,43.2940345,Oui,,,24/08/2019|24/08/2019|||||,"Gratuit|0,00|0,00|"
FMAAQU064V59QVO5,24/05/2019,Promotion régionale,Festival,"Apéro-concert # Langue(s) régionale(s) # Musique de variété # Pop musique (rock, pop, rap, …)",,15ème édition du festival Hestiv'Oc,,,64000,PAU,64445,+33 5 47 41 40 46,,,http://www.hestivoc.com/, -0.3706008,43.2940345,Oui,,,25/08/2019|25/08/2019|||||,"Gratuit|0,00|0,00|"
FMAAQU064V5052QQ,07/06/2019,Promotion locale,Compétition sportive,Jeux de société,,16 ème Open International d' Echecs du Pic d'Anie ,Maison de la Pierre,,64570,LA PIERRE SAINT-MARTIN,64040,,+33 6 86 61 73 48,fr.cwiek@gmail.com,https://lardenne.echecs-occitanie.com/spip.php?article398, -0.7445066,42.9773209,Oui,,,05/08/2019|05/08/2019|16:00||||,"Plein tarif|25,00||Engagement jeune # Plein tarif|45,00||Engagement adulte # Gratuit|0,00||MI et GMI avec licence FFE"
FMAAQU064FS00U5N,07/06/2019,Promotion locale,Compétition sportive,Jeux de société,,16 ème Open International d' Echecs du Pic d'Anie,Maison de la Pierre,,64570,LA PIERRE SAINT-MARTIN,64040,,+33 6 86 61 73 48,fr.cwiek@gmail.com,https://lardenne.echecs-occitanie.com/spip.php?article398, -0.7445013,42.9772581,Oui,,,07/08/2019|07/08/2019|16:00||||,"Plein tarif|25,00||Engagement jeune # Plein tarif|45,00||Engagement adulte # Gratuit|0,00||MI et GMI avec licence FFE"
FMAAQU064FS00U5P,07/06/2019,Promotion locale,Compétition sportive,Jeux de société,,16 ème Open International d'Echecs du Pic d'Anie,Maison de la Pierre,,64570,LA PIERRE SAINT-MARTIN,64040,,+33 6 86 61 73 48,fr.cwiek@gmail.com,https://lardenne.echecs-occitanie.com/spip.php?article398, -0.7445254,42.9773072,Oui,,,08/08/2019|08/08/2019|16:00||||,"Plein tarif|25,00||Engagement jeune # Plein tarif|45,00||Engagement adulte  # Gratuit|0,00||MI et GMI avec licence FFE"
FMAAQU064FS00U5Q,07/06/2019,Promotion locale,Compétition sportive,Jeux de société,,16 ème Open International d'Echecs du Pic d'Anie,Maison de la Pierre,,64570,LA PIERRE SAINT-MARTIN,64040,,+33 6 86 61 73 48,fr.cwiek@gmail.com,https://lardenne.echecs-occitanie.com/spip.php?article398, -0.7445227,42.9773131,Oui,,,09/08/2019|09/08/2019|16:00||||,"Plein tarif|25,00||Engagement jeune # Plein tarif|45,00||Engagement adulte  # Gratuit|0,00||MI et GMI avec licence FFE"
FMAAQU064FS00U5R,07/06/2019,Promotion locale,Compétition sportive,Jeux de société,,16 ème Open International d'Echecs du Pic d'Anie,Maison de la Pierre,,64570,LA PIERRE SAINT-MARTIN,64040,,+33 6 86 61 73 48,fr.cwiek@gmail.com,https://lardenne.echecs-occitanie.com/spip.php?article398, -0.7445120,42.9773366,Oui,,,10/08/2019|10/08/2019|09:30||||,"Plein tarif|25,00||Engagement jeune  # Plein tarif|45,00||Engagement adulte # Gratuit|0,00||MI et GMI avec licence FFE"
FMAAQU064FS00U5T,07/06/2019,Promotion locale,Compétition sportive,Jeux de société,,16 ème Open International d'Echecs du Pic d'Anie,Maison de la Pierre,,64570,LA PIERRE SAINT-MARTIN,64040,,+33 6 86 61 73 48,fr.cwiek@gmail.com,https://lardenne.echecs-occitanie.com/spip.php?article398, -0.7445254,42.9773248,Oui,,,06/08/2019|06/08/2019|16:00||||,"Plein tarif|25,00||Engagement jeune # Plein tarif|45,00||Engagement adulte # Gratuit|0,00||MI et GMI avec licence FFE"
FMAAQU064V5008OF,07/06/2019,Promotion locale,Compétition sportive,Jeux de société,,16 ème Open International d'Echecs du Pic d'Anie,Maison de la Pierre,,64570,LA PIERRE SAINT-MARTIN,64040,,+33 6 86 61 73 48,fr.cwiek@gmail.com,https://lardenne.echecs-occitanie.com/spip.php?article398, -0.7444883,42.9773740,Oui,,,04/08/2019|04/08/2019|14:30||||,"Plein tarif|25,00||Engagement jeune # Plein tarif|45,00||Engagement adultes # Gratuit|0,00||MI et GMI avec licence FFE"
FMAAQU024V50B1GD,19/07/2019,Promotion régionale,Marché,Artisanat,,16ème Marché des potiers ,Le bourg,,24400,BEAURONNE,24032,,,,,0.3814500,45.0951840,Oui,,,17/08/2019|18/08/2019|||||,
FMAAQU024V50E2WZ,10/07/2019,Promotion régionale,Animation Jeune Public,,,18ème académie baroque internationale 2018,,,24290,COLY-SAINT-AMAND,24364,+33 5 53 51 61 61 # +33 5 53 51 95 17,,contact@festivalperigordnoir.fr,http://www.festivalmusiqueperigordnoir.com,1.24741312,45.0633599,Oui,,,28/07/2019|08/08/2019|||||,
FMAAQU040V50KJTG,11/07/2019,Promotion nationale,Concert # Festival,Musique du monde,,19ème festival Latinossegor ,Place des Landais,,40150,SOORTS-HOSSEGOR,40304,+33 5 58 41 79 00,,tourisme@hossegor.fr,, -1.4429306,43.6628884,Oui,,,30/08/2019|01/09/2019|||||,
FMAAQU064V5089LS,14/03/2019,Promotion locale,Foire ou salon,Agriculture # Gastronomie,,21ème édition de la grande foire de produits fermiers Idoki,Marché couvert,,64250,ESPELETTE,64213,+33 5 59 37 23 97,,contact@idoki.org,, -1.4465205,43.3389721,Oui,,,09/08/2019|09/08/2019|10:00|18:00|||,"Gratuit|0,00|0,00|"
FMAAQU024V50E6OZ,19/07/2019,Promotion locale,Compétition sportive,,,21ème Raid Valojoulx-Vézère,Salle des fêtes,,24290,VALOJOULX,24563,+33 5 53 50 77 78,,,,1.14259193,45.0179457,Oui,,,11/08/2019|11/08/2019|07:30||||,
FMAAQU040V50KQHG,08/03/2019,Promotion régionale,Vide greniers Braderie,,,22ème Foire d'Eté,arène,,40320,SAINT-LOUBOUER,40270,,+33 6 67 68 22 96,,, -0.4205389,43.6766079,Oui,,,25/08/2019|25/08/2019|09:00|18:00|||,"Plein tarif|3,00||le mètre linéaire, tables fournies # Gratuit|||entrée au vide grenier"
FMAAQU033V50QDWA,16/05/2019,Promotion locale,Compétition sportive # Divertissement,,,24 ème tournoi international d'échecs,,3 Rue Montesquieu,33670,CREON,33140,+33 0 97 95 00 13,+33 6 31 49 20 06 # +33 6 34 22 13 94,creonechecs@free.fr,, -0.348947,44.773985,Oui,,,29/07/2019|04/08/2019|||||,"Tarif réduit|30,00||Tarifs jeunes # Plein tarif|50,00||Tarifs séniors"
FMAAQU064V59Q5GL,28/03/2019,Promotion locale,Rallye,,,28ème rallye du Pays Basque,Centre ville,Place Harana,64240,HASPARREN,64256,,,,, -1.30566,43.384095,Oui,,,30/08/2019|30/08/2019|||||,
FMAAQU064V59Q5HH,28/03/2019,Promotion locale,Rallye,,,28ème rallye du Pays Basque ,Centre ville,Place Harana,64240,HASPARREN,64256,,,,, -1.30566,43.384095,Oui,,,31/08/2019|31/08/2019|||||,
FMAAQU024V502OPG,20/05/2019,Promotion régionale,Animations locales,Vélo,,29ème édition du Tour des 2 Vallées,Saint Cyprien,,24220,SAINT-CYPRIEN,24396,,+33 6 81 45 87 46,,,1.04726994,44.8691187,Oui,,,31/08/2019|31/08/2019|14:30||17:15||,
