Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
ASCAQU047FS0000W,16/02/2015,Activité sportive,CDT 47 - Service Itinérance,,,271 rue de Péchabout,BP 30158,47005,AGEN,47001,+33 5 53 66 13 33,+33 6 71 27 48 52,www.tourisme-lotetgaronne.com/fr/rando.php,0.64055442,44.1933744,Oui,"
",Randonnée pédestre # Randonnée équestre # Cyclotourisme # VTT,,,,,,,,,
ASCAQU024FS0000J,03/06/2015,Activité sportive,Centre cheval Poney,,Ferme équestre Le Cros,,,24330,SAINT-ANTOINE-D'AUBEROCHE,24369,+33 5 53 04 46 48,,www.centre-cheval-poney.fr,0.9434720,45.1426590,,"
",Equitation,,,Bienvenue à la Ferme,01/01/2015|31/12/2015|||||,,,,,
ASCAQU024FS0000W,11/02/2015,Activité sportive,Centre de Tourisme Equestre de Beaurecueil,,,,,24340,SAINT-SULPICE-DE-MAREUIL,24503,+33 5 53 60 99 84,,,0.5046540,45.4663700,,"
",Equitation,,,,,,,,,
ASCAQU047FS0000Q,11/02/2015,Activité sportive # Formule itinérante,Centre de Tourisme Equestre Missandre,,,,Saint-Pierre-de-Caubel,47380,PINEL-HAUTERIVE,47206,+33 5 53 49 02 86 # +33 5 53 41 87 66,,www.missandre-cheval.com,0.5582857,44.4840973,Oui,"
",Randonnée équestre # Randonnée équestre # Randonnée équestre # Randonnée équestre # Equitation,Equestre,,,,,,,,
ASCAQU064FS00009,11/02/2015,Activité sportive,Centre de Tourisme Équestre Olhaldea Zalditokia,,Olhaldea,Chemin de Ste Catherine,,64310,SARE,64504,+33 5 59 54 28 94,,www.olhaldea.com, -1.5604984,43.3165604,Oui,"
",Equitation # Randonnée équestre,Equestre,,Bienvenue à la Ferme # Qualité Tourisme,06/01/2015|24/12/2015|||||Lundi,"Tarif de base|25,00|758,00|",,,,
ASCAQU064FS000FU,11/02/2015,Activité sportive,Centre Équestre,,,200 rue Planté,,64170,SERRES-SAINTE-MARIE,64521,+33 5 59 83 33 45,+33 6 19 45 40 64,, -0.5511403,43.4153804,,"
",Randonnée équestre,,,,,,,,,
ASCAQU040FS001E4,11/02/2015,Activité sportive,Centre Equestre Biscarrosse Laouadie,,,Route de la plage,,40600,BISCARROSSE VILLE,40046,,+33 6 33 97 41 51,www.centreequestrebiscarrosse.com, -1.1762237,44.4115279,Oui,"
",Equitation,,,,01/01/2015|31/12/2015|||||,"Tarif de base|15,00|45,00|- Balade encadrée",,,,
ASCAQU024FS00011,10/04/2015,Activité sportive,Centre équestre Club Point Vert - Tocane St-Apre,,,,Les Grands Champs de Baunac,24350,TOCANE-SAINT-APRE,24553,,+33 6 25 15 04 05,,0.5070288,45.2586011,,"
",Equitation,,,,,,,,,
ASCAQU04001NQOZS,11/02/2015,Activité sportive,Centre Equestre de Bellefontaine,,,,,40090,CAMPET-ET-LAMOLERE,40062,+33 5 58 52 05 08,,www.ce-bellefontaine.fr, -0.6047492,43.9177405,Oui,"
",Equitation,,,,,,,,,
ASCAQU047FS0005P,11/02/2015,Activité sportive,Centre Equestre de Cazettes,,,,Domaine de Cazette,47230,LAVARDAC,47143,+33 6 10 52 37 99,,,0.29319763,44.1968513,Oui,"
",Equitation # Equitation # Equitation,,,,,,,,,
ASCAQU047FS000A9,03/03/2015,Activité sportive,Centre Equestre de Clairac,,,,Cambes,47320,CLAIRAC,47065,,+33 6 11 41 31 26,,0.388838,44.370285,Oui,"
",Equitation # Equitation # Equitation # Equitation # Equitation,,,,01/01/2015|31/12/2015|09:00|||20:00|Jeudi,"Tarif de base|8,00||enfant de 2 à 12 ans :  8 euros  les 30 minutes # Tarif de base|13,00||enfant de 2 à 12 ans : 13 euros pour 1 heure # Tarif de base|35,00||enfant de 2 à 12 ans : Carte 5 X 30 minutes # Tarif de base|63,00||enfant de 2 à 12 ans : carte 5 X 1 heure # Tarif de base|16,00||pour les plus de 13 ans : tarif 1 heure # Tarif de base|75,00||pour les plus de 13 ans : 5 x 1 heure",,,,
ASCAQU024FS00010,11/02/2015,Activité sportive,Centre Equestre de Favard,,,,,24260,TAMNIES,24544,+33 5 53 29 68 62,+33 6 80 26 65 51,,1.1479780,44.9657890,,"
",Equitation,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU040FS000RP,11/02/2015,Activité sportive,Centre Equestre de Gaujacq,"Chemin du Cabos
",,,,40330,GAUJACQ,40109,,+33 6 70 85 34 80,http://gaujacq2.skyrock.com/, -0.7602958,43.6304950,,"
",Equitation,,,,,,,,,
ASCAQU047FS0000C,11/02/2015,Activité sportive,Centre équestre de Gramont,,,,Le Coin,47140,FRESPECH,47105,+33 5 53 49 03 01,+33 6 89 51 88 54,www.centre-equestre-gramont.fr,0.8251600,44.3106560,,"
",Equitation,,,,,,,,,
ASCAQU033FS000DQ,11/02/2015,Activité sportive,Centre équestre de la Base,"Cité militaire
",Cité de Verdun,,,33260,CAZAUX,33529,,+33 6 75 20 19 88,, -1.1588001,44.5313457,Oui,"
",Equitation,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU024FS0000G,11/02/2015,Activité sportive,Centre Equestre de la Cavale,,,,Haras des Valences,24560,PLAISANCE,24168,+33 5 53 24 30 91,,www.lacavale.fr,0.5633000,44.7058000,,"
",Equitation # Equitation # Equitation,,Handicap auditif # Handicap mental # Handicap moteur # Handicap visuel,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU024FS00008,02/06/2015,Activité sportive,Centre Equestre de la Haute Yerle,,,,,24480,ALLES-SUR-DORDOGNE,24005,+33 5 53 63 35 85,,www.rando-equestre-hauteyerle.com,0.8678690,44.8597790,,"
",Equitation,,,Bienvenue à la Ferme,01/01/2015|31/12/2015|||||,,,,,
ASCAQU024FS00013,10/04/2015,Activité sportive,Centre Equestre de la Meyfrenie - Verteillac,,,,,24350,VERTEILLAC,24573,+33 5 53 91 69 38,,,0.2823887,45.2123840,,"
",Equitation,,,,,,,,,
ASCAQU04001UADGB,11/02/2015,Activité sportive,Centre équestre de la Prade,"1801, route des lacs
",,Quartier de la Prade,,40660,MESSANGES,40181,+33 9 81 32 32 35 # +33 6 75 37 05 86,,www.centreequestredelaprade.ffe.com/, -1.3717460,43.8306880,Oui,"
",Equitation # Equitation # Randonnée équestre,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU033FS000C8,22/04/2015,Activité sportive,Centre équestre de La Réole,"Route de Monségur
",,,,33190,LA REOLE,33352,+33 5 56 61 19 85,+33 6 85 29 01 81,www.centreequestrelareole.com, -0.027767,44.594580,Oui,"
",Equitation,,,,01/01/2015|31/12/2015|||||,"Tarif de base|20,00|20,00|1 séance 1 heure # Tarif de base|85,00|90,00|carte de 5 heures # Tarif de base|30,00|30,00|stage découverte demi journée # Tarif de base|50,00|50,00|stage découverte journée",,,,
ASCAQU040016JXIP,23/02/2015,Activité sportive,Centre équestre de Labenne,"Le Pelic
",,,,40530,LABENNE OCEAN,40133,+33 5 59 45 45 54,,http://equitationlabenne.fr, -1.4519815,43.6044676,Oui,"
",Equitation,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU040FS001CC,11/02/2015,,Centre équestre de Laugeron,"419 chemin de Laugeron 
",,,,40280,BENQUET,40037,+33 5 58 71 16 29,,, -0.5005267,43.8312909,Oui,"
",Equitation,,,,,,,,,
ASCAQU033FS0011Q,11/02/2015,Activité sportive,Centre Equestre de Lescarran ,"Chemin de Mérot
",,,,33680,LE PORGE,33333,,+33 6 64 43 56 68,www.poney-plage.com, -1.0808658,44.8794105,Oui,"
",Equitation,,,,01/01/2015|31/12/2015|||||,"Tarif de base|40,00|40,00|Cotisation (tarif préférentiel sur stage,animation …)  # Tarif de base|36,00|36,00|Tarif de la licence FFE pour les plus de 18 ans  # Tarif de base|25,00|25,00|Tarif de la licence FFE pour les moins de 18 ans # Tarif de base|390,00|390,00|Forfait baby 45 mn /semaine - Tarif pour 33 semaines # Tarif de base|480,00|480,00|Forfait juniors/adultes 1h/semaine - Tarif pour 33 semaines  # Tarif de base|12,00|12,00|Cours collectif d'une heure # Tarif de base|40,00|40,00|Leçon particuliére 1h # Tarif de base|10,00|10,00|Baptême poney 30 minutes (sous responsabilité des parents)  # Tarif de base|17,00|17,00|Baptême poney 1h (sous responsabilité des parents) ",,,,
ASCAQU024FS000DL,11/02/2015,Activité sportive,Centre Equestre de Merigaud,,,,Merigaud,24360,SAINT-ESTEPHE,24398,+33 5 53 56 86 96,,www.merigaud.ffe.com,0.66986216,45.6082783,Oui,"
",Equitation,,,,,,,,,
ASCAQU024FS000EB,22/05/2015,Activité sportive,Centre Equestre de Neuvic,"Les Coutis Nord
",,,,24190,NEUVIC,24309,+33 5 53 81 76 45,+33 6 15 36 85 77,www.centreequestredeneuvic.ffe.com,0.49472,45.096142,Oui,"
",Equitation,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU033FS000LQ,11/02/2015,Activité sportive,Centre équestre de Saint-Yzan de Soudiac,"26 route du Pas de Méric
",,,,33920,SAINT-YZAN-DE-SOUDIAC,33492,+33 5 57 58 02 02,,www.centre-equestre-saint-yzan.com , -0.4123950,45.1542764,Oui,"
",Equitation,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU047FS0000E,11/02/2015,Activité sportive,Centre Equestre des Cèdres,,,,Chaneau Bas,47400,VILLETON,47325,+33 5 53 79 55 70,,,0.25508880,44.3524550,Oui,"
",Equitation # Equitation,,,,01/01/2015|31/12/2015|09:00|12:00|14:00|19:00|Lundi,,,,,
ASCAQU064FS0000V,11/02/2015,Activité sportive,Centre Équestre d'Orthez,,,Route de Mont de Marsan,,64300,ORTHEZ,64430,+33 5 59 69 34 79,+33 6 10 34 84 07,www.societe-hippique-orthez.ffe.com, -0.7476282,43.5014995,Oui,"
",Randonnée équestre # Randonnée équestre # Randonnée équestre # Randonnée équestre,,,,01/01/2015|31/12/2015|||||,"Tarif de base|20,00||Tarif à l'heure",,,,
ASCAQU033FS0000Q,02/06/2015,Activité sportive,Centre équestre du Cardin,"520 chemin de Bécassine
",,,,33990,HOURTIN PORT,33203,+33 5 56 09 20 75,,www.ceducardin.com, -1.0759735,45.1780589,Oui,"
",Equitation # Randonnée équestre,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU040FS001EE,11/02/2015,,Centre équestre du Larriou,"479, rte du larriou
",,,,40090,SAINT-PERDON,40280,+33 6 89 89 96 19,,http://www.ce-du-larriou.ffe.com/ , -0.6038857,43.8692894,Oui,"
",Equitation,,,,,,,,,
ASCAQU047FS0003K,19/03/2015,Activité sportive,Centre Equestre du Marescot,,,,Marescot,47310,MOIRAX,47169,+33 5 53 87 05 71,+33 7 87 51 69 47,www.ecuriesdemarescot.com,0.6083470,44.1414560,,"
",Equitation # Equitation # Equitation # Equitation # Equitation,,,,,,,,,
ASCAQU024FS0009S,11/02/2015,Activité sportive,Centre Equestre du Pays Beaumontois,,,,Penlaud,24440,BEAUMONT-DU-PERIGORD,24028,+33 5 53 22 50 99,+33 6 82 34 28 92 # +33 6 78 65 44 67,http://cepb.free.fr,0.7693340,44.7700520,,"
",Equitation,,,,,,,,,
ASCAQU04001VH8M0,19/05/2015,Activité sportive,Centre Equestre du Pourquera,"1189 rue Louis Pesquidous
",,,Le Pourquéra,40240,SAINT-JUSTIN,40267,+33 5 58 44 08 69,,www.cheval-landes.com, -0.2265754,43.9882762,Oui,"
",Equitation # Equitation # Equitation # Equitation,,,Bienvenue à la Ferme,01/01/2015|31/12/2015|09:00|||18:00|,"Tarif de base|25,00|| Tarif à l'heure # Tarif de base|350,00||Tarif à la semaine",,,,
ASCAQU04001K7IO2,11/02/2015,Activité sportive,Centre équestre du Vieux-Port,,,Camping le Vieux-Port,,40660,MESSANGES,40181,+33 5 58 48 93 64,+33 6 70 19 34 69,, -1.4033317,43.8026948,Oui,"
",Equitation # Randonnée équestre,,,,01/04/2015|30/09/2015|||||,,,,,
ASCAQU040FS001G5,11/02/2015,,Centre équestre Ella Es,"Lieu dit « Bazy » - chemin de Latrillett
",,,,40280,SAINT-PIERRE-DU-MONT,40281,,+33 6 87 20 84 77,www.ecuries-d-ella-es.com, -0.5190940,43.8814640,,"
",Equitation,,,,,,,,,
ASCAQU024FS00065,11/02/2015,Activité sportive,Centre Equestre et Poney Club La Métairie du Roc,,,,La Métairie du Roc,24560,FAUX,24177,+33 5 53 24 32 57,,http://lametairieduroc.ffe.com/,0.64201354,44.7871959,Oui,"
",Equitation # Randonnée équestre,,,,,,,,,
ASCAQU040014XAM1,11/02/2015,Activité sportive,Centre équestre Kerdoen,,,849 route du Bayle,,40170,SAINT-JULIEN-EN-BORN,40266,+33 5 58 42 74 84,+33 6 28 65 14 87,www.kerdoen.com, -1.2160760,44.0707771,Oui,"
",Equitation # Equitation # Equitation # Randonnée équestre,,,Bienvenue à la Ferme,01/01/2015|31/12/2015|||||,,,,,
ASCAQU047FS0000O,11/02/2015,Activité sportive,Centre équestre La Ballarade,,,,La Ballarade,47360,LACEPEDE,47125,+33 5 53 47 19 69,+33 6 83 01 70 42,www.laballarade.fr,0.45854508,44.3311661,Oui,"
",Equitation # Equitation # Equitation # Equitation,,,,01/01/2015|31/12/2015|||||,"Tarif de base|23,00|23,00|Séance adulte 1 heure # Tarif réduit|17,00|17,00|Séance enfant 1 heure",,,,
ASCAQU04001PADOX,11/02/2015,Activité sportive # Formule itinérante,Centre équestre l'Appaloosa,,,Boulevard des Cigales,Zone de loisirs du Gaillou,40130,CAPBRETON,40065,+33 5 58 41 80 30,,www.centre-equestre-appaloosa.fr, -1.4270210,43.6314160,Oui,"
",Equitation # Randonnée équestre # Equitation # Equitation,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU040FS0003P,02/03/2015,Activité sportive,Centre Equestre Le Corral,,,Route de la Plage,,40560,VIELLE-SAINT-GIRONS,40326,,+33 6 14 52 33 63,, -1.3528633,43.9526641,Oui,"
",Equitation,,,,01/07/2015|31/08/2015|||||,,,,,
ASCAQU033FS000DS,11/02/2015,Activité sportive,Centre équestre Le Pas du Marquis,"Villemarie
",,,,33260,LA TESTE-DE-BUCH,33529,+33 5 56 54 18 05,+33 6 62 22 27 06,, -1.1138248,44.5993905,Oui,"
",Equitation # Randonnée équestre,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU040FS000A9,11/02/2015,Activité sportive,Centre équestre le Ranch Amadeus,,,1129 route de Mimizan,,40200,SAINT-PAUL-EN-BORN,40278,+33 6 80 21 41 48,,www-ranchamadeus-com.acheval.pro/, -1.1597442,44.2207841,Oui,"
",Equitation # Equitation,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU040FS0017I,11/02/2015,Activité sportive,Centre équestre Le Shet Landes,"330 Rte Duprat
",,,,40230,SAUBRIGUES,40292,+33 5 58 72 26 83,,, -1.3001203,43.5925762,Oui,"
",Equitation # Randonnée équestre,,,,,,,,,
ASCAQU033FS000SC,02/06/2015,Activité sportive,Centre Equestre Le Village Western,"180 chemin de Becassine
",,,,33990,HOURTIN PORT,33203,+33 5 56 09 10 60,,www.village-western.com, -1.0740852,45.1788605,Oui,"
",Equitation # Randonnée équestre,,,Famille Plus,01/01/2015|31/12/2015|||||,"Tarif de base|8,00||Baptême poney # Tarif de base|23,00||Cours collectif 1h # Tarif de base|131,00||Stage perfectionnement 5h adulte # Tarif de base|83,00||Stage perfectionnement 3h adulte # Tarif de base|104,00||Stage perfectionnement 5h (7 à 12 ans) # Tarif de base|12,00||Balade en main # Tarif de base|66,00||Stage initiation 3h (7 à 12 ans) # Tarif de base|29,00||Cours collectif 1h",,,,
ASCAQU024FS0003W,11/02/2015,Activité sportive,Centre Equestre l'Eperon Laurentais,,,,Les Laurents,24230,SAINT-ANTOINE-DE-BREUILH,24370,+33 5 53 24 80 36,+33 6 77 18 89 15,http://eperonlaurentais.ffe.com,0.17238872,44.8371311,Oui,"
",Equitation,,,,,,,,,
ASCAQU040FS0003Q,11/02/2015,Activité sportive,Centre Equestre Les Centaures,,,1350 route de l'Etang,,40560,VIELLE-SAINT-GIRONS,40326,+33 5 58 42 98 60,,, -1.3119006,43.9042623,Oui,"
",Equitation,,,,28/06/2015|05/10/2015|||||,,,,,
ASCAQU024FS0000E,10/04/2015,Activité sportive,Centre équestre Les Chevauchées du Périgord - Lisle,,,,Perdillotte,24350,LISLE,24243,+33 5 53 04 44 28,,www.zero-infini.com/perdillotte,0.5728793,45.2740377,,"
",Equitation,,,,,,,,,
ASCAQU024FS0000U,03/06/2015,Activité sportive,Centre équestre Les Ecuries du Rosier,,,,Le rosier,24380,SAINT-PAUL-DE-SERRE,24480,+33 5 53 03 93 18,+33 6 88 87 88 20,,4.0837466,44.1363313,,"
",Equitation # Equitation # Equitation,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU040FS00137,11/02/2015,Activité sportive,Centre équestre Les écuries Olivier Bauer,,,203 route de Pegulhet,Quartier Leych,40200,ST PAUL EN BORN,40184,+33 5 58 09 26 30 # +33 6 24 43 74 64,,ecuriesolivierbauerlandes.ffe.com, -1.1370849,44.1772796,Oui,"
",Equitation # Equitation # Equitation # Equitation # Equitation # Equitation,,,,01/01/2015|31/12/2015|||||,"Tarif de base|12,63|25,00|cours: CSO, dressage, balade # Tarif de base|40,00|40,00|Adhésion annuelle au club, valable un an à partir de la date de paiement -18ans # Tarif de base|45,00|45,00|Adhésion annuelle au club, valable un an à partir de la date de paiement +18ans # Tarif de base|62,00|62,00|Adhésion annuelle familiale (entre 1/10 et 30/04) pour 2 cavaliers # Tarif de base|25,00||Adhésion annuelle licence pratiquant : cavalier de moins de 18 ans # Tarif de base|36,00||Adhésion annuelle licence pratiquant : cavalier de plus de 18 ans # Tarif de base|159,00||Cavaliers adhérents : Carte fidélité n°1 : 10 cours d'environ 1h30 # Tarif de base|282,00||Cavaliers adhérents : Carte fidélité n°2 : 20 cours d'environ 1h30 # Tarif de base|379,00||Cavaliers adhérents : Forfait Carte fidélité n°3 : 30 cours d'environ 1h30 # Tarif de base|25,18||Adhérent hors carte fidélité : cours ou balades d'1h30 # Tarif de base|25,00||Balade 1h cavaliers non adhérents : de 1 à 3 cavaliers (prix par cavalier) # Tarif de base|22,00||Balade 1h cavaliers non adhérents : à partir de 4 cavaliers (prix par cavalier) # Tarif de base|43,00||Balade 2h cavaliers non adhérents : de 1 à 3 cavaliers (prix par cavalier) # Tarif de base|39,00||Balade 2h cavaliers non adhérents : à partir de 4 cavaliers (prix par cavalier) # Tarif de base||62,00|Balade 3h cavaliers non adhérents : de 1 à 3 cavaliers (prix par cavalier) # Tarif de base||57,00|Balade 3h cavaliers non adhérents : à partir de 4 cavaliers (prix par cavalier) # Tarif de base|25,00||Cours cavaliers non adhérents : de 1 à 3 cavaliers (prix par cavalier) # Tarif de base||22,00|Cours cavaliers non adhérents : à partir de 4 cavaliers (prix par cavalier) # Tarif de base|45,00|57,00|Session galop (examen théorique et pratique + diplôme fédéral) galops 1 à 3",,,,
ASCAQU040FS0009K,12/05/2015,Activité sportive,Centre équestre Lous Chivaus,,,321 allée de Darricau,,40200,AUREILHAN,40019,+33 5 58 78 30 20 # +33 6 20 91 16 25,,http://centre-equestre-lous-chivaus.com, -1.2052345,44.2148787,Oui,"
",Equitation # Equitation # Equitation,,,,01/01/2015|31/12/2015|||||Mardi # 14/02/2015|01/03/2015||||| # 18/04/2015|03/05/2015||||| # 04/07/2015|30/08/2015||||| # 17/10/2015|01/11/2015|||||,"Tarif de base|20,00||1 heure pour les - de 10 ans # Tarif de base|24,00||1 heure pour les + de 10 ans",,,,
ASCAQU04001TXHII,08/05/2015,Activité sportive,Centre équestre Marina,,,route du chéou,,40200,MIMIZAN PLAGE,40184,+33 5 58 09 34 25,+33 6 81 27 15 01,www.centre-equestre-marina.com, -1.2134312,44.1855583,Oui,"
",Equitation # Equitation # Equitation # Randonnée équestre,,,,,,,,,
ASCAQU04001MTQ6X,11/02/2015,,Centre équestre Ous Pins,,,Route de Rion,,40400,TARTAS,40313,+33 5 58 73 44 65,,www.ouspins.fr , -0.8213248,43.8385355,,"
",Equitation # Equitation,,,,,,,,,
ASCAQU024FS0003O,11/02/2015,Activité sportive,Centre Equestre Pierrotin,,,,,24130,SAINT-PIERRE-D'EYRAUD,24487,+33 5 53 22 55 31,+33 0 67 97 88 08,http://centreequestrepierrotin.jimdo.com/,0.30305616,44.8767165,Oui,"
",Equitation,,,,,,,,,
ASCAQU024FS000EC,02/06/2015,Activité sportive,Centre Equestre Poney Club de Bourrou,"Elevage de l'Isle
",Domaine de la Sudrie,,,24110,BOURROU,24061,+33 5 53 81 20 85,,www.centre-equestre-bourrou.ffe.com,0.6095,45.057068,Oui,"
",Equitation # Randonnée équestre # Equitation # Equitation,,,Bienvenue à la Ferme,01/01/2015|31/12/2015|||||,,,,,
ASCAQU024FS0008P,11/02/2015,Activité sportive,Centre Equestre Poney-Club Saint Sauveur,,,,Combe brune,24520,SAINT-SAUVEUR,24499,+33 5 53 61 12 57,+33 6 74 28 64 43,www.poneyclubdesaintsauveur.fr,0.55846290,44.8775661,Oui,"
",Equitation,,,Bienvenue à la Ferme,,,,,,
ASCAQU064FS000QS,11/02/2015,Activité sportive,Centre équestre Sainte Hélène,,,RD 918 - Chemin de Serres,,64310,ASCAIN,64065,+33 5 59 43 90 42,,equitationpourtous.wix.com/ce-st-helene, -1.6356647,43.3625283,Oui,"
",Equitation # Equitation,,,,01/01/2015|31/12/2015|||||,,,,,
