Politique publique,Code du site,Nom du site,Adresse,code commune,commune,Statut juridique,NB_BATIMENT,NB_PARCELLE,Loyer au m²,Ratio_Eau,Ratio_Gaz,Ratio_Elec,Ratio_Fioul,Ratio_GazProp,Ratio_Total,Gaz_Prop,Gaz,Fioul,Elec,Eau,Total,Montant_TF,Mtassneuf,Mtassvet,Mtht_Annuel_Dep,Mtht_Annuel_Rec,Nombre de personne au m²,Surface de plancher (m²),ValImo,ValVNC,latitude,longitude,result_label,code insee
06 Performance de collectivité,S0026,PAUILLAC GIE,50 Rue du Mal Joffre,33250,PAUILLAC,Propriétaire,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308400,0,0,0,0,"853,7","173731,43","147419,43",45.202991,-0.752541,50 Rue du Maréchal Joffre 33250 Pauillac,33314
05 Mobilité,S0028,ST-LAURENT-DU-MEDOC CRD-CE,3 Route de St Sauveur,33112,ST LAURENT MEDOC,Propriétaire,4,16,0,"0,1221619075",0,"21,6286205908",0,"55,1996497194","76,8282703101","53894,73",0,0,"21117,32","119,274","75012,05",0,738038,"626723,94",0,0,"81,363335","976,36","311508,36","295278,36",45.156623,-0.816254,3 Route de Saint-Sauveur 33112 Saint-Laurent-Médoc,33424
06 Performance de collectivité,S0033,CARCANS GIE,5 Rte d'Hourtin,33121,CARCANS,Propriétaire,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"784,9","31068,24","19931,24",45.079104,-1.046154,5 Route de Hourtin 33121 Carcans,33097
06 Performance de collectivité,S0034,ST-LAURENT-DU-MEDOC GIE,2 Rue du Dr Destouesse,33112,ST LAURENT MEDOC,Propriétaire,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1654,66","61927,83","41139,83",45.148502,-0.822723,2 Rue du Docteur Destouesse 33112 Saint-Laurent-Médoc,33424
03 Collège et éducation,S0035,SOULAC-SUR-MER CLG GEORGES-MANDEL,27 Rue G. Mandel,33780,SOULAC SUR MER,Propriétaire,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"777,216","3886,08","3183477,75","2653893,75",45.505694,-1.122645,27 Rue Georges Mandel 33780 Soulac-sur-Mer,33514
05 Mobilité,S0037,LE-VERDON-SUR-MER BACS BUREAUX,19 Avenue du phare de Cordouan,33123,LE VERDON SUR MER,Propriétaire,2,2,0,"10,567067617",0,"487,4731962342","112,7048624584",0,"600,1780791145",0,0,"55188,19",238701,"5174,376","293889,2",0,"887031,6","692662,4",0,0,"54,407776","489,67","8679293,57","6154455,74",45.567987,-1.064529,19 Avenue du Phare de Cordouan 33123 Le Verdon-sur-Mer,33544
06 Performance de collectivité,S0038,ST-VIVIEN-DE-MEDOC GIE,22 Cours Georges Mandel,33590,ST VIVIEN DE MEDOC,Propriétaire,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1096,46","27190,01","17684,01",45.43463,-1.038944,22 Cours Georges Mandel 33590 Saint-Vivien-de-Médoc,33490
08 Solidarité autonomie et santé,S0039,EYSINES MDSI,16 Rue des Treytins,33320,EYSINES,Propriétaire,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029306,"802858,7",0,0,0,"1406,92","5480457,98","5476947,98",44.881203,-0.631907,16 Rue des Treytins 33320 Eysines,33162
03 Collège et éducation,S0040,BLANQUEFORT CLG EMMANUEL-DUPATY,28 Rue du Mal de Tassigny,33290,BLANQUEFORT,Propriétaire,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"780,4991","8585,49","936379,11","811611,11",44.907457,-0.627873,28 Rue de Lattre de Tassigny 33290 Blanquefort,33056
03 Collège et éducation,S0041,EYSINES CLG ALBERT-CAMUS,3 Rue Lucien Piet,33320,EYSINES,Propriétaire,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"879,25","6154,75","2630029,94","2308026,94",44.884648,-0.644176,3 Rue Lucien Piet 33320 Eysines,33162
03 Collège et éducation,S0042,PAREMPUYRE CLG PORTE-DU-MÉDOC,1 Avenue des Sports,33290,PAREMPUYRE,Propriétaire,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"584,848","5848,48","1967763,26","1591475,26",44.94696,-0.60058,1 Avenue des Sports 33290 Parempuyre,33312
08 Solidarité autonomie et santé,S0044,EYSINES CDEF FOYER-EYSINOFF,21 Avenue de l'hippodrome,33320,EYSINES,Propriétaire,14,26,0,"0,7552246747","98,4308814185","75,3152928462",0,0,"173,7461742647",0,"828783,1",0,634151,"6358,954","1462934,1",0,16477978,13586420,0,0,"60,1425","8419,95","9488501,26","7578754,33",44.871561,-0.635149,21 Avenue de l'Hippodrome 33320 Eysines,33162
06 Performance de collectivité,S0045,BLANQUEFORT GIE,46 Av du Gal de Gaulle,33290,BLANQUEFORT,Propriétaire,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1728,84","19940,06","12895,06",44.913961,-0.635289,46 Avenue du Général de Gaulle 33290 Blanquefort,33056
06 Performance de collectivité,S0046,EYSINES GIE,30 Av De Picot,33320,EYSINES,Propriétaire,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2156,78","38122,01","24743,01",44.88264,-0.647566,30 Avenue de Picot 33320 Eysines,33162
06 Performance de collectivité,S0047,MACAU GIE,37 Av du Gal de Gaulle,33460,MACAU,Propriétaire,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"781,61","3462,79","2258,79",45.006205,-0.619561,37 Avenue du Général de Gaulle 33460 Macau,33262
08 Solidarité autonomie et santé,S0048,BORDEAUX MDSI GRAND-PARC,63 Rue Camille Godard,33200,BORDEAUX,Propriétaire,2,2,0,"0,3174402443","112,2419739529","46,4361948558",0,0,"158,6781688087",0,"65413,5",0,"27062,55","185,001","92476,05",0,"1708135,6","1462813,8",0,0,"20,096207","582,79","39652,32","32398,32",44.855467,-0.606167,63 Rue Godard Caud 33200 Bordeaux,33063
03 Collège et éducation,S0049,BORDEAUX CLG GRAND-PARC,25 Rue Pierre Trébod,33300,BORDEAUX,Propriétaire,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"462,31","4623,1","7438120,65","6460470,65",44.856224,-0.583442,25 Rue Pierre Trebod 33300 Bordeaux,33063
03 Collège et éducation,S0050,BORDEAUX CLG CASSIGNOL,62 Rue Laroche,33000,BORDEAUX,Propriétaire,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"493,28665","4439,58","495266,37","397989,37",44.852214,-0.585127,62 Rue Laroche 33000 Bordeaux,33063
02 Cohésion vie sociale et épanouissement,S0052,BORDEAUX ARCHIVES RUE-D'AVIAU,25 Rue d'Aviau,33000,BORDEAUX,Propriétaire,1,1,0,"0,0312934356","45,134089507","10,9571463147",0,0,"56,0912358217",0,"248021,3",0,"60211,82","171,964","308233,12",0,33009982,28058486,0,0,"171,72531","5495,21","2414423,09","1870960,09",44.850092,-0.576546,25 Rue d'Aviau 33000 Bordeaux,33063
05 Mobilité,S0054,BORDEAUX PARC MATERIEL-SCHINAZI,235 Avenue du Dr Schinazi,33300,BORDEAUX,Propriétaire,7,1,0,"0,1683284634","110,1937329289","29,2106563374",0,0,"139,4043892663",0,"751601,7",0,199238,"1148,123","950839,7",0,0,0,0,0,"524,6715","6820,73","1320389,89","890678,33",44.881756,-0.54235,235 Avenue du Docteur Schinazi 33300 Bordeaux,33063
05 Mobilité,S0055,MERIGNAC CRD-SIEGE,240 Avenue de la Marne,33700,MERIGNAC,Propriétaire,3,0,0,"0,2788079981",0,"87,7746137133",0,0,"87,7746137133",0,0,0,"79586,12","252,798","79586,12",0,"933710,94","792309,44",0,0,"75,559166","906,71","8104,11","7701,11",44.832284,-0.642507,240 Avenue de la Marne 33700 Mérignac,33281
08 Solidarité autonomie et santé,S0057,BORDEAUX MDSI CENTRE,14 Rue Poitevin,33000,BORDEAUX,Propriétaire,1,1,0,"0,2475821392","63,061815507","44,2686073122",0,0,"107,3304228192",0,"46294,94",0,"32498,47","181,755","78793,41",0,"1695327,5","1441028,4",0,0,"34,958096","734,12","143227,72","128453,72",44.845726,-0.583339,14 Rue Poitevin 33000 Bordeaux,33063
08 Solidarité autonomie et santé,S0058,BORDEAUX CDEF SAFE,49 Place Martyrs de la Résistance,33200,BORDEAUX,Propriétaire,4,4,0,"1,1677028935","85,0531409587","67,3091517916",0,0,"152,3622927503",0,"162052,6",0,"128244,8","2224,836","290297,4",0,"5479540,5","4726633,5",0,0,"82,83956","1905,31","240131,67","146295,53",44.842257,-0.585736,49 Place des Martyrs de la Résistance 33200 Bordeaux,33063
06 Performance de collectivité,S0060,BORDEAUX SOLIDARITE,3 Rue Corps franc Pommiès,33000,BORDEAUX,Propriétaire,1,0,0,"0,1851332344",0,"98,6125303887",0,0,"98,6125303887",0,0,0,1491907,"2800,877",1491907,0,33906548,28820568,0,0,"41,792763","15128,98","7250350,01","6794989,01",44.8358,-0.58662,3 Rue Corps Franc Pommies 33000 Bordeaux,33063
06 Performance de collectivité,S0061,BORDEAUX HOTEL-DU-DEPARTEMENT,2 Rue Corps franc Pommiès,33000,BORDEAUX,Propriétaire,2,0,0,"0,1120184588",0,"46,8922792833",0,0,"67,2862965307",0,0,0,3971626,"9487,605",5698934,0,0,0,0,0,"186,96866","84696,8","24810949,17","20514841,79",44.836591,-0.586849,Rue Corps Franc Pommies 33000 Bordeaux,33063
06 Performance de collectivité,S0063,BORDEAUX GIE JUDAIQUE,200 Rue Judaique,33000,BORDEAUX,Propriétaire,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10049,87","416946,83","298089,83",44.840509,-0.593846,200 Rue Judaïque 33000 Bordeaux,33063
03 Collège et éducation,S0064,LE-BOUSCAT CLG AUSONE,69 Avenue Ausone,33110,LE BOUSCAT,Propriétaire,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"732,3992","8788,79","9881573,92","7661591,92",44.871217,-0.59504,69 Avenue Ausone 33110 Le Bouscat,33069
03 Collège et éducation,S0069,MERIGNAC CLG CAPEYRON,50 Avenue du Bedat,33700,MERIGNAC,Propriétaire,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1033,9714","7237,8","8672591,21","6930497,21",44.84956,-0.647461,50 Avenue de Bedat 33700 Mérignac,33281
03 Collège et éducation,S0071,MERIGNAC ESPE BOURRAN,160 Avenue De Verdun,33700,MERIGNAC,Propriétaire MAD,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4885,16","1011393,73","877618,73",44.839319,-0.629173,160 Avenue de Verdun 33700 Mérignac,33281
08 Solidarité autonomie et santé,S0072,MERIGNAC POLE-SOLIDARITE,419 Avenue de Verdun,33700,MERIGNAC,Propriétaire,2,1,0,"0,217531219","116,1627204765","35,5964335048",0,0,"151,7591609227",0,"167347,5",0,"51281,29","313,382","218628,8",0,0,0,0,0,"36,93923","1440,63","3026966,12","2408677,12",44.840733,-0.641543,419 Avenue de Verdun 33700 Mérignac,33281
03 Collège et éducation,S0073,MARTIGNAS-SUR-JALLE CLG ALIÉNOR-D'AQUITAINE,77 Avenue des Sapinettes,33127,MARTIGNAS SUR JALLE,Propriétaire,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1145,46","5727,3","706941,37","612354,37",44.84582,-0.78139,77 Avenue des Sapinettes 33127 Martignas-sur-Jalle,33273
03 Collège et éducation,S0076,MERIGNAC CDDP,Allée du Président René Coty,33700,MERIGNAC,Propriétaire,1,2,0,"0,0670014969","47,0626772631","25,1322086977",0,0,"72,1948859608",0,"191157,3",0,102081,"272,144","293238,3",0,"4964887,5","4220154,5",0,0,0,"4061,76","133431,75","117211,75",44.839234,-0.652088,Avenue du Président René Coty 33700 Mérignac,33281
03 Collège et éducation,S0077,MERIGNAC CLG JULES-FERRY,1 Rue Joliot Curie,33700,MERIGNAC,Propriétaire,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"824,1","5768,7","840501,89","681415,89",44.841727,-0.651262,1 Rue Frédéric Joliot Curie 33700 Mérignac,33281
03 Collège et éducation,S0078,MERIGNAC CLG BOURRAN,Rue Léo Lagrange,33700,MERIGNAC,Propriétaire,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"776,72144","5437,05","1912018,56","1701565,56",44.836709,-0.635195,Rue Léo Lagrange 33700 Mérignac,33281
03 Collège et éducation,S0079,MERIGNAC CLG LES-EYQUEMS,Chemin de la Tour de Veyrines,33700,MERIGNAC,Propriétaire,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"877,23","6140,61","1113092,67","958227,67",44.827169,-0.646068,Chemin de la Tour de Veyrines 33700 Mérignac,33281
03 Collège et éducation,S0080,MERIGNAC GYMNASE BOURRAN,153 Avenue De la Marne,33700,MERIGNAC,Propriétaire MAD,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"879,87",0,0,44.835685,-0.633627,153 Avenue de la Marne 33700 Mérignac,33281
06 Performance de collectivité,S0081,MERIGNAC DOMAINE JEAN-SANGO,156 Avenue de la  Marne,33700,MERIGNAC,Propriétaire,3,9,"12,6703942627","3,1333822785","34,6627704484","33,8081556458",0,0,"68,4709260942",0,"77429,35",0,"75520,32","6999,318","152949,67",0,4791629,"4078799,5",0,28303,0,"2233,79","262456,88","233496,23",44.83539,-0.633324,156 Avenue de la Marne 33700 Mérignac,33281
03 Collège et éducation,S0082,LE-HAILLAN CLG EMILE-ZOLA,19 Rue Los Héros,33186,LE HAILLAN CEDEX,Propriétaire,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"597,255","4778,04","5834104,37","4989895,37",44.871537,-0.672845,19 Rue Los Héros La Haillan,
03 Collège et éducation,S0083,ST-MEDARD-EN-JALLES CLG FRANÇOIS-MAURIAC,131 Avenue Montaigne,33160,ST MEDARD EN JALLES,Propriétaire,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"844,3013","6754,41","1159892,87","976342,87",44.893863,-0.712014,131 Avenue Montaigne 33160 Saint-Médard-en-Jalles,33449
03 Collège et éducation,S0084,ST-MEDARD-EN-JALLES CLG HASTIGNAN,86 Avenue Anatole France,33160,ST MEDARD EN JALLES,Propriétaire,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"843,877","8438,77","5042555,98","4547607,98",44.892794,-0.745503,86 Avenue Anatole France 33160 Saint-Médard-en-Jalles,33449
05 Mobilité,S0085,LE-TAILLAN-MEDOC CRD-AIRE,7 Avenue de la Boétie,33320,LE TAILLAN MEDOC,Propriétaire,2,6,0,"0,1056389306","81,3691128844","4,7492771416",0,0,"86,1183879093",0,"38441,21",0,"2243,701","49,907","40684,91",0,"376791,2","286552,25",0,0,0,"472,43","29553,45","28667,45",44.909655,-0.671631,7 Avenue de la Boétie 33320 Le Taillan-Médoc,33519
02 Cohésion vie sociale et épanouissement,S0087,ST-MEDARD-EN-JALLES BDP,Rue Guynemer,33160,ST MEDARD EN JALLES,Affectataire par la loi,1,1,0,"0,2430548694","93,5723713803","33,4895105926",0,0,"127,0618893469",0,"126896,3",0,"45416,13","329,614","172312,44",0,"2845728,2",2418869,0,0,"38,74657","1356,13","127636,27","110573,27",44.883627,-0.739135,Rue Guynemer 33160 Saint-Médard-en-Jalles,33449
08 Solidarité autonomie et santé,S0089,MERIGNAC CENTRE-D'ANIMATION BEAUDESERT,102 Allée de l'Envol,33700,MERIGNAC,Gestionnaire,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.845624,-0.683481,102 Allée de l'Envol 33700 Mérignac,33281
03 Collège et éducation,S0090,BORDEAUX CLG ALAIN-FOURNIER,83 Rue Saint-Genès,33000,BORDEAUX,Propriétaire,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"642,95074","8358,36","989191,43","874039,43",44.827697,-0.580061,83 Rue Saint-Gènes 33000 Bordeaux,33063
03 Collège et éducation,S0090,BORDEAUX CLG ALAIN-FOURNIER,83 Rue Saint-Genès,33000,BORDEAUX,Affectataire par la loi,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"642,95074","8358,36","989191,43","874039,43",44.827697,-0.580061,83 Rue Saint-Gènes 33000 Bordeaux,33063
03 Collège et éducation,S0091,BORDEAUX CLG FRANCISCO-GOYA,56 Rue Du Commandant Arnould,33000,BORDEAUX,Propriétaire,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"926,22","2778,66","223397,6","188590,6",44.834336,-0.577106,56 Rue du Commandant Arnould 33000 Bordeaux,33063
03 Collège et éducation,S0092,BORDEAUX CLG ST-ANDRÉ,59 Rue Cérey,33000,BORDEAUX,Propriétaire,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1456,8767","8741,26","9796492,8","8793131,8",44.853232,-0.576829,59 Rue Frère 33000 Bordeaux,33063
06 Performance de collectivité,S0093,BORDEAUX GARAGE STE-CECILE,31 Rue Ste Cécile,33000,BORDEAUX,Propriétaire,1,1,0,"0,1049396268","101,973762416","40,7193381703",0,0,"142,6931005863",0,"38088,22",0,"15209,08","39,196","53297,3",0,"366777,6","308093,16",0,0,0,"373,51","57255,42","54101,42",44.830927,-0.585467,31 Rue Sainte-Cécile 33000 Bordeaux,33063
06 Performance de collectivité,S0094,BORDEAUX MDAC,97 Rue Saint-Genès,33000,BORDEAUX,Propriétaire,1,1,0,"0,3817199663","139,9103723964","9,5939469809",0,0,"149,5043235851",0,"132998,8",0,"9120,006","362,863","142118,81",0,4279072,3637211,0,0,0,"950,6","99373,94","93404,94",44.827172,-0.580337,97 Rue Saint-Gènes 33000 Bordeaux,33063
08 Solidarité autonomie et santé,S0095,BORDEAUX MDSI CAUDERAN,88 Rue Bellus Mareilhac,33200,BORDEAUX,Propriétaire,1,1,0,"0,5874247523","112,7892117363","60,4790254539",0,0,"173,2682371901",0,"23795,14",0,"12759,26","123,929","36554,4",0,"405667,66","344817,5",0,0,"17,580833","210,97","25082,4","20052,4",44.855538,-0.619779,88 Rue Bellus Mareilhac 33200 Bordeaux,33063
03 Collège et éducation,S0096,BORDEAUX CLG EMILE-COMBES,76 Rue Emile Combes,33000,BORDEAUX,Propriétaire,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"634,1","3170,5","935723,28","825161,28",44.834802,-0.609937,76 Rue Émile Combes 33000 Bordeaux,33063
03 Collège et éducation,S0097,BORDEAUX CLG MONSÉJOUR,7 Rue Du Chanoine André Lacaze,33200,BORDEAUX,Propriétaire,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"736,4989","6628,49","1074127,26","960849,26",44.856214,-0.630392,7 Rue du Chanoine André Lacaze 33200 Bordeaux,33063
08 Solidarité autonomie et santé,S0101,BORDEAUX MDSANTE JULES-FERRY,84 Rue Jules Ferry,33200,BORDEAUX,Propriétaire,1,1,0,"0,3932496218","73,3875037821","36,7012405446",0,0,"110,0887443268",0,"48509,14",0,"24259,52","259,938","72768,66",0,"1695327,5","1576654,6",15,0,0,661,"1148139,42","1140788,42",44.842434,-0.604591,84 Rue Jules Ferry 33200 Bordeaux,33063
08 Solidarité autonomie et santé,S0102,PESSAC MDSI,10 Avenue Pierre Wiehn,33600,PESSAC,Propriétaire,1,1,0,"0,4232208546","99,5158407902","42,2742639665",0,0,"141,7901047567",0,"78182,63",0,"33211,93","332,495","111394,56",0,"1574232,6","1338097,8",0,0,"28,058214","785,63","12190,61","11188,61",44.801866,-0.633294,10 Avenue Pierre Wiehn 33600 Pessac,33318
03 Collège et éducation,S0103,PESSAC CLG ALOUETTE,1 Avenue Pierre de Coubertin,33600,PESSAC,Propriétaire,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"518,2473","7773,71","2280893,84","1932705,84",44.799841,-0.668643,1 Avenue Pierre de Coubertin 33600 Pessac,33318
03 Collège et éducation,S0104,PESSAC CLG GÉRARD-PHILIPE,67 Avenue de Gradignan,33600,PESSAC,Propriétaire,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"903,07623","7224,61","11583291,19","9840366,19",44.798487,-0.623287,67 Avenue de Gradignan 33600 Pessac,33318
06 Performance de collectivité,S0105,PESSAC GIE,31 Rue R. Villanova,33600,PESSAC,Propriétaire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1277,82","476,44","292,44",44.796653,-0.67165,31 Rue Roger Vilanova 33600 Pessac,33318
03 Collège et éducation,S0106,PESSAC CLG F.MITTERRAND,11 Rue André Chenier,33600,PESSAC,Propriétaire,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"949,49335","5696,96","862489,39","717142,39",44.791584,-0.64508,11 Rue André Chénier 33600 Pessac,33318
03 Collège et éducation,S0107,PESSAC CLG NOÈS,8 Avenue de  Noès,33600,PESSAC,Propriétaire,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"848,54","5939,78","2066830,87","1843975,87",44.812596,-0.636227,8 Avenue de Noës 33600 Pessac,33318
03 Collège et éducation,S0109,ARCACHON CLG MARIE-BARTETTE,9 Avenue Roland Dorgelès,33120,ARCACHON,Propriétaire,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"920,73834","5524,43","1101117,44","987222,44",44.650777,-1.160277,9 Avenue Roland Dorgeles 33120 Arcachon,33009
