Maison des associations;Date ;Heure de d‚but;Heure de fin;Activit‚;Type de r‚servation;Association
GARIBALDI;14/01/2020;09H00;11H00;SANTE;PERMANENCE;ASFC - ASSOCIATION FRANCAISE DU SYNDROME DE FATIGUE CHRONIQUE
GARIBALDI;14/01/2020;10H00;13H00;HUMANITAIRE;REUNION;ORDRE INTERNATIONAL DES ANYSETIERS
GARIBALDI;14/01/2020;10H00;13H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;14/01/2020;10H00;12H00;SANTE;COURS;ANPAA06 - ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE -COMITE DES A M
GARIBALDI;14/01/2020;12H00;14H00;ENVIRONNEMENT;REUNION;NICE A VELO
GARIBALDI;14/01/2020;12H00;14H00;ACTIVITE BIEN ETRE;ATELIER;EMM'ESSENTIELS
GARIBALDI;14/01/2020;12H00;13H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION POUR L'ART DU MIEUX ETRE
GARIBALDI;14/01/2020;14H00;17H00;SANTE;ATELIER;GROUPEMENT DE PARKINSONIENS DES ALPES-MARITIMES ET PACA - GPAM PACA
GARIBALDI;14/01/2020;14H00;17H00;THEATRE;PERMANENCE;SCENE OUVERTE COMPAGNIE
GARIBALDI;14/01/2020;14H00;17H00;THEATRE;COURS;SCENE OUVERTE COMPAGNIE
GARIBALDI;14/01/2020;14H00;17H00;SANTE;ATELIER;GROUPEMENT DE PARKINSONIENS DES ALPES-MARITIMES ET PACA - GPAM PACA
GARIBALDI;14/01/2020;17H00;20H00;COURS DE LANGUE;COURS;MANABI
GARIBALDI;14/01/2020;18H00;20H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;14/01/2020;19H00;21H00;CITOYENNETE;REUNION;ESPRIT MOTARD 06
GARIBALDI;14/01/2020;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;14/01/2020;20H00;21H00;SPORT;COURS;FIT'4 U
GARIBALDI;15/01/2020;09H00;17H00;SOCIAL;ATELIER;CHRYSALIDES
GARIBALDI;15/01/2020;09H00;19H00;SOCIAL;ATELIER;CHRYSALIDES
GARIBALDI;15/01/2020;09H00;12H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;15/01/2020;09H00;10H00;SANTE;COURS;SOS CANCER DU SEIN REGION PACA ET CORSE
GARIBALDI;15/01/2020;10H00;12H00;SANTE;COURS;ASSOCIATION HOSPITALIERE SAINTE MARIE
GARIBALDI;15/01/2020;10H00;11H00;CULTURE;ATELIER;BUBULLE
GARIBALDI;15/01/2020;13H00;18H00;SOCIAL;ATELIER;CHRYSALIDES
GARIBALDI;15/01/2020;14H00;16H00;HANDICAP;REUNION;SESSAD LES NOISETIERS
GARIBALDI;15/01/2020;14H00;16H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;15/01/2020;14H00;16H00;COURS DE LANGUE;COURS;INSTITUT CONFUCIUS COTE D'AZUR
GARIBALDI;15/01/2020;15H00;17H00;CULTURE;CONFERENCE;NICE PARIS CULTURE
GARIBALDI;15/01/2020;17H00;19H00;DANSE;COURS;MOUVANCES
GARIBALDI;15/01/2020;18H00;20H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;15/01/2020;18H00;20H00;CULTURE;CONFERENCE;VU PAS VU
GARIBALDI;15/01/2020;18H00;20H00;CULTURE;ATELIER;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;15/01/2020;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;15/01/2020;20H00;21H00;DANSE;COURS;TIGRE TANGO
GARIBALDI;15/01/2020;20H00;21H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION POUR L'ART DU MIEUX ETRE
GARIBALDI;16/01/2020;10H00;11H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;16/01/2020;10H00;13H00;CULTURE;COURS;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;16/01/2020;10H00;12H00;ACTIVITE BIEN ETRE;COURS;SOPHROLOGIE ET SOI
GARIBALDI;16/01/2020;11H00;12H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;16/01/2020;11H00;12H00;ACTIVITE BIEN ETRE;ATELIER;MANGALAM
GARIBALDI;16/01/2020;12H00;14H00;ACTIVITE BIEN ETRE;PERMANENCE;LA VOIE ZEN GESTION DU STRESS
GARIBALDI;16/01/2020;12H00;13H00;SPORT;COURS;GYMNASTIQUE VOLONTAIRE CORVESY GV CORVESY
GARIBALDI;16/01/2020;13H00;14H00;DANSE;COURS;TIGRE TANGO
GARIBALDI;16/01/2020;14H00;17H00;ENSEIGNEMENT;CONFERENCE;UNIA-UNIVERSITE DE NICE INTER AGES
GARIBALDI;16/01/2020;14H00;16H00;CULTURE;ATELIER;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;16/01/2020;14H00;16H00;AFFAIRES MILITAIRES;ASSEMBLEE GENERALE;LIAISON PHILATELIQUE LIPHI
GARIBALDI;16/01/2020;15H00;16H00;COURS DE LANGUE;COURS;ANLV - ACADEMIE NICOISE DES LANGUES VIVANTES
GARIBALDI;16/01/2020;15H00;17H00;CULTURE;CONFERENCE;ACADEMIE NAPOLEON
GARIBALDI;16/01/2020;16H00;18H00;HANDICAP;REUNION;SESSAD LES NOISETIERS
GARIBALDI;16/01/2020;18H00;20H00;COURS DE LANGUE;COURS;MANABI
GARIBALDI;16/01/2020;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
GARIBALDI;16/01/2020;19H00;21H00;SANTE;REUNION;OUVERTURE SUR LES SCIENCES HUMAINES
GARIBALDI;16/01/2020;19H00;21H00;COURS DE LANGUE;COURS;AMICALE DES POLONAIS NICE - COTE D'AZUR
GARIBALDI;17/01/2020;09H00;12H00;ENSEIGNEMENT;;UNIA-UNIVERSITE DE NICE INTER AGES
GARIBALDI;17/01/2020;10H00;12H00;DANSE;COURS;CENTRE DE DANSE LUNE ET ETOILES
GARIBALDI;17/01/2020;10H00;11H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;17/01/2020;10H00;12H00;ACTIVITE BIEN ETRE;ATELIER;MAIRIE DE NICE - ATELIERS MEMOIRE
GARIBALDI;17/01/2020;12H00;14H00;SANTE;COURS;SOS CANCER DU SEIN REGION PACA ET CORSE
GARIBALDI;17/01/2020;14H00;16H00;CULTURE;COURS;ARJNCA - ASSOCIATION DES RESSORTISSANTS JAPONAIS DE NICE COTE D'AZUR
GARIBALDI;17/01/2020;15H00;18H00;PATRIMOINE;CONFERENCE;CERCLE BREA
GARIBALDI;17/01/2020;15H00;17H00;THEATRE;COURS;SCENE OUVERTE COMPAGNIE
GARIBALDI;17/01/2020;15H00;17H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;17/01/2020;16H00;18H00;CULTURE;COURS;ARJNCA - ASSOCIATION DES RESSORTISSANTS JAPONAIS DE NICE COTE D'AZUR
GARIBALDI;17/01/2020;16H00;18H00;CULTURE;COURS;FRANCE ETATS UNIS NICE
GARIBALDI;17/01/2020;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
GARIBALDI;17/01/2020;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
GARIBALDI;17/01/2020;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
GARIBALDI;17/01/2020;19H00;21H00;DANSE;COURS;RITMO CALIENTE
GARIBALDI;18/01/2020;10H00;13H00;ACTIVITE BIEN ETRE;COURS;SHANTI-YOGA
GARIBALDI;18/01/2020;10H00;13H00;THEATRE;COURS;LE QUADRANT MAGIQUE
GARIBALDI;18/01/2020;10H00;12H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;18/01/2020;10H00;13H00;CULTURE;COURS;ASSOCIATION FRANCO-UKRAINIENNE COTE D'AZUR
GARIBALDI;18/01/2020;10H00;12H00;SOCIAL;ANIMATION;LE PHARE DES 2 POLES
GARIBALDI;18/01/2020;15H00;18H00;CULTURE;REUNION;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;18/01/2020;15H00;17H00;SANTE;ATELIER;OUVERTURE SUR LES SCIENCES HUMAINES
GARIBALDI;18/01/2020;17H00;18H00;THEATRE;AMPHITHEATRE MISE EN PLACE REGIE;COUNTA BLABLA
GARIBALDI;18/01/2020;19H00;23H00;THEATRE;SPECTACLE;COUNTA BLABLA
LA LUNA;13/01/2020;09H00;12H00;SPORT;COURS;UN COEUR EN VIE
LA LUNA;13/01/2020;13H00;17H00;INFORMATIQUE;;MAIRIE DE NICE - SENIORS
LA LUNA;13/01/2020;13H00;17H00;INFORMATIQUE;;MAIRIE DE NICE - SENIORS
LA LUNA;13/01/2020;14H00;17H00;LOISIRS;ATELIER;MAIRIE DE NICE - SENIORS
LA LUNA;13/01/2020;14H00;17H00;MUSIQUE;PERMANENCE;ORCHESTRE SYMPHONIQUE EUROPEEN MUSICA E PACE
LA LUNA;14/01/2020;10H00;12H00;SPORT;COURS;MAIRIE DE NICE - SENIORS
LA LUNA;14/01/2020;10H00;11H00;ACTIVITE BIEN ETRE;COURS;OLEA PADMA
LA LUNA;14/01/2020;11H00;13H00;ACTIVITE BIEN ETRE;COURS;EVEIL MASALA
LA LUNA;14/01/2020;12H00;13H00;SPORT;COURS;ESPACE PILATES'N SPORT SANTE
LA LUNA;14/01/2020;14H00;17H00;COURS DE LANGUE;;MAIRIE DE NICE - SENIORS
LA LUNA;14/01/2020;14H00;18H00;CHANT;ATELIER;SENSATIONS ART CULTURE LOISIRS SPECTACLES
LA LUNA;14/01/2020;15H00;18H00;CULTURE;COURS;JE PARLE RUSSE
LA LUNA;14/01/2020;17H00;18H00;CHANT;COURS;SENSATIONS ART CULTURE LOISIRS SPECTACLES
LA LUNA;14/01/2020;18H00;20H00;SOCIAL;REUNION;ASSOCIATION DE CRIMINOLOGIE ET DE PREVENTION SOCIALE - NICE COTE D'AZUR CORSE
LA LUNA;14/01/2020;18H00;20H00;ACTIVITE BIEN ETRE;COURS;YOGA ESSENCE
LA LUNA;14/01/2020;18H00;20H00;SANTE;COURS;SOS CANCER DU SEIN REGION PACA ET CORSE
LA LUNA;15/01/2020;10H00;16H00;CULTURE;COURS;JE PARLE RUSSE
LA LUNA;15/01/2020;10H00;12H00;SENIORS;COURS;MAIRIE DE NICE - SENIORS
LA LUNA;15/01/2020;11H00;14H00;CULTURE;COURS;JE PARLE RUSSE
LA LUNA;15/01/2020;14H00;16H00;ENSEIGNEMENT;;MAIRIE DE NICE - SENIORS
LA LUNA;15/01/2020;14H00;16H00;COURS DE LANGUE;;MAIRIE DE NICE - SENIORS
LA LUNA;15/01/2020;15H00;17H00;CULTURE;ATELIER;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
LA LUNA;15/01/2020;16H00;17H00;LOISIRS;COURS;ASSOCIATION MAIN DANS LA MAIN
LA LUNA;15/01/2020;17H00;20H00;ACTIVITE BIEN ETRE;COURS;OLEA PADMA
LA LUNA;15/01/2020;18H00;20H00;ACTIVITE BIEN ETRE;COURS;L'EVEIL DU COEUR 06
LA LUNA;16/01/2020;09H00;12H00;ACTIVITE BIEN ETRE;COURS;OLEA PADMA
LA LUNA;16/01/2020;10H00;11H00;ACTIVITE BIEN ETRE;COURS;MAIRIE DE NICE - SANTE
LA LUNA;16/01/2020;14H00;16H00;SOCIAL;PERMANENCE;ASSOCIATION APOGE
LA LUNA;16/01/2020;14H00;18H00;SENIORS;ANIMATION;MAIRIE DE NICE - SENIORS
LA LUNA;16/01/2020;17H00;18H00;ACTIVITE BIEN ETRE;COURS;LES COULEURS DU CIEL ART THERAPIE ET YOGA
LA LUNA;16/01/2020;18H00;20H00;ACTIVITE BIEN ETRE;COURS;L'EVEIL DU COEUR 06
LA LUNA;16/01/2020;18H00;20H00;ACTIVITE BIEN ETRE;COURS;YOGADOR
LA LUNA;16/01/2020;18H00;20H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION CONNAISSANCES ET TRANSCENDANCE
LA LUNA;16/01/2020;19H00;20H00;CULTURE;COURS;SUN RIVIER'ART
LA LUNA;17/01/2020;09H00;12H00;INFORMATIQUE;;MAIRIE DE NICE - SENIORS
LA LUNA;17/01/2020;09H00;17H00;PROXIMITE;REUNION;ALTERNATIVE DE MEDIATEURS INDEPENDANTS-AMI-MEDIATION
LA LUNA;17/01/2020;14H00;18H00;CHANT;;MAIRIE DE NICE - SENIORS
LA LUNA;17/01/2020;15H00;17H00;ENVIRONNEMENT;REUNION;SENS SOLIDAIRES
LA LUNA;17/01/2020;16H00;18H00;SOCIAL;PERMANENCE;ALETHEIA
LA LUNA;17/01/2020;18H00;19H00;MUSIQUE;COURS;ARSIS
LA LUNA;17/01/2020;18H00;20H00;JEUNESSE;COURS;LEACTIVNICE
LA LUNA;18/01/2020;10H00;12H00;COURS DE LANGUE;COURS;ASSOCIATION PASSERELLE FRANCO-JAPONAIS
LA LUNA;18/01/2020;10H00;12H00;ACTIVITE BIEN ETRE;COURS;YOGA LIGHT
LA LUNA;18/01/2020;10H00;13H00;CULTURE;ATELIER;ASSOCIATION FRANCO-UKRAINIENNE COTE D'AZUR
LA LUNA;18/01/2020;10H00;13H00;ACTIVITE BIEN ETRE;FORMATION;SESAME
LA LUNA;18/01/2020;14H00;18H00;ACTIVITE BIEN ETRE;FORMATION;SESAME
LA LUNA;18/01/2020;15H00;17H00;CULTURE;ATELIER;ATELIER DU CINEMA FRANCO-RUSSE MARIA
LA LUNA;18/01/2020;16H00;17H00;LOISIRS;COURS;ASSOCIATION MAIN DANS LA MAIN
LA LUNA;18/01/2020;16H00;18H00;LOISIRS;COURS;ASSOCIATION MAIN DANS LA MAIN
LIBERATION;18/01/2020;10H00;13H00;CULTURE;PERMANENCE;DIRECTION  DE LA CULTURE - BIBLIOTHEQUES
NICE-CENTRE;13/01/2020;09H00;12H00;ENVIRONNEMENT;PERMANENCE;SENS SOLIDAIRES
NICE-CENTRE;13/01/2020;14H00;17H00;ENVIRONNEMENT;PERMANENCE;SENS SOLIDAIRES
NICE-CENTRE;13/01/2020;14H00;17H00;COURS DE LANGUE;COURS;FRANCE GRANDE BRETAGNE
NICE-CENTRE;14/01/2020;09H00;11H00;SOCIAL;PERMANENCE;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL
NICE-CENTRE;14/01/2020;09H00;13H00;ENVIRONNEMENT;PERMANENCE;SENS SOLIDAIRES
NICE-CENTRE;14/01/2020;10H00;17H00;COURS DE LANGUE;COURS;FRANCE GRANDE BRETAGNE
NICE-CENTRE;14/01/2020;11H00;12H00;SOCIAL;PERMANENCE;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL
NICE-CENTRE;14/01/2020;14H00;18H00;SOCIAL;PERMANENCE;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL
NICE-CENTRE;14/01/2020;14H00;16H00;ENVIRONNEMENT;PERMANENCE;SENS SOLIDAIRES
NICE-CENTRE;14/01/2020;16H00;20H00;CINEMA;REUNION;CSF - CINEMA SANS FRONTIERES
NICE-CENTRE;14/01/2020;18H00;19H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-CENTRE;15/01/2020;09H00;13H00;ENVIRONNEMENT;PERMANENCE;SENS SOLIDAIRES
NICE-CENTRE;15/01/2020;09H00;12H00;COURS DE LANGUE;COURS;INSTITUT CONFUCIUS COTE D'AZUR
NICE-CENTRE;15/01/2020;11H00;13H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
NICE-CENTRE;15/01/2020;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;15/01/2020;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;15/01/2020;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;15/01/2020;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;15/01/2020;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;15/01/2020;17H00;18H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-CENTRE;15/01/2020;18H00;20H00;SANTE;REUNION;OA - OUTRE-MANGEURS ANONYMES
NICE-CENTRE;15/01/2020;18H00;20H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
NICE-CENTRE;16/01/2020;09H00;13H00;ENVIRONNEMENT;PERMANENCE;SENS SOLIDAIRES
NICE-CENTRE;16/01/2020;09H00;17H00;SOCIAL;PERMANENCE;ABI 06 - ASSOCIATION AU BENEFICE DE L'INSERTION
NICE-CENTRE;16/01/2020;10H00;11H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-CENTRE;16/01/2020;11H00;12H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-CENTRE;16/01/2020;14H00;16H00;ENVIRONNEMENT;PERMANENCE;SENS SOLIDAIRES
NICE-CENTRE;16/01/2020;17H00;20H00;SOCIAL;PERMANENCE;ASSOCIATION REGIONALE POUR LA PROMOTION DES ACTIONS DE SANTE - ARPAS
NICE-CENTRE;16/01/2020;17H00;19H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-CENTRE;16/01/2020;18H00;19H00;SOCIAL;PERMANENCE;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL
NICE-CENTRE;16/01/2020;18H00;20H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
NICE-CENTRE;17/01/2020;10H00;11H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-CENTRE;17/01/2020;11H00;13H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
NICE-CENTRE;18/01/2020;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;18/01/2020;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;18/01/2020;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;18/01/2020;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;18/01/2020;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;18/01/2020;14H00;16H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;18/01/2020;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;18/01/2020;14H00;16H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;18/01/2020;14H00;18H00;THEATRE;ATELIER;LES 13 REVES
NICE-CENTRE;18/01/2020;15H00;18H00;CULTURE;REUNION;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-EST SAINT ROCH;13/01/2020;09H00;12H00;JEUNESSE;REUNION;MISSION LOCALE NICE COTE D AZUR
NICE-EST SAINT ROCH;13/01/2020;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE
NICE-EST SAINT ROCH;13/01/2020;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE NICE COTE D AZUR
NICE-EST SAINT ROCH;13/01/2020;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES
NICE-EST SAINT ROCH;13/01/2020;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE NICE COTE D AZUR
NICE-EST SAINT ROCH;13/01/2020;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE
NICE-EST SAINT ROCH;13/01/2020;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE NICE COTE D AZUR
NICE-EST SAINT ROCH;13/01/2020;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE NICE COTE D AZUR
NICE-EST SAINT ROCH;13/01/2020;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE NICE COTE D AZUR
NICE-EST SAINT ROCH;13/01/2020;10H00;12H00;SOCIAL;COURS;ASSISTANCE SOUTIEN ACCOMPAGNEMENT A LA PERSONNE (ASAP 06)
NICE-EST SAINT ROCH;13/01/2020;14H00;17H00;LOISIRS;ATELIER;LE CLAN DES BOULEGANS
NICE-EST SAINT ROCH;13/01/2020;15H00;18H00;CHANT;COURS;COL CANTO
NICE-EST SAINT ROCH;13/01/2020;17H00;19H00;SENIORS;COURS;CLUB DU 3EME AGE DE LAS PLANAS
NICE-EST SAINT ROCH;13/01/2020;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
NICE-EST SAINT ROCH;13/01/2020;17H00;18H00;DANSE;COURS;MOUVANCES
NICE-EST SAINT ROCH;13/01/2020;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
NICE-EST SAINT ROCH;13/01/2020;18H00;19H00;SPORT;COURS;GYMNASTIQUE VOLONTAIRE LA PASSERELLE
NICE-EST SAINT ROCH;13/01/2020;18H00;20H00;SOCIAL;COURS;AJAMAT UNE SYNERGIE DIOLA AU SERVICE DU DEVELOPPEMENT HUMAIN
NICE-EST SAINT ROCH;13/01/2020;18H00;20H00;COURS DE LANGUE;COURS;ASSOCIATION PASSERELLE FRANCO-JAPONAIS
