RC-NO;RC-RETENU-;RC-NOM;MEDIA;X-WGS84;Y-WGS84;X-L93;Y-L93;MO-NOM;MO-ADRESSE;MO-CP;MO-COMMUNE;MO-TEL;MO-MAIL;GEST-NOM;GEST-ADRES;GEST-CP;GEST-COMMU;GEST-TEL;GEST-MAIL;RC-TYPE;RC-COMMUNE;RC-CO-INSE;RC-CO-DPT;RC-CO-CP;RC-CO-GN;RC-P-TOT-K;RC-P-ENRandR;Classes-ENRandR;RC-BIOMASS;RC-GEOTHER;RC-UVE;RC-CHALEUR;RC-GAZ;RC-FIOUL;RC-AUTRES-;RC-ENERGIE;RC-CO2-KG/;RC-COGENER;RC-INFOS-D;RC-CO-POP-;RC-LONGUEU;RC-VENTE-C;RC-PROD-MW;Classes-production;RC-TAUX-EN;balise_tai;balise_enr;balise_ext
129;;TOURS (37) | NCT+;fiches_individuelles/fiche_inexistante.pdf;0.6672465;47.4336952;524191;6706302;;;;;;;;;;;;;NC;TOURS;37261;37;37000;1;NC;NC;NC(Non connu);NC;NC;NC;NC;NC;NC;ENR non-précisée;;NC;NC;Localisation éloignée de la mairie;132820;NC;Néant;NC;NC;>0;0;2;2
132;1;TOURS (37) | ZUP des Bords du Cher et Sanitas;fiches_individuelles/fiche_rc_132.pdf;0.7086754;47.3724416;527115;6699409;CU TOUR(S) PLUS;60 AVENUE MARCEL DASSAULT BP 651;37000;TOURS (37);;tours-plus@agglo-toursplus.fr;SCBC (SOCIETE DE CHAUFFAGE DES BORDS DU CHER);1 PROMENADE DE FLORENCE;37000;TOURS (37);247202168;;SPDC;TOURS;37261;37;37000;;94839;31875;ENR&R >= 70%;Oui;Non;Non;Non;Oui;NC;NC;Biomasse Gaz;0.087;Oui;;132820;19804;Oui;124386;+ 2 Gwh / an;63;3;2;3
131;1;TOURS (37) | Résidence Fontaine Pottier;fiches_individuelles/fiche_rc_131.pdf;0.6912912;47.4150286;525942;6704176;TOURS HABITAT (OFFICE PUBLIC DE L'HABITAT);1 RUE MAURICE BEDEL;37000;TOURS (37);;;;;;;;;NC;TOURS;37261;37;37000;;*250;250;ENR&R < 70%;Oui;Non;Non;Non;NC;NC;NC;Biomasse;NC;Non;;132820;NC;NC;*420;0 à 0,5 Gwh / an;>0;1;2;3
134;1;VOUVRAY (37) | Collège Gaston Huet;fiches_individuelles/fiche_rc_134.pdf;0.8008113;47.4105861;534183;6703447;CONSEIL DEPARTEMENTAL 37;18 PLACE DE LA PREFECTURE;37000;TOURS (37);247314731;;;;;;;;RT;VOUVRAY;37281;37;37210;;1250;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;3046;NC;Non;700;0,5 à 2 Gwh / an;0;2;1;2
133;;VERNEUIL-SUR-INDRE (37) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;1.033332993;47.05;551400;6663600;;;;;;;;;;;;;NC;VERNEUIL-SUR-INDRE;37269;37;37600;1;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;479;NC;Néant;NC;NC;>70;0;3;2
136;1;BLOIS (41) | IUFM de Blois;fiches_individuelles/fiche_rc_136.pdf;1.3400892;47.5925271;575262;6722661;IUFM DE BLOIS;9 AVENUE PAUL RENEAULME;41000;BLOIS (41);254567878;;;;;;;;RT;BLOIS;41018;41;41000;1;600;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;49171;NC;Non;*500;+ 2 Gwh / an;0;2;1;3
135;;BILLY (41) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;1.5401375;47.3109477;589715;6691089;;;;;;;;;;;;;NC;BILLY;41016;41;41130;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;800;NC;Néant;NC;NC;>70;0;3;2
138;1;BLOIS (41) | Quartier Bégon et Chevalier;fiches_individuelles/fiche_rc_138.pdf;1.3222939;47.6023022;573948;6723775;CA DE BLOIS ''AGGLOPOLYS'';1 RUE HONORE DE BALZAC;41000;BLOIS (41);254903535;;SBDC (SOCIETE BLESOISE DE DISTRIBUTION DE CHALEUR);;;;;;SPDC;BLOIS;41018;41;41000;1;*50700;*18000;ENR&R >= 70%;Oui;Non;Oui;Non;Oui;Non;Non;Biomasse UVE Gaz;0.033;Non;5 906 équivalents logements (source : Via Sèva) | SBDC : filiale ENGIE / COFELY;49171;11700;Oui;56942;+ 2 Gwh / an;91;3;3;3
137;1;BLOIS (41) | Lycée polyvalent Philibert Dessaignes;fiches_individuelles/fiche_rc_137.pdf;1.3378393;47.5959703;575101;6723047;REGION NOUVELLE CENTRE VAL DE LOIRE;9 RUE SAINT PIERRE LENTIN;45041;ORLEANS (45);238703030;danielle.lebon@regioncentre.fr;;;;;;;RT;BLOIS;41018;41;41000;1;1380;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Autres;0.234;Non;Raccordé au réseau de chaleur urbain;49171;NC;Non;1377;0,5 à 2 Gwh / an;0;2;1;3
140;1;CHAILLES (41) | Clinique Psychiatrique de la Chesnaie;fiches_individuelles/fiche_rc_140.pdf;1.3144022;47.5242193;573170;6715115;CLINIQUE PSYCHIATRIQUE DE LA CHESNAIE;LA CHESNAIE;41120;CHAILLES (41);254794827;clinique@chesnaie.com;CLINIQUE PSYCHIATRIQUE DE LA CHESNAIE;;41120;CHAILLES (41);;;RT;CHAILLES;41032;41;41120;1;*600;600;ENR&R < 70%;Oui;Non;Non;Non;NC;NC;Non;Biomasse;0.047;Non;3 chaudières bois;2019;NC;Non;1200;0,5 à 2 Gwh / an;80;2;3;1
139;1;BLOIS (41) | Quartier de l'Hôpital;fiches_individuelles/fiche_rc_139.pdf;1.3366014;47.6023809;575023;6723761;CA DE BLOIS ''AGGLOPOLYS'';1 RUE HONORE DE BALZAC;41000;BLOIS (41);254903535;;DALKIA (GROUPE EDF);37 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY;59350;SAINT-ANDRE-LEZ-LILLE (59);320634242;guillaume.coupeau@dalkia.fr;SPDC;BLOIS;41018;41;41000;1;15300;5100;ENR&R >= 70%;Oui;Non;Oui;NC;Oui;NC;NC;Biomasse UVE Gaz;NC;NC;;49171;8765;Oui;*32500;+ 2 Gwh / an;>70;3;3;3
142;1;CONTRES (41) | Réseau communal;fiches_individuelles/fiche_rc_142.pdf;1.429762;47.4292142;581639;6704384;COMMUNE DE CONTRES (41);PLACE DU 8 MAI 1945;41700;CONTRES (41);254795322;mairie.contres@orange-business.fr;COMMUNE DE CONTRES (41);MAIRIE DE ET A;41700;CONTRES (41);;;SPDC;CONTRES;41059;41;41700;1;1000;300;ENR&R < 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.046;Non;;3268;510;Oui;1150;0,5 à 2 Gwh / an;85;2;3;1
141;;CHAON (41) | Charles de la Messellière;fiches_individuelles/fiche_inexistante.pdf;2.174999987;47.60833299;637800;6723400;;;;;;;;;;;;;NC;CHAON;41036;41;41600;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie;375;NC;Néant;NC;NC;>70;0;3;2
144;;LE PLESSIS-DORIN (41) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;0.866667019;48.08333299;540900;6778700;;;;;;;;;;;;;NC;LE PLESSIS-DORIN;41177;41;41170;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;202;NC;Néant;NC;NC;>70;0;3;2
143;;DROUE (41) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;1.0763902;48.0405791;556662;6772879;;;;;;;;;;;;;NC;DROUE;41075;41;41270;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie;1205;NC;Néant;NC;NC;100;0;3;2
146;1;MONDOUBLEAU (41) | Réseau intercommunal Centre-Ville;fiches_individuelles/fiche_rc_146.pdf;0.8981869;47.9799988;543207;6766488;CC DES COLLINES DU PERCHE;36 RUE GHEERBRANT BP 6;41170;MONDOUBLEAU (41);254897114;collines.perche@wanadoo.fr;CC DES COLLINES DU PERCHE;36 RUE GHEERBRANT BP 6;41170;MONDOUBLEAU (41);254897114;collines.perche@wanadoo.fr;SPDC;MONDOUBLEAU;41143;41;41170;1;*2900;*1000;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.115;NC;180 équivalents logements (source : Via Sèva);1608;1000;Oui;2795;+ 2 Gwh / an;63;3;2;1
145;;MAVES (41) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;1.366667004;47.75000001;577400;6739200;;;;;;;;;;;;;NC;MAVES;41130;41;41500;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;577;NC;Néant;NC;NC;>70;0;3;2
148;1;NEUNG-SUR-BEUVRON (41) | Parc d'entreprises;fiches_individuelles/fiche_rc_148.pdf;1.7559058;47.5390941;606413;6716151;CC DE LA SOLOGNE DES ETANGS;DOMAINE DE VILLEMORANT;41210;NEUNG-SUR-BEUVRON (41);254946200;contact@sologne-des-etangs.fr;;;;;;;SPDC;NEUNG-SUR-BEUVRON;41159;41;41210;1;550;200;ENR&R < 70%;Oui;Non;Non;Non;Non;Oui;Non;Biomasse Fioul;0.056;Non;;1112;320;Oui;*430;0 à 0,5 Gwh / an;85;1;3;1
147;1;MONTRIEUX-EN-SOLOGNE (41) | Réseau communal;fiches_individuelles/fiche_rc_147.pdf;1.7247988;47.5540444;604100;6717849;COMMUNE DE MONTRIEUX-EN-SOLOGNE (41);2 PLACE EMILE DUBONNET;41210;MONTRIEUX-EN-SOLOGNE (41);254982107;mairie.montrieux@wanadoo.fr;;;;;;;RT;MONTRIEUX-EN-SOLOGNE;41152;41;41210;1;450;150;ENR&R < 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;NC;Non;;524;480;Non;400;0 à 0,5 Gwh / an;78;1;3;1
150;;"OUCQUES LA NOUVELLE (41) | Foyer ""Le Clair Logis""";fiches_individuelles/fiche_inexistante.pdf;1.2985778;47.829808;572711;6749084;;;;;;;;;;;;;NC;OUCQUES LA NOUVELLE;41171;41;41290;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie;1313;NC;Néant;NC;NC;>70;0;3;2
149;1;NEUNG-SUR-BEUVRON (41) | Réseau communal;fiches_individuelles/fiche_rc_149.pdf;1.806326;47.5345888;610198;6715592;CC DE LA SOLOGNE DES ETANGS;DOMAINE DE VILLEMORANT;41210;NEUNG-SUR-BEUVRON (41);254946200;contact@sologne-des-etangs.fr;CC DE LA SOLOGNE DES ETANGS;DOMAINE DE VILLEMORANT;41210;NEUNG-SUR-BEUVRON (41);254946200;sologne-des-etangs@wanadoo.fr;SPDC;NEUNG-SUR-BEUVRON;41159;41;41210;1;*250;250;ENR&R < 70%;Oui;Non;Non;Non;NC;NC;Non;Biomasse;NC;Non;;1112;NC;Oui;*280;0 à 0,5 Gwh / an;>70;1;3;1
152;1;ROMORANTIN-LANTHENAY (41) | Lycée polyvalent Claude de France;fiches_individuelles/fiche_rc_152.pdf;1.7394216;47.3687526;604871;6697250;REGION NOUVELLE CENTRE VAL DE LOIRE;9 RUE SAINT PIERRE LENTIN;45041;ORLEANS (45);238703030;danielle.lebon@regioncentre.fr;;;;;;;RT;ROMORANTIN-LANTHENAY;41194;41;41200;1;4200;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;18350;NC;Non;1182;0,5 à 2 Gwh / an;0;2;1;3
151;1;ROMORANTIN-LANTHENAY (41) | Hôpital Psychiatrique;fiches_individuelles/fiche_rc_151.pdf;1.7307211;47.3600867;604199;6696298;CENTRE HOSPITALIER DE ROMORANTIN-LANTHENAY;96 RUE DES CAPUCINS;41200;ROMORANTIN-LANTHENAY (41);254883300;;DALKIA (GROUPE EDF);37 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY;59350;SAINT-ANDRE-LEZ-LILLE (59);320634242;guillaume.coupeau@dalkia.fr;RT;ROMORANTIN-LANTHENAY;41194;41;41200;1;8000;3000;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;NC;Non;;18350;1815;Non;8250;+ 2 Gwh / an;>70;3;3;3
154;;SAINT-MARTIN-DES-BOIS (41) | Abbaye Saint Georges;fiches_individuelles/fiche_inexistante.pdf;0.833333022;47.71666699;537100;6737900;ASSOCIATION DU DOMAINE DE SAINT GEORGES;;;;;;ASSOCIATION DU DOMAINE DE SAINT GEORGES;;;;;;RT;SAINT-MARTIN-DES-BOIS;41225;41;41800;;163;100;ENR&R < 70%;Oui;Non;Non;Non;Non;Oui;Non;Biomasse Fioul;NC;Non;Localisation éloignée de la mairie;589;88;Néant;20;0 à 0,5 Gwh / an;>70;1;3;2
153;1;SAINT-AIGNAN (41) | Lycée Val de Cher;fiches_individuelles/fiche_rc_153.pdf;1.3719206;47.2664979;576907;6686401;REGION NOUVELLE CENTRE VAL DE LOIRE;9 RUE SAINT PIERRE LENTIN;45041;ORLEANS (45);238703030;danielle.lebon@regioncentre.fr;;;;;;;RT;SAINT-AIGNAN;41198;41;41110;1;685;235;ENR&R < 70%;Oui;Oui;Non;Non;Oui;Non;Non;Biomasse Géothermie Gaz;0.025;Non;;3542;60;Non;400;0 à 0,5 Gwh / an;90;1;3;3
157;1;SELLES-SUR-CHER (41) | Réseau communal;fiches_individuelles/fiche_rc_156.pdf;1.5451154;47.2772274;590022;6687337;COMMUNE DE SELLES-SUR-CHER (41);1 PLACE CHARLES DE GAULLE;41130;SELLES-SUR-CHER (41);254952540;accueil@mairie-sellessurcher.fr;;;;;;;RT;SELLES-SUR-CHER;41242;41;41130;;650;250;ENR&R < 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.035;Non;;4775;468;Non;635;0,5 à 2 Gwh / an;85;2;3;3
155;;SAVIGNY-SUR-BRAYE (41) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;0.816666998;47.88333302;536200;6755400;;;;;;;;;;;;;NC;SAVIGNY-SUR-BRAYE;41238;41;41360;1;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;2203;NC;Néant;NC;NC;>70;0;3;2
158;;SERIS (41) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;1.500000013;47.75000001;587700;6740600;;;;;;;;;;;;;NC;SERIS;41245;41;41500;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;287;NC;Néant;NC;NC;>70;0;3;2
156;1;SELLES-SAINT-DENIS (41) | Usine de démantèlement de missiles;fiches_individuelles/fiche_rc_157.pdf;1.9187187;47.3426766;618361;6694153;MBDA (SELLES-SAINT-DENIS);LIEUDIT LA CHAUDRONNE;41300;SELLES-SAINT-DENIS (41);254955908;;ENGIE COFELY CENTRE-OUEST;2 RUE DE LA TOUCHE LAMBERT;35510;CESSON-SEVIGNE (35);299276565;romain.deruwez@engie.com;RT;SELLES-SAINT-DENIS;41241;41;41300;;NC;1200;ENR&R >= 70%;Oui;Non;Non;Non;Non;Oui;Non;Biomasse Fioul;NC;Non;;1193;NC;Non;5500;+ 2 Gwh / an;58;3;2;1
160;;THORE-LA-ROCHETTE (41) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;0.966667005;47.78333298;547600;6745000;;;;;;;;;;;;;NC;THORE-LA-ROCHETTE;41259;41;41100;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Bois;883;NC;Néant;NC;NC;>70;0;3;2
159;;SOUGE (41) | Bâtiments communaux;fiches_individuelles/fiche_inexistante.pdf;0.716666668;47.76666666;529800;6743500;;;;;;;;;;;;;NC;SOUGE;41250;41;41800;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;437;NC;Néant;NC;NC;>70;0;3;2
194;1;MONTARGIS (45) | ZUP du Grand Clos;fiches_individuelles/fiche_rc_194.pdf;2.7409762;47.9968559;680681;6766306;COMMUNE DE MONTARGIS (45);6 RUE GAMBETTA BP 719;45200;MONTARGIS (45);238951000;;MONTARGIS ENERGIES;;;;;;SPDC;MONTARGIS;45208;45;45200;1;22500;4000;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.07;Oui;2 007 équivalents logements (source : Via Sèva);15030;3572;Oui;26207;+ 2 Gwh / an;64;3;2;3
193;1;MONTARGIS (45) | Lycée en forêt;fiches_individuelles/fiche_rc_193.pdf;2.7522706;48.0072382;681527;6767457;REGION NOUVELLE CENTRE VAL DE LOIRE;9 RUE SAINT PIERRE LENTIN;45041;ORLEANS (45);238703030;danielle.lebon@regioncentre.fr;EIFFAGE CONSTRUCTION CENTRE SNC;5 RUE CLAUDE LEWY;45100;ORLEANS (45);238226666;;RT;MONTARGIS;45208;45;45200;1;3390;720;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.105;Non;;15030;NC;Non;2863;+ 2 Gwh / an;55;3;2;3
196;1;NOGENT-SUR-VERNISSON (45) | Ecole;fiches_individuelles/fiche_rc_196.pdf;2.7457802;47.8478603;680986;6749749;COMMUNE DE NOGENT-SUR-VERNISSON (45);17 BIS RUE ARISTIDE BRIAND;45290;NOGENT-SUR-VERNISSON (45);238976053;mairie.ngv@wanadoo.fr;;;;;;;RT;NOGENT-SUR-VERNISSON;45229;45;45290;1;400;200;ENR&R < 70%;Oui;Non;Non;Non;Non;Oui;Non;Biomasse Fioul;0.045;Non;;2443;77;Non;*350;0 à 0,5 Gwh / an;80;1;3;3
195;;MONTCRESSON (45) | Réseau communal;fiches_individuelles/fiche_inexistante.pdf;2.8072207;47.9055851;685597;6756150;;;;;;;;;;;;;NC;MONTCRESSON;45212;45;45700;;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;;1266;NC;Néant;NC;NC;>70;0;3;2
198;1;OLIVET (45) | Réseau communal;fiches_individuelles/fiche_rc_198.pdf;1.8951538;47.8638231;617392;6752070;COMMUNE DE OLIVET (45);283 RUE DU GENERAL DE GAULLE;45160;OLIVET;238698300;contact@olivet.fr;;;;;;;RT;OLIVET;45232;45;45160;1;NC;Non;Absence d'ENR&R;Non;Non;Non;Non;Non;Non;Non;;0;Non;Réseau passé, non-utilisé;19195;524;Non;NC;NC;0;0;1;0
197;1;OLIVET (45) | Collège Charles rivière;fiches_individuelles/fiche_rc_197.pdf;1.8872232;47.8656924;616802;6752286;CONSEIL DEPARTEMENTAL 45;15 RUE EUGENE VIGNAT;45000;ORLEANS (45);238254545;;;;;;;;RT;OLIVET;45232;45;45160;1;*200;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;19195;NC;Non;*200;0 à 0,5 Gwh / an;0;1;1;3
200;1;ORLEANS (45) | Cité Administrative de Coligny;fiches_individuelles/fiche_rc_200.pdf;1.8969555;47.9155575;617607;6757816;CITE COLIGNY;131 RUE DU FAUBOURG BANNIER;45000;ORLEANS (45);;;;;;;;;RT;ORLEANS;45234;45;45000;1;1970;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;113126;627;Non;*3000;+ 2 Gwh / an;0;3;1;3
199;1;ORLEANS (45) | Caisse d'Epargne CECL Montespan;fiches_individuelles/fiche_rc_199.pdf;1.8696363;47.8976387;615538;6755854;CAISSE D'EPARGNE CECL MONTESPAN;;45100;ORLEANS (45);;;;;;;;;RT;ORLEANS;45234;45;45000;1;1100;600;ENR&R < 70%;Non;Oui;Non;Non;Oui;Non;Non;Géothermie Gaz;0.045;Non;;113126;70;Non;385;0 à 0,5 Gwh / an;100;1;3;3
202;1;ORLEANS (45) | Collège Jean Dunois;fiches_individuelles/fiche_rc_202.pdf;1.8929914;47.9072668;617298;6756899;CONSEIL DEPARTEMENTAL 45;15 RUE EUGENE VIGNAT;45000;ORLEANS (45);238254545;;;;;;;;RT;ORLEANS;45234;45;45000;1;*200;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;113126;NC;Non;*200;0 à 0,5 Gwh / an;0;1;1;3
201;1;ORLEANS (45) | Cité Trévise;fiches_individuelles/fiche_rc_201.pdf;1.8971042;47.8942277;617585;6755446;LOGEMLOIRET;6 RUE DU COMMANDANT DE POLI - CS 14134;45000;ORLEANS (45);238704444;;SOCCRAM FRANCE SA;44-46 ALLEE LEON GAMBETTA;92110;CLICHY (92);147562222;;RT;ORLEANS;45234;45;45000;1;*500;500;ENR&R < 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;NC;Non;;113126;164;Non;*1050;0,5 à 2 Gwh / an;>70;2;3;3
204;1;ORLEANS (45) | Quartier centre-ville et Nord;fiches_individuelles/fiche_rc_204.pdf;1.9038111;47.9109865;618112;6757301;CU ORLEANS METROPOLE;ESPACE SAINT-MARC 5 PLACE DU 6 JUIN 1944 B.P.95801;45000;ORLEANS (45);238787575;;SODC (SOCIETE ORLEANAISE DE CHAUFFAGE);;;;;;SPDC;ORLEANS;45234;45;45000;1;NC;37000;ENR&R >= 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;0.22;Oui;SODC : filiale ENGIE / COFELY;113126;22391;Oui;89045;+ 2 Gwh / an;90;3;3;3
