Objet,Notification,fournisseur,Code postal,typologie,objet
marché de fourniture de petits matériels destinés aux services du conseil général de la gironde lot 2 outillage (électroportatif et à main),07/01/2015,LEGALLAIS SAS,,90-240 HT,Fournitures
marché de fourniture de petits matériels destinés aux services du conseil général de la gironde lot 3 serrurerie,07/01/2015,MARCHAL,,90-240 HT,Fournitures
marché de fourniture de petits matériels destinés aux services du conseil général de la gironde lot 4 plomberie / chauffage / sanitaire,07/01/2015,LEGALLAIS SAS,,90-240 HT,Fournitures
marché de fourniture de petits matériels destinés aux services du conseil général de la gironde lot 7 peinture / papier peint / revêtement de sol / accessoires,07/01/2015,NUANCES ET DECORATION,,90-240 HT,Fournitures
fourniture de véhicule et engin de travaux pour les crd lot 4 fournitures de 2 graviloneurs,08/01/2015,SECMAIR,53230,90-240 HT,Fournitures
marché de fourniture de petits matériels destinés aux services du conseil général de la gironde lot 9 produits métallurgiques,09/01/2015,PAGES,,90-240 HT,Fournitures
acquisition de pieces de rechanges pour les navires de la direction des transports maritimes departementaux,28/01/2015,VOITH TURBO,93166,90-240 HT,Fournitures
fourniture et livraison de granulats pour enduits superficiels lot 2 crd du libournais,16/02/2015,CARRIERES DE THIVIERS,24800,90-240 HT,Fournitures
fourniture d'un compacteur à pneumatiques pour le parc routier départemental,18/02/2015,BERGERAT MONNOYEUR,93200,90-240 HT,Fournitures
prestations de traiteur lot 5 plateaux repas et paniers repas,19/02/2015,D.C.S.,,90-240 HT,Fournitures
fourniture et livraison de granulats pour enduits superficiels lot 1 crd du bassin d'arcachon,27/02/2015,CARRIERES DE THIVIERS,24800,90-240 HT,Fournitures
fourniture et livraison de granulats pour enduits superficiels lot 3 crd du médoc,27/02/2015,CARRIERES DE THIVIERS,24800,90-240 HT,Fournitures
"accord cadre n° 11-1775  - marché subséquent : acquisition de pc, portables, tablettes et écrans",04/03/2015,SCC SA,92744,90-240 HT,Fournitures
extension et gestion du mobilier du réseau transgironde  phase offre lot 1 abris voyageurs métalliques avec caissons d affichage,01/07/2015,CLEAR CHANNEL,,90-240 HT,Fournitures
extension et gestion du mobilier du réseau transgironde - phase offre lot 2 abris voyageurs métalliques sans caisson d'affichage,07/07/2015,CDA PUBLIMEDIA,,90-240 HT,Fournitures
extension et gestion du mobilier du réseau transgironde - phase offre lot 3 abris voyageurs bois,07/07/2015,CDA PUBLIMEDIA,,90-240 HT,Fournitures
extension et gestion du mobilier du réseau transgironde - phase offre lot 4 poteaux d'arrêt transgironde,07/07/2015,MDO,,90-240 HT,Fournitures
aménagements intérieurs fabriqués sur mesure avec un ensemble d'accessoires pour tout type de véhicule du département,28/09/2015,MANY VIGIER,,90-240 HT,Fournitures
"fourniture de pièces détachées d'origine, d'usure et spécifiques pour véhicules et engins du parc routier départemental lot 1 fourniture de pièces détachées marque noremat",28/09/2015,NOREMAT,54714,90-240 HT,Fournitures
"fourniture de pièces détachées d'origine, d'usure et spécifiques pour véhicules et engins du parc routier départemental lot 2 fourniture de pièces détachées pour vl et vu marque renault",29/09/2015,RENAULT RETAIL GROUP,33140,90-240 HT,Fournitures
achat de fournitures spécifiques destinées à la conservation préventive et à la restauration de documents patrimoniaux écrits et iconographiques lot 3 conteneurs d'archives longue conservation,02/11/2015,ACBM,75116,90-240 HT,Fournitures
achat de fournitures spécifiques destinées à la conservation préventive et à la restauration de documents patrimoniaux écrits et iconographiques lot 8 sangles et lies de coton,02/11/2015,RELICOM,14330,90-240 HT,Fournitures
"achat de fournitures spécifiques destinées à la conservation préventive et à la restauration de documents patrimoniaux écrits et iconographiques lot 1 boites d'archives et étuis de type carton celloderme longue conservation pour liasses et registres, journaux et périodiques",03/11/2015, S.A. MICHEL CAUCHARD,93284,90-240 HT,Fournitures
fourniture de lubrifiants et de cartouches de graisse pour les véhicules et engins du parc routier départemental,06/11/2015,PICOTY,23300,90-240 HT,Fournitures
gestion des abonnements pour les services du departement,12/11/2015,CID,,90-240 HT,Fournitures
fourniture et pose signalisation verticale sur routes départementales en gironde lot 1 crd bassin arcachon,19/11/2015,LACROIX SIGNALISATION,,90-240 HT,Fournitures
fourniture et pose signalisation verticale sur routes départementales en gironde lot 2 crd bordeaux cub et entre deux mers,19/11/2015,LACROIX SIGNALISATION,,90-240 HT,Fournitures
fourniture et pose signalisation verticale sur routes départementales en gironde lot 3 crd de haute gironde,19/11/2015,LACROIX SIGNALISATION,,90-240 HT,Fournitures
fourniture et pose signalisation verticale sur routes départementales en gironde lot 4 crd du libournais,19/11/2015,LACROIX SIGNALISATION,,> 240 HT,Fournitures
fourniture et pose signalisation verticale sur routes départementales en gironde lot 5 crd du médoc,19/11/2015,LACROIX SIGNALISATION,,> 240 HT,Fournitures
fourniture et pose signalisation verticale sur routes départementales en gironde lot 6 crd du sud gironde,19/11/2015,LACROIX SIGNALISATION,,> 240 HT,Fournitures
fourniture et pose signalisation verticale sur routes départementales en gironde lot 7 pôle développement,19/11/2015,LACROIX SIGNALISATION,,> 240 HT,Fournitures
acquisition et livraison de fournitures de bureau,04/12/2015,OFFICE DEPOT,60300,> 240 HT,Fournitures
"fourniture de livres pour la bibliotheque departementale de prêt et autres services du departement et prestations de service liees a l'acquisition  de documents et a l'activite de ces services lot 1 nouveautés fiction adultes : littérature générale, romans, romans policiers, science-fiction, fantastique",08/12/2015,LA MACHINE A LIRE,33000,> 240 HT,Fournitures
"fourniture de livres pour la bibliotheque departementale de prêt et autres services du departement et prestations de service liees a l'acquisition  de documents et a l'activite de ces services lot 2 nouveautés documentaires adultes : sciences humaines et sociales, économie, santé et vie pratique, littérature grise dans le domaine social et médico-social, sciences et techniques, documentation spécialisée",08/12/2015,LIBRAIRIE MOLLAT,33080,> 240 HT,Fournitures
"fourniture de livres pour la bibliotheque departementale de prêt et autres services du departement et prestations de service liees a l'acquisition  de documents et a l'activite de ces services lot 3 nouveautés documentaires adultes : arts,  histoire, géographie, fonds local",08/12/2015,LIBRAIRIE MOLLAT,33080,> 240 HT,Fournitures
fourniture de livres pour la bibliotheque departementale de prêt et autres services du departement et prestations de service liees a l'acquisition  de documents et a l'activite de ces services lot 4 réassortiment de livres pour adultes,08/12/2015,DECITRE,69356,> 240 HT,Fournitures
fourniture de livres pour la bibliotheque departementale de prêt et autres services du departement et prestations de service liees a l'acquisition  de documents et a l'activite de ces services lot 5 nouveautés : bandes dessinées adultes et jeunesse,08/12/2015,KRAZY KAT LIBRAIRIE ED/KAFE,33000,> 240 HT,Fournitures
fourniture de livres pour la bibliotheque departementale de prêt et autres services du departement et prestations de service liees a l'acquisition  de documents et a l'activite de ces services lot 6 nouveautés : fiction jeunesse,08/12/2015,COMPTINES,33000,> 240 HT,Fournitures
fourniture de livres pour la bibliotheque departementale de prêt et autres services du departement et prestations de service liees a l'acquisition  de documents et a l'activite de ces services lot 7 nouveautés : documentaires jeunesse,08/12/2015,COMPTINES,33000,> 240 HT,Fournitures
fourniture de livres pour la bibliotheque departementale de prêt et autres services du departement et prestations de service liees a l'acquisition  de documents et a l'activite de ces services lot 8 réassortiment de livres de jeunesse,08/12/2015,LIBRAIRIE MOLLAT,33080,> 240 HT,Fournitures
fourniture de livres pour la bibliotheque departementale de prêt et autres services du departement et prestations de service liees a l'acquisition  de documents et a l'activite de ces services lot 9 livres neufs reliés pour bibliothèques,08/12/2015,RENOV'LIVRES,54715,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines de centre départemental de l'enfance et de la famille lot 18 volailles fraîches réservé art 15,14/12/2015,COMPLEXE DE LA HAUTE LANDE,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines de centre départemental de l'enfance et de la famille lot 19 fruits et légumes frais bio,14/12/2015,ISLE MANGE BIO,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l'enfance et de la famille lot 10 produits surgelés,14/12/2015,SIRF,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l'enfance et de la famille lot 11 epicerie et confiserie,14/12/2015,TRANSGOURMET AQUITAINE,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l'enfance et de la famille lot 12 boissons,14/12/2015,TRANSGOURMET AQUITAINE,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l'enfance et de la famille lot 13 fournitures à usage unique de restauration,14/12/2015,ISF FRANCE TREMON,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l'enfance et de la famille lot 14 alimentation infantile hors lait,14/12/2015,LABORATOIRE RIVADIS,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l'enfance et de la famille lot 16 produits cuisinés mixés et hachés,14/12/2015,LES REPAS SANTE,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l'enfance et de la famille lot 3 volailles fraîches,14/12/2015,SA BLASON D'OR,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l'enfance et de la famille lot 4 charcuterie,14/12/2015,BRAKE FRANCE SERVICE,46200,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l'enfance et de la famille lot 5 fruits et légumes frais,14/12/2015,SMB-FL,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l'enfance et de la famille lot 6 fruits et légumes 4ème catégorie et 5ème catégorie,14/12/2015,SAINFRUIT,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l'enfance et de la famille lot 7 œufs de poules bio,14/12/2015,ISLE MANGE BIO,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l'enfance et de la famille lot 8 beurre ovoproduits et fromages,14/12/2015,SAS LODIFRAIS,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l'enfance et de la famille lot 9 produits frais de la pêche,14/12/2015,SOBOMAR ATLANTIQUE,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines du centre départemental de l enfance et de la famille lot 1 boulangerie et pâtisserie fraîches,15/12/2015,SARL MUR PERE ET FILS,,> 240 HT,Fournitures
approvisionnement en denrées alimentaires des cuisines de centre départemental de l'enfance et de la famille lot 17 viandes bio,17/12/2015,ARCADIE SUD OUEST,,> 240 HT,Fournitures
maintenance et dépannage machines pompes à chaleur et groupes frigorifiques de marque carrier et des armoires climatisation de marque trane de l’immeuble commun de l’hôtel du département / préfecture de la gironde,05/01/2015,IDEX ENERGIE,33610,20-90 HT,services
reliure 2014 lot 1 reliure traditionnelle de publications imprimées neuves ou peu usagées,07/01/2015,RELIURE ATELIER SAINT LUC,,20-90 HT,services
service de restauration collective réservé aux groupes clients domaine départemental de loisirs g. lagors à hostens,07/01/2015,ANSAMBLE S.A.S,,20-90 HT,services
diagnostic des impacts du changement climatique en gironde et pistes d'adaptation,08/01/2015,ARTELIA,,20-90 HT,services
maitrise d'œuvre pour les travaux de confortement de la falaise du château gardera - commune de langoiran,02/02/2015,ANTEAGROUP,33600,20-90 HT,services
marché de services d’insertion et de qualification professionnelles activités d’insertion pour la réalisation de prestations de traiteur,03/02/2015,LA TABLE DE CANA,,20-90 HT,services
formation au compostage,24/02/2015,AU RAS DU SOL,24230,20-90 HT,services
"surveillance, maintenance, entretien et dépannages de pompes de postes de relevage des eaux pluviales lot 1 rd5 et rd3",06/03/2015,NANTAISE DES EAUX SERVICES,44984,20-90 HT,services
"surveillance, maintenance, entretien et dépannages de pompes de postes de relevage des eaux pluviales lot 2 rd 214e2 et 1215",06/03/2015,NANTAISE DES EAUX SERVICES,44984,20-90 HT,services
"mission de controle technique dans le cadre de la restructuration de la segpa, la renovation de la salle d'activites sportives, reamenagement de divers locaux et la reconstruction de 5 logements de fonction au college pierre de belleyme a pauillac",10/03/2015,APAVE SUD EUROPE,33370,20-90 HT,services
college monsejour a bordeaux mission de coordination ssi et de maîtrise d'oeuvre dans le cadre des travaux de mise en conformité du ssi,13/03/2015,SARL CESTI,24750,20-90 HT,services
gravure et mise en couleur de flèches et panneaux bois,13/03/2015,ETS DUVIGNEAU,33025,20-90 HT,services
déménagement du collège cheverus,26/03/2015,LE GARS,75017,20-90 HT,services
prestations d’enlevement des déchets d'équipements électriques et électroniques avec mise à disposition de contenants,30/03/2015,ECOMICRO,,20-90 HT,services
animations à la prévention ( réduction des déchets),31/03/2015,VERDICITE,,20-90 HT,services
marché de service d’insertion et de qualification professionnelle dont le support d’activité est le nettoyage des locaux,01/04/2015,BIC,,20-90 HT,services
"fourniture et mise en place des structures (chapiteaux, tentes …) et accessoires pour l'accueil des spectacles organisés dans le cadre de la fête des collégiens le 11 juin 2015 au parc palmer à cenon",15/04/2015,BRELET BORDEAUX,,20-90 HT,services
"fourniture, installation et régies du matériel son et lumière pour les différentes scènes utilisées (musique, danse …) fête des collégiens du 11 juin 2015 à cenon",15/04/2015,STUDIO CARAT,,20-90 HT,services
service de surveillance et de gardiennage pour la fête des collégiens 2015 (11 juin au parc palmer à cenon),15/04/2015,DRAKKAR PROTECTION SECURITE,,20-90 HT,services
assistance à maîtrise d’ouvrage pour la reconstruction du parc du matériel lot 1 : etudes de programmation,23/04/2015,COMPÉTENCE INGÉGNERIE SERVICE,,20-90 HT,services
maintenance du scanner patrimonial,28/04/2015,MACH SCANNERS ET SOLUTIONS,33100,20-90 HT,services
accompagnement au nettoyage des plages du littoral girondin,05/05/2015,OFFICE NATIONAL DES FORETS,33524,20-90 HT,services
réalisation de boucle de comptage,01/06/2015,AXIMUM,33140,20-90 HT,services
restructuration partielle du collège léo drouyn à vérac mission organisation pilotage et coordination,04/06/2015,TPF INGEGNIERIE,,20-90 HT,services
evaluation et mise en œuvre d'un dispositif d'accompagnement en faveur des jeunes de 11 à 25 ans sur la question de la mixité et de l'agalité fille garcon dans le cadre de l'élaboration de l'acte ii du manifeste pour la jeunesse au profit du département,08/06/2015,L'AROBE,,20-90 HT,services
mapa mission de maîtrise d'oeuvre pour le réaménagement fonctionnel de la demi-pension au collège aliénor d'aquitaine à martignas,09/06/2015,INTEGRALE DE RESTAURATION,33150,20-90 HT,services
"mission de maîtrise d’œuvre dans le cadre des travaux de remplacement des fluides frigorigènes des matériels froids, des matériels de cuisson et des machines à laver dans les demi pensions de plusieurs collèges lot 1 matériel 1",23/06/2015,CUISINORME,,20-90 HT,services
"mission de maîtrise d’œuvre dans le cadre des travaux de remplacement des fluides frigorigènes des matériels froids, des matériels de cuisson et des machines à laver dans les demi pensions de plusieurs collèges lot 2 matériel 2",23/06/2015,INTEGRALE DE RESTAURATION,,20-90 HT,services
"mission de maîtrise d’œuvre dans le cadre des travaux de remplacement des fluides frigorigènes des matériels froids, des matériels de cuisson et des machines à laver dans les demi pensions de plusieurs collèges lot 3 matériel 3",23/06/2015,INTEGRALE DE RESTAURATION,,20-90 HT,services
"prestation de création et de réalisation de la scénographie et du graphisme de l'exposition sur le monde des moulins, du moyen âge aux années 1930",24/06/2015,XRDS,,20-90 HT,services
" mission de maîtrise d'oeuvre pour la mise en exploitation de la gabare ""les deux frères""",08/07/2015,MARC RONET ARCHITECTURE NAVALE,44700,20-90 HT,services
étude de danger concernant les ouvrages de protection face aux risques fluviomaritimes du territoire du nord médoc,10/07/2015,ARTELIA,33697,20-90 HT,services
marché d'assistance à maîtrise d'ouvrage pour la reconstruction du parc routier du département de la gironde. cette consultation est la deuxième pour le lot n°2,22/07/2015,REGARD ERGONOMIE,,20-90 HT,services
" le marché a pour objet les prestations d'entretien des forêts départementales. la nature des prestations à réaliser dans le cadre du marché est la suivante : - exploitation forestière avec abandon de produits - dépressage, ...",27/07/2015,STAF,33125,20-90 HT,services
evaluation afaq 26000,28/07/2015,AFNOR,93571,20-90 HT,services
animation saison 3 open data,06/08/2015,COOP'ALPHA,,20-90 HT,services
 prestations d'organisation d'évènements sport de nature. le marché a pour objet les prestations suivantes : l'organisation de la journée départementale des sports de nature le 27 septembre 2015 sur le domaine départemental lot 1 ,13/08/2015,CDOS 33,33000,20-90 HT,services
 prestations d'organisation d'évènements sport de nature. le marché a pour objet les prestations suivantes : l'organisation de la journée départementale des sports de nature le 27 septembre 2015 sur le domaine départemental lot 2 ,13/08/2015,PASCAL MOUCHAGUE,33370,20-90 HT,services
assistance à maîtrise d'ouvrage pour le suivi d'exploitation du système d'informations voyageurs transgironde,26/08/2015,SOCIÉTÉ MT3,33700,20-90 HT,services
rd 2089 communes d'arveyres et libourne réhabilitation du pont de pierre de libourne. marché de maîtrise d'oeuvre. confortement de la voûte rive droite.,02/09/2015,ARTELIA,38130,20-90 HT,services
gardiennage de l'établissement de jour et astreinte de nuit au collège cassignol à bordeaux,08/09/2015,DRAKKAR PROTECTION SECURITE,33700,20-90 HT,services
amo pour la refonte globale du site internet et des outils de diffusion des ad,25/09/2015,COMOE,31500,20-90 HT,services
enrichissement de notices descriptives informatisées dans arkheia,25/09/2015,SARL FONTAINE ET FILS ARCHIVES SERVICES,52000,20-90 HT,services
numérisation de microfilms,25/09/2015,ARCHIMAINE,53002,20-90 HT,services
formation sur la stratégie digitale dans le secteur public,08/10/2015,ITEM MEDIA CONCEPT,,20-90 HT,services
réalisation de productions audiovisuelles destinées à promouvoir les projets artistiques retenus pour les scènes d’eté itinérantes 2016,12/10/2015,RAS PRODUCTION,,20-90 HT,services
prestation de transport par bâteau de matériels et matériaux nécessaires à la gestion de l'ile nouvelle,13/10/2015,NENOIT VIELET,,20-90 HT,services
evaluation et mise en œuvre d’un dispositif de coordination de l’ensemble des services d’intervention au domicile en faveur des personnes handicapées,02/11/2015,ENEIS CONSEIL,,20-90 HT,services
dépoussiérage,03/11/2015,VACUUM CLEANER FRANCE,94000,20-90 HT,services
rd 650 - le teich - prestations topographiques hors négociation - passage à niveau du teich lot 6 crd bassin d'arcachon,06/11/2015,PARALLELLE,,20-90 HT,services
maintenance des applications aigle de business geografic,12/11/2015,BUSINESS GEOGRAPHIC,,20-90 HT,services
cartable sain durable,18/11/2015,APESA,,20-90 HT,services
prestations de traitement physique de livres neufs pour la bibliothèque départementale de prêt,14/12/2015,ESAT DESCARTES,,20-90 HT,services
fourniture d'un logiciel médiathèque en mode saas,29/12/2015,WIKIPIXEL,75784,20-90 HT,services
mise en œuvre d’un portail extranet de l’observatoire des territoires girondins,29/12/2015,SYSTONIC,,20-90 HT,services
entretien des equipements electromecaniques  et hydrauliques des ports ostreicoles departementaux non concedes,05/01/2015,ETS BALLON,,> 90 HT,services
mission d'assistance en matière de gestion  financière de la dette et de la trésorerie,07/01/2015,FCL,75009,> 90 HT,services
gestion des équipements de levage installés dans les bâtiments du conseil général de la gironde lot 1 bordeaux,08/01/2015,EIFFAGE CONSTRUCTION METALLIQUE,33600,> 90 HT,services
prestations de numérisation de registres matricules,09/01/2015,CENTRE ARCHIVES DU NORD,,> 90 HT,services
collecte des déchets banals des services du département de la gironde lot 1 hôtel du département de la gironde,02/02/2015,AZURA RECYCLAGE,33530,> 90 HT,services
collecte des déchets banals des services du département de la gironde lot 2 autres bâtiments du département de la gironde situés sur le territoire de la communauté urbaine de bordeaux,02/02/2015,AZURA RECYCLAGE,33530,> 90 HT,services
conduite de travaux de sécurisation de la digue des mattes du bas médoc lot 1 missions de maîtrise d’œuvre,04/02/2015,ARTELIA BATIMENT ET INDUSTRIE,33187,> 90 HT,services
"fourniture, maintenance et visites techniques des chrono-tachygraphes, des simulateurs et des limiteurs de vitesse",04/02/2015,BOUTEVILLE,33300,> 90 HT,services
"conduite de travaux de sécurisation de la digue des mattes du bas médoc lot 2 constitution des dossiers réglementaires en application 
du code de l’environnement",07/02/2015,MARSAC BERNEDE HEH,33220,> 90 HT,services
maintenance préventive et curatives des alarmes et contrôles d’accès du conseil général de la gironde lot 1 maintenance préventive et corrective des installations de contrôle d’accès,16/02/2015,SPIE SO SAS,33400,> 90 HT,services
maintenance préventive et curatives des alarmes et contrôles d’accès du conseil général de la gironde lot 2 maintenance préventive et corrective des installations d’alarmes intrusion et techniques,16/02/2015,SPIE SO SAS,33400,> 90 HT,services
"gestion de fichiers d'adresses, élaboration de plans de diffusion et conseil",20/02/2015,DIRECT FICHIERS,33450,> 90 HT,services
maintenance et prestations pour l’application geser de l’éditeur iad,27/02/2015,PSI INFORMATIQUE,33520,> 90 HT,services
entretien annuel navire «vauban » exercice 2015 lot 1 mécanique,02/03/2015,ARNAUD  JEAN-LOUIS,33740,> 90 HT,services
entretien annuel navire «vauban » exercice 2015 lot 2 application générale de peinture,03/03/2015,SETA SOC EXPL TECHNIQ ACOUSTIQ,30000,> 90 HT,services
refonte d’un intranet sous jalios jcms,03/03/2015,TRSB,,> 90 HT,services
programmation artistique sur les ens de gironde lot 1 lot thématique : chants d'oiseaux,12/03/2015,ASSOCIATION AUTOUR DE L'OISEAU,80100,> 90 HT,services
programmation artistique sur les ens de gironde lot 3 conférence- exposé,12/03/2015,VIALARUE,33000,> 90 HT,services
programmation artistique sur les ens de gironde lot 4 performance artistique,12/03/2015,SMART CIE,33000,> 90 HT,services
programmation artistique sur les ens de gironde lot 6 musique dans l'herbe,12/03/2015,ASSOCIATION FRANCE EN SCÈNE,33800,> 90 HT,services
programmation artistique sur les ens de gironde lot 7 art de la parole,12/03/2015,ASSOCIATION ARRREUH,24700,> 90 HT,services
programmation artistique sur les ens de gironde lot 5 spectacle jeune public,13/03/2015,COMPAGNIE CA S'PEUT PAS,76270,> 90 HT,services
programmation artistique sur les ens de gironde lot 2 balade artistique,16/03/2015,ALPAM,54385,> 90 HT,services
maintenance et fourniture de consommables des moyens d’impression konica en coût à la page,25/04/2015,KONICA MINOLTA BUSINESS FRANCE,78420,> 90 HT,services
"collecte et traitement des déchets dangereux et non dangereux stockés par les centres routiers départementaux, le parc routier départemental et le laboratoire routier départemental. lot 1 déchets dangereux",06/05/2015,SEVIA,33015,> 90 HT,services
"collecte et traitement des déchets dangereux et non dangereux stockés par les centres routiers départementaux, le parc routier départemental et le laboratoire routier départemental. lot 2 déchets non dangereux",11/05/2015,SITA SUD OUEST SURCA,33603,> 90 HT,services
relevé à grand rendement de signalisation verticale sur les routes départementales lot 1 relevé sud département,27/05/2015,COROS,84000,> 90 HT,services
relevé à grand rendement de signalisation verticale sur les routes départementales lot 2 relevé nord département,27/05/2015,COROS,84000,> 90 HT,services
balayage mécanique avec aspiration soit pour l’entretien courant soit pour le désherbage sur les routes départementales de la gironde lot 1 balayage mécanique avec aspiration ou désherbage lot géographique,17/06/2015,SARL ETS SAINT MARC,33190,> 90 HT,services
balayage mécanique avec aspiration soit pour l’entretien courant soit pour le désherbage sur les routes départementales de la gironde lot 2 balayage mécanique avec aspiration ou désherbage lot géographique,17/06/2015,SARL ETS SAINT MARC,33190,> 90 HT,services
etudes prealables a la realisation de dragages sur les ports departementaux de la commune de gujan mestras,18/06/2015,IDRA ENVIRONNEMENT SA,35170,> 90 HT,services
entretien des séparateurs d’hydrocarbures lot 1 entretien des séparateurs d’hydrocarbures des dépôts d’essence,22/06/2015,SARL RABA,,> 90 HT,services
entretien des séparateurs d’hydrocarbures lot 2 entretien des séparateurs d’hydrocarbures des aires de lavage,22/06/2015,SARL RABA,,> 90 HT,services
"mise en sécurité d'arbres par élagage, démontage et abatage sur l'ensemble du département",22/06/2015,AIRIAL ELAGAGE,40110,> 90 HT,services
"fourniture, installation et maintenance d’un logiciel embarqué d’exploitation du réseau routier départemental",01/07/2015,GEOLOC SYSTEM,,> 90 HT,services
"prélèvements et analyses, eau naturelle, sol et sédiments marins
ports départementaux non-concédés",15/07/2015,VALLEEN,,> 90 HT,services
"acquisition de licences du logiciel applidis, maintenance et prestations techniques",29/07/2015,CIS VALLEY,33523,> 90 HT,services
elaboration et accompagnement de la notation du département lot 2 accompagnement à la notation du département,30/07/2015,FCL GÉRER LA CITÉ,,> 90 HT,services
elaboration et accompagnement de la notation du département lot 1 elaboration de la notation du département,31/07/2015,STANDARD ET POOR S CREDIT MARKET SCES FRANCE,75008,> 90 HT,services
plan de continuité d’activité du département de la gironde pour les risques hydrométéorologiques,04/08/2015,PREDICT SERVICE,,> 90 HT,services
prestation de déploiement de postes de travail,11/08/2015,SCC SA,92744,> 90 HT,services
prestations de migration des postes de travail,12/08/2015,AMEC SPIE,,> 90 HT,services
audit des données patrimoniale et préconisations stratégiques du conseil général de la gironde,18/08/2015,HABITAT ET TERRITOIRES CONSEIL,,> 90 HT,services
