Id,DATE_DERNIERE_MAJ,TYPE,CATEGORIE,SPECIALITES,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,CHAINES,LOGIS_CLASSEMENT,NBRE_MAX_COUVERTS,OUVERTURE,TARIFS,EQUIPEMENTS,SERVICES
RESAQU064FS001C5,30/01/2019,Restaurant,Restaurant traditionnel,Cuisine traditionnelle # Régionale française,"""Chez Salis"" Les Routiers",,,Route de Bordeaux,,64121,SERRES-CASTET,64519,+33 5 59 33 91 06,,,, -0.3801441,43.3902358,Oui,,,,,120,,,Bar # Climatisation # Parking privé,Banquet
RESAQU024V50D5SK,03/01/2020,Restaurant,Restaurant traditionnel,Cuisine traditionnelle # Salades # Tartes # Viandes,1 Pied dans l'eau,,,"1,Place des Omnibus",,24290,MONTIGNAC,24291,,+33 6 59 17 86 34,,,1.163082,45.066138,Oui,,,,,,,,,
RESAQU064V5058JI,03/01/2020,Restaurant,Restaurant traditionnel,Cuisine traditionnelle,14 quai Bergeret,,,14 quai Bergeret,,64100,BAYONNE,64102,+33 5 59 52 37 12,,,, -1.4681554,43.4934343,,,,,,,,,,
RESAQU064FS000P8,21/01/2020,Restaurant,Restaurant à thème,Cuisine sud-américaine # Cuisine végétarienne,3 Salsas (les),,,5 rue Harispe,,64200,BIARRITZ,64122,+33 5 59 23 04 53,,eurl3j@gmail.com,https://www.3salsas.fr/, -1.5642687,43.4742321,,,,,,,01/01/2020|31/12/2020|||||,"A la carte|5,00|16,00|",Terrasse,
RESAQU040V50NPAP,14/01/2020,Restaurant,Restauration rapide # Salon de thé,Salades # Sandwichs,3eme Vague,,,10 rue de la poste,,40200,MIMIZAN,40184,,,3emevague@gmail.com,, -1.2934209,44.2140416,Non,,,,,,08/02/2020|27/12/2020|||||,A la carte|||,Terrasse,Plats à emporter # Wifi
RESAQU024V509SIK,02/01/2018,Restaurant,Restaurant traditionnel,Cuisine traditionnelle # Régionale française,66 degrès,,,18 bis rue Gambetta,,24000,PERIGUEUX,24322,,+33 6 46 03 08 85,,,0.71793668,45.1859806,Oui,,,,,,,,,
RESAQU064V507T3G,10/01/2020,Restaurant,Restaurant à thème,Cuisine asiatique,7 et 7 ,,,5 rue Nogué ,,64000,PAU,64445,+33 5 24 89 30 83,,sysaath@hotmail.fr,, -0.3704132,43.2996187,Oui,,,,,34,02/01/2020|31/12/2020|12:30|14:30|17:30|21:30|Dimanche,"Menu adulte|9,90|17,90|Menu du midi",Climatisation,Wifi
RESAQU064V508RPV,03/01/2020,Restaurant,Restaurant à thème,Cuisine européenne,A casa Lusitana,,,24 rue d'Espagne,,64200,BIARRITZ,64122,+33 5 59 22 56 99,,,, -1.5649849,43.4759314,Oui,,,,,30,01/01/2020|31/12/2020|||||,"A la carte|13,00|25,00|",Bar,Banquet # Wifi
RESAQU064FS000JR,04/01/2020,Restaurant,Crêperie,Régionale française,A La Bolée,,,10 place pasteur,,64100,BAYONNE,64102,+33 5 59 59 18 75,,alabolee@wanadoo.fr,https://www.alabolee.fr/, -1.4769721,43.4907313,,,,,,46,01/01/2020|31/12/2020|12:00|||22:00|Lundi,"Menu adulte|12,00|16,00|Panier moyen # Menu enfant|7,80||",Terrasse,
RESAQU064FS001J4,08/01/2020,Restaurant,Restaurant traditionnel,Cuisine traditionnelle # Salades,A la bonne Franquette,,,10 avenue de la Gare,,64200,BIARRITZ,64122,+33 5 59 23 49 24,,,, -1.556919,43.478189,Oui,,,,,,01/01/2020|31/12/2020|||||,"A la carte|5,00|15,00|",Terrasse,
RESAQU033V500JP3,13/01/2020,Restaurant,Restaurant traditionnel,Poisson / fruits de mer,A la Bonne Franquette,,,Cabane n°8 Port de Claouey,Claouey,33950,LEGE-CAP-FERRET,33236,+33 5 56 60 72 06,,,, -1.1738061,44.7454167,,,,,,80,01/01/2020|31/12/2020|||||,,,
RESAQU064V573P1G,03/01/2020,Restaurant,Bistrot / bar à vin # Brasserie # Crêperie # Restaurant traditionnel,Burger # Cuisine européenne # Cuisine traditionnelle # Fromagerie # Glaces # Salades # Tapas # Viandes,A la bonne franquette,,,Place camps,,64260,LOUVIE-JUZON,64353,+33 5 59 05 87 40,,,, -0.4191223,43.0864061,Oui,,,,,30,02/01/2020|31/12/2020|||||,"Menu adulte|14,00||Menu du jour",Bar # Terrasse,
RESAQU064V50RZAL,03/01/2020,Restaurant,Cafétéria # Restauration rapide,Cuisine traditionnelle # Glaces # Régionale française # Salades # Tartes # Viandes,A la bonne heure,,,183 boulevard de l'Europe,,64230,LESCAR,64335,+33 5 59 77 81 90,,cafdm173@groupe-casino.fr,, -0.4338621,43.3173898,Oui,,,,,400,01/01/2020|31/12/2020|11:30|14:00|18:30|21:00|Dimanche soir,"Menu adulte|9,99|14,99| # Menu enfant|1,95|3,95|",Climatisation # Parking privé # Terrasse,Banquet # Plats à emporter # Traiteur # Wifi
RESAQU064V5AE0Q6,29/01/2020,Restaurant,Restaurant traditionnel,Cuisine traditionnelle,A la cantine,,,13 Rue des Lisses,,64100,BAYONNE,64102,+33 5 59 59 18 22,,alacantine@hotmail.fr,, -1.471611,43.490564,Oui,,,,,40,||07:00|||17:00|,"A la carte|11,00|16,00| # Menu adulte|11,00|13,00|",Jeux pour enfants # Terrasse,Wifi
RESAQU047V504PY3,03/01/2020,Restaurant,Crêperie,Cuisine traditionnelle # Cuisine végétarienne # Glaces # Régionale française,A la Crêpe Rit,,,18 rue Labat,,47200,MARMANDE,47157,+33 5 53 64 68 28,,contact@alacreperit.fr,https://www.creperie-marmande.fr,0.16637370,44.4966170,Oui,,Sourire du Lot-et-Garonne,,,64,01/01/2020|31/12/2020|12:00|14:00|19:00|22:00|Dimanche - Lundi - Mercredi,A la carte|||Galettes # A la carte|||crêpes # A la carte|||glaces # A la carte|||cidre pression ,Terrasse,Plats à emporter
RESAQU024V50325V,30/01/2020,Restaurant,Brasserie # Restaurant traditionnel,Cuisine traditionnelle # Glaces,A la guinguette du Pont de Vicq,,,,Le Pont de Vicq,24480,LE BUISSON-DE-CADOUIN,24068,+33 5 53 22 04 10,,cfz24@orange.fr,http://www.restaurantbardupontdevicq.com,0.90909850,44.8551472,Oui,,,Les Toques du Périgord,,60,,,Bar # Jeux pour enfants # Parking privé # Terrasse,
RESAQU064FS00092,08/01/2020,Restaurant,Brasserie,Cuisine traditionnelle,A La Maison,,,28 Rue Amédée Roussille,,64000,PAU,64445,+33 5 59 06 85 25,,anna.foncier@wanadoo.fr,http://www.restaurantalamaison.com, -0.3825484,43.2934595,,,,,,90,02/01/2020|31/12/2020|12:00|14:00|19:30|22:00|Dimanche - Lundi,"A la carte|18,00|30,00|",Climatisation # Terrasse,
RESAQU033FS001I7,10/01/2020,Restaurant,Restauration rapide,Glaces # Salades # Sandwichs # Tartes,A la Mie Gourmande,,,26 place de la Prévôté,,33670,CREON,33140,+33 5 56 38 79 05,,rafcherif@hotmail.fr,, -0.3483194,44.7749863,Oui,,,,,26,02/01/2020|31/12/2020|||||,,Terrasse,Panier randonneur # Wifi
RESAQU024FS000D7,03/01/2020,Restaurant,Brasserie # Restaurant traditionnel # Restauration rapide,Glaces # Régionale française # Sandwichs # Tapas,A l'ancre de salut,,,Place du port,,24510,LIMEUIL,24240,+33 5 53 63 39 23,,,http://www.alancredesalut.com/,0.88900421,44.8828346,Oui,,,,,40,,,Bar # Terrasse,Plats à emporter
RESAQU033V50CJTI,03/01/2020,Restaurant,Pizzeria,Cuisine européenne,À l'Eau Tonton Pizza,,,3 avenue de l'Hôtel de Ville,,33450,SAINT-SULPICE-ET-CAMEYRAC,33483,+33 5 56 30 83 42,,contact@aleautontonpizza.com,http://www.aleautontonpizza.com/, -0.3914114,44.9099076,,,,,,,01/01/2020|31/12/2020|||||,"A la carte|6,80|11,90|Pizzas",Parking privé # Terrasse,Plats à emporter
RESAQU024V50731R,31/12/2018,Restaurant,Restauration rapide,Cuisine traditionnelle # Tartes,A l'ombre de l'olivier,,,3 place francheville,,24000,PERIGUEUX,24322,,+33 6 13 43 40 81,,,0.7171484,45.1819428,,,,,,,,,,
RESAQU064V58OW4F,31/12/2018,Restaurant,Restaurant traditionnel,Cuisine traditionnelle,A Table !,,,15 avenue du Rayon Vert ,Chambre d'Amour,64600,ANGLET,64024,+33 5 59 52 45 77,,,https://www.restaurantatableanglet.com, -1.5391485,43.5012640,Oui,,,,,,,,Bar # Terrasse,
RESAQU040V50GJKR,29/01/2020,Restaurant,Restaurant traditionnel,Cuisine traditionnelle,A Tirebeste,,,51 route de Bordeaux,,40230,SAINT-VINCENT-DE-TYROSSE,40284,+33 5 58 35 05 74,,a.tirebeste@orange.fr,, -1.3009072,43.6609372,Oui,,,,,50,01/01/2020|31/12/2020|||||,,Bar # Climatisation # Parking privé # Terrasse,Banquet # Séminaire # Traiteur
RESAQU040V50LQLF,03/01/2020,Restaurant,Bistrot / bar à vin,Tapas,A Voste,,,1 Avenue des Pyrénées,,40330,AMOU,40002,,+33 6 60 50 75 09,baravoste@gmail.com,, -0.747144,43.589752,Oui,,,,,,,,,
RESAQU040V50MHWR,19/01/2020,Restaurant,Restauration rapide,Cuisine des Iles # Salades,Accras Délice,,,1 Place Victor Gentille,,40510,SEIGNOSSE,40296,,,,, -1.4311392,43.7079169,Oui,,,,,,,,,
RESAQU040FS0008D,30/01/2020,Hôtel restaurant,Pizzeria # Restaurant traditionnel,Cuisine traditionnelle,"Acqs Hôtel Restaurant Chez ""Fan""",,,6 avenue de la gare,,40100,DAX,40088,+33 5 58 90 02 62,,acqshotel@gmail.com,, -1.0517628,43.7197794,Oui,,,,,,02/01/2020|30/12/2020|12:00|14:00|19:00|21:00|Dimanche midi,"Menu adulte|15,00|15,00|Menu du jour : entrée + plat + dessert # Menu adulte|19,00|35,00|",Bar # Parking privé # Terrasse,
RESAQU033V50LDES,20/01/2020,Restaurant,Restaurant gastronomique,Cuisine asiatique # Cuisine traditionnelle,Adèle x Maison Darroze,,,Château Malromé,,33490,SAINT-ANDRE-DU-BOIS,33367,+33 5 57 98 38 24,,adele@darroze.com,https://adele.malrome.com/, -0.213018,44.602386,Oui,,,,,,01/01/2020|31/12/2020|||||,"A la carte|8,00|36,00|",Jardin # Terrasse,
RESAQU024V50DRBM,03/01/2020,Restaurant,Restaurant à thème,Cuisine asiatique # Cuisine indienne # Cuisine méditerranéenne,Afghan Tawakal,,,4 Avenue Daumesnil,,24000,PERIGUEUX,24322,,+33 7 67 58 88 16,,,0.72384284,45.1838376,Oui,,,,,,,,,
RESAQU064FS000JS,03/01/2020,Restaurant,Restaurant à thème,Cuisine africaine,Agadir,,,3 rue Sainte Catherine,,64100,BAYONNE,64102,+33 5 59 55 66 56,,,, -1.4691780,43.4957107,,,,,,100,,,Terrasse,Banquet # Séminaire # Traiteur
RESAQU064FS000EB,03/01/2020,Restaurant,Restaurant traditionnel,Cuisine traditionnelle # Poisson / fruits de mer # Régionale française # Tapas # Viandes,Aguerria,,,23 rue de la Glacière,,64700,HENDAYE,64260,+33 5 59 20 04 76,,aguerria@yahoo.fr    ,http://www.restaurant-aguerria.com , -1.7480814,43.3726676,Oui,,,,,500,,,Bar # Jardin # Parking privé # Terrasse,Banquet # Séminaire # Wifi
RESAQU064FS001SP,03/01/2020,Restaurant,Restaurant traditionnel,Nouvelle cuisine française,Ahizpak,,,Avenue de Biarritz,,64210,BIDART,64125,+33 5 59 22 58 81,,,, -1.5741350,43.4516300,,,Restaurant de Qualité,,,,,,Terrasse,
RESAQU064V503AVD,29/01/2020,Restaurant,Restaurant à thème,Burger # Sandwichs,Ailleurs,,,30 avenue Victor Hugo,,64200,BIARRITZ,64122,,+33 6 82 11 84 88,contact@bonheurhamburger.com,http://www.bonheurhamburger.com/ # http://pratique.tourisme64.com/restaurant/biarritz/bonheur/RESAQU064V503AVD.html , -1.5621313,43.4798155,Oui,,,,,,01/01/2020|31/12/2020||||| # ||12:00|15:30|19:00|23:00|,"A la carte|4,00|22,00|",,
RESAQU047FS0005K,03/01/2020,Traiteur (sans restaurant),Restaurant traditionnel,Cuisine bio # Cuisine gastronomique # Cuisine traditionnelle # Régionale française # Viandes,Ajas Traiteur,,,Le bourg,,47380,TOMBEBOEUF,47309,+33 5 53 88 25 28,+33 6 85 59 99 90,yoann@ajas-traiteur.fr,http://www.ajas-traiteur.fr,0.4519499,44.5064287,,,,,,2000,01/01/2020|31/12/2020|||||,,,Banquet # Panier randonneur # Plats à emporter # Séminaire # Traiteur
RESAQU047FS0000S,30/01/2020,Restaurant,Pizzeria # Restaurant traditionnel,Cuisine méditerranéenne # Cuisine traditionnelle,Al Dente,,,11 rue Molinier,,47000,AGEN,47001,+33 5 53 48 03 32,,alexetdelphine@hotmail.fr,,0.6187444,44.2058614,,,,,,36,,"A la carte|11,50|25,00| # Menu adulte|12,00|12,00|Plat du jour # Menu enfant|7,50|7,50| # Menu adulte|18,00|18,00|Formule midi : entrée + plat + dessert",Climatisation # Matériel enfant # Terrasse,Banquet # Plats à emporter
RESAQU024V500KPB,02/01/2018,Restaurant,Restaurant à thème # Restauration rapide,Cuisine méditerranéenne,Al mosaic,,,94 bis avenue du maréchal Juin,,24000,PERIGUEUX,24322,+33 5 53 46 69 20,,,,0.7096356,45.1847943,,,,,,,,,,
RESAQU064V5AEXLZ,03/01/2020,Restaurant,Restaurant traditionnel,Cuisine traditionnelle,Alanvie,,,7 Rue des Mésanges,,64200,BIARRITZ,64122,+33 5 59 56 79 89,,,, -1.538742,43.460674,Oui,,,,,,01/01/2020|31/12/2020|12:00|13:30|||Jeudi après midi - Jeudi matin - Jeudi soir - Lundi après midi - Lundi matin - Lundi soir - Mardi après midi - Mardi matin - Mardi soir - Mercredi après midi - Mercredi matin - Mercredi soir - Vendredi après midi - Vendredi matin - Vendredi soir,"Menu adulte|12,00|14,00|",,
RESAQU064V5058O0,03/01/2020,Restaurant,Restauration rapide,Cuisine traditionnelle,Ali Baba,,,1 rue Sainte Ursule,,64100,BAYONNE,64102,+33 5 59 50 28 92,,,, -1.4707846,43.4960854,Oui,,,,,,,,,Plats à emporter
RESAQU040FS000AF,03/01/2020,Hôtel restaurant,Restaurant traditionnel,Cuisine traditionnelle # Poisson / fruits de mer # Régionale française,Alios ,,,129 avenue de la forêt de Maucor,,40500,BAS-MAUCO,40026,+33 5 58 76 44 00,,info@hotel-alios.com,http://www.hotel-alios.com, -0.5605602,43.7917293,Oui,,,,,150,06/01/2020|31/07/2020||||| # 24/08/2020|18/12/2020|12:00|13:30|19:00|22:00|Dimanche soir - Samedi - Vendredi soir,"Menu adulte|26,00|32,00| # Menu enfant|9,50|12,00| # A la carte|20,00|35,00| # Menu adulte|13,00|13,00|Menu du jour à midi du lundi au vendredi",Bar # Climatisation # Jeux pour enfants # Terrasse,Banquet # Séminaire # Wifi
RESAQU064V5AF4VS,08/01/2020,Restaurant,Restaurant à thème,Cuisine asiatique,Allo Dynastie,,,Avenue Didier Daurat,,64140,LONS,64348,+33 5 59 30 29 49,+33 7 61 59 79 42,,, -0.379806,43.336389,Oui,,,,,,01/01/2020|31/12/2020|12:00|15:00|19:00|23:00|,"Menu adulte|10,60|48,00|",,Commande en ligne # Plats à emporter
RESAQU024V500KRA,01/01/2017,Restaurant,Pizzeria,Cuisine méditerranéenne,Allo pizza les clowns,,,4 cours fénelon,,24000,PERIGUEUX,24322,+33 5 53 35 26 26,,,,0.7199835,45.1820120,,,,,,,,,,
RESAQU064FS000C0,29/01/2020,Restaurant,Restaurant traditionnel,Régionale française,Amarys,,Aéroport de Parme,45 Boulevard Marcel Dassault,,64200,BIARRITZ,64122,+33 5 59 01 04 04,,amarys.biarritz@wanadoo.fr,http://www.amarys-biarritz.com, -1.5441966,43.4636797,Oui,,Maître Restaurateur,,,70,01/01/2020|31/12/2020|||||,"Menu adulte|9,00|14,50|formule express le midi",Parking privé # Terrasse,Wifi
RESAQU040V50NBA4,13/01/2020,Restaurant,Restaurant traditionnel,Cuisine diététique,AmaZone Café,,Centre Commercial les Gourbets,4 Avenue de l'Océan,,40660,MOLIETS-ET-MAA,40187,+33 5 40 77 18 34,,,https://amazonecafe.com, -1.3862873,43.8514095,Oui,,,,,,01/01/2020|31/12/2020|||||,,Terrasse,
RESAQU033FS000NJ,03/01/2020,Restaurant,Bistrot / bar à vin # Brasserie # Restaurant traditionnel,Cuisine traditionnelle,Amelia Canta,,,2 place de l'Eglise Monolithe,,33330,SAINT-EMILION,33394,+33 5 57 74 48 03,,ameliacanta@orange.fr,http://www.ameliacanta.com, -0.1560159,44.8933305,Oui,,Vignobles et découvertes,,,260,01/01/2020|31/12/2020|||||,"A la carte|4,00||Vin au verre # A la carte|12,00||Bouteille de vin # Menu adulte|15,00||",Climatisation # Matériel enfant # Terrasse,Séminaire # Wifi
RESAQU064V50ECM9,21/01/2020,Restaurant,Restauration rapide,Tapas,Amuse Gueule (L'),,,Halles Centralles,,64200,BIARRITZ,64122,+33 8 99 23 59 91,,,, -1.5586260,43.4831519,,,,,,,01/01/2020|31/12/2020|||||,"A la carte|1,50|12,00|",,
RESAQU024V503I1N,23/01/2020,Restaurant,Restaurant à thème,Cuisine sud-américaine # Poisson / fruits de mer,Andine,,,Place Gambetta,,24500,EYMET,24167,+33 9 81 18 33 41,,andine.eymet@gmail.com,http://www.andine.eu,0.39655299,44.6672364,Oui,,,,,45,,"Menu adulte|||Plat du jour # Menu adulte|||Plat + dessert # Menu adulte|||prix moyen du repas à la carte # Menu enfant|||jusqu'à 10 ans - filet de poisson croustillant, frites, glace",Climatisation # Terrasse,Plats à emporter # Wifi
RESAQU064FS0015U,03/01/2020,Restaurant,Restaurant à thème,Cuisine asiatique,Andong Meas,,,7 rue de Foix,,64000,PAU,64445,+33 5 59 27 75 15,,,, -0.3720896,43.2949280,,,,,,36,02/01/2020|31/12/2020|12:00|13:30|19:00|22:00|Lundi,"Menu adulte|15,00|25,00|",,
RESAQU024V500KW3,01/01/2017,Restaurant,Pizzeria # Restauration rapide,Salades,Appel pizza,,,48 rue chanzy,,24000,PERIGUEUX,24322,+33 5 53 07 61 69,,,,0.7107407,45.1844039,,,,,,,,,,
RESAQU033V50HUIB,03/01/2020,Restauration ambulante / Vente à emporter ,Pizzeria,Cuisine européenne,Appia Pizza,Parking Intermarché,,Pont de Rose,,33550,LANGOIRAN,33226,+33 5 56 67 29 90,,,http://www.appia-pizza.fr/, -0.3949920,44.712836,Oui,,,,,,01/01/2020|31/12/2020|||||,"A la carte|9,00|17,50|",,
RESAQU040V505RN0,03/01/2020,Restauration ambulante / Vente à emporter ,Pizzeria # Restauration rapide,Cuisine traditionnelle,Arènes Pizza,,,135 impasse des arènes,,40260,CASTETS,40075,+33 5 58 90 86 74,+33 6 30 19 00 04,francoise.attalin@orange.fr,, -1.1391767,43.8833888,Oui,,,,,,01/01/2020|31/12/2020|||||,,,
RESAQU024V5004XC,03/01/2020,Restaurant,Restaurant à thème,Poisson / fruits de mer,Arêtes et Vous,,,15 rue Mounet Sully,,24100,BERGERAC,24037,+33 5 53 24 35 46,,accueil@gentilhommiere-etincelles.com,,0.48247739,44.8531379,Oui,,,,,28,,"Menu adulte||| menu confiance - 4 plats (37€)formule déjeuner 14,50-17 euros # Menu enfant|||jusqu'à 9 ans",Terrasse,
RESAQU047V50E16C,03/01/2020,Restaurant,Restaurant traditionnel,Nouvelle cuisine française,Arôme,,,46 Rue Molinier,,47000,AGEN,47001,+33 5 53 86 31 80,,,,0.620222,44.206043,Oui,,,,,33,01/01/2020|31/12/2020|12:00|14:00|19:30|21:30|Lundi - Mardi,"A la carte|15,00|20,00|le midi # A la carte|30,00|35,00|le soir",Climatisation # Terrasse,Wifi
RESAQU064V505P6X,03/01/2020,Restaurant,Restaurant gastronomique,Cuisine gastronomique,Arraditz,,,2 rue cachau,,64230,LESCAR,64335,+33 5 59 32 31 40,,contact@arraditz.com,http://www.arraditz.com, -0.4369358,43.3325426,Oui,,Restaurant de Qualité,,,80,01/01/2020|31/12/2020|12:00|14:30|20:00|21:30|Dimanche soir - Lundi - Mardi,"Menu adulte|24,00|68,00| # A la carte|18,00|29,00|",Climatisation # Parking privé # Terrasse,Banquet # Séminaire # Wifi
RESAQU064V502H5T,30/01/2019,Restaurant,Restaurant traditionnel,Cuisine traditionnelle # Tapas,"Arrain Bela, Le Poisson à Voile",,,118 avenue de l'Adour,Port de plaisance,64600,ANGLET,64024,+33 5 59 29 63 39,,,, -1.5079949,43.5249108,Oui,,,,,,,,Bar # Terrasse,
RESAQU064FS000FM,03/01/2020,Restaurant,Restaurant traditionnel,Cuisine traditionnelle # Régionale française,Arraina,,,39 boulevard du Cdt Passicot,,64500,CIBOURE,64189,+33 5 59 47 98 60,,marieduran@live.fr,, -1.6850119,43.3934751,Oui,,,,,60,,,Terrasse,Banquet # Séminaire
RESAQU064FS000WR,03/01/2020,Restaurant,Restaurant traditionnel,Cuisine traditionnelle # Poisson / fruits de mer,Arrantzaleak,,,18 avenue Jean Poulou,,64500,CIBOURE,64189,+33 5 59 47 10 75,,,, -1.6637268,43.3832331,Oui,,,,,130,,,Bar,Banquet # Plats à emporter # Séminaire
