Hébergements collectifs,,,,,,,,
Code : HCO ou HCOLL,,,,,,,,
,,,,,,,,
Jeux de données,,Adresse de la syndication,,,Remarques,,,
Accueil,Ouverture accueil,Date début en n + date fin en n + heure ouverture 1 + heure fermeture 1 + heure ouverture 2 + heure fermeture 2 + jours fermeture,OUVERTURE,"Date d’ouverture et date de fermeture (au format jj/mm/aaaa),heure d’ouverture 1, heure de fermeture 1, heure d’ouverture 2 et heure de fermeture 2 (au format hh:mm) et  jours de fermeture  séparés par |, chaque période d’ouverture étant séparée par #",,,,
Accueil,Accessible aux personnes à mobilité réduite,Accessible aux personnes à mobilité réduite,ACCES_HANDI,Champ Oui/Non,,,,
Accueil,Label tourisme et handicap,Label tourisme et handicap,HANDICAP_LABEL,Liste d’items séparés par #,,,,
Accueil,Animaux bienvenus,Animaux bienvenus,ANIMAUX,Champ Oui/Non,,,,
Accueil,Langues parlées,Langues parlées,LANG_PARLE,Liste d’items séparés par #,,,,
Accueil,Réception de groupes,Groupes acceptés,GROUPE,Champ Oui/Non,,,,
Accueil,Réception de groupes,Nombre de personnes min,GROUPE_MIN,Champ numérique,,,,
Accueil,Réception de groupes,Nombre de personnes max,GROUPE_MAX,Champ numérique,,,,
Accueil,Réception de groupes,Parking autocars,GROUPE_AUTOCAR,Champ Oui/Non,,,,
Tarifs,Mode de paiement,Mode de paiement,MOD_PAIEMENT,Liste d’items séparés par #,,,,
Tarifs,Tarifs,Intitulé tarif + Tarif min + Tarif max + Complément tarif,TARIFS,"Intitulé du tarif, tarif minimum et maximum, Complément d'information séparés par |, chaque ligne étant séparée par #",,,,
Descriptif,Type de logements,Type de logements,TYPE_LOGEMENTS,Liste d’items séparés par #,,,,
Descriptif,Formule d'hébergement,Formule d'hébergement,FORMULE_HEB,Liste d’items séparés par #,,,,
Descriptif,Capacité de l'hébergement collectif,Nombre total de lits,NBRE_LITS,Champ numérique,,,,
Descriptif,Capacité de l'hébergement collectif,Nombre total de logements,NBRE_LOGEMENTS,Champ numérique,,,,
Descriptif,Confort des logements,Confort des logements,CONFORT,Liste d’items séparés par #,,,,
Equipements / Services / Activités,Equipements,Equipements,EQUIP,Liste d’items séparés par #,,,,
Equipements / Services / Activités,Services,Services,SERVICES,Liste d’items séparés par #,,,,
Equipements / Services / Activités,Activités sur place,Activités sur place,ACTIV_PLACE,Liste d’items séparés par #,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Valeurs des champs listes :,,,,,,,,
Type d'hébergement,"Accueil pélerins, Auberge de jeunesse, Centre de vacances (colonies), Centre d'accueil de groupes, Gîte de groupe / séjour, Gîte d'enfants, Centre international de séjour, Gîte d'étape, Maison Familiale de vacances, Refuge classé gardé",,,,,,,
Marques et labels,"Bienvenue à la Ferme, Famille Plus, FOL, Accueil Vélo, Ethic étapes, Gîtes de France, Fédération des Relais d'Etape de Tourisme Equestre (FRETE), Loisirs de France, Eco-label Européen, Qualité Tourisme, FUAJ, Rando Gîte, La Clef Verte, Hébergement pêche, UCPA, Rando Plume, Rando 64, Velo 64, UCRIF, Cheval 64, Sourire du Lot-et-Garonne, Rando Accueil, Pêche, Vélodyssée",,,,,,,
Classement label,"1 épi, 2 épis, 3 épis, 4 épis, 5 épis, En cours de labellisation",,,,,,,
Tarifs,"Nuitée, Tarif petit-déjeuner, Participation libre, Semaine, Autre tarif",,,,,,,
Type de logements,"Chambre 2 places, Chambres avec salle d'eau, Dortoirs, Chambre 4 places, Chambre individuelle, Hébergements sous toile, Chambre 6 places, Chambres pour personnes à mobilité réduite, Studios, Chambres avec coin cuisine",,,,,,,
Formule d'hébergement,"1/2 pension, Nuit, Stage / séjour à thème, Gestion libre, Pension complète, Week-end",,,,,,,
Confort des logements,"Balcon, Climatisation, Terrasse privative, Chauffage, Télévision, Wifi",,,,,,,
Equipements,"Aire de jeux enfants, Barbecue, Boulodrome, Cheminée, Cuisine à disposition, Equipements enfants (lits, chaises), Garage privé, Hammam, Jardin, Jeux pour enfants / Ludothèque, Lave linge collectif, Local matériel fermé, Matériel de sport, Parking privé, Piscine, Restauration, Salle de sport, Salon de jardin, Salon de télévision, Sauna, Sèche linge collectif, Spa / Jacuzzi, Tennis, Terrain de sports",,,,,,,
Services,"Alimentation/Point alimentation, Draps et linges compris, Location de linge, Location de matériel de sport, Navette vers activités annexes, Nettoyage / ménage, Paniers Pique-nique, Point wifi",,,,,,,
Activités sur place,"Animations, Pêche, Ski, Canoë / eau vive, Golf, Plage surveillée, Surf, Équitation, Randonnée pédestre, Voile, Excursions, Remise en forme, VTT - Vélo",,,,,,,
