"Hébergements locatifs (meublés, chambres d'hôtes)",,,,,,,,
Code : HLO,,,,,,,,
,,,,,,,,
Accueil,Ouverture accueil,Date début en n + date fin en n + heure ouverture 1 + heure fermeture 1 + heure ouverture 2 + heure fermeture 2 + jours fermeture,OUVERTURE,"Date d’ouverture et date de fermeture (au format jj/mm/aaaa),heure d’ouverture 1, heure de fermeture 1, heure d’ouverture 2 et heure de fermeture 2 (au format hh:mm) et  jours de fermeture  séparés par |, chaque période d’ouverture étant séparée par #",,,,
Accueil,Accessible aux personnes à mobilité réduite,Accessible aux personnes à mobilité réduite,ACCES_HANDI,Champ Oui/Non,,,,
Accueil,Label tourisme et handicap,Label tourisme et handicap,HANDICAP_LABEL,Liste d’items séparés par #,,,,
Accueil,Animaux bienvenus,Animaux bienvenus,ANIMAUX,Champ Oui/Non,,,,
Accueil,Langues parlées,Langues parlées,LANG_PARLE,Liste d’items séparés par #,,,,
Tarifs,Mode de paiement,Mode de paiement,MOD_PAIEMENT,Liste d’items séparés par #,,,,
Tarifs,Tarifs,Intitulé tarif + Tarif min + Tarif max + Complément tarif,TARIFS,"Intitulé du tarif, tarif minimum et maximum, Complément d'information séparés par |, chaque ligne étant séparée par #",,,,
Descriptif ,Capacité hébergement,Capacité maximum,CAPA_MAX,Champ numérique,,,,
Descriptif ,Capacité hébergement,Capacité classée,CAPA_CLAS,Champ numérique,,,,
Descriptif ,Capacité hébergement,Nombre de chambres,NBRE_CHAMB,Champ numérique,,,,
Descriptif ,Capacité hébergement,Nombre de lits maximum,NBRE_LITS,Champ numérique,,,,
Descriptif ,Capacité hébergement,Surface,SUPERF,Champ numérique,,,,
Descriptif ,Capacité hébergement,Nombre de chambres pour personne à mobilité réduite,NBRE_CHAMB_PMR,Champ numérique,,,,
Descriptif ,Type d'habitation,Type d'habitation,HAB_TYPE,Liste d’items séparés par #,,,,
Descriptif ,Descriptif habitation,Descriptif habitation,HAB_DESCRIPTIF,Liste d’items séparés par #,,,,
Descriptif ,Descriptif confort,Descriptif confort,CONFORT,Liste d’items séparés par #,,,,
Equipements / Services / Activités,Equipements de plein air,Equipements de plein air,EQUIP,Liste d’items séparés par #,,,,
Equipements / Services / Activités,Services,Services,SERVICES,Liste d’items séparés par #,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Valeurs des champs listes :,,,,,,,,
Type d'hébergement,"Chambres d'hôtes, Meublés",,,,,,,
Classement,"1 étoile, 2 étoiles, 3 étoiles, 4 étoiles, 5 étoiles, Non classé",,,,,,,
Marques et labels,"Accueil Paysan, Accueil Vélo, Best Of, Bienvenue à la Ferme, Cheval 64, Clair de Lune, Clévacances, Eco-label Européen, Famille Plus, Fédération des Relais d'Etape de Tourisme Equestre (FRETE), Fleurs de Soleil, Forme en ferme, Gîtes de France, Hébergement pêche, La Clef Verte, Naturellement Bassin, Pêche, Qualité tourisme, Rando 64, Rando Accueil, Rando Gîte, Roulottes de Campagne, Sourire du Lot-et-Garonne, Velo 64, Vélodyssée, Vignobles et Chais en Bordelais, Non labellisé",,,,,,,
Classement label,"1 clé, 1 épi, 2 clés, 2 épis, 3 clés, 3 épis, 4 clés, 4 épis, 5 clés, 5 épis, City break Confort, City break Luxury, City break Premium, En cours de labellisation",,,,,,,
Thème,"Bienvenue aux motards, Charme Gîtes de France, Clévacances affaires, Clévacances Bacchus, Clévacances environnement, Clévacances Insolite, Clévacances pêche, Clévacances Thermalisme et Bien-Etre, Ecogîte, Gîte au Château, Gîte écocitoyen, Gîtes Bébé, Gîtes Côté Jardin, Gîtes de France vignoble, Gîtes de neige, Gîtes de pêche, Gîtes de Prestige, Gîtes et Cheval, Gîtes et Vélo, Gîtes forestiers, Gîtes jacquaires, Gîtes Nature, Gîtes Panda, Hébergement à la ferme, Séjour bien-être, Taste vin",,,,,,,
Type de réservation,"Centrale de réservation, Réservation directe, Agence réceptive, Agence immobilière",,,,,,,
Type d'habitation,"Appartement, Cabane dans les arbres, Bungalow, Chalet, Châteaux et demeures de prestige, Maison, Hébergement insolite, Péniche, Roulotte, Yourte, Tipi",,,,,,,
Descriptif habitation,"A proximité propriétaire, Abri couvert, Ascenseur, Balcon, Barbecue, Climatisation, Coin cuisine à disposition (chambre d'hôtes), Cour, Cuisine, Cuisine américaine, Dans maison, Dans résidence, Dans village de gîtes, Entrée indépendante, Etage, Garage, Habitation indépendante, Jardin commun, Jardin privé, Kitchenette, Local pour matériel de sport, Mitoyen locataire, Mitoyen propriétaire, Parking, Parking à proximité, Plain Pied, Plancha, Salle de bains avec baignoire, Salle de bains avec douche, Salle de bains avec douche et baignoire, Salle de bains commune, Salle de bains privée, Salle d'eau commune, Salle d'eau privée, Salon, Salon de jardin, Séjour, Studio, Sur une exploitation agricole, Sur une exploitation viticole, T1, T2, T3, T4, T5 et plus, Terrain clos, Terrain non clos, Terrasse, Véranda, WC communs, WC indépendants, WC privés",,,,,,,
Descriptif confort,"Accès Internet, Câble / satellite, Canal +, Chaîne Hifi, Chauffage, Cheminée, Combiné congélation, Congélateur, Four, Four à micro ondes, Hammam, Lave linge collectif, Lave linge privatif, Lave vaisselle, Lit bébé, Matériel enfant, Poêle à bois, Réfrigérateur, Sauna, Sèche linge collectif, Sèche linge privatif, Spa / Jacuzzi, Télévision, Wifi",,,,,,,
Tarifs,"Nuitée, 1 personne (chambres d'hôtes), 2 personnes (chambres d'hôtes), 3 personnes (chambres d'hôtes), 4 personnes (chambres d'hôtes), Personne supplémentaire (chambres d'hôtes), Repas (chambres d’hôtes), Demi-Pension (chambre d'hôtes), Pension complète, Week-end (meublé), Week-end basse saison, Week-end moyenne saison, Week-end haute saison, Week-end très haute saison, Semaine (meublé), Semaine basse saison, Semaine moyenne saison, Semaine haute saison, Semaine très haute saison, Quinzaine (meublé), Quinzaine basse saison, Quinzaine moyenne saison, Quinzaine haute saison, Quinzaine très haute saison, Trois semaines basse saison, Trois semaines moyenne saison, Trois semaines haute saison, Nettoyage/ménage, Location de linge",,,,,,,
Equipements de plein air,"Fronton /Pelote basque, Matériel de sport, Piscine partagée, Piscine privative, Tennis",,,,,,,
Services,"Baby sitting, Draps et linge compris, Location de linge, Nettoyage / ménage, Prêt de vélos, Table d'hôtes",,,,,,,
