typologie;spécialité;FINESS;nom;"type handicap principal";adresse;CP;commune;"commune (COG)";département;région;"région (COG)";"longitude (X)";"latitude (Y)";marker-url;marker-size
Etablissement;"Centre d'action médico-sociale précoce";690794771;"Centre d'action médico-sociale précoce pour déficients auditifs de Villeurbanne";"Handicap auditif";"158 rue du 4 août 1789";69100;Villeurbanne;69266;Rhône;Auvergne-Rhône-Alpes;84;4.8917577;45.764585;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Centre d'action médico-sociale précoce";370004970;"Centre d'action médico-sociale précoce spécialisé, département d'audiophonologie";"Handicap auditif";"16 rue de la Pierre";37100;Tours;37261;Indre-et-Loire;"Centre-Val de Loire";24;0.68923002481461;47.390441894531;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";730780392;"Centre d'éducation motrice Accueil Savoie Handicap";"Handicap moteur";"L'accueil Savoie Handicap";73232;Saint-Alban-Leysse;73222;Savoie;Auvergne-Rhône-Alpes;84;5.9640998840332;45.575939178467;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";480780048;"Centre d'éducation motrice de Montrodat";"Handicap moteur";Vimenet;48100;Montrodat;48103;Lozère;Occitanie;76;3.3304400444031;44.549819946289;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";970463667;"Centre d'éducation motrice Sainte Suzanne";"Handicap moteur";"10 rue du Centre Radio Bel Air";97400;Saint-Denis;97411;"La Réunion";"La Réunion";4;;;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";620100230;"Centre d'éducation pour jeunes sourds";"Handicap auditif";"10 rue des Augustines";62008;Arras;62041;Pas-de-Calais;Hauts-de-France;32;2.7740499973297;50.289699554443;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";750824534;"Centre d'éducation spécialisée pour déficients auditifs Augustin Grosselin";"Handicap auditif";"5-15 rue Olivier Noyer";75013;Paris;75100;Paris;Ile-de-France;11;2.3666000366211;48.82740020752;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";340781095;"Centre d'éducation spécialisée pour déficients auditifs de l'Hérault";"Handicap auditif";"14 rue Saint-Vincent de Paul";34090;Montpellier;34172;Hérault;Occitanie;76;;;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";860791334;"Centre d'éducation spécialisée pour enfants sourds-aveugles et sourds-malvoyants";"Handicap auditif";"116 avenue de la Libération";86000;Poitiers;86194;Vienne;Nouvelle-Aquitaine;75;0.32199;46.56909;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";200004733;"Centre de déficients auditifs et visuels la Citadelle";"Handicap auditif";"Ecole du Chiostru";20200;Bastia;2B033;Haute-Corse;Corse;94;9.4508800506592;42.702201843262;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";290000975;"Centre de Perharidy";"Handicap moteur";"presqu'île de Perharidy";29684;Roscoff;29239;Finistère;Bretagne;53;-3.9851191043854;48.718318939209;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement de santé";600100309;"Centre de réadaptation pour enfants de Larmolaye";"Handicap moteur";"avenue Jacqueline Mallet Bois-Larris";60260;Lamorlaye;60346;Oise;Hauts-de-France;32;2.4460799694061;49.157348632812;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";760782797;"Centre de rééducation de l'ouïe et la parole Ronsard";"Handicap auditif";"68 avenue Maurice Pimont";76072;"Le Havre";76351;Seine-Maritime;Normandie;28;0.10155999660492;49.493419647217;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";630780542;"Centre de rééducation pour déficients visuels de Clermont-Ferrand";"Handicap visuel";"30 rue Sainte-Rose";63000;Clermont-Ferrand;63113;Puy-de-Dôme;Auvergne-Rhône-Alpes;84;3.0823900699616;45.776931762695;http://opendata.onisep.fr/uploads/Image/28/53_852_picto_handicap_visuel.png;[32,32]
Etablissement;"Etablissement médicosocial";220000491;"Centre éducatif rural pour aveugles et déficients visuels de Plenée-Jugon";"Handicap visuel";"la Villeneuve Sainte-Odile";22640;Plenée-Jugon;22185;Côtes-d'Armor;Bretagne;53;-2.4002690315247;48.364719390869;http://opendata.onisep.fr/uploads/Image/28/53_852_picto_handicap_visuel.png;[32,32]
Etablissement;"Institut médico-éducatif";170022941;"Centre Hélio-Marin de Saint-Trojan-les-Bains, secteur enfance handicapée";"Handicap moteur";"19 boulevard Félix Faure";17370;Saint-Trojan-les-Bains;17411;Charente-Maritime;Nouvelle-Aquitaine;75;-1.200739979744;45.833881378174;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";350005138;"Centre Kerveiza";"Handicap auditif";"1 rue Louvain";35703;Rennes;35238;Ille-et-Vilaine;Bretagne;53;-1.6792999505997;48.111358642578;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";350002234;"Centre médical et pédagogique de Rennes";"Handicap moteur";"41 avenue des Buttes-de-Coësmes";35700;Rennes;35238;Ille-et-Vilaine;Bretagne;53;-1.6792999505997;48.111358642578;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement de santé";690000427;"Centre médico-chirurgical de réadaptation des Massues";"Handicap moteur";"92 rue du Docteur Edmond Locard";69322;Lyon;69380;Rhône;Auvergne-Rhône-Alpes;84;4.8014001846314;45.755401611328;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";310014329;"Centre médico-social André Mathis";"Handicap visuel";"13 rue Romain Rolland";31800;Saint-Gaudens;31483;Haute-Garonne;Occitanie;76;0.7285399;43.1180668;http://opendata.onisep.fr/uploads/Image/28/53_852_picto_handicap_visuel.png;[32,32]
Etablissement;"Etablissement médicosocial";670780279;"Centre pour déficients sensoriels Jacoutôt";"Handicap auditif";"80 avenue du Neuhof";67100;Strasbourg;67482;Bas-Rhin;Grand-Est;44;7.766900062561;48.558700561523;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";330783788;"Centre régional Alfred Peyrelongue";"Handicap visuel";"12 rue Alfred de Musset";33565;Carbon-Blanc;33096;Gironde;Nouvelle-Aquitaine;75;-0.50619000196457;44.893989562988;http://opendata.onisep.fr/uploads/Image/28/53_852_picto_handicap_visuel.png;[32,32]
Etablissement;"Etablissement médicosocial";310781059;"Centre spécialisé d'enseignement secondaire Jean Lagarde";"Handicap moteur";"1 avenue Tolosane";31520;Ramonville-Saint-Agne;31446;Haute-Garonne;Occitanie;76;1.4750699996948;43.546211242676;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";910700624;"Centre surdité langage Albert Camus";"Handicap auditif";"allée de Nancy";91300;Massy;91377;Essonne;Ile-de-France;11;2.2720799446106;48.730529785156;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Service;"service d'éducation spéciale et de soins à domicile";190002774;"Equipe d'éducation spécialisée et de soins à domicile de Brive-la-Gaillarde";"Handicap moteur";"13 rue Emile Duclaux";19100;Brive-la-Gaillarde;19031;Corrèze;Nouvelle-Aquitaine;75;1.49803;45.14953;http://opendata.onisep.fr/uploads/Image/58/55_831_picto_handicap_moteur_inverse.png;[32,32]
Service;"service d'éducation spéciale et de soins à domicile";190002782;"Equipe d'éducation spécialisée et de soins à domicile de Tulle-Ussel";"Handicap moteur";"rue de l'Abbé Lair";19000;Tulle;19272;Corrèze;Nouvelle-Aquitaine;75;1.764;45.26152;http://opendata.onisep.fr/uploads/Image/58/55_831_picto_handicap_moteur_inverse.png;[32,32]
Etablissement;"Etablissement médicosocial";910805076;"Etablissement intégré Jean-Charles Gatinot";"Handicap auditif";"place Joffre";91230;Montgeron;91421;Essonne;Ile-de-France;11;2.4598999023438;48.704460144043;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";310025879;"Etablissement pour enfants et adolescents polyhandicapés";"Handicap moteur";"26 avenue Tolosane";31520;Ramonville-Saint-Agne;31446;Haute-Garonne;Occitanie;76;1.47212;43.54831;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement de santé";750810384;"Hôpital de jour Georges Vacola";"Handicap auditif";"44 quai de la Loire";75019;Paris;75100;Paris;Ile-de-France;11;2.3910999298096;48.882598876953;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";280505611;"Institut André Beulé";"Handicap auditif";"1 bis rue Mauté Lelasseux";28400;Nogent-le-Rotrou;28280;Eure-et-Loir;"Centre-Val de Loire";24;0.81854581832886;48.317022901006;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";440029890;"Institut d'éducation auditive la Durantière";"Handicap auditif";"17 rue Baptiste Marcet";44100;Nantes;44109;Loire-Atlantique;"Pays de la Loire";52;-1.6097999811173;47.202098846435;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";590780136;"Institut d'éducation motrice Amédée Fougerousse";"Handicap moteur";"132 avenue d'Alsace-Lorraine";59500;Douai;59178;Nord;Hauts-de-France;32;3.0807800292969;50.367938995361;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";380000497;"Institut d'éducation motrice d'Eybens";"Handicap moteur";"3 rue de l'Industrie";38320;Eybens;38158;Isère;Auvergne-Rhône-Alpes;84;5.7494301795959;45.147171020508;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";620101139;"Institut d'éducation motrice de Béthune";"Handicap moteur";"71 place Sévigné";62400;Béthune;62119;Pas-de-Calais;Hauts-de-France;32;2.6382999420166;50.530529022217;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";820000107;"Institut d'éducation motrice de Fonneuve - Centre Fonneuve";"Handicap moteur";"2551 route de la Vitarelle";82000;Montauban;82121;Tarn-et-Garonne;Occitanie;76;1.3943105;44.0544369;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";570005082;"Institut d'éducation motrice de Moselle";"Handicap moteur";"6 rue Royal Canadian Air Force";57530;Ars-Laquenexy;57031;Moselle;Grand-Est;44;6.1959306;49.1098947;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";500021803;"Institut d'éducation motrice de Saint-Lô";"Handicap moteur";"30 rue François 1er";50006;Saint-Lô;50502;Manche;Normandie;28;-1.0828136;49.1154686;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";490000551;"Institut d'éducation motrice de Trélazé";"Handicap moteur";"La Guiberdière";4980;Trélazé;49353;Maine-et-Loire;"Pays de la Loire";52;-0.46674001216888;47.44554901123;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";590784799;"Institut d'éducation motrice du Bord de Lys";"Handicap moteur";"87 rue Lutun";59116;Houplines;59317;Nord;Hauts-de-France;32;2.9188871;50.7002335;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";640780771;"Institut d'éducation motrice du centre d'Hérauritz";"Handicap moteur";"quartier Hérauritz";64480;Ustaritz;64547;Pyrénées-Atlantiques;Nouvelle-Aquitaine;75;-1.4589099884033;43.398258209229;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";380780791;"Institut d'éducation motrice et de formation professionnelle du Chevalon de Voreppe";"Handicap moteur";"100 chemin de Malsouche";38340;Voreppe;38565;Isère;Auvergne-Rhône-Alpes;84;5.6423301696777;45.287651062012;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";660786880;"Institut d'éducation motrice Galaxie";"Handicap moteur";"157 avenue Charlemagne";66700;Argelès-sur-Mer;66008;Pyrénées-Orientales;Occitanie;76;3.0320183;42.5496867;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";870000148;"Institut d'éducation motrice Gervais de Lafond";"Handicap moteur";"23 avenue de la Gare";87270;Couzeix;87050;Haute-Vienne;Nouvelle-Aquitaine;75;1.2382199764252;45.872680664062;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";590788824;"Institut d'éducation motrice Jules Ferry";"Handicap moteur";"40 rue de Rivoli";59007;Lille;59350;Nord;Hauts-de-France;32;3.0922497;50.6360023;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";440000768;"Institut d'éducation motrice la Durantière";"Handicap moteur";"17 rue Baptiste Marcel";44100;Nantes;44109;Loire-Atlantique;"Pays de la Loire";52;-1.6097999811173;47.202098846435;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";270013568;"Institut d'éducation motrice la Source de Vernon";"Handicap moteur";"76 rue Bizzy";27200;Vernon;27681;Eure;Normandie;28;1.4690400362015;49.090919494629;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";910700012;"Institut d'éducation motrice le Petit Tremblay";"Handicap moteur";"14 rue Antonio Vivaldi";91280;Saint-Pierre-du-Perray;91573;Essonne;Ile-de-France;11;2.511453;48.6128108;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";420782393;"Institut d'éducation motrice les Combes de la Grange";"Handicap moteur";"rue des combes";42500;"Le Chambon-Feugerolles";42044;Loire;Auvergne-Rhône-Alpes;84;;;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";490542974;"Institut d'éducation motrice Les Tournesols";"Handicap moteur";"114 rue de la Chalouere";49000;Angers;49007;Maine-et-Loire;"Pays de la Loire";52;-0.5350969;47.4830055;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";830215810;"Institut d'éducation motrice Olbia";"Handicap moteur";l'Almanarre;83407;Hyères;83069;Var;"Provence-Alpes-Côte d'Azur";93;6.1319198608398;43.120861053467;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";310782602;"Institut d'éducation motrice Pierre Froment";"Handicap moteur";"5 bis rue du Bac";31520;Ramonville-Saint-Agne;31446;Haute-Garonne;Occitanie;76;1.4750699996948;43.546211242676;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";900000118;"Institut d'éducation motrice Thérèse Bonnaymé, annexe de Belfort";"Handicap moteur";"rue Moppert";90000;Belfort;90010;Territoire-de-Belfort;Bourgogne-Franche-Comté;27;6.8583;47.6422;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";030786289;"Institut d'éducation motrice Thésée";"Handicap moteur";"73 route de Saulcet";3500;Saint-Pourçain-sur-Sioule;03254;Allier;Auvergne-Rhône-Alpes;84;3.2912399768829;46.308540344238;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";100007228;"Institut d'éducation sensorielle Chanteloup";"Handicap auditif";"11 rue de Chanteloup";10300;Sainte-Savine;10362;Aube;Grand-Est;44;4.04984998703;48.293418884277;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";060799707;"Institut d'éducation sensorielle Clément Ader";"Handicap visuel";"2 boulevard des Deux Corniches";6300;Nice;06088;Alpes-Maritimes;"Provence-Alpes-Côte d'Azur";93;7.2722101211548;43.6989402771;http://opendata.onisep.fr/uploads/Image/28/53_852_picto_handicap_visuel.png;[32,32]
Etablissement;"Etablissement médicosocial";570004804;"Institut d'éducation sensorielle de Metz, antenne de Thionville";"Handicap auditif";"24 boucle de la Milliaire";57100;Thionville;57672;Moselle;Grand-Est;44;6.1536898612976;49.356468200684;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";970463154;"Institut d'éducation sensorielle la Ressource";"Handicap auditif";"44 rue de l'Abbé Pierre";97438;Sainte-Marie;97418;"La Réunion";"La Réunion";4;55.54999923706;-20.88330078125;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";440029700;"Institut d'éducation visuelle la Durantière";"Handicap visuel";"17 rue Baptiste Marcet";44000;Nantes;44109;Loire-Atlantique;"Pays de la Loire";52;-1.6097999811173;47.202098846435;http://opendata.onisep.fr/uploads/Image/28/53_852_picto_handicap_visuel.png;[32,32]
Etablissement;"Etablissement médicosocial";370000366;"Institut de rééducation et d'éducation pour la communication, l'ouie et la vue Beau Site";"Handicap auditif";"31 rue de la Loire";37075;Tours;37261;Indre-et-Loire;"Centre-Val de Loire";24;0.68923002481461;47.390441894531;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";130783483;"Institut l'Arc en Ciel";"Handicap visuel";"8 montée de l'Oratoire";13007;Marseille;13200;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";93;5.3689999580383;43.289501190185;http://opendata.onisep.fr/uploads/Image/28/53_852_picto_handicap_visuel.png;[32,32]
Etablissement;"Institut médico-éducatif";840000152;"Institut médico-éducatif départemental du Vaucluse";"Handicap moteur";"923 route de la maison d'enfants";84800;L'Isle-sur-la-Sorgue;84054;Vaucluse;"Provence-Alpes-Côte d'Azur";93;5.0749362;43.9367777;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";500000328;"Institut médico-éducatif Henri Wallon";"Handicap moteur";"198 rue St Pierre et Miquelon";50400;Granville;50218;Manche;Normandie;28;-1.5668101;48.8349383;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";910018472;"Institut médico-éducatif Jean-Paul";"Handicap visuel";"29 allée Boissy d'Anglas";91000;Evry-Courcouronnes;91228;Essonne;Ile-de-France;11;2.4307301044464;48.622741699219;http://opendata.onisep.fr/uploads/Image/28/53_852_picto_handicap_visuel.png;[32,32]
Etablissement;"Etablissement médicosocial";590784989;"Institut médico-éducatif la Pépinière";"Handicap visuel";"1 allée André Glatigny";59120;Loos;59360;Nord;Hauts-de-France;32;3.0146899223328;50.614910125732;http://opendata.onisep.fr/uploads/Image/28/53_852_picto_handicap_visuel.png;[32,32]
Etablissement;"Etablissement médicosocial";910700400;"Institut médicoprofessionnel Valentin Haüy";"Handicap visuel";"30 avenue Mazarin";91380;Chilly-Mazarin;91161;Essonne;Ile-de-France;11;2.3137099742889;48.701850891113;http://opendata.onisep.fr/uploads/Image/28/53_852_picto_handicap_visuel.png;[32,32]
Etablissement;"Etablissement médicosocial";510000300;"Institut Michel Fandre";"Handicap visuel";"51 rue Léon Mathieu";51573;Reims;51454;Marne;Grand-Est;44;4.0264401435852;49.256481170654;http://opendata.onisep.fr/uploads/Image/28/53_852_picto_handicap_visuel.png;[32,32]
Etablissement;"Etablissement médicosocial";730780731;"Institut national de jeunes sourds de Chambéry";"Handicap auditif";"33 rue de l'Epine";73160;Cognin;73087;Savoie;Auvergne-Rhône-Alpes;84;5.8820600509644;45.59252166748;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";350002762;"Institut Paul Cézanne";"Handicap auditif";"8 rue Anne Boivent";35133;Fougères;35115;Ille-et-Vilaine;Bretagne;53;-1.192409992218;48.346790313721;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";290018209;"Institut pour l'insertion des déficients visuels";"Handicap visuel";"rue Alfred Sauvy";29480;"Le Relecq-Kerhuon";29235;Finistère;Bretagne;53;-4.3979802131653;48.40784072876;http://opendata.onisep.fr/uploads/Image/28/53_852_picto_handicap_visuel.png;[32,32]
Etablissement;"Etablissement médicosocial";870008232;"Institut régional d'éducation sensorielle Aimé Labrégère";"Handicap auditif";"1 rue Henri Barbusse";87000;Limoges;87085;Haute-Vienne;Nouvelle-Aquitaine;75;1.2337186;45.823797;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement de santé";340000025;"Institut Saint-Pierre";"Handicap moteur";"371 avenue Evêché de Maguelone";34250;Palavas-les-Flots;34192;Hérault;Occitanie;76;3.9233300685883;43.527500152588;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement de santé";640780904;"Maison d'enfants le Nid béarnais";"Handicap moteur";"boulevard Hauterive";64000;Pau;64445;Pyrénées-Atlantiques;Nouvelle-Aquitaine;75;-0.36849901080131;43.296211242676;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Service;"service d'éducation spéciale et de soins à domicile";870015773;"SAAAIS de l'Association régionale pour l'éducation sensorielle Aimé Labrégère";"Handicap visuel";"1 rue Henri Barbusse";87000;Limoges;87085;Haute-Vienne;Nouvelle-Aquitaine;75;1.2332999706268;45.843601226807;http://opendata.onisep.fr/uploads/Image/8c/56_870_picto_handicap_visuel_inverse.png;[32,32]
Etablissement;"Etablissement médicosocial";690781075;"Section d'éducation et d'enseignement spécialisé Roland Champagnat";"Handicap auditif";"22 rue Professeur Patel";69009;Lyon;69380;Rhône;Auvergne-Rhône-Alpes;84;4.6658616;45.8485223;http://opendata.onisep.fr/uploads/Image/08/51_780_picto_handicap_auditif.png;[32,32]
Etablissement;"Etablissement médicosocial";390005775;"Section d'éducation motrice de Lons-le-Saunier";"Handicap moteur";"29 bis rue des Toupes";39000;Lons-le-Saunier;39300;Jura;Bourgogne-Franche-Comté;27;5.548620223999;46.674991607666;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
Etablissement;"Etablissement médicosocial";260010038;"Section d'éducation motrice de Valence";"Handicap moteur";"rue Henri Becquerel";26000;Valence;26362;Drôme;Auvergne-Rhône-Alpes;84;4.8905601501465;44.931751251221;http://opendata.onisep.fr/uploads/Image/88/52_819_picto_handicap_moteur.png;[32,32]
