NOM;IDENT;SOUS_TYPE;ADRESSE;NOM_CARTO;NOM_ANCIEN;TYPE;geometry
Lecuyer (Parc General);BA03520A;Parc;Avenue Emile Ripert / Rue Anatole de Monzie;Parc Général Lecuyer;16000m2 (Jardin des);Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.29998783, 43.73628028], [7.29999604, 43.73628159], [7.30011275, 43.73630015], [7.30002821, 43.73665162], [7.30002811, 43.73665202], [7.29998007, 43.73685179], [7.29998184, 43.73685201], [7.29998271, 43.73685212], [7.29995644, 43.73696085], [7.29995136, 43.73696022], [7.29995053, 43.73696012], [7.29994388, 43.73698773], [7.30062922, 43.73709012], [7.30070946, 43.73704601], [7.30074946, 43.73702408], [7.30079649, 43.73699777], [7.30080821, 43.73700978], [7.30081827, 43.73701999], [7.30080145, 43.73702866], [7.30090223, 43.73713074], [7.30092262, 43.73713364], [7.30094195, 43.73709027], [7.30094295, 43.73708802], [7.30114555, 43.7366483], [7.30114615, 43.73664701], [7.30122652, 43.73647313], [7.30122337, 43.73647115], [7.30104061, 43.73642104], [7.30091173, 43.73636938], [7.30091193, 43.73636879], [7.30101334, 43.73608255], [7.30105349, 43.7359688], [7.30104986, 43.73596532], [7.30104978, 43.73595556], [7.30106127, 43.73591135], [7.30107606, 43.73585449], [7.30107422, 43.73585145], [7.30107114, 43.73585109], [7.3010591, 43.73583479], [7.30102582, 43.73579697], [7.30102775, 43.73572647], [7.30095285, 43.73567744], [7.30088131, 43.73563141], [7.30081541, 43.73558869], [7.30076123, 43.7355536], [7.30070944, 43.73552035], [7.30065803, 43.73548693], [7.30060387, 43.73545182], [7.30055729, 43.73542226], [7.30049761, 43.73538334], [7.30044179, 43.73534741], [7.30038188, 43.73530872], [7.30036916, 43.73535711], [7.30036767, 43.73536002], [7.30036794, 43.73536017], [7.30034191, 43.73546317], [7.30034137, 43.73546531], [7.30032315, 43.73553898], [7.30028618, 43.73566845], [7.30026997, 43.73567562], [7.30001078, 43.7356393], [7.29997631, 43.73563359], [7.29993311, 43.73562709], [7.29992311, 43.73562503], [7.29992083, 43.73562456], [7.29988542, 43.73583108], [7.29985003, 43.73604698], [7.2998148, 43.73625277], [7.29998783, 43.73628028]]]}
Maccagno (Square Louis);SL05720A;Jardin;Boulevard Carlone / Edouard Herriot;Square Louis Maccagno;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.23830844, 43.69386511], [7.23834703, 43.69389812], [7.23834713, 43.6938983], [7.23834776, 43.69389916], [7.23834859, 43.69389992], [7.23834958, 43.69390057], [7.23834976, 43.69390066], [7.23835396, 43.69390363], [7.2383917, 43.69392447], [7.23843473, 43.69393893], [7.23848104, 43.69394635], [7.23849898, 43.69394723], [7.23854555, 43.69394533], [7.2385917, 43.69393631], [7.23863425, 43.69392053], [7.23865661, 43.69390849], [7.23867289, 43.69390094], [7.23872688, 43.69387137], [7.23857175, 43.6937474], [7.23854465, 43.69372595], [7.23838642, 43.69360106], [7.23836772, 43.69361031], [7.23833494, 43.6936325], [7.23832199, 43.69364433], [7.23831871, 43.69364736], [7.23829185, 43.69367885], [7.23827427, 43.69371361], [7.23826669, 43.69375022], [7.23826677, 43.69376876], [7.23826943, 43.6937872], [7.23827083, 43.69379308], [7.23828283, 43.69382662], [7.23830524, 43.69386166], [7.23830737, 43.69386426], [7.23830758, 43.69386445], [7.23830844, 43.69386511]]]}
Cimiez (Jardin Avenue des Arenes de);BA15600A;Jardin;Avenue des Arenes de Cimiez, 46 / Rue El Nouzah;Jardin Avenue des Arènes de Cimiez;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.27695249, 43.70740459], [7.27694396, 43.70727304], [7.27693575, 43.70715578], [7.27693321, 43.70715061], [7.2769336, 43.7071391], [7.27692696, 43.70711663], [7.27692122, 43.70710769], [7.27692008, 43.70710636], [7.2769143, 43.70710102], [7.27690733, 43.70709648], [7.27689939, 43.70709289], [7.2768907, 43.70709036], [7.27688154, 43.70708896], [7.27687218, 43.70708874], [7.27686679, 43.70708915], [7.27686042, 43.7070908], [7.27686255, 43.70709759], [7.2768602, 43.70709086], [7.27683874, 43.70709888], [7.27681234, 43.70711593], [7.27680122, 43.70712741], [7.27678504, 43.70714146], [7.27673874, 43.70718499], [7.27669873, 43.70722748], [7.27666127, 43.70727061], [7.27664759, 43.70728683], [7.27656618, 43.70737987], [7.27658901, 43.70738828], [7.27658898, 43.70738832], [7.2766773, 43.70742002], [7.27668269, 43.70742194], [7.27668934, 43.70741476], [7.27669239, 43.70741588], [7.27685061, 43.70747883], [7.27695994, 43.70752155], [7.27695345, 43.70741965], [7.27695318, 43.70741546], [7.27695249, 43.70740459]]]}
Carol de Roumanie (Parc);SC01180A;Parc;Avenue de Fabron;Parc Carol de Roumanie;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.22958108, 43.68852226], [7.22966307, 43.6884978], [7.22970671, 43.68848442], [7.22971168, 43.68848289], [7.22976495, 43.68847022], [7.22984955, 43.68845925], [7.22985556, 43.68845847], [7.22986841, 43.68845755], [7.2299137, 43.68845064], [7.22994022, 43.68844823], [7.22995788, 43.68844702], [7.2300307, 43.6884409], [7.23017577, 43.68840677], [7.23017759, 43.68840648], [7.23017612, 43.68840395], [7.23017651, 43.68840388], [7.2301762, 43.68840128], [7.23025508, 43.68838134], [7.23037487, 43.68836292], [7.230464, 43.6883588], [7.23052587, 43.68835595], [7.23054007, 43.68835479], [7.23057418, 43.68835098], [7.23063772, 43.68834381], [7.230644, 43.68834294], [7.23072118, 43.68833435], [7.23076989, 43.6883289], [7.23094095, 43.68830914], [7.23094548, 43.68830861], [7.23102421, 43.68827464], [7.23110891, 43.68823618], [7.23112267, 43.68821611], [7.23113252, 43.6882003], [7.23113387, 43.68819813], [7.23119985, 43.68808753], [7.23125289, 43.68800544], [7.23136586, 43.68788748], [7.23147044, 43.68780812], [7.23153207, 43.68776345], [7.23153971, 43.68775791], [7.23154777, 43.68775555], [7.23160606, 43.68770731], [7.23167332, 43.68766251], [7.23170469, 43.68764472], [7.2317795, 43.68760568], [7.23190056, 43.68754994], [7.23190262, 43.68754906], [7.23207742, 43.68746983], [7.23207759, 43.68746785], [7.23207697, 43.68746713], [7.23207516, 43.68746505], [7.23206702, 43.68746875], [7.23205206, 43.68745307], [7.23203235, 43.68743237], [7.2320131, 43.6874092], [7.23200637, 43.68739682], [7.23200891, 43.68739387], [7.23200394, 43.68737927], [7.23200154, 43.68736436], [7.23200133, 43.68735571], [7.23200158, 43.68734191], [7.23200953, 43.68731311], [7.2320271, 43.68728665], [7.23203329, 43.68728021], [7.23208742, 43.68722972], [7.23209439, 43.68722367], [7.23212431, 43.68720507], [7.23215872, 43.687193], [7.23215363, 43.68717023], [7.23215663, 43.68714215], [7.23215709, 43.68714061], [7.23215868, 43.68713954], [7.23216188, 43.68713351], [7.23216514, 43.68712736], [7.23218694, 43.68709774], [7.23218903, 43.68709527], [7.23219115, 43.68709275], [7.23218875, 43.68709168], [7.23218639, 43.68709064], [7.23218511, 43.68709213], [7.23211093, 43.68702401], [7.23200348, 43.68691675], [7.23191545, 43.68683435], [7.2318554, 43.68677788], [7.23185051, 43.68674401], [7.23185083, 43.68663435], [7.2318386, 43.6864943], [7.23158063, 43.68643808], [7.23131794, 43.68638049], [7.23130785, 43.68637709], [7.23117066, 43.68634812], [7.2310032, 43.68631378], [7.23085449, 43.68628071], [7.23077079, 43.68625556], [7.23077179, 43.68628446], [7.23075533, 43.68637183], [7.23075257, 43.68638646], [7.23074841, 43.68640847], [7.23073931, 43.68645971], [7.23071979, 43.68658183], [7.23071333, 43.68660196], [7.23071521, 43.68660214], [7.23071591, 43.6866334], [7.23069363, 43.68668297], [7.23069442, 43.68674867], [7.23069207, 43.68678222], [7.23071521, 43.68684912], [7.23072346, 43.68696338], [7.23072933, 43.68701984], [7.23072842, 43.68702822], [7.23072345, 43.68704526], [7.23071449, 43.68706142], [7.23070179, 43.68707621], [7.23069085, 43.68708552], [7.23063155, 43.68713371], [7.23054344, 43.68720018], [7.23045331, 43.68727098], [7.23034472, 43.68735295], [7.23020302, 43.68746186], [7.23019735, 43.6874678], [7.23016339, 43.68746006], [7.22999087, 43.6875868], [7.2298476, 43.68769145], [7.22971636, 43.68778972], [7.2295922, 43.68788336], [7.22948551, 43.68796375], [7.22948195, 43.68796639], [7.22946174, 43.68796384], [7.2294575, 43.68796669], [7.22945204, 43.68797037], [7.22944583, 43.68797454], [7.22944113, 43.68797771], [7.22942571, 43.68798974], [7.22943841, 43.68811579], [7.22941999, 43.68816852], [7.22938051, 43.68825237], [7.22932666, 43.68835181], [7.22931821, 43.68835148], [7.22931384, 43.68835101], [7.2293138, 43.68835099], [7.22931373, 43.68835097], [7.22931365, 43.68835096], [7.22931357, 43.68835096], [7.22931349, 43.68835097], [7.22931341, 43.68835098], [7.22931334, 43.68835101], [7.22931327, 43.68835105], [7.22931322, 43.68835109], [7.22931318, 43.68835114], [7.22931315, 43.6883512], [7.22931313, 43.68835126], [7.22930709, 43.68835104], [7.22932085, 43.68843862], [7.22910775, 43.68863881], [7.22905661, 43.68870161], [7.22906037, 43.68870352], [7.22924497, 43.68863316], [7.22933905, 43.688597], [7.22942171, 43.68856982], [7.22942557, 43.68856855], [7.22958108, 43.68852226]]]}
Genari (Rue) - Braille (Boulevard) Jardin;BA15640A;Jardin;Boulevard Louis Braille (entre le 5 et 9) / Rue Louis Genari;Jardin Rue Genari - Rue Braille;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.2938345, 43.71782775], [7.29384947, 43.71797161], [7.29383636, 43.71797236], [7.29383708, 43.71797954], [7.29381975, 43.71798048], [7.29381903, 43.7179733], [7.29374105, 43.71797752], [7.29373596, 43.71792824], [7.29372235, 43.71792901], [7.29373384, 43.71802833], [7.29373435, 43.71802993], [7.29373785, 43.71806644], [7.2937377, 43.71806739], [7.29373922, 43.71808121], [7.29373927, 43.71808482], [7.2942532, 43.71805576], [7.29431855, 43.71800737], [7.29427012, 43.71754725], [7.29425757, 43.71742913], [7.29420013, 43.71743218], [7.29409383, 43.71743818], [7.29409122, 43.7174144], [7.29408618, 43.71736709], [7.29407158, 43.71736791], [7.29406145, 43.71726997], [7.2940763, 43.71726914], [7.29407124, 43.71722013], [7.29382827, 43.71723319], [7.29381991, 43.71715663], [7.29375977, 43.71715997], [7.29375984, 43.71716088], [7.29377693, 43.71736646], [7.29379405, 43.71757555], [7.29380355, 43.71757509], [7.29380817, 43.71757484], [7.29383181, 43.71780196], [7.2938345, 43.71782775]]]}
Bellanda (Jardin);BA04180A;Jardin;Avenue Bellanda;Jardin Bellanda;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.27749178, 43.71857621], [7.27749596, 43.71857569], [7.27750668, 43.71854402], [7.27751005, 43.71851137], [7.27752098, 43.71843347], [7.27752999, 43.71836346], [7.27753047, 43.71835968], [7.27753074, 43.71834958], [7.27752836, 43.71833755], [7.27752547, 43.71833118], [7.27752105, 43.71832518], [7.27751526, 43.71831983], [7.27751176, 43.71831735], [7.27751255, 43.71831379], [7.2775127, 43.71831312], [7.27751372, 43.71830856], [7.27751446, 43.7183072], [7.2775461, 43.71828953], [7.27754866, 43.71828811], [7.27754893, 43.71828823], [7.27754934, 43.71828835], [7.27754976, 43.71828841], [7.2775502, 43.71828842], [7.27755063, 43.71828838], [7.27755076, 43.71828835], [7.27755171, 43.7182881], [7.27755321, 43.71828752], [7.27755455, 43.71828676], [7.2775556, 43.71828592], [7.27756946, 43.71826235], [7.27758285, 43.71824408], [7.27760981, 43.71822085], [7.27761232, 43.71821921], [7.27762447, 43.71821159], [7.27767044, 43.71818585], [7.27767618, 43.71818295], [7.27767021, 43.71817141], [7.2776438, 43.71811954], [7.27762074, 43.71806994], [7.27760649, 43.71803768], [7.27759594, 43.71801405], [7.27759479, 43.71801126], [7.27759888, 43.71801041], [7.27765903, 43.71799678], [7.27766444, 43.71799681], [7.27763558, 43.71793824], [7.27766677, 43.71792893], [7.2776688, 43.71792841], [7.27766854, 43.71792789], [7.27766615, 43.71792326], [7.27766939, 43.71792252], [7.2776678, 43.71791874], [7.27768194, 43.71791495], [7.27772232, 43.7179041], [7.27770046, 43.71785979], [7.27770044, 43.71785975], [7.27770539, 43.71785843], [7.27770662, 43.71785929], [7.27783998, 43.71782463], [7.27786459, 43.71787458], [7.27798336, 43.71784405], [7.2779914, 43.71785973], [7.27799369, 43.71786007], [7.27799615, 43.71786013], [7.27799859, 43.71785988], [7.27800092, 43.71785932], [7.27800309, 43.71785848], [7.27800503, 43.71785738], [7.27800667, 43.71785605], [7.27800797, 43.71785454], [7.27800888, 43.71785289], [7.27800907, 43.71785241], [7.27800912, 43.71785241], [7.2780092, 43.71785242], [7.27800928, 43.71785241], [7.27800936, 43.71785239], [7.27800943, 43.71785236], [7.27800949, 43.71785232], [7.27800955, 43.71785228], [7.27800959, 43.71785223], [7.27800962, 43.71785217], [7.27800964, 43.71785212], [7.27800964, 43.71785206], [7.27800963, 43.717852], [7.2780096, 43.71785194], [7.27800956, 43.71785189], [7.27800951, 43.71785185], [7.27800945, 43.71785181], [7.27800938, 43.71785178], [7.27800931, 43.71785175], [7.27800927, 43.71785175], [7.27800947, 43.71784936], [7.27800837, 43.71784592], [7.27799976, 43.7178312], [7.27799667, 43.71782228], [7.27798609, 43.7177772], [7.27796832, 43.71774059], [7.27792775, 43.71765711], [7.27788534, 43.71757257], [7.2778444, 43.71748736], [7.27778294, 43.71750272], [7.27775735, 43.71745197], [7.27769697, 43.71746777], [7.27762638, 43.71748599], [7.27761046, 43.71745178], [7.27759405, 43.71744008], [7.27759049, 43.71743811], [7.27756102, 43.71744553], [7.27755476, 43.71744707], [7.27752496, 43.71745496], [7.27751951, 43.71745631], [7.27748919, 43.71746399], [7.27748451, 43.71746513], [7.27745413, 43.71747259], [7.27744939, 43.71747375], [7.2774195, 43.71748142], [7.27741423, 43.71748272], [7.27738395, 43.71749013], [7.27737873, 43.71749141], [7.27735103, 43.71749841], [7.27734518, 43.71749944], [7.2773345, 43.71750048], [7.27733277, 43.71750056], [7.27733062, 43.71750065], [7.27732843, 43.71750073], [7.27731987, 43.71750107], [7.27731773, 43.71750115], [7.27731554, 43.71750124], [7.27731567, 43.71750304], [7.27731319, 43.71750313], [7.27734545, 43.71759183], [7.27734023, 43.71760476], [7.27730822, 43.71761976], [7.27728621, 43.71762421], [7.27726798, 43.71763527], [7.27722253, 43.71767802], [7.27717582, 43.71768665], [7.27712831, 43.71772098], [7.27708925, 43.71778649], [7.27705843, 43.71781496], [7.27710216, 43.71786995], [7.27714187, 43.7179208], [7.27719894, 43.71801609], [7.27723533, 43.71807855], [7.27732166, 43.71806401], [7.27738928, 43.7180519], [7.27739201, 43.71805829], [7.2773989, 43.71807605], [7.27738608, 43.71807879], [7.27736896, 43.71808269], [7.27736747, 43.71808302], [7.27729291, 43.71809998], [7.27729269, 43.71809956], [7.2772901, 43.71810026], [7.27728746, 43.71810098], [7.277288, 43.71810203], [7.27727137, 43.71810655], [7.27726917, 43.71810724], [7.2772685, 43.71810613], [7.27726592, 43.71810695], [7.27726511, 43.7181072], [7.27726339, 43.71810775], [7.2772645, 43.71810958], [7.27726562, 43.71811146], [7.27726705, 43.71811101], [7.27727262, 43.71812026], [7.2772805, 43.71813334], [7.27728274, 43.71813705], [7.27729537, 43.71815801], [7.27729804, 43.71816243], [7.27731017, 43.7181846], [7.27731223, 43.71818836], [7.27732442, 43.71821062], [7.27732651, 43.71821444], [7.27733876, 43.71823681], [7.27734089, 43.71824071], [7.2773524, 43.71826212], [7.27735466, 43.71826631], [7.27736673, 43.71828876], [7.27736876, 43.71829253], [7.27738035, 43.71831408], [7.27738238, 43.71831786], [7.2773926, 43.71834011], [7.27739446, 43.71834418], [7.27740494, 43.71836699], [7.27740671, 43.71837086], [7.27741742, 43.71839317], [7.27741952, 43.71839753], [7.27742886, 43.71841877], [7.27743076, 43.71842311], [7.27744052, 43.71844482], [7.27744233, 43.71844886], [7.27745204, 43.71847063], [7.27745408, 43.71847523], [7.27746351, 43.71849648], [7.27746509, 43.71850049], [7.27747352, 43.71852202], [7.27747522, 43.71852639], [7.27748297, 43.71854848], [7.27748461, 43.71855315], [7.27748549, 43.71855564], [7.27749189, 43.7185739], [7.27749176, 43.71857601], [7.27749178, 43.71857621]]]}
Cessole (Parc des Hoirs de);AC051731A;Jardin;Boulevard de Cessole, 40 et 60 / Avenue de Catellane, 31 / Montee de l'Eveche;Parc des Hoirs de Cessole;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.25495562, 43.71468836], [7.25495763, 43.71468718], [7.25503137, 43.71464387], [7.25506793, 43.71462282], [7.25507376, 43.71461946], [7.25507959, 43.71461611], [7.25508298, 43.71461921], [7.25515722, 43.71464032], [7.25515857, 43.71463807], [7.25517094, 43.71464133], [7.25517304, 43.71463966], [7.25519491, 43.7146548], [7.25525825, 43.71460208], [7.25532617, 43.71454895], [7.25539476, 43.71449364], [7.2553941, 43.71449322], [7.25538882, 43.71448983], [7.25539088, 43.71448815], [7.255395, 43.71449079], [7.2553968, 43.71449195], [7.25544438, 43.71445274], [7.25544266, 43.71445308], [7.25543886, 43.71445347], [7.25543504, 43.71445338], [7.25543129, 43.71445281], [7.25542774, 43.71445177], [7.25542569, 43.71445091], [7.25539747, 43.71443758], [7.25538467, 43.71443228], [7.25537309, 43.71443321], [7.2553647, 43.71443206], [7.25536305, 43.71443052], [7.25536142, 43.71442901], [7.25534083, 43.7144099], [7.25533701, 43.71440635], [7.25533538, 43.71440484], [7.25533372, 43.7144033], [7.25533482, 43.71440268], [7.25533566, 43.71440212], [7.25533561, 43.71440205], [7.255329, 43.71438525], [7.2553294, 43.71437792], [7.25532972, 43.71437566], [7.25533278, 43.71436515], [7.25533831, 43.71435517], [7.25534609, 43.71434609], [7.25543482, 43.71426026], [7.2555214, 43.71417478], [7.25555625, 43.71414212], [7.25555682, 43.71414158], [7.25561548, 43.71408662], [7.25562005, 43.71408202], [7.25561635, 43.71407999], [7.25561753, 43.71407893], [7.25535353, 43.71392716], [7.25534331, 43.71392499], [7.25537819, 43.71388299], [7.25539587, 43.71384714], [7.25539521, 43.71382284], [7.25538771, 43.71379672], [7.25538988, 43.71373405], [7.25537976, 43.71367409], [7.25541173, 43.71358955], [7.25545995, 43.7135048], [7.25548412, 43.71347325], [7.25540606, 43.71347501], [7.25540598, 43.71347303], [7.25540929, 43.71347295], [7.2554134, 43.71347286], [7.25541285, 43.71346012], [7.25530773, 43.71344032], [7.2551941, 43.71342225], [7.25508787, 43.71340508], [7.25502383, 43.71339473], [7.25499791, 43.71339047], [7.25494699, 43.71348074], [7.25494466, 43.71348488], [7.25488597, 43.71358861], [7.25483232, 43.71368371], [7.254783, 43.71377081], [7.25476675, 43.71379929], [7.2547246, 43.71387398], [7.25473023, 43.71387563], [7.25472157, 43.71389115], [7.2547201, 43.71389071], [7.25471585, 43.71388964], [7.25466109, 43.71398497], [7.25466519, 43.71398696], [7.25461054, 43.7140872], [7.25453967, 43.71421061], [7.25448827, 43.71430988], [7.25441297, 43.71445493], [7.25436911, 43.71454889], [7.25432579, 43.7146417], [7.25432284, 43.71464803], [7.25431243, 43.7146658], [7.25430741, 43.71467439], [7.25433744, 43.71470709], [7.25433855, 43.71470699], [7.25438215, 43.71470713], [7.25442452, 43.71471455], [7.2544634, 43.71472887], [7.25449667, 43.71474929], [7.25450349, 43.71475489], [7.25454935, 43.71476466], [7.25457624, 43.71479618], [7.25455278, 43.71480685], [7.25454757, 43.71480922], [7.2545507, 43.71481555], [7.25464878, 43.71478322], [7.25469608, 43.71481497], [7.25471872, 43.71483063], [7.25472978, 43.71482399], [7.2547305, 43.71482356], [7.25486875, 43.71474055], [7.25487745, 43.7147353], [7.25488317, 43.71473184], [7.25488889, 43.71472839], [7.25493959, 43.71469778], [7.25495562, 43.71468836]], [[7.25493148, 43.71426578], [7.25487795, 43.71427688], [7.2548661, 43.71424688], [7.25479056, 43.71426267], [7.25477277, 43.71421713], [7.25513444, 43.71414234], [7.25515409, 43.71419255], [7.25507879, 43.71420782], [7.25508942, 43.71423302], [7.25494425, 43.71426313], [7.25493148, 43.71426578]], [[7.25510205, 43.71437771], [7.25503433, 43.71432439], [7.25503376, 43.71432473], [7.25503037, 43.71432175], [7.25506183, 43.71430154], [7.25506598, 43.71430424], [7.2550649, 43.71430511], [7.2551487, 43.71437228], [7.25514906, 43.71437709], [7.25512539, 43.71439187], [7.2551197, 43.71439161], [7.2551082, 43.71438256], [7.25510205, 43.71437771]]]}
Liserons (Jardin Impasse des);AL039370A;Jardin;Impasse des Liserons, 70;Jardin Impasse des Liserons;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.29001955, 43.73116078], [7.29002312, 43.73116135], [7.29004415, 43.73116476], [7.29004577, 43.73116397], [7.29011128, 43.73118609], [7.29011935, 43.73118834], [7.29012959, 43.7311899], [7.29014004, 43.73119015], [7.29015039, 43.73118908], [7.29016033, 43.73118672], [7.29016711, 43.73118424], [7.29016724, 43.73118419], [7.29017705, 43.73117896], [7.29017717, 43.73117888], [7.29017729, 43.7311788], [7.29017928, 43.73117742], [7.29018546, 43.73117213], [7.29017142, 43.73116461], [7.29014646, 43.73115126], [7.29019084, 43.73110766], [7.29024371, 43.73108263], [7.29024528, 43.73108188], [7.2902472, 43.73107232], [7.29024779, 43.73106942], [7.29024717, 43.73106935], [7.29025058, 43.73105244], [7.28997144, 43.73102287], [7.28996103, 43.73102776], [7.28993732, 43.73114639], [7.28996284, 43.73115054], [7.28996254, 43.73115156], [7.29001955, 43.73116078]]]}
Ariane (Jardin au 106 Boulevard de l');AA0858106A;Jardin;Boulevard de l'Ariane, 106;Jardin au 106 Boulevard de l'Ariane;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.30337802, 43.7355081], [7.30339549, 43.7355126], [7.30343088, 43.73552181], [7.30343696, 43.73552341], [7.30369962, 43.73559433], [7.30371304, 43.73557552], [7.30377434, 43.73547136], [7.30377315, 43.73547], [7.30380094, 43.73542288], [7.30370791, 43.73539285], [7.30369998, 43.73539033], [7.30360945, 43.73536947], [7.30360298, 43.73536798], [7.30338638, 43.73531764], [7.3033754, 43.73531509], [7.30311729, 43.73525511], [7.30310407, 43.73525203], [7.30308409, 43.73529894], [7.30308127, 43.73529938], [7.30305828, 43.7353967], [7.30305147, 43.73542401], [7.30304989, 43.73543034], [7.30308026, 43.73543702], [7.30333697, 43.73549769], [7.30337802, 43.7355081]]]}
Saint Antoine (Cimetiere de);AC10727A;Cimetiere;Route de Saint-Antoine, 7;Cimetière de Saint Antoine;;Cimetiere;{"type": "Polygon", "coordinates": [[[7.21852413, 43.70695493], [7.2185241, 43.7069535], [7.21852364, 43.70695337], [7.21849867, 43.70699987], [7.21849423, 43.70700279], [7.21844548, 43.70709674], [7.21838686, 43.70720722], [7.21833398, 43.7073075], [7.21830625, 43.70735988], [7.21828956, 43.70739141], [7.21828763, 43.70739497], [7.21834321, 43.70741845], [7.21834964, 43.70742117], [7.21837591, 43.70743227], [7.21837621, 43.70743189], [7.21840069, 43.707443], [7.21836309, 43.70751422], [7.21832251, 43.70759132], [7.21832151, 43.70759322], [7.21832363, 43.70759368], [7.21832568, 43.70759412], [7.2183795, 43.70760578], [7.21838187, 43.7076063], [7.21839718, 43.70760941], [7.21846606, 43.70762476], [7.21846843, 43.70762528], [7.21852311, 43.7076375], [7.21852548, 43.70763803], [7.21852585, 43.70763717], [7.21852621, 43.70763631], [7.2185278, 43.70763328], [7.21853048, 43.70762817], [7.21856238, 43.70756732], [7.21861055, 43.70747579], [7.21865648, 43.70738831], [7.21868905, 43.70732639], [7.21869037, 43.70732393], [7.21866501, 43.70731674], [7.21864175, 43.70731034], [7.21863501, 43.70730934], [7.21863973, 43.70730007], [7.21870078, 43.70718385], [7.21871726, 43.70715263], [7.21877884, 43.70703562], [7.21873904, 43.70702215], [7.21872012, 43.70702711], [7.21870187, 43.70702126], [7.21869631, 43.70701948], [7.21869839, 43.70701587], [7.2187003, 43.70701255], [7.21870126, 43.70701089], [7.21869615, 43.70700905], [7.21869726, 43.70700714], [7.21869784, 43.70700595], [7.21873854, 43.70692872], [7.2187412, 43.70692367], [7.21876428, 43.70687988], [7.21877526, 43.70685855], [7.21882465, 43.70676408], [7.21883084, 43.70675392], [7.21880806, 43.70674637], [7.2188028, 43.70674345], [7.2188224, 43.70671145], [7.21882542, 43.70670651], [7.21882844, 43.70670158], [7.21895884, 43.70648865], [7.21891874, 43.70647553], [7.21887568, 43.70646116], [7.21884827, 43.70645029], [7.21876462, 43.70641667], [7.21876114, 43.70641527], [7.21872837, 43.70646867], [7.21871668, 43.70648826], [7.21868528, 43.7065381], [7.21868262, 43.70654241], [7.21865774, 43.70658229], [7.2186467, 43.70659854], [7.21860376, 43.70666557], [7.21860118, 43.70666961], [7.21859784, 43.70667455], [7.21859612, 43.7066739], [7.2185944, 43.70667629], [7.21860264, 43.70667942], [7.21860923, 43.70668192], [7.21864807, 43.70669666], [7.21865518, 43.70669908], [7.21859385, 43.70681721], [7.21857687, 43.70684956], [7.2185475, 43.70690516], [7.21854484, 43.70691021], [7.21852402, 43.70694962], [7.2185241, 43.7069535], [7.2185248, 43.70695369], [7.21852413, 43.70695493]]]}
