Departement,Population,Depensest-totales,Depenses-totales/hab.,Depenses-fonctionnement,Depenses-fonctionnement/hab.,Part- depenses-fonctionnement-sur-total-depenses
Rhône,1756069,1 787 348 838 €,1 018 €,1 454 994 737 €,829 €,"81,41 %"
Haute-Saône,247311,251 169 120 €,1 016 €,182 624 719 €,738 €,"72,71 %"
Saône-et-Loire,574874,554 595 348 €,965 €,448 528 385 €,780 €,"80,87 %"
Sarthe,579497,595 308 244 €,1 027 €,484 160 035 €,835 €,"81,33 %"
Savoie,428751,508 306 000 €,1 186 €,392 767 872 €,916 €,"77,27 %"
Haute-Savoie,760979,775 338 123 €,1 019 €,567 831 096 €,746 €,"73,24 %"
Paris,2268265,2 249 256 558 €,992 €,2 022 565 301 €,892 €,"89,92 %"
Seine-Maritime,1275952,1 493 759 735 €,1 171 €,1 209 521 418 €,948 €,"80,97 %"
Seine-et-Marne,1347008,1 259 427 614 €,935 €,1 022 015 594 €,759 €,"81,15 %"
Yvelines,1435448,1 152 612 581 €,803 €,898 296 837 €,626 €,"77,94 %"
Deux-Sèvres,380569,369 581 017 €,971 €,302 122 179 €,794 €,"81,75 %"
Somme,583388,644 866 079 €,1 105 €,551 863 917 €,946 €,"85,58 %"
Tarn,387099,443 859 045 €,1 147 €,365 629 612 €,945 €,"82,38 %"
Tarn-et-Garonne,248227,309 405 018 €,1 246 €,254 860 434 €,1 027 €,"82,37 %"
Var,1026222,1 120 199 775 €,1 092 €,920 774 960 €,897 €,"82,20 %"
Vaucluse,555240,645 379 079 €,1 162 €,518 749 879 €,934 €,"80,38 %"
Vendée,654096,653 561 736 €,999 €,503 650 194 €,770 €,"77,06 %"
Vienne,438566,443 360 570 €,1 011 €,328 603 542 €,749 €,"74,12 %"
Haute-Vienne,384781,393 319 467 €,1 022 €,327 805 651 €,852 €,"83,34 %"
Vosges,392846,428 175 175 €,1 090 €,324 471 148 €,826 €,"75,78 %"
Yonne,353366,387 961 461 €,1 098 €,334 587 619 €,947 €,"86,24 %"
Territoire de Belfort,146475,151 418 095 €,1 034 €,126 159 339 €,861 €,"83,32 %"
Essonne,1233645,1 276 421 986 €,1 035 €,998 676 776 €,810 €,"78,24 %"
Hauts-de-Seine,1590749,1 856 288 843 €,1 167 €,1 357 208 633 €,853 €,"73,11 %"
Seine-Saint-Denis,1534895,1 994 485 542 €,1 299 €,1 731 352 886 €,1 128 €,"86,81 %"
Val-de-Marne,1340868,1 502 915 196 €,1 121 €,1 238 409 838 €,924 €,"82,40 %"
Val-d'Oise,1187836,1 083 044 289 €,912 €,873 210 150 €,735 €,"80,63 %"
Autre,2088601,3 494 905 651 €,1 673 €,2 982 143 350 €,1 428 €,"85,33 %"
