CD_DEPOT,LB_DEPOT,TYPE_DEPOT,LB_TYPE_DEPOT,COORD_TEL,COORD_FAX,COORD_MAIL,COORD_SITEWEB,ADR_L1,ADR_L2,ADR_L3,ADR_L4_NUM,ADR_L4_NUMEXT,ADR_L4_VOIE,ADR_L5,ADR_L6_CP,ADR_L6_COMM,INSEE_COMMUNE,CD_CANTON,RESPONSABLE,FL_DESSERVI,FL_INTERNET,NB_POSTEINT,NB_POSTEPUB,NB_MULT,ACCESS_HANDICAPES,H_DEB_MATIN_LUNDI,H_FIN_MATIN_LUNDI,H_DEB_APRM_LUNDI,H_FIN_APRM_LUNDI,H_DEB_MATIN_MARDI,H_FIN_MATIN_MARDI,H_DEB_APRM_MARDI,H_FIN_APRM_MARDI,H_DEB_MATIN_MERCREDI,H_FIN_MATIN_MERCREDI,H_DEB_APRM_MERCREDI,H_FIN_APRM_MERCREDI,H_DEB_MATIN_JEUDI,H_FIN_MATIN_JEUDI,H_DEB_APRM_JEUDI,H_FIN_APRM_JEUDI,H_DEB_MATIN_VENDREDI,H_FIN_MATIN_VENDREDI,H_DEB_APRM_VENDREDI,H_FIN_APRM_VENDREDI,H_DEB_MATIN_SAMEDI,H_FIN_MATIN_SAMEDI,H_DEB_APRM_SAMEDI,H_FIN_APRM_SAMEDI,H_DEB_MATIN_DIMANCHE,H_FIN_MATIN_DIMANCHE,H_DEB_APRM_DIMANCHE,H_FIN_APRM_DIMANCHE,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
1199,Eysines,32,,556578486,,mediatheque@eysines.fr,http://www.ville-eysines.fr/,BDP Eysines,,,,,CENTRE CULTUREL LE PLATEAU,,33320,EYSINES,33162,6,,Non,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,La Sauve,9,,557970218,557970210,bibliothequelasauvemajeure@orange.fr,,BDP La Sauve,,,19,,RUE SAINT JEAN,,33670,LA SAUVE,33505,23,,Oui,0,0,,0,accès aux personnes à mobilité réduite,,,,,,, 16h00, 18h00,,, 15h00, 18h00,,,,,,, 16h00, 18h00,10h00, 12h00,,,,,,,44.769578,-0.311928,19 Rue Saint-Jean 33670 La Sauve,0.91,housenumber,ADRNIVX_0000000349659279,19,Rue Saint-Jean,,33670,La Sauve,"33, Gironde, Aquitaine",33505
1477,Gujan-Mestras,32,,557525460,557525461,biblio@ville-gujanmestras.fr,http://mediatheque.ville-gujanmestras.fr/,BDP Gujan-Mestras,,,,,ALLÉE MOZART,,33470,GUJAN MESTRAS,33199,49,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.619249,-1.075088,Allée Mozart 33470 Gujan-Mestras,0.91,street,33199_0859_f6df77,,Allée Mozart,,33470,Gujan-Mestras,"33, Gironde, Aquitaine",33199
2042,Noaillac,0,,556619494,,mediathequenoaillac@orange.fr,,BDP Noaillac,,,,,HÔTEL DE VILLE,,33190,NOAILLAC,,38,,Non,0,0,,0,,,,,,,,,,,, 15h00, 19h00,,,,,,,,,,,,,,,,,44.514112,-0.034498,Canille 33190 Noaillac,0.53,locality,33306_B013_e00ad6,,Canille,,33190,Noaillac,"33, Gironde, Aquitaine",33306
1174,Gornac,13,,556619615,556619680,bibliotheque@gornac.fr,,BDP Gornac,,,1,,PLACE DE LA MAIRIE,,33540,GORNAC,33189,47,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 15h00, 17h00,,,,,,, 17h00, 19h00,,,,,,,,,44.662419,-0.181675,1 Place de la Mairie 33540 Gornac,0.91,housenumber,ADRNIVX_0000000276520466,1,Place de la Mairie,,33540,Gornac,"33, Gironde, Aquitaine",33189
1523,Le Fieu,25,,557696438,557697208,mairie.lefieu@wanadoo.fr,,BDP Le Fieu,,MAIRIE,,B,,,33230,LE FIEU,33166,22,BENECH Mariette,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.063517,-0.029298,Cossy 33230 Le Fieu,0.62,locality,33166_B027_52ed91,,Cossy,,33230,Le Fieu,"33, Gironde, Aquitaine",33166
1708,Cénac,9,,557971473,,bibliocenac.33@wanadoo.fr,,BDP Cénac,,,2,B,AVENUE DE LA RÉPUBLIQUE,,33360,CÉNAC,33118,23,,Oui,1,0,,0,Accès aux personnes à mobilité réduite,,,,,,, 16h00, 18h00,,, 16h30, 18h30,,,,,,, 16h00, 18h00,10h30, 12h30,,,,,,,44.779966,-0.462094,Avenue de la République 33360 Cénac,0.82,street,33118_0065_bb628f,,Avenue de la République,,33360,Cénac,"33, Gironde, Aquitaine",33118
1739,Arsac,4,,557888656,556588022,bibliotheque@arsac.fr,www.arsac.fr,BDP Arsac,,,14,,AVENUE DE LIGONDRAS,,33460,ARSAC,33012,20,,Oui,1,0,,0,,,,,,,, 16h00, 18h00,10h30, 12h00, 14h30, 18h00,,,,,,, 16h00, 18h30,10h00, 12h30,,,,,,,45.003645,-0.685468,Avenue de Ligondras 33460 Arsac,0.83,street,33012_XXXX_c547d9,,Avenue de Ligondras,,33460,Arsac,"33, Gironde, Aquitaine",33012
1782,Cars,15,,557420920,557422169,bibliothequecars@wanadoo.fr,,BDP Cars,,,1,,LE BOURG,,33390,CARS,33100,7,,Oui,1,1,,1,Accès aux personnes à mobilité réduite,,,,,,,,,,, 15h00, 17h30,,,,,,, 16h00, 17h30,,,,,,,,,45.13016,-0.620735,Le Bourg 33390 Cars,0.82,locality,33100_B022_3bd98b,,Le Bourg,,33390,Cars,"33, Gironde, Aquitaine",33100
1108,Camblanes-et-Meynac,10,,557971693,556206306,alivreouvert@club-internet.fr,,BDP Camblanes-et-Meynac,,MAIRIE,,,CHEMIN DES ÉCOLIERS,,33360,CAMBLANES ET MEYNAC,33085,23,FERION LE BOULANGER Marie-Laure,Oui,1,1,,0,Accès aux personnes à mobilité réduite,10h00, 12h00,,,12h00, 13h30, 16h30, 18h00,,, 14h30, 17h30,,,,,,, 16h30, 18h00,10h00, 12h00,,,,,,,44.765364,-0.487273,Chemin des Écoliers 33360 Camblanes-et-Meynac,0.91,street,33085_0039_29f7da,,Chemin des Écoliers,,33360,Camblanes-et-Meynac,"33, Gironde, Aquitaine",33085
1759,Labarde,26,,557886032,557887257,mairie-labarde@wanadoo.fr,,BDP Labarde,,MAIRIE,1,,CHEMIN DE LA LAURINCE,,33460,LABARDE,33211,20,BARGIS Marie,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,, 17h00, 19h00,,,,,,,,,,,,,45.022723,-0.640284,1 Chemin de la Laurina 33460 Labarde,0.79,housenumber,ADRNIVX_0000000348665965,1,Chemin de la Laurina,,33460,Labarde,"33, Gironde, Aquitaine",33211
1797,Saint-Aubin-de-Blaye,14,,557326203,557327825,st-aubindeblaye@wanadoo.fr,,BDP Saint-Aubin-de-Blaye,,MAIRIE,,B,,,33820,SAINT AUBIN DE BLAYE,33374,40,BOUDAUD Françoise,Oui,1,5,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.244684,-0.580826,Azac 33820 Saint-Aubin-de-Blaye,0.76,locality,33374_B004_aebd56,,Azac,,33820,Saint-Aubin-de-Blaye,"33, Gironde, Aquitaine",33374
1764,Lugon-et-l'Ile-du-Carnay,9,,557843332,516440453,bibliothequedelugon33@wanadoo.fr,,BDP Lugon-et-l'Ile-du-Carnay,,,5,,PLACE JEAN MOULIN,,33240,LUGON ET L ILE DU CARNEY,33259,24,,Oui,1,1,,0,,09h00, 12h00, 14h00, 18h00,,, 14h00, 18h00,, 00h10, 14h00, 18h00,,, 14h00, 18h00,09h00, 12h00, 14h00, 18h00,,,,,,,,,44.948174,-0.359652,Le Carney 33240 Lugon-et-l'Île-du-Carnay,0.5,locality,33259_B033_ee973c,,Le Carney,,33240,Lugon-et-l'Île-du-Carnay,"33, Gironde, Aquitaine",33259
1648,Carcans,15,,556039036,,bibliotheque_carcans@orange.fr,,BDP Carcans,,,21,,ROUTE DE BORDEAUX,,33121,CARCANS,33097,42,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,11h00, 12h00,,,11h00, 12h00,,,,, 17h00, 18h00,,, 16h30, 17h30,,,,,11h00, 12h00,,,,,,,45.078803,-1.042484,21 Route de Bordeaux 33121 Carcans,0.91,housenumber,ADRNIVX_0000000275971075,21,Route de Bordeaux,,33121,Carcans,"33, Gironde, Aquitaine",33097
1733,Sainte-Foy-la-Grande,4,,557462970,,mediatheque@saintefoylagrande.net,http://bm-saintefoylagrande.jimdo.com/,BDP Sainte-Foy-la-Grande,,,8,,RUE JEAN LOUIS FAURE,,33220,SAINTE FOY LA GRANDE,33402,41,,Oui,1,6,,6,Accés aux personnes à mobilité réduite,,, 14h00, 18h30,09h00, 12h30, 14h00, 18h30,09h00, 12h30, 14h00, 18h30,,, 14h00, 18h30,09h00, 12h30, 14h00, 18h30,09h00, 12h30,,,,,,,44.841862,0.2139,8 Rue Jean Louis Faure 33220 Sainte-Foy-la-Grande,0.92,housenumber,ADRNIVX_0000000276315491,8,Rue Jean Louis Faure,,33220,Sainte-Foy-la-Grande,"33, Gironde, Aquitaine",33402
2008,Gradignan,32,,557121890,557121891,mediatheque@ville-gradignan.fr,http://www.lamediathequedegradignan.fr/,BDP Gradignan,,,32,,ROUTE DE LÉOGNAN,,33170,GRADIGNAN,33192,59,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.767954,-0.611587,32 Route de Léognan 33170 Gradignan,0.93,housenumber,ADRNIVX_0000000276408971,32,Route de Léognan,,33170,Gradignan,"33, Gironde, Aquitaine",33192
1926,Donnezac,20,,961049116,557580768,pointlecturedonnezac@orange.fr,,BDP Donnezac,,,36,,LE BOURG,,33860,DONNEZAC,33151,44,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,, 14h30, 15h30,,,,,,, 14h30, 16h30,,,,,,,,,10h00, 12h00,,,,,,,45.247876,-0.445262,Le Bourg 33860 Donnezac,0.8,locality,33151_B033_ce4de4,,Le Bourg,,33860,Donnezac,"33, Gironde, Aquitaine",33151
1021,Salles,17,,556887235,556884395,bibliotheque.salles@orange.fr,,BDP Salles,,,34,,RUE DE LA HAUTE LANDE,,33770,SALLES,33498,5,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.550274,-0.870809,Rue de la Haute Lande 33770 Salles,0.84,street,33498_0101_e88391,,Rue de la Haute Lande,,33770,Salles,"33, Gironde, Aquitaine",33498
1154,Aillas,20,,556653462,556653333,herve.gringoire@orange.fr,,BDP Aillas,,MAIRIE,,B,,,33124,AILLAS,33002,3,GOURGUE Laetitia,Oui,0,0,,0,,,, 16h00, 17h30,,,,,,,,,,,,,,, 14h30, 17h00,,,,,,,,,44.463305,-0.067749,Rhe 33124 Aillas,0.68,locality,33002_B219_25362f,,Rhe,,33124,Aillas,"33, Gironde, Aquitaine",33002
1487,Blasimon,20,,953842970,953842970,bibliotheque@blasimon.fr,,BDP Blasimon,,,30,,RUE EUGÈNE LESCOURT,,33540,BLASIMON,33057,47,,Oui,1,2,,0,,,,,,,,,,09h00, 12h00,,,,,,,,,,,10h00, 12h00,,,,,,,44.74861,-0.073004,30 Rue Eugène Lescourt 33540 Blasimon,0.91,housenumber,ADRNIVX_0000000276454900,30,Rue Eugène Lescourt,,33540,Blasimon,"33, Gironde, Aquitaine",33057
1671,Saint-Médard-d'Eyrans,22,,556726434,556726924,bibliotheque@saint-medard-deyrans.fr,http://biblistmed.pem-aquitaine.org,BDP Saint-Médard-d'Eyrans,,,9,,AVENUE DU 8 MAI,,33650,SAINT MÉDARD D EYRANS,33448,27,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 15h30, 17h30,,,,,,,,,10h00, 12h00,,,,,,,44.718776,-0.509681,9 Avenue du Huit Mai 33650 Saint-Médard-d'Eyrans,0.78,housenumber,ADRNIVX_0000000276468098,9,Avenue du Huit Mai,,33650,Saint-Médard-d'Eyrans,"33, Gironde, Aquitaine",33448
1685,Berson,9,,557643644,557642436,bibliotheque.berson@wanadoo.fr,http//:mairie-berson.com,BDP Berson,,,13,,AVENUE DE LA LIBÉRATION,,33390,BERSON,33047,7,,Oui,1,1,,1,,09h00, 10h00, 13h30, 16h30,09h00, 10h00, 13h30, 18h30,10h00, 12h00, 14h00, 17h00,09h00, 10h00, 13h30, 16h30,09h00, 10h00, 13h30, 16h30,,,,,,,,,45.108013,-0.585307,13 Avenue de la Libération 33390 Berson,0.91,housenumber,ADRNIVX_0000000275964237,13,Avenue de la Libération,,33390,Berson,"33, Gironde, Aquitaine",33047
1463,Baron,15,,557241157,557241705,ptlect.baron@wanadoo.fr,,BDP Baron,,MAIRIE,16,,LE BOURG,,33750,BARON,33028,16,THARAUD Hervé,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,, 16h00, 17h00,,,,,,, 15h00, 18h00,,,,,,, 16h30, 18h00,10h30, 12h00,,,,,,,44.823784,-0.317285,Le Bourg 33750 Baron,0.79,locality,33028_B090_5b721e,,Le Bourg,,33750,Baron,"33, Gironde, Aquitaine",33028
1163,Cérons,21,,556270117,556272664,marion.roche@cc-podensac.fr,,BDP Cérons,,CDC PODENSAC-PRIMEVER ,12,,RUE DU MARÉCHAL LECLERC DE HAUTECLOCQUE,,33720,PODENSAC,33120,36,TUBAUD Michèle,Oui,1,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,, 15h30, 17h30,,,,,,,,,10h00, 12h00,,,,,,,,,,,,,,,,,,,
1711,Montussan,16,,556728842,,bibliotheque-montussan@wanadoo.fr,,BDP Montussan,,,23,,ROUTE DE LA CURE,,33450,MONTUSSAN,33293,55,,Oui,1,2,,0,Accès aux personnes à mobilité réduite,,,,,,, 14h00, 18h30,09h00, 12h30, 14h00, 18h30,,, 14h00, 18h30,,,,,09h00, 12h00,,,,,,,44.883517,-0.424395,Route de la Cure 33450 Montussan,0.83,street,33293_0041_0345ab,,Route de la Cure,,33450,Montussan,"33, Gironde, Aquitaine",33293
1828,Canéjan,5,,556893807,557966601,mediatheque@canejan.fr,http://www.mediatheque-canejan.net,BDP Canéjan,,,10,,CHEMIN DE LA HOUSE,,33610,CANÉJAN,33090,59,,Oui,1,4,,0,Accès aux personnes à mobilité réduite,,,,,,, 14h00, 19h00,10h00, 12h00, 12h00, 18h00,,, 14h00, 19h00,,, 14h00, 19h00,10h00, 12h00, 12h00, 18h00,,,,,44.750882,-0.641919,Chemin de la House 33610 Canéjan,0.83,street,33090_6313_25058f,,Chemin de la House,,33610,Canéjan,"33, Gironde, Aquitaine",33090
1658,Vendays-Montalivet,9,,556731848,556733203,coinlecturevm@yahoo.fr,,BDP Vendays-Montalivet,,,11,,PLACE DE LA MAIRIE,,33930,VENDAYS MONTALIVET,33540,29,,Oui,1,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.356651,-1.06178,11 Rue de la Mairie 33930 Vendays-Montalivet,0.76,housenumber,ADRNIVX_0000000275905602,11,Rue de la Mairie,,33930,Vendays-Montalivet,"33, Gironde, Aquitaine",33540
1548,Lestiac-sur-Garonne,20,,556209814,,maisondesassociations35@orange.fr,,BDP Lestiac-sur-Garonne,,MAIRIE,,B,,,33550,LESTIAC SUR GARONNE,33241,17,MANDILE Isabelle,Oui,0,0,,0,,,,,,,,,,,, 15h00, 17h00,,,,,,,,,,,,,,,,,44.695424,-0.374593,Marsan 33550 Lestiac-sur-Garonne,0.71,locality,33241_B035_edbf50,,Marsan,,33550,Lestiac-sur-Garonne,"33, Gironde, Aquitaine",33241
2022,Macau,0,,557889475,557880755,bibliothèque@ville-macau.fr,,BDP Macau,,MAIRIE,1,,PLACE DE LA RÉPUBLIQUE,,33460,MACAU,33262,6,TALOU Valérie,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.009048,-0.611902,Place de la République 33460 Macau,0.86,street,33262_0720_0cd41f,,Place de la République,,33460,Macau,"33, Gironde, Aquitaine",33262
1158,Bazas,5,,556651246,556650666,mediatheque.bazas@orange.fr,http://www.mediathequebazas.net,BDP Bazas,,,17,,ESPLANADE SAINT-SAUVEUR,,33430,BAZAS,33036,4,,Oui,1,3,,3,Accès aux personnes à mobilité réduite,,,,,,, 15h00, 18h30,09h30, 12h00, 14h00, 17h30,,,,,09h30, 12h00, 15h00, 17h30,09h30, 12h00,,,,,,,44.4314,-0.215281,17 Allée Saint-Sauveur 33430 Bazas,0.62,housenumber,ADRNIVX_0000000276615206,17,Allée Saint-Sauveur,,33430,Bazas,"33, Gironde, Aquitaine",33036
1726,Léognan,12,,557960133,557960131,bibliotheque@mairie-leognan.fr,http://www.bibliothequemunicipale-leognan.fr,BDP Léognan,,,,,RUE DU 19 MARS 1962,,33850,LÉOGNAN,33238,27,,Oui,1,1,,0,Accès aux personnes à mobilité réduite,,,,,,, 16h00, 18h00,10h30, 12h30, 15h00, 19h00,,, 16h00, 18h00,,, 16h00, 19h00,10h30, 12h30, 15h00, 18h00,,,,,44.730477,-0.599784,Rue du 19 Mars 1962 33850 Léognan,0.91,street,33238_0178_4155f8,,Rue du 19 Mars 1962,,33850,Léognan,"33, Gironde, Aquitaine",33238
1602,Virelade,26,,556271770,556272647,marion.roche@cc-podensac.fr,,BDP Virelade,,CDC PODENSAC-PRIMEVER ,12,,RUE DU MARÉCHAL LECLERC DE HAUTECLOCQUE,,33720,PODENSAC,33552,36,BRAU Rolande,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,, 16h30, 18h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2053,Noaillan,0,,,,,,BDP Noaillan,,,,,,,,,,50,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,Cézac,9,,557681968,557685440,bibli.cezac@wanadoo.fr,,BDP Cézac,,,,,LE BOURG,,33620,CÉZAC,33123,44,,Oui,1,0,,0,Accès aux personnes à mobilité réduite,,, 13h30, 16h30,09h00, 12h00, 13h30, 16h30,09h30, 12h00, 13h30, 17h00,09h00, 12h00, 13h30, 16h30,09h00, 12h00, 13h30, 16h30,,,,,,,,,45.09075,-0.420074,Le Bourg 33620 Cézac,0.91,locality,33123_B016_68e96c,,Le Bourg,,33620,Cézac,"33, Gironde, Aquitaine",33123
1503,Camps-sur-l'Isle,25,,557696335,557696579,mairiecamps-sur-isle@wanadoo.fr,,BDP Camps-sur-l'Isle,,,89,,RUE DE LA RÉPUBLIQUE,,33660,CAMPS SUR L ISLE,33088,22,,Oui,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.015305,-0.03071,89 Rue de la République 33660 Camps-sur-l'Isle,0.91,housenumber,ADRNIVX_0000000276039301,89,Rue de la République,,33660,Camps-sur-l'Isle,"33, Gironde, Aquitaine",33088
1515,Gours,25,,557497440,557497326,mairiedegours@wanadoo.fr,,BDP Gours,,MAIRIE,14,,LE BOURG,,33660,GOURS,33191,31,CHAUSSADAS Jocelyne,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.992326,0.019471,14 Le Bourg 33660 Gours,0.91,housenumber,ADRNIVX_0000000276050890,14,Le Bourg,,33660,Gours,"33, Gironde, Aquitaine",33191
1704,Pugnac,15,,557689881,557689272,bibliothequepugnac@orange.fr,,BDP Pugnac,,,19,,RUE DE L'ÉGLISE,,33710,PUGNAC,33341,15,,Oui,0,0,,0,,,,,,,,,,,, 15h00, 17h30,10h00, 12h00, 14h00, 17h00,,, 14h00, 17h00,,,,,,,,,45.083994,-0.496605,Rue de l'Église 33710 Pugnac,0.82,street,33341_XXXX_ce2c27,,Rue de l'Église,,33710,Pugnac,"33, Gironde, Aquitaine",33341
1710,Génissac,21,,557244718,557244290,mairie.genissac@wanadoo.fr,,BDP Génissac,,,,,BOURG,,33420,GÉNISSAC,33185,16,,Oui,1,1,,0,,,, 17h00, 18h30,,,,,,, 14h00, 17h00,,, 17h00, 18h30,,,,,,, 15h00, 17h00,,,,,44.859729,-0.257305,Le Bourg 33420 Génissac,0.79,locality,33185_B024_a467d4,,Le Bourg,,33420,Génissac,"33, Gironde, Aquitaine",33185
2015,Budos,20,,556625159,556624331,marion.roche@cc-podensac.fr,,BDP Budos,,CDC PODENSAC-PRIMEVER ,12,,RUE DU MARÉCHAL LECLERC DE HAUTECLOCQUE,,33720,PODENSAC,33076,36,REDOULEZ Nadine,Oui,0,0,,0,,,, 17h00, 18h00,,,,,,,,,,,,,,,,,10h00, 12h00,,,,,,,,,,,,,,,,,,,
