Departement,Population,Charges-personnel,Charges-personnel/hab,Part-charges-personnel-total-charges-fonctionnement
Vendée,654096,89 936 189 €,137 €,"17,86 %"
Vienne,438566,69 690 049 €,159 €,"21,21 %"
Haute-Vienne,384781,72 221 341 €,188 €,"22,03 %"
Vosges,392846,74 634 360 €,190 €,"23,00 %"
Yonne,353366,70 835 785 €,200 €,"21,17 %"
Territoire de Belfort,146475,33 977 190 €,232 €,"26,93 %"
Essonne,1233645,196 205 478 €,159 €,"19,65 %"
Hauts-de-Seine,1590749,288 561 311 €,181 €,"21,26 %"
Seine-Saint-Denis,1534895,360 363 711 €,235 €,"20,81 %"
Val-de-Marne,1340868,345 586 881 €,258 €,"27,91 %"
Val-d'Oise,1187836,154 990 704 €,130 €,"17,75 %"
Autre,2088601,666 171 249 €,319 €,"22,34 %"
