objectid,entite,thematique,categorie,typologie,statut,nom,adresse,cp,commune,telephone,email,web,type_erp,nature_exploitation_erp,categorie_erp,effectif_admissible_erp,capacite_accueil_erp,unite_capacite_accueil_erp,nom_responsable,fonction_responsable,id_accessibilite,x,y,id_commune,id_thematique,id_sig,quartier,shape
14,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Rocquencourt,2 Place de l'Hôtel de Ville,78150,Rocquencourt,01 39 23 11 11,nr,http://www.mairie-rocquencourt.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,635261.9587,6859909.3801,ROC,ADM,ROC_ADM_1218,Non renseigné,
15,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Saint-Cyr-l'Ecole,1 Square de l'Hôtel de Ville,78210,Saint-Cyr-l'Ecole,01 30 14 82 82,nr,http://www.saintcyr78.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,631483.8121,6855905.5605,CYR,ADM,CYR_ADM_1219,Non renseigné,
16,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Toussus-le-Noble,Place Maréchal Leclerc de Hauteclocque,78117,Toussus-le-Noble,01 39 56 24 09,nr,http://www.ville-toussus-le-noble.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,634874.718,6849892.443,TOU,ADM,TOU_ADM_1220,Non renseigné,
17,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Vélizy-Villacoublay,2 Place de l'Hôtel de Ville,78140,Vélizy-Villacoublay,01 34 58 50 00,nr,http://www.velizy-villacoublay.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,640495.87,6853938.12,VEL,ADM,VEL_ADM_1221,Non renseigné,
18,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Bailly,1 Rue des Chênes,78870,Bailly,01 30 80 07 55,nr,http://www.mairie-bailly.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,632419.6827,6860334.2886,BAI,ADM,BAI_ADM_1222,Non renseigné,
19,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Bièvres,Place de la Mairie,91570,Bièvres,01 69 35 15 50,nr,http://www.bievres.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,642301.9075,6850730.2693,BIE,ADM,BIE_ADM_1223,Non renseigné,
20,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Bois-d'Arcy,2 Avenue Paul Vaillant-Couturier,78390,Bois-d'Arcy,01 30 45 83 83,nr,http://www.boisdarcy.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,628834.8537,6856080.1032,BOI,ADM,BOI_ADM_1224,Non renseigné,
21,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Bougival,126 Rue du Maréchal Joffre,78380,Bougival,01 30 78 25 80,nr,http://www.ville-bougival.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,636900.2531,6862656.0386,BOU,ADM,BOU_ADM_1225,Non renseigné,
22,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Buc,3 Rue des Frères Robin,78530,Buc,01 39 20 71 00,nr,http://www.mairie-buc.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,635789.8197,6853026.1238,BUC,ADM,BUC_ADM_1226,Non renseigné,
23,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Châteaufort,19 Place Saint-Christophe,78117,Châteaufort,01 39 56 76 76,nr,http://www.mairie-chateaufort78.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,633225.5509,6848944.0848,CHA,ADM,CHA_ADM_1227,Non renseigné,
24,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Fontenay-le-Fleury,Place du 8 Mai 1945,78330,Fontenay-le-Fleury,01 30 14 33 00,nr,http://www.fontenay-le-fleury.org/,W,"Administration, banque, bureau",,,,,nr,nr,,629880.6055,6857242.1512,FON,ADM,FON_ADM_1228,Non renseigné,
25,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Jouy-en-Josas,Avenue Jean Jaurès,78354,Jouy-en-Josas,01 39 20 11 11,nr,http://www.jouy-en-josas.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,638876.4344,6851958.5478,JOU,ADM,JOU_ADM_1229,Non renseigné,
26,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de La Celle Saint-Cloud,8 E Avenue Charles de Gaulle,78170,La Celle-Saint-Cloud,01 30 78 10 00,nr,http://www.lacellesaintcloud.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,636633.0168,6861255.0069,CEL,ADM,CEL_ADM_1230,Non renseigné,
27,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie du Chesnay,9 Rue Pottier,78155,Le Chesnay,01 39 23 23 23,nr,http://www.lechesnay.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,635822.059,6858844.4476,CHE,ADM,CHE_ADM_1231,Non renseigné,
28,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Les Loges-en-Josas,2 Grande Rue,78350,Les Loges-en-Josas,01 39 07 16 70,nr,http://www.mairieleslogesenjosas.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,636825.0461,6851941.6658,LOG,ADM,LOG_ADM_1232,Non renseigné,
29,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Noisy-le-Roi,37 Rue André le Bourblanc,78590,Noisy-le-Roi,01 30 80 08 30,nr,http://www.noisyleroi.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,631368.5894,6860833.7569,NOI,ADM,NOI_ADM_1233,Non renseigné,
30,Cimetière,Cimetière,Cimetière,Cimetière,Public,Cimetière de Saint Louis,8 rue Monseigneur Gibier,78000,Versailles,01 39 50 36 09,nr,http://www.versailles.fr/en-un-clic/numeros-utiles/,IOP,Installation ouvertes au public,,,,,nr,nr,VERACCERP16,635512.1144,6855218.3329,VER,CIM,VER_CIM_1235,Saint-Louis,
31,Cimetière,Cimetière,Cimetière,Cimetière,Public,Cimetière de Montreuil,81 rue de Bonne Aventure,78000,Versailles,01 39 51 31 41,nr,http://www.versailles.fr/en-un-clic/numeros-utiles/,IOP,Installation ouvertes au public,,,,,nr,nr,VERACCERP14,637937.3591,6856633.1529,VER,CIM,VER_CIM_1236,Jussieu,
32,Cimetière,Cimetière,Cimetière,Cimetière,Public,Cimetière de Notre Dame,15 rue des Missionnaires,78000,Versailles,01 39 50 36 10,nr,http://www.versailles.fr/en-un-clic/numeros-utiles/,IOP,Installation ouvertes au public,,,,,nr,nr,VERACCERP15,636163.2259,6857327.1592,VER,CIM,VER_CIM_1237,Notre-Dame,
33,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque de Bailly,7 B Rue de Maule,78870,Bailly,01 34 62 88 73,bibliotheque.bailly@wanadoo.fr,http://baillylecture.over-blog.com,S,Bibliothèque et centre de documentation,,,,,Nicolas TAILLANDIER,Président,,632385.2566,6860422.5015,BAI,CUL,BAI_CUL_1243,Non renseigné,
34,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque municipale de Bièvres,2 Rue des Écoles,91570,Bièvres,01 69 41 00 22,bibliotheque@bievres.fr,http://www.bibliotheque-bievres.fr,S,Bibliothèque et centre de documentation,,,,,Laurence AILLOT,Responsable,,642492.5252,6850801.4101,BIE,CUL,BIE_CUL_1244,Non renseigné,
35,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque Emile Richebourg,29 Rue du Général Leclerc,78380,Bougival,01 39 18 04 78,bibliothequedebougival@gmail.com,http://www.ville-bougival.fr/-Presentation-de-la-bibliotheque,S,Bibliothèque et centre de documentation,,,,,Mélanie ROCHEDREUX,Reponsable de la biblioth├¿que,,636832.9291,6863176.6623,BOU,CUL,BOU_CUL_1245,Non renseigné,
36,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Privé,Bibliothèque pour Tous du Haut-de-Buc,2 Allée Daniel Bovet,78530,Buc,01 39 56 96 82,bhb3@wanadoo.fr,http://www.cbptyvelines-essonne.com,S,Bibliothèque et centre de documentation,,,,,François THIRION,Pr├®sident,,635080.5457,6852293.9692,BUC,CUL,BUC_CUL_1246,Non renseigné,
37,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Privé,Bibliothèque pour Tous du Pré-Saint-Jean,Place de la République,78530,Buc,01 39 20 71 09,bibliothequepsj@yahoo.fr,http://www.cbptyvelines-essonne.com,S,Bibliothèque et centre de documentation,,,,,Annette HOUDEBINE,Présidente,,635835.4008,6853156.5089,BUC,CUL,BUC_CUL_1247,Non renseigné,
38,Autre enseignement culturel,Culture,Enseignement culturel et artistique,Enseignement culturel et artistique,Public,Université Inter-âges (UIA),6 Impasse des Gendarmes,78000,Versailles,nr,nr,http://culture-uia.versailles.fr/,R,Établissement d'enseignement et de formation,,,,,nr,nr,VERACCERP79,636175.7907,6855961.4909,VER,CUL,VER_CUL_1248,Chantiers,
39,Ecole d'art,Culture,Enseignement culturel et artistique,Enseignement culturel et artistique,Public,Carré des Arts - Association Artistique et Culturelle de la Celle Saint-Cloud,Avenue Yves Levallois,78170,La Celle-Saint-Cloud,01 39 69 80 51,nr,http://www.carredesarts.org,R,Établissement d'enseignement et de formation,,,,,Amélie DE MONES DEL PUJOL,Présidente de l'Association,,637089.2227,6861696.2183,CEL,CUL,CEL_CUL_1249,Non renseigné,
40,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque de l'Octroi,95 Avenue de Paris,78000,Versailles,nr,nr,http://culture-bibliotheques.versailles.fr/,S,Bibliothèque et centre de documentation,,,,,nr,nr,VERACCERP60,637795.0472,6855713.5763,VER,CUL,VER_CUL_1252,Montreuil,
41,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque de Viroflay,74 Avenue du Général Leclerc,78220,Viroflay,01 39 24 34 40,bibliotheque@ville-viroflay.fr,http://www.bibliotheque-viroflay.fr,S,Bibliothèque et centre de documentation,,,,,Vincent CARRIERE,Directeur de la biblioth├¿que,,639494.7668,6856331.1553,VIR,CUL,VIR_CUL_1253,Non renseigné,
42,Médiathèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Médiathèque de la Tremblaye,9 Rue du Parc,78390,Bois-d'Arcy,01 30 07 00 50,mediatheque@boisdarcy.fr,http://boisdarcy.agate-sigb.com,S,Bibliothèque et centre de documentation,,,,,Isabelle ROSE-JALABER,Directrice médiathèque,,628283.9277,6855861.5777,BOI,CUL,BOI_CUL_1254,Non renseigné,
43,Médiathèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Médiathèque de Jouy-en-Josas,Place de la Marne,78350,Jouy-en-Josas,01 39 56 30 33,mediatheque-famille-jouy@orange.fr,http://www.mediatheque-jouyenjosas.com,S,Bibliothèque et centre de documentation,,,,,Monique LAGOUTTE,Responsable de la bibliothèque,,638813.4954,6852079.0972,JOU,CUL,JOU_CUL_1255,Non renseigné,
44,Médiathèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Médiathèque Le Petit Prince,13 Impasse André Tronchon,78117,Toussus-le-Noble,0139 56 78 20,mediatheque@ville-toussus-le-noble.fr,http://www.ville-toussus-le-noble.fr,S,Bibliothèque et centre de documentation,,,,,Maria DU SOUICH,Bibliothécaire,,634925.1715,6849907.0703,TOU,CUL,TOU_CUL_1256,Non renseigné,
45,Médiathèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Atelier Numérique,8 Rue Saint-Simon,78000,Versailles,01 39 24 19 85,atelier.numerique@versailles.fr,http://www.versailles.fr/culture-et-patrimoine/etablissements-culturels/atelier-numerique,S,Bibliothèque et centre de documentation,,,,,Sophie DANIS,Directrice,VERACCERP58,636401.4328,6856336.8943,VER,CUL,VER_CUL_1257,Notre-Dame,
46,Archives,Culture,Bibliothèque - Centre de documentation,Centre de documentation et de consultation d'archives,Public,Archives Françaises du Film,7 B Rue Alexandre Turpault,78390,Bois-d'Arcy,01 30 14 81 02,aff@cnc.fr,http://www.cnc-aff.fr,S,Bibliothèque et centre de documentation,,,,,nr,nr,,629133.086,6856597.7675,BOI,CUL,BOI_CUL_1258,Non renseigné,
47,Archives,Culture,Bibliothèque - Centre de documentation,Centre de documentation et de consultation d'archives,Public,Archives communales de Versailles,1 Avenue de Paris,78000,Versailles,01 39 20 67 90,archives@versailles.fr,http://www.versailles.fr/fr/culture-et-patrimoine/etablissements-culturels/archives-communales,S,Bibliothèque et centre de documentation,,,,,Corinne HUBERT,Conservateur,VERACCERP157,635965.126,6856254.8485,VER,CUL,VER_CUL_1259,Notre-Dame,
48,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque de Châteaufort,18 B Rue de la Tour,78117,Châteaufort,01 39 56 04 27,lireachateaufort@gmail.com,https://www.yvelines.fr/fiche/bibliotheque-associative-de-chateaufort/,S,Bibliothèque et centre de documentation,,,,,Marie-Thérèse BELFORT,Biblioth├®caire de Ch├óteaufort,,633169.3032,6848901.3725,CHA,CUL,CHA_CUL_1260,Non renseigné,
49,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque municipale de Fontenay-le-Fleury,Place du 8 Mai 1945,78330,Fontenay-le-Fleury,01 30 14 15 20,bibliotheque@fontenay-le-fleury.org,http://flf.opac3d.fr,S,Bibliothèque et centre de documentation,,,,,Pascaline BRAND,Directrice,,629822.4409,6857175.898,FON,CUL,FON_CUL_1261,Non renseigné,
50,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque municipale Bendern,4 Place du Comte de Bendern,78170,La Celle-Saint-Cloud,01 39 69 12 15,bibliotheque-lacellesaintcloud@hotmail.fr,http://www.bibliotheque-lacellesaintcloud.fr,S,Bibliothèque et centre de documentation,,,,,Chantal WLOSECK,Directrice,,635706.3096,6860442.6563,CEL,CUL,CEL_CUL_1262,Non renseigné,
51,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque municipale Jeunesse,1 Place du Jumelage,78170,La Celle-Saint-Cloud,01 39 18 43 66,bibliotheque-lacellesaintcloud@hotmail.fr,http://www.bibliotheque-lacellesaintcloud.fr,S,Bibliothèque et centre de documentation,,,,,Cécile LICOUT,Responsable du secteur jeunesse,,636369.5315,6860867.4477,CEL,CUL,CEL_CUL_1263,Non renseigné,
52,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque municipale du Chesnay,37 Rue Caruel de Saint-Martin,78150,Le Chesnay,01 39 23 23 87,bibliotheque@lechesnay.fr,http://www.labibliothequeduchesnay.fr,S,Bibliothèque et centre de documentation,,,,,Véronique POYANT,Directrice,,635468.7239,6858238.1092,CHE,CUL,CHE_CUL_1264,Non renseigné,
53,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque des Loges-en-Josas,2 Rue des Haies,78350,Les Loges-en-Josas,01 39 56 08 38,bibliotheque.les.loges@wanadoo.fr,http://bibliothequeleslogesenjosas.com,S,Bibliothèque et centre de documentation,,,,,Béatrice CUZON,Présidente,,637001.3595,6851867.2427,LOG,CUL,LOG_CUL_1265,Non renseigné,
54,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque municipale de Noisy-Le-Roi,24 Rue André le Bourblanc,78590,Noisy-le-Roi,01 34 62 57 04,bibliotheque@noisyleroi.fr,http://www.bibnoisyleroi.fr,S,Bibliothèque et centre de documentation,,,,,Myriam COLAS,Présidente,,631288.4242,6860908.1591,NOI,CUL,NOI_CUL_1266,Non renseigné,
55,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque pour Tous de Rocquencourt,12 Rue de l'Étang,78150,Rocquencourt,01 39 55 32 77,famille.arrondeau@gmail.com,http://www.cbptyvelines-essonne.com,S,Bibliothèque et centre de documentation,,,,,Francette ARRONDEAU,nr,,635076.4642,6859574.1488,ROC,CUL,ROC_CUL_1267,Non renseigné,
56,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque Albert Camus,1 B Rue Victorien Sardou,78210,Saint-Cyr-l'Ecole,01 30 14 82 98,bibliotheque@saintcyr78.fr,http://bibliotheque.saintcyr78.fr,S,Bibliothèque et centre de documentation,,,,,Danielle MILLERET,Responsable,,631238.3374,6856058.5212,CYR,CUL,CYR_CUL_1268,Non renseigné,
57,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque annexe Vauban,76 Rue Champ Lagarde,78000,Versailles,01 39 25 02 37,bibliotheque.vauban@versailles.fr,http://www.bibliotheques.versailles.fr,S,Bibliothèque et centre de documentation,,,,,Sophie DANIS,Directrice,VERACCERP68,637749.8105,6856140.1293,VER,CUL,VER_CUL_1269,Montreuil,
58,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque de l'Heure Joyeuse,3 Allée Pierre de Coubertin,78000,Versailles,01 39 02 01 45,bibliotheque.heure-joyeuse@versailles.fr,http://www.bibliotheques.versailles.fr,S,Bibliothèque et centre de documentation,,,,,Sophie DANIS,Directrice,VERACCERP62,636532.6212,6856169.6465,VER,CUL,VER_CUL_1271,Montreuil,
59,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque de l'Université Inter-âges,6 Impasse des Gendarmes,78000,Versailles,01 30 97 83 95,bibliotheque.uia@versailles.fr,http://www.bibliotheques.versailles.fr,S,Bibliothèque et centre de documentation,,,,,Sophie DANIS,Directrice,VERACCERP67,636173.6202,6855962.3759,VER,CUL,VER_CUL_1272,Chantiers,
60,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque de Porchefontaine,86 Rue Yves le Coz,78000,Versailles,01 39 50 60 03,bibliotheque.porchefontaine@versailles.fr,http://www.bibliotheques.versailles.fr,S,Bibliothèque et centre de documentation,,,,,Sophie DANIS,Directrice,VERACCERP61,637938.5452,6855280.5529,VER,CUL,VER_CUL_1273,Porchefontaine,
61,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque,6 Rue Bernard de Jussieu,78000,Versailles,01 39 50 55 55,bibliotheque.petits-bois@versailles.fr,http://www.bibliotheques.versailles.fr,S,Bibliothèque et centre de documentation,,,,,Sophie DANIS,Directrice,VERACCERP65,638086.3824,6856928.7787,VER,CUL,VER_CUL_1274,Jussieu,
62,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque des Prés-aux-Bois,29 Rue de l'École des Postes,78000,Versailles,01 39 51 21 99,bibliotheque.pres-aux-bois@versailles.fr,http://www.bibliotheques.versailles.fr,S,Bibliothèque et centre de documentation,,,,,Sophie DANIS,Directrice,VERACCERP66,638315.6486,6856081.5434,VER,CUL,VER_CUL_1275,Montreuil,
63,Bibliothèque,Culture,Bibliothèque - Centre de documentation,Bibliothèque - Médiathèque,Public,Bibliothèque municipale de Versailles,5 Rue de l'Indépendance Américaine,78000,Versailles,01 39 07 13 20,bibliotheque@versailles.fr,http://www.bibliotheques.versailles.fr,S,Bibliothèque et centre de documentation,,,,,Sophie DANIS,Directrice,VERACCERP63,635435.9713,6856142.3638,VER,CUL,VER_CUL_1276,Saint-Louis,
64,Théâtre,Culture,Théâtre - Salle de spectacles,Théâtre,Public,Théâtre du Grenier de Bougival,7 Rue du Général Leclerc,78380,Bougival,01 39 69 03 03,reservation.grenier@ville-bougival.fr,http://www.ville-bougival.fr/-Le-Grenier,L,Salle de spectacle ou decabaret,,,,,Stéphane RIPON,Directeur du service culturel de Bougival,,636796.1505,6863308.5588,BOU,CUL,BOU_CUL_1277,Non renseigné,
65,Théâtre,Culture,Théâtre - Salle de spectacles,Théâtre,Public,Théâtre des Arcades de Buc,6 Rue des Frères Robin,78530,Buc,01 39 20 71 37,culturel@mairie-buc.fr,http://www.mairie-buc.fr,L,Salle de spectacle ou decabaret,,,,,Anissa THAMINY-DEKAR,Directrice des affaires culturelles,,635813.1455,6853106.0403,BUC,CUL,BUC_CUL_1278,Non renseigné,
66,Théâtre,Culture,Théâtre - Salle de spectacles,Théâtre,Public,Théâtre de Fontenay-le-Fleury,Place du 8 Mai 1945,78330,Fontenay-le-Fleury,01 30 07 10 50,bienvenue@theatredefontenay.com,http://tff.jimdo.com,L,Salle de spectacle ou decabaret,,,,,Jean-Daniel LAVAL,Directeur,,629811.9577,6857163.0537,FON,CUL,FON_CUL_1279,Non renseigné,
67,Théâtre,Culture,Théâtre - Salle de spectacles,Théâtre,Public,Théâtre La Celle Saint-Cloud,8 E Avenue Charles de Gaulle,78170,La Celle-Saint-Cloud,01 30 78 10 70,affairesculturelles@ville-lacellesaintcloud.fr,http://www.theatre-lacellesaintcloud.fr,L,Salle de spectacle ou decabaret,,,,,Marie-Cécile EYMERY,nr,,636641.0412,6861240.3188,CEL,CUL,CEL_CUL_1280,Non renseigné,
68,Théâtre,Culture,Théâtre - Salle de spectacles,Théâtre,Public,Théâtre Nouvelle France (TNF),9 Rue Pottier,78150,Le Chesnay,01 39 23 23 39,culture78@lechesnay.fr,http://www.lechesnay.fr,L,Salle de spectacle ou decabaret,,,,,Xavier BROUARD,Directeur,,635822.9138,6858833.6486,CHE,CUL,CHE_CUL_1281,Non renseigné,
69,Théâtre,Culture,Théâtre - Salle de spectacles,Théâtre,Public,Théâtre André Malraux,12 Rue de l'Étang,78150,Rocquencourt,06 62 25 21 59,spicard@mairie-rocquencourt.fr,nr,L,Salle de spectacle ou decabaret,,,,,Karl CARION,DIirecteu général des services,,635066.5545,6859572.802,ROC,CUL,ROC_CUL_1282,Non renseigné,
70,Théâtre,Culture,Théâtre - Salle de spectacles,Théâtre,Public,Théâtre Gérard Philippe,11 T Avenue Jean Jaurès,78210,Saint-Cyr-l'Ecole,01 30 14 82 95,boutiqueculturelle@saintcyr78.fr,http://www.saintcyr78.fr/theatre_gerard_philipe.html,L,Salle de spectacle ou decabaret,,,,,Fabrice LUTERNAUER,nr,,630362.3651,6856290.9201,CYR,CUL,CYR_CUL_1283,Non renseigné,
71,Théâtre,Culture,Théâtre - Salle de spectacles,Théâtre,Public,L'Onde,8 B Avenue Louis Breguet,78140,Vélizy-Villacoublay,01 78 74 38 60,l.moreau@londe.fr,http://www.londe.fr/,L,Salle de spectacle ou decabaret,,,,,nr,nr,,639670.16,6853903.73,VEL,CUL,VEL_CUL_1284,Non renseigné,
