Campings,,,,,,,,
Code : HPA,,,,,,,,
,,,,,,,,
Jeux de données,,Adresse de la syndication,,,,,,
Liste des campings en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/13d7f8ab-bd69-4815-b02c-d8134663b849,,,,,,
Liste des campings classés en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/ce38a805-2c44-419c-9251-12b00779804f,,,,,,
Liste des aires naturelles de camping en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/dabdd011-1d29-4555-a88b-ef6c4ad60e28,,,,,,
,,,,,,,,
,,,,,,,,
SIRTAQUI,,,WEB SERVICES,,,,,
Onglets,Rubriques,Champs,Nom XML,Contenu du champ,Remarques,moteur de recherche,page de listing,page de détails
Accueil,Réception de groupes,Nombre de personnes max,GROUPE_MAX,Champ numérique,,,,
Accueil,Réception de groupes,Parking autocars,GROUPE_AUTOCAR,Champ Oui/Non,,,,
Tarifs,Mode de paiement,Mode de paiement,MOD_PAIEMENT,Liste d’items séparés par #,,,,
Tarifs,Tarifs,Intitulé tarif + Tarif min + Tarif max + Complément tarif,TARIFS,"Intitulé du tarif, tarif minimum et maximum, Complément d'information séparés par |, chaque ligne étant séparée par #",,,,
Descriptif,Superficie,Superficie,SUPERF,Champ numérique,,,,
Descriptif,Capacité du camping,Capacité d'accueil totale,CAPA,Champ numérique,,,,
Descriptif,Capacité du camping,Capacité d'accueil classée,CAPA_CLAS,Champ numérique,,,,
Descriptif,Capacité du camping,Nombre total d'emplacements,NBRE_EMP,Champ numérique,,,,
Descriptif,Capacité du camping,Nombre d'emplacements classés,NBRE_EMP_CLAS,Champ numérique,,,,
Descriptif,Capacité du camping,Nombre d'emplacements mobil-homes,NBRE_MHOME,Champ numérique,,,,
Descriptif,Capacité du camping,Nombre d'emplacements bungalows / chalets,NBRE_BUNG,Champ numérique,,,,
Descriptif,Capacité du camping,Nombre d'emplacements sur terrain déclaré,NBRE_TER_DECLARE,Champ numérique,,,,
Descriptif,Capacité du camping,Nombre d'emplacements caravanes,NBRE_CARAVANES,Champ numérique,,,,
Descriptif,Capacité du camping,Nombre d'emplacements pour camping-cars,NBRE_CCAR,Champ numérique,,,,
Descriptif,Capacité du camping,Nombre total d'emplacements nus,NBRE_NUS,Champ numérique,,,,
Descriptif,Capacité du camping,Nombre total d'emplacements avec locatifs,NBRE_LOC,Champ numérique,,,,
Descriptif,Capacité du camping,Nombre total d'unités de logement (PRL),NBRE_UNIT_PRL,Champ numérique,,,,
Descriptif,Capacité du camping,Nombre total de lits (PRL),NBRE_LITS_PRL,Champ numérique,,,,
Descriptif,Naturisme,Naturisme,NATUR,Champ Oui/Non,,,,
Equipements / Services / Activités,Equipements,Equipements,EQUIP,Liste d’items séparés par #,,,,
Equipements / Services / Activités,Services,Services,SERVICES,Liste d’items séparés par #,,,,
Equipements / Services / Activités,Activités sur place,Activités sur place,ACTIV_PLACE,Liste d’items séparés par #,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Valeurs des champs listes :,,,,,,,,
Type de structure,"Parc résidentiel de loisirs, Terrain de camping classé - aire naturelle, Terrain de camping classé - loisirs, Terrain de camping classé - saisonnier, Terrain de camping classé - tourisme",,,,,,,
Classement,"1 étoile, 2 étoiles, 3 étoiles, 4 étoiles, 5 étoiles, Aire naturelle, Hôtelier, Non classé",,,,,,,
Marques et labels,"Accueil Paysan, Accueil Vélo, Bienvenue à la Ferme, Camping de charme, Camping Qualité, Cheval 64, Eco-label Européen, Famille Plus, Gîtes de France, Hébergement pêche, La Clef Verte, Leading Campings, Pêche, Qualité Tourisme, Rando 64, Rando Accueil, Sourire du Lot-et-Garonne, Velo 64, Vélodyssée",,,,,,,
Chaîne,"Airotels de France, Campasun / ILD le Derby, Castels et Camping Caravaning, Chadotel, Flower, Gitotel, Siblu, France Loc, Les Campéoles, Les étapes André Trigano, Goélia, Les Huttes de France, Sites et Paysages de France, Les pieds dans l’eau, Sunêlia, Yelloh Village, Natustar, Village center, Vacances pour tous",,,,,,,
Tarifs,"Forfait journalier, Location caravane / semaine, Location HLL / semaine, Location mobil home / semaine, Autre tarif",,,,,,,
Equipements,"Boulodrome, Branchements d'eau,Branchements électriques, Emplacement camping car, Espace aqua-ludique, Hammam, Jeux pour enfants, Mini-golf,Piscine, Restauration, Salle de jeux,Salle de sport, Salon de télévision, Sauna, Spa / Jacuzzi, Station service camping car, Tennis, Terrain de sports",,,,,,,
Services,"Alimentation/Point alimentation, Baby Club, Bar, Club adolescents, Club Enfants, Cyber espace / bornes accès Internet, Dépôt de gaz, Dépôt de glace, Location bungalow / HLL, Location caravanes, Location de mobil home, Location de vélos/VTT, Location matériel de sport, Location tentes, Plats à emporter, Surveillance de nuit, Terrain fermé la nuit, Wifi",,,,,,,
Activités sur place,"Animation, Équitation, Pêche,Plage surveillée, Remise en forme, Vélo / V.T.T., Voile",,,,,,,
