Prestations directes tous régimes France entière (hors Mayotte) depuis 1946 en euros courants;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CLCAPréPARE rang 2 et plus Taux plein;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;195,55;829,53;1 422,53;1 629,01;1 572,32;1 542,69;1 462,03;1 395,99;1 348,38;1 314,92;1 269,32;1 173,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CLCA PréPARE rang 2 et plus Taux partiel;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,97;202,78;400,70;502,71;511,25;530,00;532,35;544,00;548,25;548,13;536,50;490,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CLCA PréPARE adoption Taux plein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,22;0,78;0,87;0,96;0,99;0,93;0,94;0,98;0,66;0,57;0,49;0,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CLCA PréPARE adoption Taux partiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,13;0,51;0,55;0,69;0,70;0,74;0,74;0,67;0,44;0,39;0,33;0,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
       PAJE COLCA rang 3 et plus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,83;17,04;17,76;18,28;19,91;21,35;22,07;21,94;23,05;14,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE complément mode de garde (CMG);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178,81;1 329,64;2 777,11;3 670,57;4 413,20;4 904,72;5 300,55;5 646,10;5 874,98;6 070,17;6 084,76;6 174,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CMG assistantes maternelles Cotisations prises en charge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77,08;682,02;1 383,21;1 856,60;2 281,24;2 505,74;2 719,76;2 903,18;3 007,45;3 139,10;3 120,12;3 195,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CMG assistantes maternelles Rémunérations prises en charge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,53;572,20;1 236,51;1 598,76;1 843,21;2 057,10;2 191,10;2 313,90;2 408,77;2 440,77;2 440,87;2 404,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CMG assistantes maternelles Recours à une association ou une entreprise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,04;0,87;3,48;-0,25;3,91;6,48;20,64;37,39;58,33;82,38;116,33;154,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CMG garde à domicile enfant [0 - 3 ans] Cotisations prises en charge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,53;45,12;90,63;111,33;130,86;127,21;128,24;127,88;122,58;120,15;110,86;109,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CMG garde à domicile enfant [0 - 3 ans] Rémunérations prises en charge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,62;29,32;62,93;76,83;85,45;89,99;88,70;92,64;88,91;84,50;80,35;77,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CMG garde à domicile enfant [0 - 3 ans] Recours à une association ou une entreprise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,01;10,73;18,25;30,41;36,66;45,25;53,12;58,50;64,16;71,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CMG garde à domicile enfant ]3 - 6 ans] Cotisations prises en charge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,01;0,07;0,19;8,05;25,66;40,61;48,85;48,03;47,22;48,77;47,42;48,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CMG garde à domicile enfant ]3 - 6 ans] Rémunérations prises en charge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,01;0,05;0,15;8,53;24,62;28,96;34,04;34,59;34,54;34,77;34,60;35,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CMG garde à domicile enfant ]3 - 6 ans] Recours à une association ou une entreprise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;18,22;32,57;43,24;54,07;61,23;70,05;77,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation pour jeune enfant (APJE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,82;595,57;1 307,08;1 947,55;2 065,30;2 142,01;2 203,89;2 253,82;2 314,18;2 297,67;2 160,02;2 052,03;1 928,99;1 924,55;1 911,56;1 933,42;1 988,47;2 014,38;2 012,18;1 719,04;985,38;287,68;2,20;0,41;1,44;0,46;0,33;0,26;0,12;0,09;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation parentale d'éducation (APE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,22;42,23;468,32;850,82;895,64;910,20;904,48;873,99;852,04;877,19;1 245,52;1 969,38;2 615,89;2 753,93;2 780,92;2 799,69;2 904,96;2 996,10;3 033,62;2 712,15;1 569,06;442,10;-1,11;0,46;0,12;0,04;0,09;0,02;-0,01;0,00;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation de garde d'enfant à domicile (AGED);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;3,51;25,15;35,67;39,18;41,47;45,73;67,08;79,58;142,85;274,10;338,69;253,21;130,51;134,60;128,94;115,50;113,32;115,43;97,95;54,39;31,26;17,03;6,66;0,11;0,09;-0,01;-0,01;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Aide à la famille pour l’emploi d’une assistante maternelle agréée;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81,41;275,33;482,52;638,17;861,60;1 131,31;1 215,63;1 582,29;1 534,86;1 694,95;1 871,44;2 065,00;2 168,12;2 224,86;1 611,47;838,34;286,29;137,58;42,66;-1,89;0,17;0,14;-0,08;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation d'adoption;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;1,37;3,10;3,43;3,30;3,57;3,47;3,33;3,38;4,11;3,22;0,89;0,10;0,05;0,04;0,06;0,01;-0,01;0,21;0,02;-0,04;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total ASU-AFG, prestations naissance antérieures;58,82;112,79;217,99;252,63;281,77;354,56;419,29;436,64;449,65;461,63;488,60;513,73;553,90;563,48;568,40;583,53;665,72;707,71;726,30;735,14;745,83;752,47;756,79;798,56;822,40;864,57;933,26;1 118,52;1 181,02;1 280,42;1 345,36;1 443,23;693,64;604,46;730,08;945,18;983,75;872,16;912,25;667,12;172,11;68,30;3,20;1,98;1,28;2,56;3,80;2,52;1,56;5,65;5,70;0,82;0,12;;;;;;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Salaire unique - frais de garde, majorations;52,87;88,73;174,37;200,05;224,62;290,01;346,19;363,14;374,40;390,53;415,37;437,21;472,08;482,34;486,82;495,93;558,42;585,04;595,06;597,34;604,44;608,65;603,85;636,02;649,28;664,53;719,56;868,81;927,50;1 000,83;1 042,75;1 060,74;247,27;113,42;85,83;46,80;27,59;15,09;8,23;0,61;0,15;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocations prénatales;2,33;9,86;22,69;27,55;29,36;36,28;44,26;44,65;45,85;41,35;42,92;44,80;47,36;41,92;45,62;49,55;57,79;66,11;70,47;72,82;75,64;76,27;82,32;86,90;92,84;100,92;104,88;117,84;119,98;127,60;135,53;154,58;175,93;194,83;227,76;273,34;301,70;301,09;330,05;193,92;2,13;0,15;0,00;0,00;;;;;;;;;;;;;;;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocations postnatales;3,49;13,67;20,05;23,96;26,43;26,79;27,10;27,02;27,37;27,55;27,83;27,93;29,91;34,15;29,58;32,00;42,83;48,91;52,15;55,81;56,10;57,42;60,83;64,79;67,53;85,22;93,45;108,39;108,24;123,03;136,59;193,31;233,55;254,89;370,91;570,16;595,92;493,48;509,03;404,45;98,02;50,16;0,46;0,15;;;;;;;;;;;;;;;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Congé de naissance;0,13;0,53;0,89;1,07;1,36;1,49;1,74;1,83;2,03;2,21;2,49;3,79;4,55;5,07;6,38;6,05;6,68;7,65;8,62;9,17;9,66;10,13;9,79;10,86;12,74;13,90;15,36;23,48;25,31;28,97;30,49;34,61;36,89;41,31;45,43;54,42;58,39;62,35;64,64;67,99;71,50;16,92;0,61;0,00;;;;;;;;;;;;;;;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Prime de protection de la maternité;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,15;0,46;0,15;0,15;0,30;0,15;0,30;1,07;2,13;1,83;1,28;2,56;3,80;2,52;1,56;5,65;5,70;0,82;0,12;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Autres prestations Famille (frais de tutelle, allocation différentielle,...);0,01;0,37;2,93;4,34;9,22;6,05;8,55;10,14;10,56;11,72;14,26;13,22;14,89;16,79;25,30;23,36;21,90;17,90;22,73;27,58;27,61;27,27;29,19;34,45;39,18;41,62;41,92;50,77;64,94;74,55;80,65;86,74;100,16;101,38;108,85;146,66;168,61;186,45;189,49;174,10;160,07;150,92;150,47;151,23;156,11;157,17;166,17;169,52;170,44;180,80;189,88;210,10;202,72;211,54;202,37;206,02;210,75;220,16;231,33;233,70;246,46;251,95;250,76;346,03;358,05;380,90;393,58;403,28;415,70;429,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Prestations hors métropole ;;0,37;2,93;4,34;4,98;6,05;8,40;10,07;10,46;11,60;13,57;12,95;13,79;11,18;14,31;14,16;12,95;16,63;21,70;26,49;26,60;26,14;27,75;32,78;37,20;38,57;39,18;45,89;58,69;66,62;70,28;75,00;75,92;79,12;77,44;109,31;121,20;132,17;130,19;122,72;83,85;67,99;59,46;53,20;47,26;40,86;42,69;38,87;33,08;29,42;27,97;27,71;25,69;21,00;23,33;17,16;14,72;12,66;10,20;9,69;7,87;6,50;5,88;6,40;5,21;5,40;4,74;4,98;4,24;4,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Accords CEE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,76;3,51;6,25;6,25;6,10;6,71;7,17;8,99;6,25;6,56;5,95;5,34;2,90;0,91;0,30;0,30;0,00;;;;;;;3,41;2,69;3,64;4,17;4,21;4,43;4,70;5,47;5,21;4,73;3,74;6,98;11,20;12,53;13,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allocation différentielle ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,22;3,51;5,34;8,69;9,91;9,45;11,28;13,87;15,55;18,90;21,65;25,46;28,05;28,36;27,90;23,63;26,22;26,35;28,95;26,66;27,40;17,90;17,87;19,86;21,50;22,45;18,63;18,31;19,14;19,17;17,50;17,69;31,08;34,12;33,91;33,03;30,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frais de tutelle aux prestations sociales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;114,91;123,69;129,24;138,76;142,88;252,84;266,81;274,90;285,90;293,99;307,11;315,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frais de tutelle aux prestations familiales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79,59;77,48;86,61;82,85;77,37;64,09;63,41;65,77;61,83;59,21;58,78;60,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Divers autres allocations et prestations;0,01;0,00;0,00;0,00;4,24;0,00;0,15;0,06;0,10;0,12;0,53;0,26;0,84;5,24;10,54;8,66;8,29;1,01;0,20;0,27;0,07;0,00;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total prestation logement;0,00;0,00;0,00;0,05;0,41;1,22;2,35;4,39;7,92;13,84;22,43;34,68;51,42;67,09;84,11;108,92;136,62;156,47;186,01;217,62;256,49;305,90;346,38;389,06;414,68;435,56;474,59;583,27;869,09;997,92;1 125,21;1 214,14;1 344,09;1 617,80;1 953,89;2 516,36;3 720,34;4 257,50;4 745,37;5 203,60;5 778,14;6 130,35;6 560,55;7 038,28;7 558,01;8 060,20;8 807,98;9 730,44;10 438,73;10 919,86;11 166,77;11 538,68;11 898,35;12 251,96;12 381,12;12 796,44;13 439,39;13 401,35;14 015,19;13 917,64;14 250,23;14 349,52;15 389,69;15 772,10;16 039,80;16 486,45;16 874,82;17 524,36;17 802,88;18 105,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation logement familiale (ALF);0,00;0,00;0,00;0,05;0,41;1,22;2,35;4,39;7,76;13,67;22,27;34,52;51,26;66,93;83,89;108,74;136,33;156,14;185,69;217,30;256,17;305,58;346,06;388,74;414,36;435,24;474,27;583,27;711,48;778,56;838,32;875,21;936,19;1 030,40;1 149,31;1 350,09;1 906,07;1 946,16;1 937,32;1 897,08;1 902,56;1 874,06;1 876,19;1 839,53;1 870,63;1 951,75;2 028,71;2 154,18;2 273,79;2 350,51;2 386,46;2 476,13;2 581,24;2 701,98;2 819,00;3 042,60;3 228,28;3 266,85;3 473,20;3 495,20;3 615,58;3 672,15;3 951,50;4 098,76;4 151,15;4 216,56;4 248,40;4 371,98;4 440,23;4 456,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Allocation logement familiale (ALF) Accession;;;;;0,41;1,18;2,34;4,22;7,51;13,28;21,72;33,63;50,09;65,40;81,98;106,39;133,75;153,80;182,44;212,76;250,93;299,39;338,74;380,51;405,82;426,70;465,88;567,72;693,64;759,20;816,82;852,80;910,88;1 003,42;1 120,20;1 315,64;1 867,20;1 906,37;1 897,38;1 852,41;1 858,35;1 848,14;1 866,89;1 835,49;1 865,91;1 947,48;2 024,74;2 151,28;2 271,05;2 347,11;2 382,82;2 472,39;2 577,36;2 697,85;2 815,18;3 038,95;3 224,93;3 263,63;609,04;580,71;579,21;553,14;539,29;579,94;557,70;553,63;540,38;523,51;511,94;498,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
