Hauts-de-France par commune( 2018),,,
,,Indic1,
2169,Châtillon-lès-Sons,N/A - résultat non disponible,
2170,Châtillon-sur-Oise,0,521
2171,Chaudardes,N/A - résultat non disponible,
2172,Chaudun,0,522
2173,Chauny,0,343
2174,Chavignon,0,51
2175,Chavigny,0,589
2176,Chavonne,0,535
2177,Chérêt,0,652
2178,Chermizy-Ailles,0,543
2179,Chéry-Chartreuve,0,538
2180,Chéry-lès-Pouilly,0,38
2181,Chéry-lès-Rozoy,N/A - résultat non disponible,
2182,Chevennes,0,32
2183,Chevregny,0,55
2184,Chevresis-Monceau,0,419
2185,Chézy-en-Orxois,0,58
2186,Chézy-sur-Marne,0,587
2187,Chierry,0,616
2188,Chigny,0,304
2189,Chivres-en-Laonnois,0,424
2190,Chivres-Val,0,563
2191,Chivy-lès-Étouvelles,0,635
2192,Chouy,0,553
2193,Cierges,N/A - résultat non disponible,
2194,Cilly,0,301
2195,Ciry-Salsogne,0,582
2196,Clacy-et-Thierret,0,564
2197,Clairfontaine,0,457
2198,Clamecy,0,552
2199,Clastres,0,469
2200,Clermont-les-Fermes,0,296
2201,Coeuvres-et-Valsery,0,451
2203,Coincy,0,457
2204,Coingt,N/A - résultat non disponible,
2205,Colligis-Crandelain,0,609
2206,Colonfay,N/A - résultat non disponible,
2207,Commenchon,0,492
2208,Concevreux,0,539
2209,Condé-en-Brie,0,532
2210,Condé-sur-Aisne,0,529
2211,Condé-sur-Suippe,0,494
2212,Condren,0,435
2213,Connigis,0,569
2214,Contescourt,N/A - résultat non disponible,
2215,Corbeny,0,475
2216,Corcy,0,591
2217,Coucy-le-Château-Auffrique,0,431
2218,Coucy-lès-Eppes,0,495
2219,Coucy-la-Ville,0,485
2220,Coulonges-Cohan,0,557
2221,Coupru,0,581
2222,Courbes,N/A - résultat non disponible,
2223,Courboin,0,628
2224,Courcelles-sur-Vesle,0,48
2225,Courchamps,N/A - résultat non disponible,
2226,Courmelles,0,413
2227,Courmont,0,519
2228,Courtemont-Varennes,0,543
2229,Courtrizy-et-Fussigny,N/A - résultat non disponible,
2230,Couvrelles,0,574
2231,Couvron-et-Aumencourt,0,396
2232,Coyolles,0,452
2233,Cramaille,0,545
2234,Craonne,N/A - résultat non disponible,
2235,Craonnelle,0,523
2236,Crécy-au-Mont,0,447
2237,Crécy-sur-Serre,0,271
2238,Crépy,0,514
2239,Crézancy,0,572
2240,Croix-Fonsomme,0,324
2241,La Croix-sur-Ourcq,0,521
2242,Crouttes-sur-Marne,0,595
2243,Crouy,0,574
2244,Crupilly,N/A - résultat non disponible,
2245,Cuffies,0,606
2246,Cugny,0,501
2248,Cuirieux,0,297
2249,Cuiry-Housse,0,574
2250,Cuiry-lès-Chaudardes,N/A - résultat non disponible,
2251,Cuiry-lès-Iviers,N/A - résultat non disponible,
2252,Cuissy-et-Geny,N/A - résultat non disponible,
2253,Cuisy-en-Almont,0,639
2254,Cutry,0,572
2255,Cys-la-Commune,0,499
2256,Dagny-Lambercy,0,35
2257,Dallon,0,56
2258,Dammard,0,507
2259,Dampleux,0,613
2260,Danizy,0,379
2261,Dercy,0,382
2262,Deuillet,0,446
2263,Dhuizel,0,489
2264,Dizy-le-Gros,0,325
2265,Dohis,0,307
2266,Dolignon,N/A - résultat non disponible,
2267,Dommiers,0,471
2268,Domptin,0,599
2269,Dorengt,0,393
2270,Douchy,0,497
2271,Dravegny,0,495
2272,Droizy,N/A - résultat non disponible,
2273,Dury,0,454
2274,Ébouleau,0,467
2275,Effry,0,247
2276,Englancourt,0,455
2277,Épagny,0,442
2278,Éparcy,N/A - résultat non disponible,
2279,Épaux-Bézu,0,596
2280,Épieds,0,579
2281,L'Épine-aux-Bois,0,584
2282,Eppes,0,597
2283,Erlon,0,302
2284,Erloy,N/A - résultat non disponible,
2286,Esquéhéries,0,272
2287,Essigny-le-Grand,0,559
2288,Essigny-le-Petit,0,505
2289,Essises,0,6
2290,Essômes-sur-Marne,0,58
2291,Estrées,0,376
2292,Étampes-sur-Marne,0,53
2293,Étaves-et-Bocquiaux,0,341
2294,Étouvelles,0,667
2295,Étréaupont,0,341
2296,Étreillers,0,571
2297,Étrépilly,0,578
2298,Étreux,0,237
2299,Évergnicourt,0,496
2301,Faucoucourt,0,564
2302,Faverolles,0,561
2303,Fayet,0,748
2304,La Fère,0,277
2305,Fère-en-Tardenois,0,42
2306,La Ferté-Chevresis,0,447
2307,La Ferté-Milon,0,549
2308,Fesmy-le-Sart,0,282
2309,Festieux,0,628
2310,Fieulaine,0,551
2311,Filain,0,583
2312,La Flamengrie,0,388
2313,Flavigny-le-Grand-et-Beaurain,0,284
2315,Flavy-le-Martel,0,444
2316,Fleury,0,592
2317,Fluquières,0,568
2318,Folembray,0,421
2319,Fonsomme,0,474
2320,Fontaine-lès-Clercs,0,544
2321,Fontaine-lès-Vervins,0,422
2322,Fontaine-Notre-Dame,0,585
2323,Fontaine-Uterte,0,396
2324,Fontenelle,0,409
2326,Fontenoy,0,506
2327,Foreste,0,445
2328,Fossoy,0,593
2329,Fourdrain,0,477
2330,Francilly-Selency,0,631
2331,Franqueville,0,306
2332,Fresnes-en-Tardenois,0,484
2333,Fresnes,0,456
2334,Fresnoy-le-Grand,0,252
2335,Fressancourt,0,429
2336,Frières-Faillouël,0,468
2337,Froidestrées,0,421
2338,Froidmont-Cohartille,0,341
2339,Gandelu,0,533
2340,Gauchy,0,465
2341,Gercy,0,403
2342,Gergny,0,447
2343,Germaine,N/A - résultat non disponible,
2345,Gibercourt,N/A - résultat non disponible,
2346,Gizy,0,496
2347,Gland,0,571
2349,Goudelancourt-lès-Berrieux,N/A - résultat non disponible,
2350,Goudelancourt-lès-Pierrepont,0,469
2351,Goussancourt,0,495
2352,Gouy,0,327
2353,Grandlup-et-Fay,0,359
2354,Grandrieux,N/A - résultat non disponible,
2355,Gricourt,0,593
2356,Grisolles,0,506
2357,Gronard,N/A - résultat non disponible,
2358,Grougis,0,29
2359,Grugies,0,539
2360,Guignicourt,0,494
2361,Guise,0,197
2362,Guivry,0,462
2363,Guny,0,409
2364,Guyencourt,0,624
2366,Hannapes,0,298
2367,Happencourt,0,466
2368,Haramont,0,563
2369,Harcigny,0,375
2370,Hargicourt,0,351
2371,Harly,0,492
2372,Hartennes-et-Taux,0,523
2373,Hary,0,413
2374,Lehaucourt,0,324
2375,Hautevesnes,0,565
2376,Hauteville,0,339
2377,Haution,0,444
2378,La Hérie,0,335
2379,Le Hérie-la-Viéville,0,349
2380,Hinacourt,N/A - résultat non disponible,
2381,Hirson,0,29
2382,Holnon,0,588
2383,Homblières,0,577
2384,Houry,N/A - résultat non disponible,
2385,Housset,0,278
2386,Iron,0,268
2387,Itancourt,0,55
2388,Iviers,0,378
2389,Jaulgonne,0,585
2390,Jeancourt,0,561
2391,Jeantes,0,402
2392,Joncourt,0,4
2393,Jouaignes,0,556
2395,Jumencourt,0,552
2396,Jumigny,N/A - résultat non disponible,
2397,Jussy,0,478
2398,Juvigny,0,591
2399,Juvincourt-et-Damary,0,526
2400,Laffaux,0,542
2401,Laigny,0,417
2402,Lanchy,N/A - résultat non disponible,
2403,Landifay-et-Bertaignemont,0,308
2404,Landouzy-la-Cour,0,417
2405,Landouzy-la-Ville,0,411
2406,Landricourt,0,523
2407,Laniscourt,0,613
2408,Laon,0,48
2409,Lappion,0,494
2410,Largny-sur-Automne,0,648
2411,Latilly,0,54
2412,Launoy,0,502
2413,Laval-en-Laonnois,0,619
2414,Lavaqueresse,0,277
2415,Laversine,0,61
2416,Lemé,0,3
2417,Lempire,0,226
2418,Lerzy,0,401
2419,Leschelle,0,295
2420,Lesdins,0,601
2421,Lesges,N/A - résultat non disponible,
2422,Lesquielles-Saint-Germain,0,259
2423,Leuilly-sous-Coucy,0,492
2424,Leury,0,648
2425,Leuze,0,339
2426,Levergies,0,416
2427,Lhuys,0,433
2428,Licy-Clignon,N/A - résultat non disponible,
2429,Lierval,0,645
2430,Liesse-Notre-Dame,0,418
2431,Liez,0,452
2432,Limé,0,45
2433,Lislet,0,371
2434,Lizy,0,513
2435,Logny-lès-Aubenton,N/A - résultat non disponible,
2438,Longpont,0,578
2439,Les Septvallons,0,52
2440,Lor,0,401
2441,Louâtre,0,549
2442,Loupeigne,N/A - résultat non disponible,
2443,Lucy-le-Bocage,0,615
2444,Lugny,0,27
2445,Luzoir,0,399
2446,Ly-Fontaine,0,55
2447,Maast-et-Violaine,0,512
2448,Mâchecourt,0,425
2449,Macogny,N/A - résultat non disponible,
2450,Macquigny,0,3
2451,Magny-la-Fosse,0,332
2452,Maissemy,0,614
2453,Maizy,0,477
2454,La Malmaison,0,52
2455,Malzy,0,333
2456,Manicamp,0,439
2457,Marchais,0,482
2458,Dhuys et Morin-en-Brie,0,586
2459,Marcy,0,618
2460,Marcy-sous-Marle,0,321
2461,Marest-Dampcourt,0,475
2462,Mareuil-en-Dôle,0,556
2463,Marfontaine,N/A - résultat non disponible,
2464,Margival,0,516
2465,Marigny-en-Orxois,0,611
2466,Marizy-Sainte-Geneviève,0,585
2467,Marizy-Saint-Mard,N/A - résultat non disponible,
2468,Marle,0,252
2469,Marly-Gomont,0,264
2470,Martigny,0,346
2471,Martigny-Courpierre,0,593
2472,Mauregny-en-Haye,0,494
2473,Mayot,0,385
2474,Mennessis,0,436
2475,Menneville,0,598
2476,Mennevret,0,237
2477,Mercin-et-Vaux,0,481
2478,Merlieux-et-Fouquerolles,0,575
2480,Mesbrecourt-Richecourt,0,353
2481,Mesnil-Saint-Laurent,0,641
2482,Meurival,N/A - résultat non disponible,
2483,Mézières-sur-Oise,0,487
2484,Mézy-Moulins,0,564
2485,Missy-aux-Bois,0,531
2486,Missy-lès-Pierrepont,0,464
2487,Missy-sur-Aisne,0,562
2488,Molain,0,315
2489,Molinchart,0,609
2490,Monampteuil,0,655
2491,Monceau-le-Neuf-et-Faucouzy,0,345
2492,Monceau-lès-Leups,0,426
2493,Monceau-le-Waast,0,342
2494,Monceau-sur-Oise,0,284
2495,Mondrepuis,0,403
2496,Monnes,0,577
2497,Mons-en-Laonnois,0,57
2498,Montaigu,0,494
2499,Montbavin,N/A - résultat non disponible,
2500,Montbrehain,0,303
2501,Montchâlons,N/A - résultat non disponible,
2502,Montcornet,0,297
2503,Mont-d'Origny,0,372
2504,Montescourt-Lizerolles,0,414
2505,Montfaucon,0,579
2506,Montgobert,0,583
2507,Montgru-Saint-Hilaire,N/A - résultat non disponible,
2508,Monthenault,0,609
2509,Monthiers,0,616
2510,Monthurel,0,617
2511,Montigny-en-Arrouaise,0,34
2512,Montigny-l'Allier,0,541
2513,Montigny-le-Franc,0,332
2514,Montigny-Lengrain,0,48
2515,Montigny-lès-Condé,N/A - résultat non disponible,
2516,Montigny-sous-Marle,N/A - résultat non disponible,
2517,Montigny-sur-Crécy,0,31
2518,Montlevon,0,585
2519,Montloué,0,332
2520,Mont-Notre-Dame,0,518
2521,Montreuil-aux-Lions,0,607
2522,Mont-Saint-Jean,N/A - résultat non disponible,
2523,Mont-Saint-Martin,N/A - résultat non disponible,
2524,Mont-Saint-Père,0,609
2525,Morcourt,0,618
2526,Morgny-en-Thiérache,N/A - résultat non disponible,
2527,Morsain,0,47
2528,Mortefontaine,0,498
2529,Mortiers,0,322
2530,Moulins,N/A - résultat non disponible,
2531,Moussy-Verneuil,0,495
2532,Moÿ-de-l'Aisne,0,453
2533,Muret-et-Crouttes,0,525
2534,Muscourt,N/A - résultat non disponible,
2535,Nampcelles-la-Cour,0,39
2536,Nampteuil-sous-Muret,N/A - résultat non disponible,
2537,Nanteuil-la-Fosse,0,561
2538,Nanteuil-Notre-Dame,N/A - résultat non disponible,
2539,Nauroy,0,328
2540,Nesles-la-Montagne,0,583
2541,Neufchâtel-sur-Aisne,0,542
2542,Neuflieux,N/A - résultat non disponible,
2543,Neuilly-Saint-Front,0,482
2544,Neuve-Maison,0,371
2545,La Neuville-Bosmont,0,369
2546,La Neuville-en-Beine,0,478
2547,La Neuville-Housset,N/A - résultat non disponible,
2548,La Neuville-lès-Dorengt,0,283
2549,Neuville-Saint-Amand,0,566
2550,Neuville-sur-Ailette,0,415
2551,Neuville-sur-Margival,0,527
2552,Neuvillette,0,504
2553,Nizy-le-Comte,0,415
2554,Nogentel,0,611
2555,Nogent-l'Artaud,0,522
2556,Noircourt,N/A - résultat non disponible,
2557,Noroy-sur-Ourcq,0,562
2558,Le Nouvion-en-Thiérache,0,245
2559,Nouvion-et-Catillon,0,34
2560,Nouvion-le-Comte,0,344
2561,Nouvion-le-Vineux,0,727
2562,Nouvron-Vingré,0,485
2563,Noyales,0,372
2564,Noyant-et-Aconin,0,473
2565,Oeuilly,0,512
2566,Ognes,0,422
2567,Ohis,0,313
2568,Oigny-en-Valois,0,62
2569,Oisy,0,292
2570,Ollezy,0,425
2571,Omissy,0,595
2572,Orainville,0,604
2573,Orgeval,N/A - résultat non disponible,
2574,Origny-en-Thiérache,0,345
2575,Origny-Sainte-Benoite,0,406
2576,Osly-Courtil,0,592
2577,Ostel,N/A - résultat non disponible,
2578,Oulches-la-Vallée-Foulon,N/A - résultat non disponible,
2579,Oulchy-la-Ville,0,517
2580,Oulchy-le-Château,0,46
2581,Paars,0,574
2582,Paissy,N/A - résultat non disponible,
2583,Pancy-Courtecon,N/A - résultat non disponible,
2584,Papleux,0,47
2585,Parcy-et-Tigny,0,566
2586,Parfondeval,0,486
2587,Parfondru,0,646
2588,Pargnan,N/A - résultat non disponible,
2589,Pargny-Filain,0,619
2590,Pargny-la-Dhuys,0,593
2591,Pargny-les-Bois,0,362
2592,Parpeville,0,477
2593,Pasly,0,649
2594,Passy-en-Valois,0,559
2595,Passy-sur-Marne,0,675
2596,Pavant,0,539
2598,Pernant,0,546
2599,Pierremande,0,36
2600,Pierrepont,0,358
2601,Pignicourt,0,56
2602,Pinon,0,427
2604,Pithon,N/A - résultat non disponible,
2605,Pleine-Selve,0,478
2606,Le Plessier-Huleu,N/A - résultat non disponible,
2607,Ploisy,N/A - résultat non disponible,
2608,Plomion,0,335
2609,Ployart-et-Vaurseine,N/A - résultat non disponible,
2610,Pommiers,0,606
2612,Pont-Arcy,0,497
2613,Pontavert,0,558
2614,Pontru,0,528
2615,Pontruet,0,676
2616,Pont-Saint-Mard,0,461
2617,Pouilly-sur-Serre,0,357
2618,Prémont,0,289
2619,Prémontré,0,506
2620,Presles-et-Boves,0,488
2621,Presles-et-Thierny,0,734
2622,Priez,N/A - résultat non disponible,
2623,Prisces,N/A - résultat non disponible,
2624,Proisy,0,292
2625,Proix,0,241
2626,Prouvais,0,51
2627,Proviseux-et-Plesnoy,0,588
2628,Puiseux-en-Retz,0,649
2629,Puisieux-et-Clanlieu,0,34
2631,Quierzy,0,454
2632,Quincy-Basse,N/A - résultat non disponible,
2633,Quincy-sous-le-Mont,N/A - résultat non disponible,
2634,Raillimont,N/A - résultat non disponible,
2635,Ramicourt,0,404
2636,Regny,0,473
2637,Remaucourt,0,604
2638,Remies,0,347
2639,Remigny,0,49
2640,Renansart,0,337
2641,Renneval,0,272
2642,Résigny,0,331
2643,Ressons-le-Long,0,474
2644,Retheuil,0,577
2645,Reuilly-Sauvigny,0,544
2647,Ribeauville,N/A - résultat non disponible,
2648,Ribemont,0,407
2649,Rocourt-Saint-Martin,0,563
2650,Rocquigny,0,378
2651,Rogécourt,N/A - résultat non disponible,
2652,Rogny,0,354
2653,Romeny-sur-Marne,0,583
2654,Romery,N/A - résultat non disponible,
2655,Ronchères,0,526
2656,Roucy,0,61
2657,Rougeries,0,265
2658,Roupy,0,583
2659,Rouvroy,0,654
2660,Rouvroy-sur-Serre,N/A - résultat non disponible,
2661,Royaucourt-et-Chailvet,0,585
2662,Rozet-Saint-Albin,0,516
2663,Rozières-sur-Crise,0,5
2664,Rozoy-Bellevalle,0,64
2665,Grand-Rozoy,0,581
2666,Rozoy-sur-Serre,0,293
2667,Saconin-et-Breuil,0,521
2668,Sains-Richaumont,0,283
2670,Saint-Algis,0,355
2671,Saint-Aubin,0,426
2672,Saint-Bandry,0,516
2673,Saint-Christophe-à-Berry,0,471
2674,Saint-Clément,N/A - résultat non disponible,
2675,Sainte-Croix,0,525
2676,Saint-Erme-Outre-et-Ramecourt,0,502
2677,Saint-Eugène,0,498
2678,Sainte-Geneviève,N/A - résultat non disponible,
2679,Saint-Gengoulph,0,534
2680,Saint-Gobain,0,375
2681,Saint-Gobert,0,292
2682,Saint-Mard,0,524
2683,Saint-Martin-Rivière,0,197
2684,Saint-Michel,0,284
2685,Saint-Nicolas-aux-Bois,0,423
2686,Saint-Paul-aux-Bois,0,477
2687,Saint-Pierre-Aigle,0,542
2688,Saint-Pierre-lès-Franqueville,N/A - résultat non disponible,
2689,Saint-Pierremont,N/A - résultat non disponible,
2690,Sainte-Preuve,N/A - résultat non disponible,
2691,Saint-Quentin,0,389
2693,Saint-Rémy-Blanzy,0,563
2694,Saint-Simon,0,503
2695,Saint-Thibaut,N/A - résultat non disponible,
2696,Saint-Thomas,N/A - résultat non disponible,
2697,Samoussy,0,63
2698,Sancy-les-Cheminots,0,556
2699,Saponay,0,512
2701,Saulchery,0,553
2702,Savy,0,603
2703,Seboncourt,0,29
2704,Selens,0,455
2705,La Selve,0,466
2706,Septmonts,0,469
2707,Septvaux,0,516
2708,Sequehart,0,424
2709,Serain,0,304
2710,Seraucourt-le-Grand,0,479
2711,Serches,0,469
2712,Sergy,0,566
2713,Seringes-et-Nesles,0,505
2714,Sermoise,0,413
2715,Serval,N/A - résultat non disponible,
2716,Servais,0,495
2717,Séry-lès-Mézières,0,463
2718,Silly-la-Poterie,0,61
2719,Sinceny,0,401
2720,Sissonne,0,401
2721,Sissy,0,534
2722,Soissons,0,504
2723,Soize,N/A - résultat non disponible,
2724,Sommelans,N/A - résultat non disponible,
2725,Sommeron,0,39
2726,Sommette-Eaucourt,0,492
2727,Sons-et-Ronchères,0,281
2728,Sorbais,0,376
2729,Soucy,N/A - résultat non disponible,
2730,Soupir,0,456
2731,Le Sourd,0,422
2732,Surfontaine,N/A - résultat non disponible,
2733,Suzy,0,552
2734,Taillefontaine,0,536
2735,Tannières,N/A - résultat non disponible,
2736,Tartiers,0,504
2737,Tavaux-et-Pontséricourt,0,265
2738,Tergnier,0,342
2739,Terny-Sorny,0,599
2740,Thenailles,0,432
2741,Thenelles,0,367
2742,Thiernu,0,241
2743,Le Thuel,0,379
2744,Torcy-en-Valois,N/A - résultat non disponible,
2745,Toulis-et-Attencourt,0,356
2746,Travecy,0,433
2747,Trefcon,N/A - résultat non disponible,
2748,Trélou-sur-Marne,0,566
2749,Troësnes,0,571
2750,Trosly-Loire,0,438
2751,Trucy,0,47
2752,Tugny-et-Pont,0,459
2753,Tupigny,0,181
2754,Ugny-le-Gay,0,484
2755,Urcel,0,561
2756,Urvillers,0,553
2757,Vadencourt,0,223
2758,Vailly-sur-Aisne,0,444
2759,La Vallée-au-Blé,0,224
2760,La Vallée-Mulâtre,0,274
2761,Variscourt,0,577
2762,Vassens,0,45
2763,Vasseny,0,551
2764,Vassogne,N/A - résultat non disponible,
2765,Vaucelles-et-Beffecourt,0,622
2766,Vaudesson,0,525
2767,Vauxrezis,0,646
2768,Vauxaillon,0,509
2769,Vaux-Andigny,0,265
2770,Vauxbuin,0,461
2772,Vaux-en-Vermandois,0,571
2773,Vauxtin,N/A - résultat non disponible,
2774,Vendelles,0,534
2775,Vendeuil,0,494
2776,Vendhuile,0,289
2777,Vendières,0,553
2778,Vendresse-Beaulne,0,491
2779,Vénérolles,0,204
2780,Venizel,0,574
2781,Verdilly,0,607
2782,Le Verguier,0,535
2783,Grand-Verly,0,302
2784,Petit-Verly,0,287
2785,Vermand,0,554
2786,Verneuil-sous-Coucy,0,495
2787,Verneuil-sur-Serre,0,373
2788,Versigny,0,414
2789,Vervins,0,324
2790,Vesles-et-Caumont,0,384
2791,Veslud,0,712
2792,Veuilly-la-Poterie,0,523
2793,Vézaponin,0,47
2794,Vézilly,0,636
2795,Vic-sur-Aisne,0,434
2796,Vichel-Nanteuil,N/A - résultat non disponible,
2797,Viel-Arcy,0,468
2798,Viels-Maisons,0,573
2799,Vierzy,0,471
2800,Viffort,0,584
2801,Vigneux-Hocquet,0,379
2802,La Ville-aux-Bois-lès-Dizy,0,351
2803,La Ville-aux-Bois-lès-Pontavert,0,523
2804,Villemontoire,0,618
2805,Villeneuve-Saint-Germain,0,53
2806,Villeneuve-sur-Fère,0,492
2807,Villequier-Aumont,0,489
2808,Villeret,0,273
2809,Villers-Agron-Aiguizy,N/A - résultat non disponible,
2810,Villers-Cotterêts,0,489
2812,Villers-Hélon,0,589
2813,Villers-le-Sec,0,477
2814,Villers-lès-Guise,0,359
2815,Villers-Saint-Christophe,0,483
2816,Villers-sur-Fère,0,534
2817,Ville-Savoye,N/A - résultat non disponible,
2818,Villiers-Saint-Denis,0,571
2819,Vincy-Reuil-et-Magny,0,269
2820,Viry-Noureuil,0,46
2821,Vivaise,0,561
2822,Vivières,0,598
2823,Voharies,N/A - résultat non disponible,
2824,Vorges,0,671
2826,Voulpaix,0,35
2827,Voyenne,0,355
2828,Vregny,N/A - résultat non disponible,
2829,Vuillery,N/A - résultat non disponible,
2830,Wassigny,0,245
2831,Watigny,0,394
2832,Wiège-Faty,0,305
2833,Wimy,0,391
2834,Wissignicourt,0,542
59001,Abancourt,0,52
59002,Abscon,0,323
59003,Aibes,0,429
59004,Aix,0,622
59005,Allennes-les-Marais,0,575
59006,Amfroipret,0,598
59007,Anhiers,0,471
59008,Aniche,0,312
59009,Villeneuve-d'Ascq,0,645
59010,Anneux,0,427
59011,Annoeullin,0,521
59012,Anor,0,362
59013,Anstaing,0,769
59014,Anzin,0,239
59015,Arleux,0,389
59016,Armbouts-Cappel,0,546
59017,Armentières,0,454
59018,Arnèke,0,403
59019,Artres,0,506
59021,Assevent,0,431
59022,Attiches,0,745
59023,Aubencheul-au-Bac,0,469
59024,Auberchicourt,0,364
59025,Aubers,0,637
59026,Aubigny-au-Bac,0,409
59027,Aubry-du-Hainaut,0,488
59028,Auby,0,361
59029,Auchy-lez-Orchies,0,579
59031,Audignies,0,594
59032,Aulnoy-lez-Valenciennes,0,381
59033,Aulnoye-Aymeries,0,385
59034,Avelin,0,803
59035,Avesnelles,0,373
