Département,Budget,Type nomenclature,Exercice,Type fichier,Date vote,Dépense/Recette,Investissement/Fonctionnement,Réel/Ordre id/Ordre diff,Chapitre,Sous-chapitre,Opération,Article,Rubrique fonctionnelle,Libellé,Code devise,Montant,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C16,,,A1641,R01     ,Emprunts en euros,E,119000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1341,R0202   ,DGE,E,700000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1335,R621    ,Produits des amendes de radars automatiques,E,500000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1332,R221    ,DDEC transférable affectée à l équipement,E,5410000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1328,R621    ,Autres subventions d équipement non transférables,E,1069000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1324,R80     ,Subventions d équipement non transférables - Communes et structures intercommunales,E,20000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1324,R621    ,Subventions d équipement non transférables - Communes et structures intercommunales,E,243700,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1322,R738    ,Subventions d équipement non transférables - Régions,E,377932,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1322,R621    ,Subventions d équipement non transférables - Régions,E,2816900,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1321 ,R94     ,Subventions d équipement non transférables - Etat et établissements nationaux,E,17500,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1321 ,R738    ,Subventions d équipement non transférables - Etat et établissements nationaux,E,492370,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1321 ,R621    ,Subventions d équipement non transférables - Etat et établissements nationaux,E,2636900,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A13172,R61     ,Subventions d équipement transférables - FEDER,E,138775,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A13172,R315    ,Subventions d équipement transférables - FEDER,E,461050,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1314,R80     ,Subventions d équipement transférables - Communes et structures intercommunales,E,150000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1314,R221    ,Subventions d équipement transférables - Communes et structures intercommunales,E,153460,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1312,R80     ,Subventions d équipement transférables - Régions,E,250000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1311,R315    ,Subventions d équipement transférables - Etat et établissements nationaux,E,1150408,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1311,R11     ,Subventions d équipement transférables - Etat et établissements nationaux,E,340416,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C13,,,A1311,R0202   ,Subventions d équipement transférables - Etat et établissements nationaux,E,3502776,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C10,,,A10222,R01     ,F.C.T.V.A.,E,20000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2011,BP,21/12/2010,R,I,OR,C024,,,A024,R01     ,Produit des cessions des immobilisations,E,2000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C001,B00,M52,2011,BP,21/12/2010,R,I,OI,C041,,,A21841.,R01     ,O-Matériel de bureau et mobilier scolaire,E,950000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2011,BP,21/12/2010,R,I,OI,C041,,,A21831.,R01     ,O-Matériel informatique scolaire,E,280000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2011,BP,21/12/2010,R,I,OI,C041,,,A2157.,R01     ,O- Matériel et outillage technique,E,280000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2011,BP,21/12/2010,R,I,OI,C041,,,A21328.,R01     ,Autres bâtiments privés,E,600000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2011,BP,21/12/2010,R,I,OI,C041,,,A21312.,R01     ,Bâtiments scolaires,E,960000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C001,B00,M52,2011,BP,21/12/2010,R,I,OI,C041,,,A2033.,R01     ,Frais d insertion,E,170000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2011,BP,21/12/2010,R,I,OI,C041,,,A2031,R01     ,Frais d études,E,3300000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2011,BP,21/12/2010,R,I,OI,C041,,,A166,R01     ,Refinancement de dette,E,30000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
C001,B00,M52,2011,BP,21/12/2010,R,I,OI,C041,,,A16449,R01     ,Opérations afférentes à l option de tirage sur ligne de trésorerie,E,86500000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C001,B00,M52,2011,BP,21/12/2010,R,I,OE,C040,,,A28188,R01     ,Amortissement des autres immobilisations corporelles,E,343336.37,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
