"Provenance";"Code Insee de la commune";"Commune";"Annee";"Activite";"Profession";"Discipline";"Comptage"
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Rhumatologie";4,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Gynécologie médicale";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Pédiatrie";4,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Gastro-Entérologie Hépatologie";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Ophtalmologie";11,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Oncologie médicale";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Neurologie";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Néphrologie";4,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Anesthésiologie Réanimation";8,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Médecine interne";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Généraliste";"Médecin Généraliste";71,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Pneumologie";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Chirurgie générale";4,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Cardiologie";8,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Orthophoniste";"Orthophoniste";13,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Opticien-Lunetier";"Opticien-Lunetier";8,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Anatomie et cytologie pathologique";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Sage-Femme";"Sage-Femme";8,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Psychomotricien";"Psychomotricien";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Médecine nucléaire";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Généraliste";"Médecin Généraliste";72,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Rééducation et réadaptation fonctionnelle";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Anatomie et cytologie pathologique";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Endocrinologie et métabolismes";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Biologie médicale";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Chirurgie générale";5,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Pharmacien";"Pharmacien";27,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Chirurgie orthopédique et traumatologique";5,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Chirurgie urologique";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Chirurgie vasculaire";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Cardiologie";8,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Pédiatrie";4,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Oncologie médicale";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Gastro-Entérologie Hépatologie";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Gynécologie médicale";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Gynécologie médicale et obstétrique";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Gynécologie obstétrique";4,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Médecine interne";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Médecine nucléaire";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Neurologie";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Dermatologie et vénéréologie";5,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Ophtalmologie";11,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Psychomotricien";"Psychomotricien";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Oto-rhino laryngologie";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Pneumologie";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Audio-Prothésiste";"Audio-Prothésiste";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Orthoptiste";"Orthoptiste";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Chirurgien-Dentiste";"Chirurgien-Dentiste";43,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Sage-Femme";"Sage-Femme";6,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Anesthésiologie Réanimation";8,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Néphrologie";4,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Psychologue";"Psychologue";10,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Psychiatrie";13,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Orthophoniste";"Orthophoniste";14,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Pédicure-Podologue";"Pédicure-Podologue";16,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Masseur-Kinésithérapeute";"Masseur-Kinésithérapeute";32,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Infirmier";"Infirmier";37,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Opticien-Lunetier";"Opticien-Lunetier";8,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Radiodiagnostic et imagerie médicale";12,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2006";"Libérale";"Médecin Spécialiste";"Rhumatologie";4,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Généraliste";"Médecin Généraliste";68,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Ophtalmologie";10,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Dermatologie et vénéréologie";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Cardiologie";5,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Biologie médicale";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Pédiatrie";4,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Médecine nucléaire";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Opticien-Lunetier";"Opticien-Lunetier";10,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Gynécologie médicale et obstétrique";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Pharmacien";"Pharmacien";29,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Gynécologie obstétrique";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Gynécologie médicale";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Endocrinologie et métabolismes";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Neurologie";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Psychomotricien";"Psychomotricien";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Rhumatologie";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Audio-Prothésiste";"Audio-Prothésiste";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Chirurgien-Dentiste";"Chirurgien-Dentiste";43,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Infirmier";"Infirmier";35,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Ergothérapeute";"Ergothérapeute";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Psychologue";"Psychologue";12,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Orthoptiste";"Orthoptiste";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Orthophoniste";"Orthophoniste";15,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Pédicure-Podologue";"Pédicure-Podologue";12,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Masseur-Kinésithérapeute";"Masseur-Kinésithérapeute";34,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Sage-Femme";"Sage-Femme";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Rééducation et réadaptation fonctionnelle";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Radiodiagnostic et imagerie médicale";7,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Psychiatrie";13,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2007";"Libérale";"Médecin Spécialiste";"Pneumologie";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Gynécologie médicale";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Orthoptiste";"Orthoptiste";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Orthophoniste";"Orthophoniste";16,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Rhumatologie";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Pédicure-Podologue";"Pédicure-Podologue";15,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Infirmier";"Infirmier";36,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Opticien-Lunetier";"Opticien-Lunetier";10,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Psychologue";"Psychologue";13,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Gynécologie médicale et obstétrique";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Ophtalmologie";10,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Endocrinologie et métabolismes";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Dermatologie et vénéréologie";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Cardiologie";5,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Biologie médicale";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Audio-Prothésiste";"Audio-Prothésiste";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Pneumologie";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Radiodiagnostic et imagerie médicale";7,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Gynécologie obstétrique";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Pharmacien";"Pharmacien";26,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Rééducation et réadaptation fonctionnelle";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Médecine nucléaire";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Psychiatrie";13,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Sage-Femme";"Sage-Femme";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Pédiatrie";4,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Psychomotricien";"Psychomotricien";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Généraliste";"Médecin Généraliste";64,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Ergothérapeute";"Ergothérapeute";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Chirurgien-Dentiste";"Chirurgien-Dentiste";42,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Médecin Spécialiste";"Neurologie";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2008";"Libérale";"Masseur-Kinésithérapeute";"Masseur-Kinésithérapeute";32,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Gynécologie médicale";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Neurologie";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Biologie médicale";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Rhumatologie";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Rééducation et réadaptation fonctionnelle";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Radiodiagnostic et imagerie médicale";7,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Psychiatrie";12,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Pneumologie";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Ophtalmologie";9,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Médecine nucléaire";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Gynécologie médicale et obstétrique";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Pédiatrie";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Généraliste";"Médecin Généraliste";60,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Gynécologie obstétrique";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Cardiologie";4,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Dermatologie et vénéréologie";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Pédicure-Podologue";"Pédicure-Podologue";14,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Orthoptiste";"Orthoptiste";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Psychomotricien";"Psychomotricien";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Masseur-Kinésithérapeute";"Masseur-Kinésithérapeute";29,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Psychologue";"Psychologue";14,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Orthophoniste";"Orthophoniste";15,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Infirmier";"Infirmier";34,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Opticien-Lunetier";"Opticien-Lunetier";10,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Audio-Prothésiste";"Audio-Prothésiste";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Ergothérapeute";"Ergothérapeute";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Sage-Femme";"Sage-Femme";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Médecin Spécialiste";"Endocrinologie et métabolismes";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Chirurgien-Dentiste";"Chirurgien-Dentiste";44,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2009";"Libérale";"Pharmacien";"Pharmacien";26,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Gynécologie obstétrique";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Pharmacien";"Pharmacien";21,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Cardiologie";4,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Chirurgien-Dentiste";"Chirurgien-Dentiste";42,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Pneumologie";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Gastro-Entérologie Hépatologie";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Ophtalmologie";10,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Gynécologie médicale et obstétrique";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Médecine nucléaire";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Neurologie";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Pédiatrie";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Biologie médicale";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Psychiatrie";12,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Radiodiagnostic et imagerie médicale";5,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Rééducation et réadaptation fonctionnelle";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Gynécologie médicale";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Orthoptiste";"Orthoptiste";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Infirmier";"Infirmier";38,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Masseur-Kinésithérapeute";"Masseur-Kinésithérapeute";34,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Pédicure-Podologue";"Pédicure-Podologue";15,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Généraliste";"Médecin Généraliste";60,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Opticien-Lunetier";"Opticien-Lunetier";10,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Audio-Prothésiste";"Audio-Prothésiste";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Orthophoniste";"Orthophoniste";15,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Sage-Femme";"Sage-Femme";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Psychologue";"Psychologue";16,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Médecin Spécialiste";"Rhumatologie";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Ergothérapeute";"Ergothérapeute";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2010";"Libérale";"Diététicien";"Diététicien";1,00
